tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60693.57501159981,2939575012215015024,2,2939575012215,18.593784,1,2939,0.45767137,17.400562,15.055007,17.2219,0.114607215,100.0,0.013212643,0.0918,284.1752266,13.7536321,0.57857144,t17_f5_c3,0.99935466,17.2045,0.115,1585120222.0,True,True,False,26.0.1,0.0,,ZTF20abdyyjb
ztf,60693.57501159981,2939575012215025024,2,2939575012215,18.5938,1,2939,0.457671,17.4006,15.055011,17.2219,0.114607,100.0,0.013212207,0.0918,284.1752266,13.7536321,0.578571,t17_f5_c3,,17.2045,0.115,,False,True,False,26.0.1,0.0,2.953559252215015e+18,ZTF20abdyyjb
ztf,60693.57548609981,2939575482215015030,2,2939575482215,18.518003,1,2939,0.97834414,17.013813,15.002725,17.1193,0.09028248,100.0,0.014163419,0.0839,284.175434,13.75364,0.67,t17_f5_c3,0.99999774,17.0361,0.0993,1585120222.0,True,True,False,26.0.1,0.0,,ZTF20abdyyjb
ztf,60693.57596059982,2939575962215015031,2,2939575962215,18.280958,1,2939,0.44524625,17.139866,15.021557,17.1051,0.078995496,100.0,0.011227392,0.0904,284.1752956,13.753792,0.62,t17_f5_c3,0.99995804,16.9289,0.0983,1585120222.0,True,True,False,26.0.1,0.0,,ZTF20abdyyjb
ztf,60694.569629599806,2940569622215015134,2,2940569622215,18.8138,1,2940,2.14442,17.1739,,16.8875,0.118624,,,0.0475,284.1756716,13.7533873,0.365714,t17_f5_c3,,16.9433,0.0633,,False,False,True,26.0.1,0.0,2.952556872215015e+18,ZTF20abdyyjb
ztf,60694.57009259984,2940570092215015074,2,2940570092215,18.843237,1,2940,1.3596582,17.130335,15.020198,17.2037,0.06490175,100.0,0.009293974,0.065,284.1755077,13.753546,0.43714285,t17_f5_c3,0.9972775,17.0518,0.0712,1585120222.0,True,True,False,26.0.1,0.0,,ZTF20abdyyjb
ztf,60694.57009259984,2940570092215015076,2,2940570092215,18.843237,1,2940,1.3021069,17.107975,15.016967,16.9948,0.11637523,100.0,0.016961234,0.0534,284.1754809,13.7535364,0.47142857,t17_f5_c3,0.99727744,16.9725,0.0663,1585120222.0,True,True,False,26.0.1,0.0,,ZTF20abdyyjb
ztf,60694.57009259984,2940570092215025074,2,2940570092215,18.8432,1,2940,1.35966,17.1303,15.020192,17.2037,0.064902,100.0,0.009294262,0.065,284.1755077,13.753546,0.437143,t17_f5_c3,,17.0518,0.0712,,False,True,False,26.0.1,0.0,2.953559252215015e+18,ZTF20abdyyjb
ztf,60694.57009259984,2940570092215025076,2,2940570092215,18.8432,1,2940,1.30211,17.108,15.016971,16.9948,0.116375,100.0,0.016960869,0.0534,284.1754809,13.7535364,0.471429,t17_f5_c3,,16.9725,0.0663,,False,True,False,26.0.1,0.0,2.953559252215015e+18,ZTF20abdyyjb
ztf,60694.571053199936,2940571052215015030,2,2940571052215,18.820007,1,2940,1.1892027,16.893213,14.982897,17.046,0.104352005,100.0,0.0179628,0.0576,284.1752394,13.7534217,0.63,t17_f5_c3,0.99995685,16.9899,0.0694,1585120222.0,True,True,False,26.0.1,0.0,,ZTF20abdyyjb
