tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60414.44567129994,2660445671515015007,2,2660445671515,19.8639,1,2660,0.257511,15.0116,13.49759,15.0846,0.038969,100.0,0.00966308,0.0073,256.6665051,-13.4451197,0.51,t17_f5_c3,15.0345,0.0076,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60417.37730319984,2663377301515015014,2,2663377301515,19.8825,1,2663,0.250815,14.9783,13.489238,15.1614,0.086971,0.004312739,0.02206731,0.0084,256.6664852,-13.4451484,0.641429,t17_f5_c3,15.1504,0.0093,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60420.416527799796,2666416521515015007,2,2666416521515,19.8286,1,2666,0.243937,14.9416,13.479807,15.2604,0.09948,0.014479012,0.025883248,0.0094,256.6665023,-13.4451129,0.678571,t17_f5_c3,15.2495,0.0104,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60422.395694400184,2668395691515015020,2,2668395691515,19.7553,1,2668,0.380769,15.3079,13.563874,15.371,0.108172,100.0,0.021702223,0.011,256.6665395,-13.4451328,0.605714,t17_f5_c3,15.3594,0.0126,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60429.39475690015,2675394755215010002,2,2675394755215,19.8432,-1,2675,0.140559,15.9952,13.594937,16.3485,0.106267,100.0,0.011649124,0.0247,256.6664811,-13.4450636,0.458571,t17_f5_c3,16.3491,0.0282,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60432.49827549979,2678498271515015017,2,2678498271515,19.8682,1,2678,0.104248,15.0963,13.517985,15.2781,0.141678,0.024546329,0.033111326,0.0099,256.6664417,-13.4451304,0.422857,t17_f5_c3,15.2728,0.0111,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60436.41791669978,2682417915215015004,1,2682417915215,19.6345,1,2682,0.441862,17.7774,15.574897,17.9682,0.101445,0.0093140425,0.013342267,0.0649,256.666574,-13.4450853,0.931429,t17_f5_c3,17.9966,0.0816,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60436.41837960016,2682418371515015031,1,2682418371515,20.0959,1,2682,0.432276,17.8326,15.572376,17.6783,0.095978,100.0,0.011969678,0.0422,256.6665537,-13.4451254,0.901429,t17_f5_c3,17.6379,0.0487,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60436.47891200008,2682478911515015017,2,2682478911515,19.9136,1,2682,0.231496,14.8435,13.453418,14.955,0.056323,100.0,0.015654994,0.0068,256.6664996,-13.4451065,0.575714,t17_f5_c3,14.9374,0.0073,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60437.39667819999,2683396671515015016,2,2683396671515,20.1357,1,2683,0.096341,14.7072,13.413785,14.8643,0.094355,0.020353612,0.028668096,0.0062,256.6664587,-13.4451052,0.631429,t17_f5_c3,14.8563,0.0066,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60437.442534700036,2683442535215015009,1,2683442535215,20.1983,1,2683,0.11613,17.5704,15.54531,17.6714,0.101623,0.0126991365,0.015738232,0.0432,256.6664468,-13.4451251,0.91,t17_f5_c3,17.6407,0.0503,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60438.45413189987,2684454131515015027,1,2684454131515,20.4324,1,2684,0.138138,17.2142,15.47313,17.3547,0.070543,100.0,0.014191436,0.0301,256.6664667,-13.4451099,0.901429,t17_f5_c3,17.3433,0.0348,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60438.45756939985,2684457565215015011,1,2684457565215,20.2628,1,2684,0.245428,17.4774,15.5303755,17.5218,0.117092,0.017193498,0.019485766,0.0369,256.6664543,-13.445156,0.86,t17_f5_c3,17.4968,0.0429,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60439.442858799826,2685442855215015007,1,2685442855215,20.0613,1,2685,0.174808,17.1942,15.477822,17.4067,0.089835,0.016293928,0.018488185,0.0345,256.6664888,-13.4450595,0.884286,t17_f5_c3,17.3618,0.0393,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60439.44332179986,2685443321515015023,1,2685443321515,20.1247,1,2685,0.541666,17.4724,15.520372,17.3062,0.089855,100.0,0.0148843825,0.0305,256.6665148,-13.4452485,0.874286,t17_f5_c3,17.3228,0.0364,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60441.337858799845,2687337851515015016,1,2687337851515,20.1683,1,2687,0.667468,17.6082,15.541726,17.175,0.138228,0.011619117,0.0206066,0.0267,256.6666195,-13.4451377,0.524286,t17_f5_c3,17.1775,0.0315,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60441.39753470011,2687397535215015005,2,2687397535215,20.0567,1,2687,0.402396,15.869,13.367746,15.8778,0.125753,100.0,0.012560778,0.0151,256.6665661,-13.4451004,0.58,t17_f5_c3,15.828,0.0156,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60441.39800930023,2687398001515015025,2,2687398001515,19.945,1,2687,0.302497,14.3097,13.2769375,14.5726,0.076379,0.023530124,0.029503185,0.0051,256.6665157,-13.4451133,0.547143,t17_f5_c3,14.5649,0.0055,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
ztf,60443.375752300024,2689375755215015003,2,2689375755215,19.9079,1,2689,0.709301,15.7592,13.356266,16.0472,0.074433,100.0,0.008139389,0.016,256.6665401,-13.445262,0.492857,t17_f5_c3,15.7645,0.0148,False,True,False,24.4.1,0.0,2.689398641515015e+18,,,ZTF20abetgmx
