tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59018.19841440022,1264198410015015006,1,1264198410015,19.895885,1,1264,0.943657,15.971967,15.967839,15.9886,0.029916493,0.029782237,0.02980298,0.0099,224.6766975,-26.976216,0.8385714,t17_f5_c3,0.99999523,15.9902,0.0119,275120100.0,False,True,False,bulk_1.0.0,0.0,1.270192181315015e+18,ZTF20abfxvkw
ztf,59018.198888900224,1264198881315015008,1,1264198881315,20.09107,1,1264,13.451534,15.968992,,15.9803,0.027692216,,,0.0096,224.6767206,-26.976205,0.76,t17_f5_c3,0.9999981,15.9686,0.0114,276120113.0,False,False,True,bulk_1.0.0,0.0,1.270192181315015e+18,ZTF20abfxvkw
ztf,59021.21101849992,1267211011315015006,1,1267211011315,20.175262,1,1267,13.58226,16.513882,,16.5278,0.03135215,,,0.0137,224.676732,-26.9762444,0.7885714,t17_f5_c3,0.99999976,16.5366,0.0166,276120113.0,False,False,True,bulk_1.0.0,0.0,1.270192181315015e+18,ZTF20abfxvkw
ztf,59021.21149310004,1267211490015015017,1,1267211490015,20.218449,1,1267,0.9664689,16.48308,16.476479,16.4905,0.033564635,0.033313867,0.033361178,0.0134,224.6766911,-26.9762244,0.8957143,t17_f5_c3,0.9999958,16.4904,0.0161,275120100.0,False,True,False,bulk_1.0.0,0.0,1.270192181315015e+18,ZTF20abfxvkw
ztf,59021.231087999884,1267231081315015012,2,1267231081315,20.120646,1,1267,0.2739959,16.720465,16.710531,16.7228,0.044840094,0.044321097,0.0444317,0.0183,224.6767056,-26.976251,0.88285714,t17_f5_c3,0.9999999,16.7236,0.0225,276120213.0,False,True,False,bulk_1.0.0,0.0,1.270192181315015e+18,ZTF20abfxvkw
ztf,59021.2315508998,1267231550015015009,2,1267231550015,20.109335,1,1267,17.021826,16.674377,,16.6981,0.038285304,,,0.018,224.6767066,-26.9762594,0.86714286,t17_f5_c3,0.99999547,16.7037,0.0223,275120200.0,False,False,True,bulk_1.0.0,0.0,1.270192181315015e+18,ZTF20abfxvkw
ztf,59024.192187500186,1270192181315015003,1,1270192181315,20.00995,1,1270,13.532981,16.642078,,16.6909,0.032531645,,,0.0161,224.6767284,-26.9762294,0.7,t17_f5_c3,0.99999696,16.6914,0.0196,276120113.0,False,False,True,bulk_1.0.0,0.0,1.270192650015015e+18,ZTF20abfxvkw
ztf,59024.19265050022,1270192650015015018,1,1270192650015,20.091017,1,1270,0.8794421,16.637815,16.630207,16.6491,0.03889429,0.038568422,0.038622662,0.016,224.6767117,-26.9762192,0.91,t17_f5_c3,0.9999938,16.6369,0.0194,275120100.0,False,True,False,bulk_1.0.0,0.0,1.282212401315015e+18,ZTF20abfxvkw
ztf,59024.21086810017,1270210860015015084,2,1270210860015,20.098175,1,1270,16.9187,16.836544,,16.7907,0.040136542,,,0.0209,224.6767159,-26.9762247,0.79714286,t17_f5_c3,0.99997723,16.779,0.0257,275120200.0,False,False,True,bulk_1.0.0,0.0,1.282212401315015e+18,ZTF20abfxvkw
ztf,59024.231030100025,1270231031315015030,2,1270231031315,19.519272,1,1270,0.2771343,17.013851,17.000854,16.9636,0.030613493,0.029970933,0.030249197,0.0405,224.6767058,-26.97625,0.87714285,t17_f5_c3,0.99999297,16.9647,0.0514,276120213.0,False,True,False,bulk_1.0.0,0.0,1.282212401315015e+18,ZTF20abfxvkw
