tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59221.55986109981,1467559860815015000,2,1467559860815,18.0768,1,1467,0.556259,14.9969,12.7939625,14.697,0.081044,100.0,0.0106548155,0.0184,266.772764,16.9222663,0.525714,t17_f5_c3,14.6741,0.0217,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59221.564722199924,1467564720815015002,2,1467564720815,18.5283,1,1467,0.644499,14.3247,12.67801,14.6633,0.0249,100.0,0.005464156,0.013,266.7728612,16.9222624,0.664286,t17_f5_c3,14.6124,0.0151,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59221.564722199924,1467564720815015005,2,1467564720815,18.5283,1,1467,0.389041,14.2558,12.662511,14.2888,0.011834,100.0,0.0027278212,0.01,266.7728555,16.9223461,0.738571,t17_f5_c3,14.2848,0.0117,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59221.56715280004,1467567150815015000,2,1467567150815,17.864,1,1467,0.259127,14.4176,12.697726,14.2579,0.055395,0.0023024387,0.011363735,0.0162,266.7727945,16.922354,0.605714,t17_f5_c3,14.2391,0.0195,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59221.569583300035,1467569580815015003,2,1467569580815,16.2953,1,1467,0.393775,14.3864,12.691253,14.247,0.06061,0.0062794588,0.012719941,0.0628,266.7728804,16.9223811,0.565714,t17_f5_c3,14.2413,0.0794,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59223.55971059995,1469559710815015000,2,1469559710815,19.5657,1,1469,0.570334,14.8198,12.768963,14.7942,0.028263,100.0,0.0042744786,0.0072,266.7729365,16.9223786,0.808571,t17_f5_c3,14.7831,0.0077,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59223.56206020014,1469562060815015001,2,1469562060815,19.5732,1,1469,0.288667,14.8711,12.776567,14.7676,0.062524,100.0,0.009083088,0.007,266.7728244,16.922359,0.701429,t17_f5_c3,14.7561,0.0075,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59223.564398100134,1469564390815015000,2,1469564390815,19.4689,1,1469,0.262805,14.7291,12.754749,14.7765,0.046392,100.0,0.0075284014,0.0072,266.7727377,16.9223586,0.778571,t17_f5_c3,14.7598,0.0076,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59223.566736099776,1469566730815015000,2,1469566730815,19.6373,1,1469,0.397671,14.849,12.773329,14.714,0.045588,100.0,0.0067387917,0.0068,266.7728452,16.9223361,0.818571,t17_f5_c3,14.7009,0.0072,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59223.56907409988,1469569070815015000,2,1469569070815,19.5456,1,1469,0.545237,14.7932,12.764897,14.7623,0.043458,100.0,0.0067104073,0.0071,266.7728872,16.9223122,0.771429,t17_f5_c3,14.7484,0.0076,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59224.570543999784,1470570540815015001,2,1470570540815,19.282,1,1470,0.108766,14.8765,12.77735,14.9073,0.030269,100.0,0.004378628,0.0081,266.7727957,16.9223991,0.791429,t17_f5_c3,14.8821,0.0086,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59224.57295140019,1470572950815015000,2,1470572950815,19.1182,1,1470,0.185537,14.7878,12.764062,14.9006,0.061889,100.0,0.00959662,0.0083,266.7727799,16.9223705,0.704286,t17_f5_c3,14.8698,0.0089,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59224.57537040021,1470575370815015000,2,1470575370815,19.038,1,1470,0.389485,15.1472,12.812574,14.9494,0.062759,100.0,0.007308458,0.0093,266.772796,16.9223147,0.712857,t17_f5_c3,14.9244,0.0102,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59224.57777780015,1470577770815015000,2,1470577770815,18.7831,1,1470,0.387632,14.7811,12.7630205,14.8874,0.05467,100.0,0.0085215205,0.0097,266.7728661,16.9223567,0.792857,t17_f5_c3,14.8621,0.011,False,True,False,bulk_1.0.0,0.0,1.472571040815015e+18,,,ZTF20abgkebe
ztf,59226.571041699965,1472571040815015000,2,1472571040815,19.560396,1,1472,0.9928869,14.632126,12.738412,14.8381,0.072264545,0.0051061613,0.012631057,0.0076,266.7730377,16.9223003,0.56142855,t17_f5_c3,14.8232,0.0081,True,True,False,bulk_1.0.0,0.0,0.0,0.69661725,587120208.0,ZTF20abgkebe
ztf,59250.49819440022,1496498190815015000,1,1496498190815,19.7593,1,1496,0.177896,15.217,13.363664,15.1482,0.047642,100.0,0.0086428225,0.008,266.7728009,16.9224641,0.784286,t17_f5_c3,15.1391,0.0087,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59252.54414349981,1498544140815015000,2,1498544140815,20.5747,1,1498,0.917519,15.2212,12.820936,15.1366,0.081129,100.0,0.00889346,0.0082,266.772797,16.9221673,0.41,t17_f5_c3,15.0879,0.0083,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59252.54414349981,1498544140815015001,2,1498544140815,20.5747,1,1498,0.717654,15.0195,12.796906,15.0162,0.012006,100.0,0.0015501049,0.0078,266.7728032,16.9222245,0.561429,t17_f5_c3,15.0072,0.008,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59258.49965280015,1504499650815015003,2,1504499650815,19.4388,1,1504,0.755349,15.1179,12.809121,15.1304,0.066968,100.0,0.007986487,0.0103,266.7727399,16.9222145,0.642857,t17_f5_c3,15.0917,0.0107,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59258.524455999956,1504524450815015000,1,1504524450815,20.1477,1,1504,0.318965,15.5975,13.423512,15.434,0.05406,100.0,0.0072993,0.009,266.7727702,16.9223323,0.612857,t17_f5_c3,15.4254,0.0094,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59263.48863429995,1509488630815015000,2,1509488630815,19.4426,1,1509,0.44005,15.055,12.801426,15.0189,0.039509,100.0,0.0049575386,0.0079,266.7727871,16.9222992,0.71,t17_f5_c3,14.974,0.0081,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59263.53070600005,1509530700815015000,1,1509530700815,20.0259,1,1509,0.418206,15.5022,13.410146,15.3978,0.03022,100.0,0.004400205,0.0082,266.7727892,16.9223027,0.675714,t17_f5_c3,15.3667,0.0085,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59266.51164350007,1512511640815015000,1,1512511640815,19.6767,1,1512,0.574375,15.249,13.369399,15.227,0.036727,100.0,0.006503474,0.0074,266.7728713,16.9222857,0.562857,t17_f5_c3,15.1719,0.0075,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59266.53651619982,1512536510815015000,2,1512536510815,19.6607,1,1512,0.581778,14.6291,12.737883,14.7559,0.051418,100.0,0.009007996,0.0063,266.7729262,16.9223494,0.678571,t17_f5_c3,14.7217,0.0065,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59268.52896990022,1514528960815015000,1,1514528960815,20.7421,1,1514,0.647763,15.3685,13.389625,15.286,0.057255,100.0,0.009252589,0.0074,266.77279,16.922245,0.59,t17_f5_c3,15.2716,0.0076,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59270.5168980998,1516516890815015000,2,1516516890815,19.5109,1,1516,0.433406,15.1189,12.80924,15.0857,0.079544,100.0,0.009478583,0.0093,266.7728238,16.9223098,0.652857,t17_f5_c3,15.0739,0.0101,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59270.531979199965,1516531970815015000,1,1516531970815,19.4866,1,1516,0.355008,15.4351,13.400114,15.4288,0.032254,100.0,0.00494982,0.0102,266.7727632,16.9223205,0.915714,t17_f5_c3,15.4172,0.0114,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59273.42834489979,1519428340815015000,1,1519428340815,18.255,1,1519,0.254198,14.2079,13.097244,14.279,0.02616,0.0028393099,0.009405357,0.007,266.7728422,16.9223848,0.787143,t17_f5_c3,14.2763,0.0084,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59273.49660879979,1519496600815015000,2,1519496600815,19.1864,1,1519,0.443058,14.9453,12.787037,14.7463,0.053514,100.0,0.007330981,0.0078,266.7726899,16.9223319,0.735714,t17_f5_c3,14.7319,0.0087,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59275.48753469996,1521487530815015000,1,1521487530815,19.4355,1,1521,0.388594,15.2953,13.377456,15.1685,0.036729,100.0,0.006278726,0.0089,266.7728457,16.9223368,0.924286,t17_f5_c3,15.1541,0.01,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59275.53013890004,1521530130815015000,2,1521530130815,19.9548,1,1521,0.816735,15.067,12.802924,14.9078,0.11809,0.008065193,0.014675151,0.0075,266.772843,16.9222069,0.474286,t17_f5_c3,14.8586,0.0078,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59280.40538189979,1526405380815015000,1,1526405380815,19.546396,1,1526,1.0746043,15.343648,13.385569,15.3071,0.031899426,100.0,0.0052547394,0.0097,266.7730701,16.9223091,0.6557143,t17_f5_c3,15.279,0.0102,True,True,False,correction_0.0.1,0.0,,0.7761022,587120108.0,ZTF20abgkebe
ztf,59313.44165509986,1559441650815015000,2,1559441650815,19.9449,1,1559,0.949865,15.3001,12.829311,15.1739,0.142889,0.007593442,0.014678548,0.0111,266.7728954,16.9221817,0.362857,t17_f5_c3,15.1153,0.0113,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59313.44165509986,1559441650815015001,2,1559441650815,19.9449,1,1559,1.00737,15.0728,12.803643,15.1323,0.015932,100.0,0.0019706413,0.0112,266.7730295,16.9222796,0.407143,t17_f5_c3,15.1232,0.0118,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59313.49582180008,1559495820815015002,1,1559495820815,20.7086,1,1559,0.725427,15.6123,13.425499,15.7455,0.087512,100.0,0.011677433,0.0102,266.7728127,16.9222198,0.457143,t17_f5_c3,15.6498,0.01,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
ztf,59313.49582180008,1559495820815015004,1,1559495820815,20.7086,1,1559,0.439715,15.4504,13.402449,15.4668,0.012996,100.0,0.0019707382,0.0087,266.7728141,16.9223026,0.612857,t17_f5_c3,15.4611,0.009,False,True,False,correction_0.0.1,0.0,,,,ZTF20abgkebe
