tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59622.19502309989,1868195024515010012,2,1868195024515,19.5775,-1,1868,0.488816,16.1327,13.288317,16.3364,0.083945,100.0,0.0061128167,0.0255,58.5445489,41.4751092,0.742857,t17_f5_c3,16.3408,0.0292,False,True,False,correction_1.0.6,0.0,1.87015284321501e+18,,,ZTF20abjgenp
ztf,59624.15284720017,1870152843215010006,2,1870152843215,19.996378,-1,1870,0.8012839,16.350157,13.258184,16.1268,0.20012908,100.0,0.011601685,0.0194,58.5445792,41.4749699,0.2857143,t17_f5_c3,16.1395,0.022,True,True,False,correction_1.0.6,0.0,,0.00092483,700120232.0,ZTF20abjgenp
ztf,59624.21725689992,1870217254515010009,1,1870217254515,19.603262,-1,1870,0.76946026,17.578438,15.2581005,17.9884,0.08894918,100.0,0.01049559,0.094,58.5446213,41.4750169,0.73142856,t17_f5_c3,18.0178,0.1207,True,True,False,correction_1.0.6,0.0,,0.6436688,701120145.0,ZTF20abjgenp
ztf,59627.32269679988,1873322694515010050,2,1873322694515,18.28354,-1,1873,1.4605324,15.792542,,16.365,0.049515877,,,0.0388,58.5448806,41.4749938,0.46285716,t17_f5_c3,16.3162,0.0451,True,False,True,correction_1.0.6,0.0,,0.11884862,701120245.0,ZTF20abjgenp
ztf,59755.47219910007,2001472193215015003,2,2001472193215,19.2919,1,2001,0.525028,14.3146,12.865358,14.5416,0.074523,0.014452382,0.019615239,0.0063,58.5445447,41.4750546,0.714286,t17_f5_c3,14.5346,0.007,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59755.47456019977,2001474563215015008,2,2001474563215,19.2681,1,2001,0.169375,14.4198,12.892075,14.5068,0.065448,0.0084883245,0.016025307,0.0063,58.5444262,41.4751046,0.687143,t17_f5_c3,14.5037,0.0072,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59755.47693290003,2001476933215015016,2,2001476933215,19.1249,1,2001,0.107825,14.3403,12.872064,14.4853,0.062721,0.009224871,0.016222531,0.0066,58.5443913,41.47511,0.762857,t17_f5_c3,14.4752,0.0076,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59755.47929400019,2001479293215015035,2,2001479293215,18.9152,1,2001,0.244043,14.3458,12.873484,14.5467,0.065069,0.010128345,0.016766695,0.0075,58.5444522,41.4750944,0.714286,t17_f5_c3,14.5387,0.0088,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59756.47196759982,2002471963215015009,2,2002471963215,19.5072,1,2002,0.131743,14.4054,12.888531,14.5405,0.052223,100.0,0.012915588,0.0062,58.5443394,41.4751227,0.741429,t17_f5_c3,14.5302,0.0069,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59756.474340300076,2002474343215015001,2,2002474343215,19.446,1,2002,0.099789,14.4925,12.9094305,14.5772,0.077471,0.011584192,0.0180265,0.0066,58.5444065,41.4751618,0.731429,t17_f5_c3,14.5634,0.0074,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59756.47670139978,2002476703215015008,2,2002476703215,19.3453,1,2002,0.105661,14.4251,12.89337,14.588,0.078163,0.013356463,0.019068174,0.007,58.5443963,41.4751117,0.708571,t17_f5_c3,14.5796,0.008,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59756.47907410003,2002479073215015019,2,2002479073215,19.184,1,2002,0.471995,14.3426,12.872658,14.5779,0.07312,0.013352208,0.0188825,0.0074,58.544523,41.4750577,0.638571,t17_f5_c3,14.5778,0.0086,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59756.4814352002,2002481433215015022,2,2002481433215,19.0411,1,2002,0.174923,14.4324,12.895146,14.5841,0.063164,0.007016412,0.015330922,0.008,58.5443508,41.475097,0.73,t17_f5_c3,14.5801,0.0095,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59759.47212960012,2005472123215015005,2,2005472123215,19.6838,1,2005,0.208558,14.6207,12.937939,14.8,0.074895,0.0071907453,0.01589821,0.0077,58.5444549,41.4751158,0.625714,t17_f5_c3,14.7986,0.0085,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59759.474490699824,2005474493215015003,2,2005474493215,19.5322,1,2005,0.653908,14.6332,12.940579,15.2737,0.076368,0.0074857725,0.01606436,0.0111,58.5445134,41.4749813,0.527143,t17_f5_c3,15.2375,0.0126,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59759.474490699824,2005474493215015004,2,2005474493215,19.5322,1,2005,0.159107,14.7667,12.967331,14.8451,0.010659,100.0,0.002032212,0.0084,58.5444156,41.4750999,0.651429,t17_f5_c3,14.8409,0.0094,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59759.47685190011,2005476853215015004,2,2005476853215,19.3811,1,2005,0.152598,14.563,12.925431,14.7655,0.096559,0.016128462,0.021368073,0.0082,58.5443282,41.4751517,0.587143,t17_f5_c3,14.7655,0.0094,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59759.47920140019,2005479203215015006,2,2005479203215,19.2323,1,2005,0.018432,14.5953,12.932497,14.7982,0.115443,0.020590428,0.024960104,0.009,58.5443897,41.4751378,0.491429,t17_f5_c3,14.7966,0.0104,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59759.48156249989,2005481563215015015,2,2005481563215,19.0477,1,2005,0.197228,14.6709,12.948402,14.8148,0.077047,0.006606642,0.01576727,0.0101,58.5444354,41.4750971,0.718571,t17_f5_c3,14.8051,0.0118,False,True,False,1.1.2,0.0,2.0064744932150152e+18,,,ZTF20abjgenp
ztf,59760.474490699824,2006474493215015070,2,2006474493215,19.393885,1,2006,0.7647893,16.036978,13.120383,16.3959,0.13440098,100.0,0.009157243,0.0359,58.5445519,41.4749683,0.39571428,t17_f5_c3,16.3851,0.0403,True,True,False,1.1.2,0.0,,0.00692624,700120232.0,ZTF20abjgenp
ztf,59763.47500000009,2009474994515015003,2,2009474994515,19.5412,1,2009,0.20238,14.6106,12.947562,14.7776,0.052194,100.0,0.011282496,0.0068,58.5444332,41.4751099,0.778571,t17_f5_c3,14.7702,0.0075,False,True,False,dev,0.0,2.012477254515015e+18,,,ZTF20abjgenp
ztf,59763.47594910022,2009475943215015009,2,2009475943215,19.461,1,2009,0.253426,14.5792,12.928995,14.8103,0.064673,0.0015345536,0.014146248,0.0073,58.5444008,41.4750697,0.771429,t17_f5_c3,14.8051,0.0082,False,True,False,dev,0.0,2.012477254515015e+18,,,ZTF20abjgenp
ztf,59763.47737269988,2009477374515015002,2,2009477374515,19.5189,1,2009,0.373247,14.7176,12.969815,14.8083,0.041559,100.0,0.008309044,0.0074,58.5444922,41.4750909,0.808571,t17_f5_c3,14.7983,0.0082,False,True,False,dev,0.0,2.012477254515015e+18,,,ZTF20abjgenp
ztf,59763.47831019992,2009478313215015004,2,2009478313215,19.3515,1,2009,0.330985,14.6068,12.934973,14.7929,0.071411,0.0058744205,0.015312082,0.0076,58.5444931,41.475096,0.722857,t17_f5_c3,14.7836,0.0085,False,True,False,dev,0.0,2.012477254515015e+18,,,ZTF20abjgenp
ztf,59763.47973380005,2009479734515015010,2,2009479734515,19.1343,1,2009,0.371489,14.7522,12.9766445,14.8028,0.052098,100.0,0.010153107,0.0077,58.544497,41.4750997,0.692857,t17_f5_c3,14.7941,0.0087,False,True,False,dev,0.0,2.012477254515015e+18,,,ZTF20abjgenp
ztf,59763.480682900175,2009480683215015005,2,2009480683215,19.2743,1,2009,0.429967,14.6135,12.936406,14.7954,0.086562,0.011861592,0.018470975,0.0081,58.5445052,41.4750603,0.725714,t17_f5_c3,14.7918,0.0093,False,True,False,dev,0.0,2.012477254515015e+18,,,ZTF20abjgenp
ztf,59763.48210649984,2009482104515015005,2,2009482104515,19.1079,1,2009,0.667889,14.638,12.953426,14.8631,0.071174,0.009368061,0.015083154,0.0088,58.5446143,41.4751048,0.751429,t17_f5_c3,14.8589,0.0103,False,True,False,dev,0.0,2.012477254515015e+18,,,ZTF20abjgenp
ztf,59763.483055599965,2009483053215015022,2,2009483053215,18.8932,1,2009,0.193212,14.837,12.980388,14.8485,0.039638,100.0,0.007169138,0.0094,58.5443802,41.4750861,0.77,t17_f5_c3,14.8437,0.0111,False,True,False,dev,0.0,2.012477254515015e+18,,,ZTF20abjgenp
