tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60706.568738400005,2952568730715015028,2,2952568730715,18.951374,1,2952,0.4536738,18.44651,17.034676,18.3286,0.15116967,0.038245223,0.041184217,0.1923,288.236545,4.6631586,0.89,t17_f5_c3,0.9999455,18.5555,0.3038,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60706.569213000126,2952569210715015031,2,2952569210715,18.918688,1,2952,0.4331713,18.487614,17.045721,18.218,0.10430585,0.022929804,0.027640847,0.1824,288.2365127,4.6631269,0.85571426,t17_f5_c3,0.99999785,18.2428,0.2392,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60706.56967590004,2952569670715015029,2,2952569670715,18.786692,1,2952,0.59999335,18.733921,17.105747,18.9172,0.17879719,0.03642499,0.039910834,0.3639,288.2365111,4.6630656,0.74,t17_f5_c3,0.99938023,18.9627,0.4866,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60707.56223380007,2953562230715015018,2,2953562230715,19.111536,1,2953,0.37372082,18.55031,17.061985,18.7867,0.1156606,0.024837838,0.029366728,0.2408,288.2364951,4.6631332,0.8957143,t17_f5_c3,0.9999999,18.8144,0.3159,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60707.56223380007,2953562230715025018,2,2953562230715,19.1115,1,2953,0.373721,18.5503,17.061983,18.7867,0.115661,0.02483821,0.029367022,0.2408,288.2364951,4.6631332,0.895714,t17_f5_c3,,18.8144,0.3159,,False,True,False,26.0.1,0.0,2.970548485715015e+18,ZTF20abjsvxl
ztf,60708.557963000145,2954557960715015034,2,2954557960715,19.687103,1,2954,0.65919936,18.588806,17.07163,18.619,0.12604806,0.026858252,0.031164933,0.148,288.2365463,4.6630711,0.92285717,t17_f5_c3,0.9999957,18.5537,0.1777,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60708.56189810019,2954561890715015032,2,2954561890715,19.687462,1,2954,0.32910296,18.698355,17.097706,18.8586,0.10944271,0.019122379,0.025056895,0.1913,288.2365043,4.6631618,0.9185714,t17_f5_c3,1.0,18.796,0.2305,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60708.56583329989,2954565830715015021,2,2954565830715,19.269302,1,2954,0.53144187,18.565924,17.06593,18.4895,0.09832967,0.019046906,0.024699409,0.167,288.2365439,4.6631195,0.9242857,t17_f5_c3,0.9999998,18.4057,0.1978,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60710.55828699982,2956558280715015018,2,2956558280715,19.38054,1,2956,0.5006835,18.516972,17.053423,18.7926,0.08480352,0.015608693,0.022028986,0.1747,288.2365614,4.6631685,0.8757143,t17_f5_c3,1.0,18.8985,0.2458,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60710.56123840017,2956561230715015030,2,2956561230715,19.386002,1,2956,0.55802715,18.422245,17.028011,18.4107,0.114606686,0.027864195,0.03173338,0.1246,288.2365595,4.6631282,0.88285714,t17_f5_c3,0.9999999,18.4954,0.1717,1534120207.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60710.57003469998,2956570035715015002,2,2956570035715,19.020937,1,2956,0.35039636,18.384674,17.105507,18.8009,0.1486118,0.040405724,0.045749493,0.2799,288.2365132,4.6631687,0.7114286,t17_f5_c3,0.99999636,18.8732,0.3833,1482120257.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60710.57049770001,2956570495715015003,2,2956570495715,18.94392,1,2956,0.38699052,18.377977,17.103441,18.4813,0.13184693,0.034682773,0.040761985,0.2156,288.2365036,4.6631402,0.7771429,t17_f5_c3,0.99999654,18.385,0.2529,1482120257.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,60724.54848380014,2970548485715015005,2,2970548485715,19.13364,1,2970,0.16484907,18.980606,17.25675,19.5479,0.17636427,0.026288265,0.03604695,0.5354,288.23647,4.6632397,0.64857143,t17_f5_c3,0.9999907,19.3605,0.5774,1482120257.0,True,True,False,26.0.1,0.0,,ZTF20abjsvxl
ztf,61099.547824100126,3345547825715015004,2,3345547825715,20.054504,1,3345,0.22150521,19.468393,17.340187,19.5862,0.13926412,100.0,0.019613585,0.2775,288.2364896,4.6631987,0.79571426,t17_f5_c3,0.99996865,19.2538,0.2605,1482120257.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF20abjsvxl
ztf,61100.52864579996,3346528643815015139,3,3346528643815,18.960367,1,3346,0.28675017,16.642206,14.199992,16.7379,0.09193116,100.0,0.00969565,0.052,288.2364909,4.6631808,0.5485714,t17_f5_c3,0.8875559,16.75,0.0653,488120338.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF20abjsvxl
