tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59048.424918999895,1294424912415015000,2,1294424912415,20.300156,1,1294,3.7047207,18.484648,18.4254,0.054503642,0.0793,29.6540498,-2.7828723,0.95285714,t17_f5_c3,1.0,18.4025,0.097,400120224.0,False,False,False,bulk_1.0.0,0.0,1303419582415015001,,,,ZTF20abmtaya
ztf,59050.41908559995,1296419082415015000,1,1296419082415,20.198889,1,1296,1.4369422,19.33212,19.1961,0.115000136,0.1432,29.6540212,-2.7828739,0.95,t17_f5_c3,0.9998055,19.2844,0.1955,400120124.0,False,False,False,bulk_1.0.0,0.0,1298437652415015000,,,,ZTF20abmtaya
ztf,59050.4596644002,1296459662415015000,2,1296459662415,20.424152,1,1296,3.7862399,18.499651,18.5282,0.058750987,0.079,29.6540231,-2.7828708,0.95714283,t17_f5_c3,0.9999999,18.5392,0.0994,400120224.0,False,False,False,bulk_1.0.0,0.0,1298437652415015000,,,,ZTF20abmtaya
ztf,59051.423750000075,1297423752415015000,2,1297423752415,20.250263,1,1297,3.6831877,18.459461,18.5097,0.0577287,0.0827,29.6540804,-2.7828956,0.9514286,t17_f5_c3,1.0,18.6379,0.1161,400120224.0,False,False,False,bulk_1.0.0,0.0,1298437652415015000,,,,ZTF20abmtaya
ztf,59051.49159719981,1297491592415015000,1,1297491592415,19.470352,1,1297,1.5514098,19.366066,19.7469,0.1858172,0.3724,29.6539756,-2.782926,0.87,t17_f5_c3,0.9999868,19.88,0.538,400120124.0,False,False,False,bulk_1.0.0,0.0,1298437652415015000,,,,ZTF20abmtaya
ztf,59052.437650499865,1298437652415015000,2,1298437652415,20.609493,1,1298,3.7047806,18.506002,18.407,0.05667454,0.0658,29.6540607,-2.7828823,0.9557143,t17_f5_c3,0.9999999,18.4932,0.088,400120224.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59052.464560199995,1298464562415015001,1,1298464562415,20.70796,1,1298,1.5770875,19.466866,19.7963,0.12569049,0.1894,29.6540437,-2.7829071,0.94285715,t17_f5_c3,0.9999382,19.7306,0.2232,400120124.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59053.419409700204,1299419402415015000,1,1299419402415,20.413792,1,1299,1.5520519,19.354887,19.4341,0.11982811,0.1516,29.6540518,-2.7828954,0.94142854,t17_f5_c3,0.999999,19.5244,0.2062,400120124.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59054.41952549992,1300419522415015001,2,1300419522415,20.417809,1,1300,3.6228075,18.60994,18.7225,0.07357761,0.0927,29.6540794,-2.7828699,0.9557143,t17_f5_c3,0.9999994,18.7044,0.1136,400120224.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59054.48063659994,1300480632415015000,1,1300480632415,20.534666,1,1300,1.6642255,19.511595,19.3853,0.11482969,0.1376,29.6541035,-2.7829013,0.95285714,t17_f5_c3,0.999967,19.5656,0.2032,400120124.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59055.42449070001,1301424492415015000,1,1301424492415,20.508022,1,1301,1.3366997,19.556856,19.9146,0.15007325,0.247,29.6540399,-2.7828323,0.93714285,t17_f5_c3,1.0,20.0439,0.3497,400120124.0,False,True,True,bulk_1.0.0,0.0,1321455862415015000,18.536839,100.0,0.058653824,ZTF20abmtaya
ztf,59056.442025499884,1302442022415015000,1,1302442022415,20.583908,1,1302,1.6732806,19.540535,19.4943,0.11544442,0.1649,29.6540755,-2.782921,0.95857143,t17_f5_c3,0.9999999,19.4936,0.2071,400120124.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59057.41958330013,1303419582415015001,1,1303419582415,20.3296,1,1303,1.5111523,19.69388,19.8275,0.12145826,0.2306,29.6540586,-2.7828783,0.94285715,t17_f5_c3,0.99997973,19.8055,0.2845,400120124.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59057.46241899999,1303462412415015001,2,1303462412415,20.398455,1,1303,3.6913712,18.58939,18.5945,0.06553309,0.0819,29.654063,-2.7828807,0.9557143,t17_f5_c3,0.9999891,18.6561,0.1079,400120224.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59061.43194440007,1307431942415015000,2,1307431942415,20.488396,1,1307,3.7442813,18.656109,18.7007,0.07145347,0.0928,29.654046,-2.7828841,0.95285714,t17_f5_c3,1.0,18.8518,0.1327,400120224.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
ztf,59062.39836810017,1308398362415015000,1,1308398362415,19.222984,1,1308,2.0963433,19.515251,19.7404,0.21372695,0.5226,29.6540398,-2.7830665,0.85,t17_f5_c3,0.99990773,19.7085,0.65,400120124.0,False,False,False,bulk_1.0.0,0.0,1321455862415015000,,,,ZTF20abmtaya
