tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59051.430786999874,1297430783915015010,2,1297430783915,20.0096,1,1297,0.4553,20.2326,19.599348,20.0733,0.231983,0.11790771,0.12946607,0.3599,56.8197675,40.8632555,0.46,t17_f5_c3,20.2171,0.527,False,True,False,bulk_1.0.0,0.0,1308494693915015021,,,ZTF20abokitd
ztf,59054.42608800018,1300426083915015003,2,1300426083915,20.1147,1,1300,0.46860492,19.749296,19.303751,19.7101,0.1751249,0.10880717,0.116179675,0.24,56.8197627,40.8632572,0.8257143,t17_f5_c3,19.4599,0.2446,False,True,False,bulk_1.0.0,0.0,1328501343915015013,0.9999176,700120239.0,ZTF20abokitd
ztf,59057.42476850003,1303424763915015007,1,1303424763915,20.1853,1,1303,3.18953,20.4539,,20.582,0.35589,,,0.4961,56.8195195,40.8632129,0.395714,t17_f5_c3,20.4382,0.558,False,False,False,bulk_1.0.0,0.0,1328501343915015013,,,ZTF20abokitd
ztf,59057.4661921002,1303466193915015021,2,1303466193915,20.231121,1,1303,0.34517932,19.750778,19.304735,20.0334,0.14550364,0.08744994,0.096484266,0.3041,56.8198041,40.8632697,0.8314286,t17_f5_c3,20.1957,0.4525,False,True,False,bulk_1.0.0,0.0,1326487953915015012,0.99997485,700120239.0,ZTF20abokitd
ztf,59061.43783560023,1307437833915015023,2,1307437833915,20.244661,1,1307,0.4908561,19.54709,19.165491,20.1395,0.17198713,0.11558549,0.12101974,0.3496,56.8197448,40.8633364,0.8314286,t17_f5_c3,20.0058,0.3967,False,True,False,bulk_1.0.0,0.0,1326487953915015012,0.9999994,700120239.0,ZTF20abokitd
ztf,59062.49469910003,1308494693915015021,2,1308494693915,20.169476,1,1308,0.39796066,19.712233,19.279022,20.13,0.14466111,0.08852676,0.097066164,0.3983,56.819774,40.863288,0.7542857,t17_f5_c3,19.9285,0.4247,False,True,False,bulk_1.0.0,0.0,1337478343915015025,0.996644,700120239.0,ZTF20abokitd
ztf,59080.487951400224,1326487953915015012,2,1326487953915,20.500956,1,1326,0.52418643,20.087624,19.516068,20.3125,0.15589266,0.077637695,0.09208799,0.3725,56.8197319,40.8632762,0.6785714,t17_f5_c3,20.1948,0.4287,False,True,False,bulk_1.0.0,0.0,1337478343915015025,0.99906284,700120239.0,ZTF20abokitd
ztf,59080.50630789995,1326506303915015015,2,1326506303915,20.386,1,1326,0.670265,20.3217,19.64817,20.0114,0.225611,0.10766312,0.121324494,0.3215,56.819679,40.8632603,0.435714,t17_f5_c3,20.3379,0.5562,False,True,False,bulk_1.0.0,0.0,1337478343915015025,,,ZTF20abokitd
ztf,59081.451527799945,1327451523915015014,2,1327451523915,20.5517,1,1327,0.7061,20.4442,19.712324,20.3411,0.238592,0.10613166,0.12159209,0.3681,56.8196777,40.8632386,0.511429,t17_f5_c3,20.0025,0.346,False,True,False,bulk_1.0.0,0.0,1337478343915015025,,,ZTF20abokitd
ztf,59082.49322920013,1328493223915015017,2,1328493223915,20.4939,1,1328,0.432497,20.6089,19.793137,21.0503,0.290217,0.12106612,0.13690448,0.6978,56.8197626,40.8633005,0.605714,t17_f5_c3,20.7206,0.661,False,True,False,bulk_1.0.0,0.0,1337478343915015025,,,ZTF20abokitd
ztf,59082.50134260021,1328501343915015013,2,1328501343915,20.353569,1,1328,0.29571933,20.339188,19.65754,20.647,0.2050589,0.09379099,0.109450884,0.5151,56.819834,40.8632517,0.77428573,t17_f5_c3,20.6304,0.6514,False,True,False,bulk_1.0.0,0.0,1337478343915015025,0.9996891,700120239.0,ZTF20abokitd
ztf,59083.468634299934,1329468633915015010,2,1329468633915,20.2291,1,1329,0.712159,20.3347,19.655142,19.9937,0.256494,0.12508571,0.13716835,0.3393,56.8196596,40.8632809,0.494286,t17_f5_c3,19.8013,0.3644,False,True,False,bulk_1.0.0,0.0,1337478343915015025,,,ZTF20abokitd
ztf,59084.49684030004,1330496843915015026,2,1330496843915,20.6179,1,1330,0.530164,20.584,19.781319,20.7021,0.226971,0.088009246,0.108367324,0.4568,56.8197295,40.8632734,0.552857,t17_f5_c3,20.9297,0.7224,False,True,False,bulk_1.0.0,0.0,1337478343915015025,,,ZTF20abokitd
ztf,59084.50180559978,1330501803915015015,2,1330501803915,20.688377,1,1330,0.7966019,20.543394,19.761744,20.3189,0.19634548,0.072656795,0.095578544,0.3138,56.8196242,40.8633175,0.5,t17_f5_c3,20.1608,0.3478,False,True,False,bulk_1.0.0,0.0,1337478343915015025,0.99992204,700120239.0,ZTF20abokitd
ztf,59085.47490740009,1331474903915015019,2,1331474903915,20.7034,1,1331,0.739998,20.5998,19.788836,20.3473,0.229057,0.08789538,0.10853191,0.321,56.81965,40.8632741,0.435714,t17_f5_c3,20.1164,0.3328,False,True,False,bulk_1.0.0,0.0,1337478343915015025,,,ZTF20abokitd
ztf,59086.43207179988,1332432073915015022,2,1332432073915,20.707,1,1332,0.577994,20.5836,19.781128,20.6583,0.220185,0.0840213,0.10514761,0.4348,56.8197076,40.8633347,0.464286,t17_f5_c3,20.7953,0.6323,False,True,False,bulk_1.0.0,0.0,1337478343915015025,,,ZTF20abokitd
ztf,59090.47640050016,1336476403915015025,2,1336476403915,20.8356,1,1336,0.653469,20.7481,19.856585,20.5697,0.298127,0.11229458,0.13115816,0.3414,56.8196817,40.8633267,0.435714,t17_f5_c3,20.8153,0.5477,False,True,False,bulk_1.0.0,0.0,1337478343915015025,,,ZTF20abokitd
ztf,59091.47834490007,1337478343915015025,2,1337478343915,20.852533,1,1337,0.371712,20.730204,19.848675,20.6926,0.19898763,0.057271775,0.08835168,0.3665,56.8197919,40.8633367,0.49571428,t17_f5_c3,20.5777,0.4228,True,True,False,bulk_1.0.0,0.0,0,0.9997088,700120239.0,ZTF20abokitd
