tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59057.3483564998,1303348355015015004,2,1303348355015,20.3742,1,1303,5.90837,20.4266,20.3968,0.236412,0.4122,311.2118098,-7.082683,0.545714,t17_f5_c3,20.5739,0.6273,False,False,False,bulk_1.0.0,0.0,1313312625015015001,,,ZTF20abpuijn
ztf,59057.37738429988,1303377385015015005,1,1303377385015,20.5324,1,1303,2.90003,20.1385,19.7118,0.184293,0.1867,311.2118347,-7.0827035,0.372857,t17_f5_c3,19.4851,0.1951,False,False,False,bulk_1.0.0,0.0,1327355995015015001,,,ZTF20abpuijn
ztf,59061.40619210014,1307406195015015000,2,1307406195015,19.832092,1,1307,6.05449,19.403334,19.6223,0.16042301,0.3339,311.2117894,-7.0826482,0.7814286,t17_f5_c3,19.3263,0.3279,False,False,False,bulk_1.0.0,0.0,1327355995015015001,0.9721426,388120250.0,ZTF20abpuijn
ztf,59067.312627300154,1313312625015015001,2,1313312625015,19.56636,1,1313,5.9950047,18.698832,18.7716,0.087501355,0.1799,311.2117602,-7.0826742,0.87857145,t17_f5_c3,18.7455,0.2257,False,False,False,bulk_1.0.0,0.0,1327355995015015001,0.9999999,388120250.0,ZTF20abpuijn
ztf,59067.328599500004,1313328595015015000,1,1313328595015,19.498102,1,1313,2.6473246,18.49632,18.4501,0.09919249,0.1482,311.2117636,-7.0826781,0.9014286,t17_f5_c3,18.6155,0.2213,False,False,False,bulk_1.0.0,0.0,1327355995015015001,0.9999937,388120150.0,ZTF20abpuijn
ztf,59070.314294000156,1316314295015015002,1,1316314295015,20.0005,1,1316,2.74458,18.3954,18.425,0.066815,0.0928,311.211786,-7.082664,0.938571,t17_f5_c3,18.4216,0.1184,False,False,False,bulk_1.0.0,0.0,1327355995015015001,,,ZTF20abpuijn
ztf,59073.29483800009,1319294835015015003,2,1319294835015,20.454777,1,1319,5.9784203,18.376598,18.279,0.061735913,0.0594,311.2117837,-7.0826707,0.91,t17_f5_c3,18.2558,0.0744,False,False,False,bulk_1.0.0,0.0,1327355995015015001,1.0,388120250.0,ZTF20abpuijn
ztf,59076.2959838002,1322295985015015001,1,1322295985015,20.435713,1,1322,2.84307,18.215767,18.1293,0.0787523,0.0515,311.2118179,-7.08267,0.94,t17_f5_c3,18.0785,0.0624,False,False,False,bulk_1.0.0,0.0,1327355995015015001,0.99999976,388120150.0,ZTF20abpuijn
ztf,59076.33218749985,1322332185015015001,2,1322332185015,17.634,1,1322,5.56482,18.173,17.9488,0.272856,0.349,311.21155,-7.0828928,0.378571,t17_f5_c3,18.0144,0.4767,False,False,False,bulk_1.0.0,0.0,1327355995015015001,,,ZTF20abpuijn
ztf,59081.23028940009,1327230285015015004,1,1327230285015,20.145979,1,1327,2.8459723,18.287498,18.1388,0.09588289,0.0646,311.2118158,-7.0826792,0.89428574,t17_f5_c3,18.0469,0.0756,False,False,False,bulk_1.0.0,0.0,1327355995015015001,1.0,388120150.0,ZTF20abpuijn
ztf,59081.35599539988,1327355995015015001,2,1327355995015,19.695517,1,1327,5.942203,18.337118,18.19,0.09995376,0.0847,311.2117601,-7.0826889,0.80142856,t17_f5_c3,18.1054,0.1006,False,False,False,bulk_1.0.0,0.0,1357231945015015000,0.99999845,388120250.0,ZTF20abpuijn
ztf,59095.35973379994,1341359735015015000,2,1341359735015,18.842754,1,1341,6.0627947,18.400206,18.4067,0.17043711,0.2435,311.211798,-7.0826421,0.7714286,t17_f5_c3,18.1163,0.2396,False,False,False,bulk_1.0.0,0.0,1371269715015015001,0.996528,388120250.0,ZTF20abpuijn
ztf,59099.21115740016,1345211155015015003,2,1345211155015,20.187859,1,1345,6.0183663,18.526245,18.3723,0.07400639,0.081,311.2117811,-7.0826614,0.92,t17_f5_c3,18.3236,0.0993,False,False,False,bulk_1.0.0,0.0,1371269715015015001,0.99999887,388120250.0,ZTF20abpuijn
ztf,59099.359375,1345359375015015001,1,1345359375015,19.200901,1,1345,2.8401115,19.105198,19.2781,0.19614008,0.3591,311.2118177,-7.0826901,0.81714284,t17_f5_c3,18.9395,0.3379,False,False,False,bulk_1.0.0,0.0,1371269715015015001,0.9980416,388120150.0,ZTF20abpuijn
ztf,59111.1473842999,1357147385015015003,1,1357147385015,20.347832,1,1357,2.7172267,19.59266,19.3852,0.123234816,0.1702,311.2117804,-7.0826679,0.8042857,t17_f5_c3,19.0736,0.1645,False,False,False,bulk_1.0.0,0.0,1383170795015015001,0.99989235,388120150.0,ZTF20abpuijn
ztf,59111.231944399886,1357231945015015000,2,1357231945015,20.198027,1,1357,5.952508,18.863668,18.7754,0.102812216,0.1133,311.2117955,-7.0826783,0.9114286,t17_f5_c3,18.7127,0.1376,False,False,False,bulk_1.0.0,0.0,1383170795015015001,0.99997115,388120250.0,ZTF20abpuijn
ztf,59123.25208330015,1369252085015015000,2,1369252085015,19.022339,1,1369,5.6258025,19.011297,19.0704,0.19109349,0.4031,311.2117936,-7.0827733,0.7285714,t17_f5_c3,19.317,0.65,False,False,False,bulk_1.0.0,0.0,1383170795015015001,0.9999355,388120250.0,ZTF20abpuijn
ztf,59125.26971059991,1371269715015015001,2,1371269715015,19.546465,1,1371,6.0237193,19.179688,19.2027,0.13792042,0.3143,311.2117306,-7.0826759,0.8257143,t17_f5_c3,19.5447,0.5536,False,False,False,bulk_1.0.0,0.0,1383170795015015001,0.99998426,388120250.0,ZTF20abpuijn
ztf,59129.19726849999,1375197265015015003,2,1375197265015,19.99394,1,1375,6.0210557,19.183907,18.9083,0.12874919,0.1578,311.2117783,-7.0826625,0.7842857,t17_f5_c3,19.0432,0.2297,False,False,False,bulk_1.0.0,0.0,1383170795015015001,0.9989239,388120250.0,ZTF20abpuijn
ztf,59131.1714931,1377171495015015004,1,1377171495015,20.0338,1,1377,3.14229,20.1435,19.9709,0.234382,0.3543,311.2119001,-7.0827617,0.36,t17_f5_c3,19.8612,0.4123,False,False,False,bulk_1.0.0,0.0,1383170795015015001,,,ZTF20abpuijn
ztf,59135.21233800007,1381212335015015001,1,1381212335015,20.3064,1,1381,2.74178,20.1193,19.9827,0.241149,0.2878,311.2117869,-7.082646,0.688571,t17_f5_c3,20.0898,0.409,False,False,False,bulk_1.0.0,0.0,1383170795015015001,,,ZTF20abpuijn
ztf,59137.170798600186,1383170795015015001,2,1383170795015,20.214691,1,1383,6.0364647,19.381536,19.3947,0.14334863,0.1917,311.2117687,-7.0826601,0.82285714,t17_f5_c3,19.4148,0.252,False,False,False,bulk_1.0.0,0.0,1410106075015015000,0.99997914,388120250.0,ZTF20abpuijn
ztf,59137.22740740003,1383227405015015000,1,1383227405015,19.9722,1,1383,2.76178,20.0465,20.3135,0.230768,0.5501,311.2117945,-7.0826642,0.687143,t17_f5_c3,20.0781,0.5699,False,False,False,bulk_1.0.0,0.0,1410106075015015000,,,ZTF20abpuijn
ztf,59139.17015049979,1385170155015015002,1,1385170155015,20.3956,1,1385,2.98396,20.2198,19.7364,0.226864,0.2167,311.2118577,-7.0826708,0.357143,t17_f5_c3,19.9991,0.3548,False,False,False,bulk_1.0.0,0.0,1410106075015015000,,,ZTF20abpuijn
ztf,59139.249328699894,1385249325015015001,2,1385249325015,19.930332,1,1385,5.9231176,19.570688,19.4216,0.1623263,0.2774,311.2117538,-7.0826964,0.69857144,t17_f5_c3,19.6863,0.4558,False,False,False,bulk_1.0.0,0.0,1410106075015015000,0.999948,388120250.0,ZTF20abpuijn
ztf,59141.143472199794,1387143475015015002,2,1387143475015,20.24769,1,1387,6.10479,19.534828,19.3195,0.14776091,0.1799,311.2117528,-7.0826415,0.75,t17_f5_c3,19.5917,0.2976,False,False,False,bulk_1.0.0,0.0,1410106075015015000,0.99999416,388120250.0,ZTF20abpuijn
ztf,59143.148958299775,1389148955015015002,1,1389148955015,20.4692,1,1389,3.07093,20.4442,20.2096,0.227688,0.3186,311.211882,-7.0826592,0.577143,t17_f5_c3,20.0526,0.3551,False,False,False,bulk_1.0.0,0.0,1410106075015015000,,,ZTF20abpuijn
ztf,59152.17004630016,1398170045015015001,2,1398170045015,19.4995,1,1398,6.08743,19.874,19.3264,0.272128,0.3343,311.2117495,-7.0826497,0.187143,t17_f5_c3,19.3126,0.425,False,False,False,bulk_1.0.0,0.0,1410106075015015000,,,ZTF20abpuijn
ztf,59154.1666898001,1400166685015015000,2,1400166685015,19.4084,1,1400,6.02879,19.7326,20.018,0.223904,0.6383,311.2117041,-7.0826831,0.421429,t17_f5_c3,19.8125,0.6799,False,False,False,bulk_1.0.0,0.0,1410106075015015000,,,ZTF20abpuijn
ztf,59158.10795139987,1404107955015015001,2,1404107955015,19.9171,1,1404,6.14023,20.0534,19.9885,0.226045,0.3771,311.2116909,-7.0826545,0.66,t17_f5_c3,20.058,0.5191,False,False,False,bulk_1.0.0,0.0,1410106075015015000,,,ZTF20abpuijn
ztf,59164.106076399796,1410106075015015000,2,1410106075015,19.648426,1,1410,5.7589273,19.753752,19.8499,0.19004518,0.3541,311.2118287,-7.0827227,0.4557143,t17_f5_c3,20.3809,0.7436,False,False,False,bulk_1.0.0,0.0,1411103625015015001,0.98601526,388120250.0,ZTF20abpuijn
ztf,59165.10362270009,1411103625015015001,2,1411103625015,20.075754,1,1411,5.92465,20.091328,20.0034,0.21116658,0.385,311.2117797,-7.0826878,0.6042857,t17_f5_c3,20.1734,0.5806,True,False,False,bulk_1.0.0,0.0,0,0.9994973,388120250.0,ZTF20abpuijn
