tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60351.56326390011,2597563261115010062,2,2597563261115,19.0822,-1,2597,1.13117,16.4864,14.305716,17.4422,0.181314,100.0,0.024330862,0.0808,296.9801999,11.8769343,0.364286,t17_f5_c3,17.4084,0.0969,False,True,False,23.12.x,0.0,2.59956271111501e+18,,,ZTF20abqatbt
ztf,60353.56271990016,2599562711115010056,2,2599562711115,19.282152,-1,2599,0.48802394,16.699203,14.280088,17.0872,0.15271506,100.0,0.016452653,0.0589,296.9803259,11.8767997,0.46285716,t17_f5_c3,17.1254,0.0755,True,True,False,23.12.x,0.0,,0.04049939,1587120211.0,ZTF20abqatbt
ztf,60708.57199069997,2954571991115015011,2,2954571991115,18.633112,1,2954,0.52239114,15.630306,13.917813,15.8001,0.07708487,100.0,0.015921058,0.0285,296.9805481,11.8766171,0.72,t17_f5_c3,15.8132,0.0363,True,True,False,26.0.1,0.0,,0.96396875,1587120211.0,ZTF20abqatbt
ztf,60708.572465300094,2954572461115015011,2,2954572461115,18.420029,1,2954,0.6626073,15.877028,13.96438,15.8156,0.044037666,100.0,0.0075642364,0.0298,296.9805914,11.8766053,0.7385714,t17_f5_c3,15.8006,0.0371,True,True,False,26.0.1,0.0,,0.9995184,1587120211.0,ZTF20abqatbt
ztf,60709.568738400005,2955568731115015204,2,2955568731115,18.42149,1,2955,0.53175217,15.469536,13.882601,15.5344,0.05171594,100.0,0.01199086,0.0265,296.9805796,11.8766518,0.58,t17_f5_c3,15.5164,0.0327,True,True,False,26.0.1,0.0,,0.79958546,1587120211.0,ZTF20abqatbt
ztf,60709.569213000126,2955569211115015024,2,2955569211115,18.55861,1,2955,0.69871074,15.52737,13.895739,15.5968,0.0778916,100.0,0.017331567,0.0257,296.9806267,11.8766441,0.7271429,t17_f5_c3,15.6062,0.0325,True,True,False,26.0.1,0.0,,0.9838321,1587120211.0,ZTF20abqatbt
ztf,60710.5676851999,2956567681115015032,2,2956567681115,19.031693,1,2956,0.31073168,15.609145,13.913408,15.7905,0.07783933,100.0,0.016326929,0.0184,296.9805268,11.8767361,0.6457143,t17_f5_c3,15.7778,0.0222,True,True,False,26.0.1,0.0,,0.9999975,1587120211.0,ZTF20abqatbt
ztf,60724.546076400205,2970546071115010089,2,2970546071115,19.021015,-1,2970,0.66644984,16.856657,14.264412,17.0803,0.14735481,100.0,0.01353525,0.0631,296.9802914,11.8768399,0.5742857,t17_f5_c3,17.1194,0.0806,True,True,False,26.0.1,0.0,,0.8486727,1587120211.0,ZTF20abqatbt
ztf,60725.546076400205,2971546071115010058,2,2971546071115,19.323832,-1,2971,0.4078139,16.274202,14.337628,16.8215,0.08417899,100.0,0.014144068,0.043,296.9803449,11.8767868,0.4857143,t17_f5_c3,16.7659,0.05,True,True,False,26.0.1,0.0,,0.03749555,1587120211.0,ZTF20abqatbt
ztf,60727.54494210007,2973544941115010074,2,2973544941115,19.2963,-1,2973,1.23643,16.7118,14.27874,17.6123,0.097176,100.0,0.010335591,0.0729,296.980108,11.8768479,0.415714,t17_f5_c3,17.555,0.0834,False,True,False,26.0.1,0.0,2.97355291111501e+18,,,ZTF20abqatbt
ztf,60727.55291670002,2973552911115010058,2,2973552911115,19.424606,-1,2973,0.9817052,16.861113,14.264004,17.1301,0.105326116,100.0,0.009631467,0.05,296.9802264,11.8769001,0.5342857,t17_f5_c3,17.1126,0.0597,True,True,False,26.0.1,0.0,,0.36899728,1587120211.0,ZTF20abqatbt
ztf,61073.5713657001,3319571361115010120,2,3319571361115,17.926523,-1,3319,0.65617275,16.171095,14.355956,16.8825,0.07514288,100.0,0.014119928,0.1296,296.9802682,11.8767971,0.41428572,t17_f5_c3,16.7601,0.1477,True,True,False,27.5.7a32.dev1,0.0,,6.703e-05,1587120211.0,ZTF20abqatbt
