tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.56280090008,2597562803715010000,2,2597562803715,19.14298,-1,2597,0.23047425,17.261757,14.8653145,17.2958,0.07446863,100.0,0.008192125,0.0612,298.0564032,17.1442508,0.5914286,t17_f5_c3,0.99999917,17.3125,0.0779,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60351.56326390011,2597563263715010000,2,2597563263715,19.101807,-1,2597,0.24216226,16.895012,14.914403,17.1505,0.07018878,100.0,0.011324638,0.0559,298.0563169,17.144271,0.66571426,t17_f5_c3,0.9999469,17.1306,0.0688,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60351.56373840012,2597563733715010000,2,2597563733715,19.145464,-1,2597,0.57802665,16.890385,14.915152,17.1937,0.08138198,100.0,0.01319578,0.0586,298.0565271,17.1442361,0.63,t17_f5_c3,0.99825686,17.1638,0.0716,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60352.56105320016,2598561053715010000,2,2598561053715,18.638016,-1,2598,0.5073967,17.199121,14.872431,17.6204,0.11595657,100.0,0.013602515,0.0863,298.0562331,17.1442663,0.40857142,t17_f5_c3,0.99908614,17.5353,0.1003,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60352.561527799815,2598561523715010000,2,2598561523715,18.678514,-1,2598,0.5740136,17.233868,14.868427,17.4231,0.17141598,100.0,0.019403277,0.072,298.0563048,17.1441633,0.4342857,t17_f5_c3,0.9979555,17.3616,0.0854,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60352.56200229982,2598562003715010000,2,2598562003715,18.5306,-1,2598,1.40001,17.3221,,17.3873,0.119966,,,0.0721,298.055996,17.1441558,0.398571,t17_f5_c3,,17.298,0.0837,,False,False,True,23.12.x,0.0,2.59956225371501e+18,ZTF20abtnsjz
ztf,60353.56225690013,2599562253715010000,2,2599562253715,19.386429,-1,2599,0.18174776,16.74098,14.941439,16.801,0.060672883,100.0,0.011565864,0.0388,298.0563828,17.1442586,0.8057143,t17_f5_c3,0.9993988,16.8088,0.0489,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60353.56271990016,2599562713715010000,2,2599562713715,19.43905,-1,2599,0.12603636,16.71213,14.947026,16.7825,0.03518024,100.0,0.0069224145,0.0376,298.0563758,17.1442748,0.74714285,t17_f5_c3,0.9932674,16.7349,0.045,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60353.563194400165,2599563193715010000,2,2599563193715,19.358047,-1,2599,0.2280226,16.707922,14.947856,16.8683,0.08705159,100.0,0.017208796,0.0429,298.0564147,17.144258,0.6628571,t17_f5_c3,0.9949962,16.8856,0.0547,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60368.537986100186,2614537983715015000,2,2614537983715,19.561,1,2614,0.3446766,16.94714,14.616983,17.1031,0.122006394,100.0,0.0142665915,0.0457,298.0563876,17.1442142,0.54714286,t17_f5_c3,0.61951345,17.1146,0.0569,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,60368.53846060019,2614538463715015000,2,2614538463715,19.592133,1,2614,0.24718823,16.94735,14.617008,17.0731,0.14198348,100.0,0.016599743,0.0438,298.0563211,17.1443556,0.5985714,t17_f5_c3,0.24709988,17.1129,0.0558,1587120237.0,True,True,False,23.12.x,0.0,,ZTF20abtnsjz
ztf,61072.577372699976,3318577373715010004,2,3318577373715,17.732082,-1,3318,0.16924928,17.012215,14.896625,17.3607,0.10426806,100.0,0.014856456,0.226,298.0564198,17.1442914,0.5228571,t17_f5_c3,0.9226765,17.2824,0.2696,1587120237.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF20abtnsjz
