tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59114.41127309995,1360411272415015012,2,1360411272415,20.773432,1,1360,0.1891328,18.154922,16.441147,18.2757,0.07741072,0.010643389,0.01596948,0.0488,38.1655672,54.5575988,0.92,t17_f5_c3,1.0,18.2624,0.0579,776120224.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF20acctbsy
ztf,60221.34806710016,2467348062415015007,2,2467348062415,19.835663,1,2467,0.51804924,19.317698,16.599361,19.4827,0.19061436,0.0073019294,0.015589114,0.25,38.1657192,54.5575657,0.63714284,t17_f5_c3,0.99565816,19.4929,0.3195,776120224.0,True,True,False,1.2.1,0.0,,ZTF20acctbsy
ztf,60474.465682900045,2720465682415015008,2,2720465682415,19.50143,1,2720,1.1223282,18.76965,16.54257,19.1158,0.14537667,0.013361997,0.018692309,0.1788,38.1656838,54.5573344,0.55,t17_f5_c3,0.9997417,19.2136,0.2476,776120224.0,True,True,False,24.5.1,0.0,,ZTF20acctbsy
ztf,60474.469155100174,2720469152415015006,2,2720469152415,19.5603,1,2720,0.924796,18.4037,16.48801,19.2454,0.179409,0.028104013,0.030730404,0.2334,38.1658457,54.5574673,0.448571,t17_f5_c3,,19.4779,0.3664,,False,True,False,24.5.1,0.0,2.725468062415015e+18,ZTF20acctbsy
ztf,60474.47312500002,2720473122415015004,2,2720473122415,19.402233,1,2720,1.143462,18.97366,16.566751,19.2417,0.16899887,0.012664525,0.018412834,0.2638,38.166042,54.5575704,0.74714285,t17_f5_c3,0.9905722,19.2008,0.3234,776120224.0,True,True,False,24.5.1,0.0,,ZTF20acctbsy
ztf,60479.468067099806,2725468062415015008,2,2725468062415,19.503256,1,2725,1.1092237,18.948757,16.56401,19.3117,0.19148031,0.016601974,0.021292442,0.2047,38.1659061,54.5574282,0.5214286,t17_f5_c3,0.9998116,19.1753,0.2281,776120224.0,True,True,False,24.5.1,0.0,,ZTF20acctbsy
ztf,60519.38567129988,2765385672415015008,2,2765385672415,20.164257,1,2765,1.3060267,18.823996,16.549408,19.0749,0.1717402,0.01654491,0.021136675,0.1474,38.1660843,54.5574952,0.46285716,t17_f5_c3,0.8939549,18.9942,0.1714,776120224.0,True,True,False,24.5.1,0.0,,ZTF20acctbsy
ztf,60579.46701390017,2825467012415015009,2,2825467012415,20.332863,1,2825,0.57041454,18.861017,16.553896,19.3745,0.1478576,0.01172265,0.017660186,0.1597,38.1657577,54.5575737,0.60714287,t17_f5_c3,0.9998895,19.2588,0.1786,776120224.0,True,True,False,24.5.1,0.0,,ZTF20acctbsy
ztf,60593.39069439983,2839390692415015009,2,2839390692415,20.47573,1,2839,0.75484496,19.02624,16.57236,19.3881,0.14746855,0.0075003556,0.015386754,0.1483,38.1658366,54.5575492,0.5542857,t17_f5_c3,0.8020661,19.3419,0.1758,776120224.0,True,True,False,24.5.1,0.0,,ZTF20acctbsy
ztf,60603.369039400015,2849369032415015005,2,2849369032415,19.892859,1,2849,0.75719744,19.046452,16.57445,19.1695,0.20561203,0.016246397,0.021098316,0.2078,38.1656202,54.5574311,0.4,t17_f5_c3,0.7354511,19.2948,0.2957,776120224.0,True,True,False,24.5.1,0.0,,ZTF20acctbsy
ztf,60649.36880790023,2895368802415015004,2,2895368802415,20.516699,1,2895,0.6344198,19.005634,16.57019,19.2932,0.17899884,0.013456889,0.018996453,0.1411,38.1656185,54.5574684,0.5971429,t17_f5_c3,0.71828735,19.5283,0.2163,776120224.0,True,True,False,25.0.0,0.0,,ZTF20acctbsy
