tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60353.55670139985,2599556706015010008,2,2599556706015,19.98754,-1,2599,0.6921368,17.995022,15.51865,18.2489,0.11247032,100.0,0.01149448,0.0933,284.1091898,11.8021761,0.6785714,t17_f5_c3,0.99979913,18.2174,0.1115,1534120260.0,True,True,False,23.12.x,0.0,,ZTF20acebnte
ztf,60693.57501159981,2939575010615010029,2,2939575010615,18.535332,-1,2939,0.49079564,16.766466,15.6067,16.8466,0.06536219,100.0,0.02246054,0.0674,284.109256,11.8021942,0.70285714,t17_f5_c3,1.0,16.8183,0.0838,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60693.57501159981,2939575010615020029,2,2939575010615,18.5353,-1,2939,0.490796,16.7665,15.606689,16.8466,0.065362,100.0,0.022459546,0.0674,284.109256,11.8021942,0.702857,t17_f5_c3,,16.8183,0.0838,,False,True,False,26.0.1,0.0,2.95656123601501e+18,ZTF20acebnte
ztf,60693.57548609981,2939575480615010022,2,2939575480615,18.336628,-1,2939,0.37715957,16.690472,15.634092,16.8161,0.039415784,100.0,0.014897676,0.0694,284.1092744,11.8021511,0.6571429,t17_f5_c3,0.99999976,16.7962,0.0871,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60693.57596059982,2939575960615010059,2,2939575960615,18.197996,-1,2939,0.40880433,16.694328,15.632638,16.8072,0.060031556,100.0,0.022578945,0.071,284.1092842,11.8021951,0.57,t17_f5_c3,0.9999998,16.932,0.1018,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60694.569629599806,2940569620615010014,2,2940569620615,18.664202,-1,2940,0.5523797,17.039635,15.526728,17.0896,0.079012945,100.0,0.019612605,0.0625,284.1092218,11.8021226,0.43714285,t17_f5_c3,0.999995,17.1138,0.0812,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60694.57009259984,2940570090615010020,2,2940570090615,18.740025,-1,2940,0.6337586,16.699808,15.630585,16.9613,0.060679276,100.0,0.02266475,0.0547,284.1093232,11.8022985,0.5057143,t17_f5_c3,0.99999714,17.0024,0.0721,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60694.57009259984,2940570090615020020,2,2940570090615,18.74,-1,2940,0.633759,16.6998,15.630589,16.9613,0.060679,100.0,0.022664893,0.0547,284.1093232,11.8022985,0.505714,t17_f5_c3,,17.0024,0.0721,,False,True,False,26.0.1,0.0,2.95656123601501e+18,ZTF20acebnte
ztf,60694.571053199936,2940571050615010018,2,2940571050615,18.689737,-1,2940,0.46339914,16.782099,15.601379,17.0313,0.060054295,100.0,0.020242143,0.0617,284.1092473,11.8021343,0.5042857,t17_f5_c3,0.99999416,17.0753,0.0817,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60694.571053199936,2940571050615020018,2,2940571050615,18.6897,-1,2940,0.463399,16.7821,15.60138,17.0313,0.060054,100.0,0.02024202,0.0617,284.1092473,11.8021343,0.504286,t17_f5_c3,,17.0753,0.0817,,False,True,False,26.0.1,0.0,2.95656123601501e+18,ZTF20acebnte
ztf,60706.55687499978,2952556870615010039,2,2952556870615,19.580023,-1,2952,0.14148815,16.712496,15.625883,16.8919,0.055671997,100.0,0.020464059,0.0305,284.1093535,11.8021585,0.76285714,t17_f5_c3,1.0,16.8971,0.0382,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60706.56099539995,2952560990615010045,2,2952560990615,19.764776,-1,2952,0.25079814,16.698212,15.631182,16.8308,0.045105986,100.0,0.01688193,0.0285,284.1093315,11.8021806,0.78571427,t17_f5_c3,1.0,16.8244,0.0353,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60706.56510420004,2952565100615010053,2,2952565100615,19.430319,-1,2952,0.3227004,16.928698,15.556114,16.9995,0.058614656,100.0,0.016556665,0.039,284.1093127,11.8021872,0.6528571,t17_f5_c3,1.0,16.9988,0.049,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60706.56967590004,2952569676015010001,2,2952569676015,18.850822,-1,2952,0.48149407,17.41605,15.599776,17.4681,0.077955365,100.0,0.014633109,0.0934,284.1092475,11.8021673,0.5342857,t17_f5_c3,0.9999838,17.4864,0.1209,1534120260.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60707.55582180014,2953555820615010028,2,2953555820615,19.105919,-1,2953,0.47402197,16.740267,15.615851,17.0034,0.060336553,100.0,0.02141974,0.0395,284.1092497,11.8021653,0.4757143,t17_f5_c3,0.9999975,17.0675,0.0523,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60707.55879630009,2953558796015010002,2,2953558796015,18.94878,-1,2953,0.51147074,17.094496,15.672401,17.2933,0.060500607,100.0,0.016327586,0.0755,284.1092406,11.802183,0.68857145,t17_f5_c3,0.9999862,17.3085,0.0968,1534120260.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60707.55925930012,2953559250615010107,2,2953559250615,19.404768,-1,2953,0.26436207,16.607574,15.66715,16.7022,0.04364247,100.0,0.01835437,0.0324,284.1093122,11.8021641,0.7185714,t17_f5_c3,0.9999625,16.6608,0.0392,1585120206.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60707.56223380007,2953562236015010001,2,2953562236015,18.860958,-1,2953,0.49125573,17.22638,15.639393,17.2895,0.08574347,100.0,0.019879546,0.0883,284.1092511,11.8021494,0.7342857,t17_f5_c3,0.99999946,17.211,0.104,1534120260.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60707.56270830007,2953562700615010137,2,2953562700615,19.2255,-1,2953,0.209878,16.562,15.686905,16.6532,0.048144,100.0,0.02150324,0.0386,284.1093415,11.8021743,0.784286,t17_f5_c3,,16.685,0.0501,,False,True,False,26.0.1,0.0,2.95656123601501e+18,ZTF20acebnte
ztf,60707.56672450015,2953566726015010003,2,2953566726015,18.9069,-1,2953,0.17389019,16.976633,15.706532,17.0926,0.07206428,100.0,0.022370683,0.0712,284.1093366,11.8021644,0.79,t17_f5_c3,0.99999964,17.0681,0.0882,1534120260.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60708.557963000145,2954557966015010003,2,2954557966015,20.078896,-1,2954,0.4000184,17.102425,15.670272,17.2741,0.06352218,100.0,0.016984945,0.0364,284.1092732,11.8021355,0.7814286,t17_f5_c3,0.99998575,17.2751,0.0446,1534120260.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60708.56189810019,2954561896015010002,2,2954561896015,20.033863,-1,2954,0.3884108,16.958067,15.712359,17.061,0.069448985,100.0,0.0220487,0.0308,284.1092785,11.8021763,0.82285714,t17_f5_c3,0.99062514,17.0799,0.0385,1534120260.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
ztf,60708.56583329989,2954565836015010003,2,2954565836015,19.302103,-1,2954,0.12702172,17.020782,15.693183,17.1473,0.0878672,100.0,0.025869444,0.0507,284.1093494,11.8021596,0.7557143,t17_f5_c3,0.9999138,17.1086,0.0617,1534120260.0,True,True,False,26.0.1,0.0,,ZTF20acebnte
