tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59448.19333329983,1694193331315010004,1,1694193331315,19.2867,-1,1694,0.138878,17.0545,15.04666,17.2172,0.065387,100.0,0.0102885775,0.0651,260.016548,-4.9390235,0.811429,t17_f5_c3,17.2487,0.0844,False,True,False,correction_1.0.6,0.0,1.708268171315015e+18,,,ZTF20acnvvur
ztf,59448.21099539986,1694210991315010002,2,1694210991315,19.3523,-1,1694,0.445774,15.2334,13.138187,15.4545,0.173873,0.010613625,0.025243342,0.0155,260.016497,-4.9389335,0.397143,t17_f5_c3,15.4466,0.018,False,True,False,correction_1.0.6,0.0,1.708268171315015e+18,,,ZTF20acnvvur
ztf,59458.189965299796,1704189961315015016,2,1704189961315,20.1447,1,1704,0.323926,15.1869,12.856073,15.376,0.111688,100.0,0.013051958,0.0118,260.0164717,-4.939078,0.474286,t17_f5_c3,15.3648,0.0123,False,True,False,correction_1.0.6,0.0,1.708268171315015e+18,,,ZTF20acnvvur
ztf,59460.21372690005,1706213721315015004,2,1706213721315,20.1092,1,1706,0.706189,14.8487,12.810666,15.4341,0.143662,0.014014408,0.021985099,0.0113,260.0167155,-4.9391685,0.417143,t17_f5_c3,15.4459,0.0124,False,True,False,correction_1.0.6,0.0,1.708268171315015e+18,,,ZTF20acnvvur
ztf,59460.21372690005,1706213721315015005,2,1706213721315,20.1092,1,1706,0.255407,14.9774,12.829399,14.9889,0.012527,100.0,0.0017323949,0.0086,260.0165699,-4.9391165,0.408571,t17_f5_c3,14.9784,0.009,False,True,False,correction_1.0.6,0.0,1.708268171315015e+18,,,ZTF20acnvvur
ztf,59462.26817130018,1708268171315015004,1,1708268171315,19.197046,1,1708,0.8926544,16.390799,14.645254,16.7795,0.10278785,0.014727517,0.020593204,0.0363,260.0167479,-4.9388927,0.54285717,t17_f5_c3,16.7729,0.0438,True,True,False,correction_1.0.6,0.0,,0.8897208,433120113.0,ZTF20acnvvur
ztf,59464.2138772998,1710213871315025007,2,1710213871315,19.9445,1,1710,1.14389,14.593,12.767416,15.0977,0.116751,0.014392846,0.021728363,0.009,260.0167811,-4.9392779,0.35,t17_f5_c3,15.0698,0.0097,False,True,False,correction_1.0.6,0.0,1.714234321315015e+18,,,ZTF20acnvvur
ztf,59464.2138772998,1710213871315025008,2,1710213871315,19.9445,1,1710,0.382082,14.7061,12.787592,14.7082,0.010056,100.0,0.0017179955,0.007,260.0165628,-4.9391523,0.548571,t17_f5_c3,14.702,0.0075,False,True,False,correction_1.0.6,0.0,1.714234321315015e+18,,,ZTF20acnvvur
ztf,59466.14759259997,1712147591315015006,2,1712147591315,20.2933,1,1712,0.682311,14.6262,12.773519,15.1175,0.117617,0.013706171,0.02134999,0.0087,260.0167234,-4.9391375,0.457143,t17_f5_c3,15.1115,0.0092,False,True,False,correction_1.0.6,0.0,1.714234321315015e+18,,,ZTF20acnvvur
ztf,59466.14759259997,1712147591315015007,2,1712147591315,20.2933,1,1712,0.265072,14.7638,12.7972355,14.7455,0.010299,100.0,0.0016833299,0.0069,260.0164826,-4.9390609,0.464286,t17_f5_c3,14.7356,0.0071,False,True,False,correction_1.0.6,0.0,1.714234321315015e+18,,,ZTF20acnvvur
