tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59167.48019680008,1413480191715015010,2,1413480191715,19.884413,1,1413,0.13680294,19.020544,17.415894,18.9417,0.121806175,100.0,0.027784893,0.139,129.2587286,-24.7465737,0.92714286,t17_f5_c3,0.9999976,18.8983,0.1691,262120217.0,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59168.5229282002,1414522921715015014,2,1414522921715,19.949648,1,1414,0.23115751,18.942171,17.39751,19.0178,0.0924593,100.0,0.022288786,0.1588,129.2587511,-24.746558,0.95,t17_f5_c3,0.99999994,19.1465,0.2269,262120217.0,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59169.522743099835,1415522741715015005,2,1415522741715,19.454414,1,1415,0.06934962,18.864014,17.378149,18.6724,0.14523895,0.01839564,0.03696043,0.1274,129.2586647,-24.7465844,0.68,t17_f5_c3,0.9992429,18.5865,0.1498,262120217.0,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59171.48039350007,1417480391715015019,2,1417480391715,20.228619,1,1417,0.18727182,18.995247,17.41007,19.1043,0.106099695,100.0,0.024640154,0.1464,129.2586589,-24.7465384,0.95857143,t17_f5_c3,0.9999938,19.2306,0.2078,262120217.0,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59176.4849537001,1422484951715015027,1,1422484951715,20.28711,1,1422,0.034463007,19.546467,17.974915,19.3907,0.13711305,0.02983233,0.032244682,0.1534,129.2586808,-24.7465762,0.7771429,t17_f5_c3,0.99984705,19.2498,0.1704,262120117.0,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59176.52353010001,1422523531715015011,2,1422523531715,19.848133,1,1422,0.10907358,18.91498,17.390894,19.0747,0.09033076,100.0,0.02219223,0.1696,129.2587201,-24.7465969,0.9014286,t17_f5_c3,0.99999994,19.0173,0.2043,262120217.0,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59177.50569440005,1423505691715015014,1,1423505691715,19.8101,1,1423,0.369384,19.5826,17.983305,19.4843,0.222657,0.04952869,0.051040914,0.2052,129.258635,-24.746477,0.514286,t17_f5_c3,,19.3761,0.2362,,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59179.45931709977,1425459311715015013,1,1425459311715,19.7104,1,1425,0.26109,19.5112,17.966518,19.3828,0.249296,0.058855962,0.060095567,0.1812,129.2587526,-24.7465958,0.462857,t17_f5_c3,,19.4119,0.2366,,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59181.460810199846,1427460811715015006,2,1427460811715,19.33219,1,1427,0.20253591,19.096897,17.432842,18.7333,0.16783212,0.0133087775,0.036245435,0.1733,129.2587071,-24.7465307,0.7457143,t17_f5_c3,0.9960971,18.7133,0.2175,262120217.0,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59185.44149310002,1431441491715015006,1,1431441491715,19.1806,1,1431,0.563717,19.5554,17.977009,19.2821,0.276728,0.06349612,0.06466906,0.3654,129.2588232,-24.7466584,0.722857,t17_f5_c3,,18.8743,0.3221,,False,True,False,bulk_1.0.0,0.0,1.431464521715015e+18,ZTF20acqnher
ztf,59185.46452549985,1431464521715015008,2,1431464521715,19.408928,1,1431,0.089593075,19.03487,17.419144,18.9768,0.14358462,100.0,0.03242033,0.2459,129.258655,-24.7465753,0.93,t17_f5_c3,0.9999989,19.1301,0.362,262120217.0,False,True,False,bulk_1.0.0,0.0,1.439481421715015e+18,ZTF20acqnher
ztf,59193.44734949991,1439447341715015010,1,1439447341715,19.841013,1,1439,0.4969215,19.572906,17.981075,19.3746,0.19375585,0.042995427,0.04472211,0.1959,129.2588253,-24.7466072,0.69,t17_f5_c3,0.999727,19.4577,0.269,262120117.0,False,True,False,bulk_1.0.0,0.0,1.463368361715015e+18,ZTF20acqnher
ztf,59193.48142360011,1439481421715015008,2,1439481421715,19.913446,1,1439,0.48465818,18.900948,17.387428,18.8392,0.106298305,100.0,0.026370531,0.1354,129.2587994,-24.746497,0.95285714,t17_f5_c3,0.99999976,19.035,0.2053,262120217.0,False,True,False,bulk_1.0.0,0.0,1.463368361715015e+18,ZTF20acqnher
ztf,59198.42594909994,1444425941715015007,2,1444425941715,19.7419,1,1444,0.138518,19.1663,17.44746,19.0105,0.168483,0.005405885,0.034595545,0.1501,129.2587267,-24.746573,0.632857,t17_f5_c3,,18.8808,0.1689,,False,True,False,bulk_1.0.0,0.0,1.472416721715015e+18,ZTF20acqnher
ztf,59204.39809030015,1450398091715015007,2,1450398091715,19.9729,1,1450,0.160738,19.1438,17.442802,19.0312,0.1164,100.0,0.024297046,0.1556,129.2586828,-24.7466292,0.925714,t17_f5_c3,,19.0327,0.1974,,False,True,False,bulk_1.0.0,0.0,1.472416721715015e+18,ZTF20acqnher
ztf,59216.37732640002,1462377321715015007,2,1462377321715,19.328362,1,1462,0.12902018,19.356321,17.483858,19.4924,0.21567383,0.015140354,0.03844254,0.4721,129.2586694,-24.7466203,0.9,t17_f5_c3,0.9999947,19.5868,0.6597,262120217.0,False,True,False,bulk_1.0.0,0.0,1.472416721715015e+18,ZTF20acqnher
ztf,59217.36836809991,1463368361715015008,2,1463368361715,19.475399,1,1463,0.70380825,19.394793,17.490616,19.1012,0.1891073,100.0,0.032736912,0.2382,129.2588529,-24.746461,0.8585714,t17_f5_c3,0.9999531,18.9938,0.2758,262120217.0,False,True,False,bulk_1.0.0,0.0,1.476427021715015e+18,ZTF20acqnher
ztf,59218.356307900045,1464356301715015006,1,1464356301715,19.4039,1,1464,0.582677,19.9078,18.049715,20.2176,0.308981,0.05424638,0.0558081,0.6206,129.258654,-24.7464099,0.734286,t17_f5_c3,,19.7852,0.534,,False,True,False,bulk_1.0.0,0.0,1.472416721715015e+18,ZTF20acqnher
ztf,59218.396851900034,1464396851715015010,2,1464396851715,19.509573,1,1464,0.17151825,19.095465,17.432533,19.4415,0.16024415,0.008009035,0.03464253,0.2942,129.2587351,-24.7465667,0.8385714,t17_f5_c3,0.99823004,19.2634,0.3187,262120217.0,False,True,False,bulk_1.0.0,0.0,1.472416721715015e+18,ZTF20acqnher
ztf,59224.356932899915,1470356931715015021,2,1470356931715,19.61379,1,1470,0.25675565,19.387817,17.489405,19.3986,0.21283852,0.010518059,0.037041232,0.2264,129.2587352,-24.746526,0.7785714,t17_f5_c3,0.9999981,19.5321,0.3252,262120217.0,False,True,False,bulk_1.0.0,0.0,1.472416721715015e+18,ZTF20acqnher
ztf,59226.41672449978,1472416721715015016,2,1472416721715,19.605083,1,1472,0.8141401,19.396343,17.490885,19.7816,0.17998229,100.0,0.031120475,0.3306,129.2584607,-24.746688,0.69142854,t17_f5_c3,0.9993897,19.7009,0.3909,262120217.0,False,True,False,bulk_1.0.0,0.0,1.476427021715015e+18,ZTF20acqnher
