tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59153.13288189983,1399132882315015012,1,1399132882315,19.8063,1,1399,0.257669,17.1116,15.995364,17.1596,0.056476,0.011365744,0.020200824,0.0373,294.5862677,24.7171487,0.908571,t17_f5_c3,17.1672,0.0473,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59155.130046300124,1401130042315015012,1,1401130042315,19.9034,1,1401,0.210416,17.2332,16.037312,17.2524,0.064,0.012297719,0.02127279,0.036,294.5862821,24.7171489,0.942857,t17_f5_c3,17.211,0.0434,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59164.12085650023,1410120852315015053,2,1410120852315,19.7928,1,1410,0.457587,15.2563,13.566759,15.3807,0.048935,100.0,0.010322935,0.0088,294.5862563,24.717071,0.738571,t17_f5_c3,15.3724,0.0099,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59167.090208299924,1413090202315015036,2,1413090202315,20.0137,1,1413,0.362088,15.5385,13.62049,15.5536,0.012975,100.0,0.0022177028,0.0096,294.5862987,24.7170826,0.71,t17_f5_c3,15.5489,0.0107,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59167.090208299924,1413090202315015037,2,1413090202315,20.0137,1,1413,0.774232,15.4104,13.597496,16.085,0.065708,100.0,0.012372474,0.0139,294.5862542,24.7169739,0.512857,t17_f5_c3,16.1251,0.0169,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59167.160717600025,1413160712315015007,1,1413160712315,19.6697,1,1413,1.12665,18.0786,16.252527,18.1037,0.09109,100.0,0.016945008,0.0591,294.5860409,24.7170103,0.648571,t17_f5_c3,18.0847,0.0722,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59169.090405100025,1415090402315015019,1,1415090402315,20.2625,1,1415,0.436428,18.2935,16.289417,18.3391,0.109935,100.0,0.0173581,0.0625,294.5862167,24.7171254,0.902857,t17_f5_c3,18.2696,0.0722,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59169.16005790001,1415160052315015057,2,1415160052315,19.572,1,1415,0.588116,15.5416,13.621019,15.6513,0.051823,100.0,0.008836701,0.0117,294.5863015,24.717014,0.624286,t17_f5_c3,15.6466,0.0134,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59171.1385764,1417138572315015015,1,1417138572315,20.4853,1,1417,0.931604,18.685,16.342596,18.8311,0.151274,100.0,0.017490517,0.0964,294.586054,24.7171541,0.722857,t17_f5_c3,18.7158,0.1064,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
ztf,59173.08733800007,1419087332315025020,2,1419087332315,20.5557,1,1419,0.606281,16.1328,13.701676,16.3187,0.133332,100.0,0.014206445,0.0163,294.5861666,24.7171093,0.451429,t17_f5_c3,16.3432,0.0181,False,True,False,bulk_1.0.0,0.0,1.427138032315015e+18,,,ZTF20actlwfo
