tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59181.10785879986,1427107855915015003,2,1427107855915,19.376585,1,1427,1.3281703,19.07134,17.721514,19.2354,0.18449733,100.0,0.053218123,0.27,357.775211,6.9425528,0.7785714,t17_f5_c3,0.9977753,19.3616,0.3848,498120259.0,False,True,False,bulk_1.0.0,0.0,1.440205525915015e+18,ZTF20acuaqlf
ztf,59181.14902780019,1427149025915015005,1,1427149025915,19.243038,1,1427,1.3028837,18.667253,17.276628,18.4418,0.14230764,100.0,0.03953466,0.132,357.7751765,6.9425285,0.6628571,t17_f5_c3,0.98507273,18.4684,0.1721,498120159.0,False,True,False,bulk_1.0.0,0.0,1.440205525915015e+18,ZTF20acuaqlf
ztf,59183.09109950019,1429091095915015037,2,1429091095915,19.086464,1,1429,1.352757,18.264328,17.421633,18.1703,0.073782176,100.0,0.033952653,0.1499,357.7752191,6.942532,0.94,t17_f5_c3,0.9999968,18.2689,0.2094,498120259.0,False,True,False,bulk_1.0.0,0.0,1.440205525915015e+18,ZTF20acuaqlf
ztf,59183.130590300076,1429130595915015005,1,1429130595915,19.09713,1,1429,1.7918419,18.350943,,18.2427,0.10927819,,,0.1405,357.7751553,6.9423565,0.8442857,t17_f5_c3,0.99431956,18.1673,0.1674,498120159.0,False,False,True,bulk_1.0.0,0.0,1.440205525915015e+18,ZTF20acuaqlf
ztf,59185.161851900164,1431161855915015008,2,1431161855915,19.734667,1,1431,1.2133785,18.390907,17.478056,18.3938,0.07115585,100.0,0.030695174,0.1071,357.7751758,6.9424693,0.95857143,t17_f5_c3,0.999887,18.4634,0.1436,498120259.0,False,True,False,bulk_1.0.0,0.0,1.440205525915015e+18,ZTF20acuaqlf
ztf,59185.171180599835,1431171185915015008,1,1431171185915,19.5429,1,1431,1.29115,18.2184,17.132242,18.0958,0.092522,100.0,0.034023788,0.0879,357.7752594,6.9424613,0.824286,t17_f5_c3,,18.0071,0.1027,,False,True,False,bulk_1.0.0,0.0,1.440205525915015e+18,ZTF20acuaqlf
ztf,59187.12486110022,1433124865915015009,1,1433124865915,20.554817,1,1433,1.3226418,18.190357,17.121847,18.1813,0.06537878,100.0,0.024436167,0.0481,357.7752022,6.9424939,0.9557143,t17_f5_c3,0.9999447,18.1724,0.058,498120159.0,False,True,False,bulk_1.0.0,0.0,1.440205525915015e+18,ZTF20acuaqlf
ztf,59187.18400460016,1433184005915015007,2,1433184005915,19.5259,1,1433,1.30315,18.2075,16.997345,18.1093,0.062273,100.0,0.020428564,0.075,357.7752515,6.9425633,0.734286,t17_f5_c3,,18.1227,0.0951,,False,True,False,bulk_1.0.0,0.0,1.440205525915015e+18,ZTF20acuaqlf
ztf,59189.1326156999,1435132615915015009,1,1435132615915,20.383356,1,1435,1.25503,18.238625,17.139639,18.2261,0.069992356,100.0,0.025436427,0.0508,357.7752299,6.9424941,0.94,t17_f5_c3,0.9999844,18.2546,0.0636,498120159.0,False,True,False,bulk_1.0.0,0.0,1.464131905915015e+18,ZTF20acuaqlf
ztf,59192.1707175998,1438170715915015015,1,1438170715915,18.741344,1,1438,0.9401418,18.242617,17.141087,18.2995,0.17827109,0.037129063,0.06463522,0.1736,357.7753644,6.9425164,0.69285715,t17_f5_c3,0.99216104,18.0584,0.1768,498120159.0,False,True,False,bulk_1.0.0,0.0,1.466103575915015e+18,ZTF20acuaqlf
