tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59248.551562500186,1494551563215010028,2,1494551563215,19.730717,-1,1494,0.7127187,16.72704,14.198958,17.2821,0.08946166,100.0,0.008717752,0.0496,285.308063,20.0009993,0.50714284,t17_f5_c3,0.00152701,17.3048,0.06,589120232.0,True,True,False,correction_0.0.1,0.0,,ZTF20acultqj
ztf,59411.268368099816,1657268364515015021,2,1657268364515,20.5261,1,1657,0.264463,14.9654,13.815609,15.0405,0.043403,100.0,0.015052322,0.0056,285.3082148,20.0007969,0.71,t17_f5_c3,,15.0267,0.0059,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
ztf,59411.269317099825,1657269313215015027,2,1657269313215,20.5805,1,1657,0.674618,15.4418,13.82148,15.4308,0.088919,0.011606585,0.019992461,0.0081,285.3081745,20.0006864,0.53,t17_f5_c3,,15.3911,0.0084,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
ztf,59411.314930600114,1657314934515015029,1,1657314934515,20.7366,1,1657,0.096435,16.9157,15.8551,16.9838,0.069835,0.022800338,0.026292542,0.0173,285.3082123,20.0008251,0.817143,t17_f5_c3,,16.9662,0.0194,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
ztf,59411.31540510012,1657315403215015023,1,1657315403215,20.6772,1,1657,0.295689,17.098,15.840657,17.1574,0.07897,0.015697297,0.024804205,0.0215,285.3081776,20.0007984,0.814286,t17_f5_c3,,17.1146,0.0241,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
ztf,59414.29637729982,1660296373215015034,2,1660296373215,20.4925,1,1660,0.864409,15.6711,13.8689785,15.7377,0.013996,100.0,0.002661678,0.0101,285.3084322,20.0007212,0.412857,t17_f5_c3,,15.7181,0.0107,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
ztf,59414.29637729982,1660296373215015036,2,1660296373215,20.4925,1,1660,0.600469,15.7396,13.881678,15.7519,0.056726,100.0,0.010247383,0.0103,285.3081744,20.0007077,0.555714,t17_f5_c3,,15.7048,0.0108,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
ztf,59419.343865700066,1665343864515015149,1,1665343864515,17.5887,1,1665,0.24219,17.786,16.107727,17.6536,0.214015,0.042520046,0.04561787,0.4124,285.3081384,20.0008526,0.468571,t17_f5_c3,,17.1881,0.3451,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
ztf,59423.29876160016,1669298764515015014,2,1669298764515,19.3313,1,1669,0.160518,15.956,14.068163,15.8793,0.079351,100.0,0.01394497,0.0208,285.3082349,20.000831,0.752857,t17_f5_c3,,15.8539,0.0243,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
ztf,59423.29971060017,1669299713215015024,2,1669299713215,19.2077,1,1669,0.689468,17.4364,14.048963,17.47,0.541522,0.012997695,0.023913411,0.1012,285.3080877,20.0007262,0.374286,t17_f5_c3,,17.3535,0.111,,False,True,False,correction_1.0.6,0.0,1.687254283215015e+18,ZTF20acultqj
