tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,oid
ztf,59227.212523099966,1473212522215015060,1,1473212522215,20.5388,1,1473,1.38604,20.604,18.84548,20.6479,0.247171,0.047218945,0.048931614,0.4086,82.9769337,2.8077994,0.532857,t17_f5_c3,20.6054,0.5023,False,True,False,correction_0.0.1,0.0,,,,ZTF20acwluyc
ztf,59233.20496529993,1479204962215015026,1,1479204962215,20.3493,1,1479,1.41123,20.2888,,19.904,0.263686,,,0.2326,82.9769306,2.8077498,0.451429,t17_f5_c3,19.6841,0.2427,False,False,True,correction_0.0.1,0.0,,,,ZTF20acwluyc
ztf,59251.14835650008,1497148352215015048,1,1497148352215,20.485735,1,1497,1.3327003,20.448772,18.812939,20.8178,0.20497875,0.043693293,0.04543343,0.4792,82.9769159,2.8077958,0.5914286,t17_f5_c3,20.4125,0.4219,True,True,False,correction_0.0.1,0.0,0.005384,458120122.0,,ZTF20acwluyc
ztf,59496.44230319979,1742442302215015013,2,1742442302215,20.391058,1,1742,1.3430487,20.325413,18.274055,20.7857,0.17879903,0.023841647,0.027028514,0.5673,82.9769239,2.8078432,0.5957143,t17_f5_c3,20.5202,0.5675,True,True,False,correction_1.0.6,0.0,1.723e-05,458120222.0,,ZTF20acwluyc
ztf,60182.47173610004,2428471732215015012,2,2428471732215,20.202776,1,2428,0.67578626,20.116903,18.23985,20.3748,0.19962566,0.033214547,0.03543195,0.4258,82.9767341,2.8078808,0.86,t17_f5_c3,19.928,0.3624,True,True,False,1.2.0,0.0,0.00792235,458120222.0,,ZTF20acwluyc
ztf,60191.48086810019,2437480862215015008,2,2437480862215,19.778072,1,2437,0.38671002,19.794214,18.175123,19.9841,0.19398123,0.042088393,0.043663952,0.4552,82.9766465,2.8078026,0.86,t17_f5_c3,19.6122,0.415,True,True,False,1.2.0,0.0,1.374e-05,458120222.0,,ZTF20acwluyc
ztf,60194.446006900165,2440446002215015003,1,2440446002215,20.0784,1,2440,0.503594,20.1815,18.747765,20.0932,0.295869,0.07812058,0.078996025,0.4111,82.9766592,2.8077649,0.854286,t17_f5_c3,20.1615,0.5613,False,True,False,1.2.1,0.0,,,2.446463622215015e+18,ZTF20acwluyc
ztf,60196.44420140004,2442444202215015006,2,2442444202215,20.2451,1,2442,0.285042,20.1223,18.240807,20.1046,0.216762,0.03627215,0.0383165,0.3776,82.9766267,2.8078443,0.834286,t17_f5_c3,20.0754,0.4705,False,True,False,1.2.1,0.0,,,2.446463622215015e+18,ZTF20acwluyc
ztf,60196.496712999884,2442496712215015010,1,2442496712215,20.2963,1,2442,0.842985,20.3319,18.785927,20.2092,0.215693,0.05049269,0.05193338,0.3656,82.9767751,2.8077966,0.738571,t17_f5_c3,20.0923,0.4202,False,True,False,1.2.1,0.0,,,2.446463622215015e+18,ZTF20acwluyc
ztf,60200.46362269996,2446463622215015016,2,2446463622215,20.414263,1,2446,1.1365072,20.011738,18.220425,20.1712,0.14918578,0.025966315,0.028655121,0.2971,82.9768674,2.8078404,0.7128571,t17_f5_c3,20.0729,0.3465,True,True,False,1.2.1,0.0,0.00206262,458120222.0,,ZTF20acwluyc
ztf,60202.424571800046,2448424572215015081,1,2448424572215,20.4801,1,2448,1.31017,20.3179,18.78254,19.9871,0.235053,0.05585296,0.057150677,0.2313,82.9769034,2.8077638,0.471429,t17_f5_c3,19.9378,0.2817,False,True,False,1.2.1,0.0,,,2.448483712215015e+18,ZTF20acwluyc
ztf,60202.48371529998,2448483712215015049,2,2448483712215,20.666527,1,2448,1.0460469,20.236773,18.260183,20.3632,0.20845461,0.031330023,0.03375791,0.3179,82.9768418,2.8078351,0.48142856,t17_f5_c3,19.9624,0.2801,True,True,False,1.2.1,0.0,5.07e-06,458120222.0,,ZTF20acwluyc
ztf,60202.48371529998,2448483712215025049,2,2448483712215,20.6665,1,2448,1.04605,20.2368,18.260187,20.3632,0.208455,0.031329323,0.033757277,0.3179,82.9768418,2.8078351,0.481429,t17_f5_c3,19.9624,0.2801,False,True,False,1.2.1,0.0,,,2.450434982215015e+18,ZTF20acwluyc
ztf,60204.43498839997,2450434982215015082,2,2450434982215,20.759893,1,2450,0.86787117,20.127354,18.241697,20.039,0.19577922,0.032183677,0.03447499,0.2298,82.9767899,2.8078172,0.47428572,t17_f5_c3,20.1612,0.326,True,True,False,1.2.1,0.0,2.044e-05,458120222.0,,ZTF20acwluyc
ztf,60206.491088000126,2452491082215015051,1,2452491082215,20.43735,1,2452,0.93545485,20.098822,18.725067,20.0095,0.17453684,0.047889613,0.049247637,0.2316,82.9768059,2.8078198,0.62285715,t17_f5_c3,19.8974,0.2668,True,True,False,1.2.1,0.0,0.0002068,458120122.0,,ZTF20acwluyc
ztf,60212.43747689994,2458437472215015084,1,2458437472215,20.692675,1,2458,0.8527738,20.208233,18.754839,20.2556,0.1909544,0.048657894,0.05006937,0.2666,82.9767794,2.8077918,0.4342857,t17_f5_c3,19.9804,0.2642,True,True,False,1.2.1,0.0,0.0005101,458120122.0,,ZTF20acwluyc
ztf,60223.46305559995,2469463052215025015,2,2469463052215,19.9448,1,2469,0.548307,19.9705,18.212381,19.9048,0.228066,0.04353473,0.04516613,0.3434,82.9766865,2.8077731,0.8,t17_f5_c3,19.4953,0.3023,False,True,False,1.2.1,0.0,,,2.471445372215015e+18,ZTF20acwluyc
ztf,60225.42554400023,2471425542215015013,1,2471425542215,20.3269,1,2471,0.793689,20.2779,18.772676,20.9271,0.268436,0.06602272,0.06710444,0.6534,82.9767643,2.8078013,0.577143,t17_f5_c3,20.6185,0.6307,False,True,False,1.2.1,0.0,,,2.471445372215015e+18,ZTF20acwluyc
ztf,60225.44537039986,2471445372215015013,2,2471445372215,20.4613,1,2471,0.3650638,20.052242,18.228088,20.2498,0.19724017,0.034671083,0.03675648,0.3624,82.9766138,2.8077635,0.6028572,t17_f5_c3,20.4907,0.5786,True,True,False,1.2.1,0.0,0.00013462,458120222.0,,ZTF20acwluyc
ztf,60231.4343634001,2477434362215015083,1,2477434362215,20.484,1,2477,0.940396,20.3739,18.79589,20.4943,0.254765,0.058282044,0.05955749,0.3524,82.9768122,2.8078589,0.532857,t17_f5_c3,20.1345,0.3236,False,True,False,1.2.1,0.0,,,2.477463512215015e+18,ZTF20acwluyc
ztf,60231.46351849986,2477463512215015011,2,2477463512215,20.461212,1,2477,0.59177965,20.1414,18.244158,20.1462,0.18936157,0.030577363,0.032990977,0.3139,82.9767024,2.807787,0.8357143,t17_f5_c3,20.1328,0.3965,True,True,False,1.2.1,0.0,1.61e-06,458120222.0,,ZTF20acwluyc
ztf,60233.40327550005,2479403272215015028,1,2479403272215,20.5066,1,2479,1.04242,20.2527,18.766323,20.0122,0.23109,0.05755658,0.05878002,0.2416,82.9768251,2.8077724,0.507143,t17_f5_c3,19.85,0.2658,False,True,False,1.2.1,0.0,,,2.481392502215015e+18,ZTF20acwluyc
ztf,60233.48371529998,2479483712215015017,2,2479483712215,20.4966,1,2479,0.858322,20.0576,18.229084,20.028,0.220613,0.039082628,0.04094728,0.2738,82.976772,2.8077535,0.702857,t17_f5_c3,20.0468,0.3551,False,True,False,1.2.1,0.0,,,2.481392502215015e+18,ZTF20acwluyc
ztf,60235.392500000075,2481392502215015060,1,2481392502215,20.67143,1,2481,0.8891065,20.384706,18.798409,20.303,0.21452957,0.04822928,0.049770072,0.2766,82.9767915,2.8078041,0.58285713,t17_f5_c3,20.0817,0.2879,True,True,False,1.2.1,0.0,0.00073323,458120122.0,,ZTF20acwluyc
ztf,60235.42906250013,2481429062215015020,2,2481429062215,20.547377,1,2481,0.8907093,20.241861,18.261005,20.6129,0.19155058,0.028221754,0.030898755,0.4395,82.9767967,2.8078158,0.7757143,t17_f5_c3,20.2481,0.4009,True,True,False,1.2.1,0.0,2.32e-06,458120222.0,,ZTF20acwluyc
ztf,60237.383564800024,2483383562215015019,2,2483383562215,20.546238,1,2483,0.65615696,19.940138,18.2063,19.7765,0.17021582,0.03232981,0.03447189,0.2087,82.976732,2.807849,0.7342857,t17_f5_c3,19.7205,0.2526,True,True,False,1.2.1,0.0,7.883e-05,458120222.0,,ZTF20acwluyc
ztf,60237.44245370012,2483442452215015035,1,2483442452215,20.5036,1,2483,0.761576,20.3953,18.800856,20.0419,0.275551,0.0622422,0.06344896,0.2342,82.9767504,2.8079248,0.537143,t17_f5_c3,19.8175,0.2437,False,True,False,1.2.1,0.0,,,2.485425382215015e+18,ZTF20acwluyc
ztf,60239.42538189981,2485425382215015017,2,2485425382215,20.435097,1,2485,0.9223354,20.29518,18.26943,20.1054,0.16143645,0.02153078,0.02498631,0.2738,82.9767968,2.807778,0.79285717,t17_f5_c3,19.7954,0.2634,True,True,False,1.2.1,0.0,8.664e-05,458120222.0,,ZTF20acwluyc
ztf,60249.44258099981,2495442582215015011,2,2495442582215,19.3384,1,2495,0.234748,19.6416,18.138851,19.5495,0.224207,0.05503955,0.056175865,0.3673,82.9764813,2.8078383,0.777143,t17_f5_c3,20.1736,0.838,False,True,False,1.2.1,0.0,,,2.497360752215015e+18,ZTF20acwluyc
