tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59182.18278940022,1428182780315015000,2,1428182780315,19.3237,1,1428,0.501088,16.6499,13.556263,17.0328,0.186363,100.0,0.010787103,0.0547,320.8292962,15.8207445,0.302857,t17_f5_c3,16.9761,0.061,False,True,False,bulk_1.0.0,0.0,1.448166180315015e+18,,,ZTF20acynfpw
ztf,59186.11509260023,1432115090315015001,2,1432115090315,19.3368,1,1432,0.747451,16.4211,13.54162,16.715,0.089449,100.0,0.0063064266,0.0346,320.8293555,15.820582,0.51,t17_f5_c3,16.6714,0.0376,False,True,False,bulk_1.0.0,0.0,1.448166180315015e+18,,,ZTF20acynfpw
ztf,59188.165925899986,1434165920315015004,1,1434165920315,19.8413,1,1434,1.26893,17.2115,14.10033,17.5555,0.088017,100.0,0.005013012,0.0568,320.8290971,15.8206439,0.611429,t17_f5_c3,17.5519,0.0635,False,True,False,bulk_1.0.0,0.0,1.448166180315015e+18,,,ZTF20acynfpw
ztf,59199.15537039982,1445155370315015001,1,1445155370315,19.3255,1,1445,1.16109,17.1721,14.098047,17.4636,0.105489,100.0,0.006217077,0.0564,320.8291786,15.8205656,0.59,t17_f5_c3,17.422,0.0622,False,True,False,bulk_1.0.0,0.0,1.448166180315015e+18,,,ZTF20acynfpw
ztf,59202.16618059995,1448166180315015002,1,1448166180315,19.162504,1,1448,1.8467829,16.892479,,16.9343,0.062393907,,,0.0409,320.8289332,15.8206007,0.6314286,t17_f5_c3,16.9133,0.0471,True,False,True,bulk_1.0.0,0.0,0.0,0.72224927,594120103.0,ZTF20acynfpw
ztf,59512.143668999895,1758143660315015007,2,1758143660315,20.4422,1,1758,0.342569,16.3336,13.535214,16.4628,0.100982,100.0,0.007671675,0.0238,320.8293795,15.8208525,0.492857,t17_f5_c3,16.4619,0.0253,False,True,False,correction_1.0.6,0.0,1.786240100315015e+18,,,ZTF20acynfpw
ztf,59522.13152780011,1768131520315015000,1,1768131520315,20.3758,1,1768,0.68107,16.4244,14.036415,16.6602,0.073193,100.0,0.008114757,0.0228,320.829245,15.8207925,0.524286,t17_f5_c3,16.6609,0.0247,False,True,False,correction_1.0.6,0.0,1.786240100315015e+18,,,ZTF20acynfpw
ztf,59526.14471059991,1772144710315015006,2,1772144710315,20.323,1,1772,0.740307,16.4346,13.542566,16.4322,0.035671,100.0,0.0024860026,0.0238,320.8292784,15.8206368,0.312857,t17_f5_c3,16.4355,0.0256,False,True,False,correction_1.0.6,0.0,1.786240100315015e+18,,,ZTF20acynfpw
ztf,59529.145868100226,1775145860315015002,2,1775145860315,19.7798,1,1775,0.511503,16.1655,13.521489,16.3543,0.112582,100.0,0.009859718,0.0239,320.8292984,15.820728,0.557143,t17_f5_c3,16.3257,0.0259,False,True,False,correction_1.0.6,0.0,1.786240100315015e+18,,,ZTF20acynfpw
ztf,59529.22699069977,1775226990315015002,1,1775226990315,19.7337,1,1775,0.787745,16.5185,14.046454,16.6585,0.045993,100.0,0.00471926,0.0276,320.8292191,15.820712,0.772857,t17_f5_c3,16.6422,0.031,False,True,False,correction_1.0.6,0.0,1.786240100315015e+18,,,ZTF20acynfpw
ztf,59531.145972200204,1777145970315015003,2,1777145970315,19.5508,1,1777,0.356736,16.1124,13.516734,16.3962,0.096716,100.0,0.008855883,0.0264,320.8293424,15.8207385,0.647143,t17_f5_c3,16.3917,0.0298,False,True,False,correction_1.0.6,0.0,1.786240100315015e+18,,,ZTF20acynfpw
ztf,59537.10994210001,1783109940315015000,1,1783109940315,17.8706,1,1783,0.549664,16.4981,14.044344,16.8281,0.124606,100.0,0.013002786,0.1679,320.8293109,15.8206843,0.474286,t17_f5_c3,16.6385,0.1796,False,True,False,correction_1.0.6,0.0,1.786240100315015e+18,,,ZTF20acynfpw
ztf,59540.13943290012,1786139430315015001,2,1786139430315,19.2958,1,1786,0.985137,15.9556,13.501397,16.0732,0.062037,100.0,0.006470972,0.0196,320.8292641,15.8205551,0.722857,t17_f5_c3,16.0527,0.0217,False,True,False,correction_1.0.6,0.0,1.786240100315015e+18,,,ZTF20acynfpw
ztf,59540.24010419985,1786240100315015002,1,1786240100315,18.719448,1,1786,1.2946986,16.307173,14.022777,16.5176,0.07195173,100.0,0.008775723,0.04,320.8291565,15.8205347,0.6942857,t17_f5_c3,16.5169,0.0491,True,True,False,correction_1.0.6,0.0,,0.6778413,594120103.0,ZTF20acynfpw
ztf,59861.19616900012,2107196160315015001,1,2107196160315,19.2896,1,2107,0.461346,16.3607,14.029166,16.5608,0.143602,0.010282748,0.016770523,0.0378,320.8293049,15.820784,0.505714,t17_f5_c3,16.5585,0.0462,False,True,False,1.1.6,0.0,2.134152830315015e+18,,,ZTF20acynfpw
ztf,59864.14271989977,2110142710315015003,1,2110142710315,19.7539,1,2110,0.530781,16.418,14.035704,16.6648,0.08535,100.0,0.009512295,0.0296,320.8292889,15.8207415,0.491429,t17_f5_c3,16.6628,0.0343,False,True,False,1.1.6,0.0,2.134152830315015e+18,,,ZTF20acynfpw
ztf,59866.150034700055,2112150030315015005,2,2112150030315,20.122,1,2112,0.178758,15.9607,13.501927,16.0848,0.112047,100.0,0.011638346,0.0182,320.8293878,15.8207825,0.59,t17_f5_c3,16.0883,0.0198,False,True,False,1.1.6,0.0,2.134152830315015e+18,,,ZTF20acynfpw
ztf,59869.131169000175,2115131160315015004,1,2115131160315,20.439,1,2115,0.243488,16.0981,13.995014,16.3305,0.103982,0.0077333907,0.014987309,0.0171,320.8293703,15.8207837,0.598571,t17_f5_c3,16.3229,0.0183,False,True,False,1.1.6,0.0,2.134152830315015e+18,,,ZTF20acynfpw
