tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59502.31688660011,1748316883515015008,2,1748316883515,19.8798,1,1748,0.259367,19.9763,18.989784,19.4232,0.259339,0.10309181,0.104535066,0.231,356.5940382,26.4323941,0.638571,t17_f5_c3,19.3477,0.2763,False,True,False,correction_1.0.6,0.0,1.763246243515015e+18,,,ZTF20aczinej
ztf,59510.267476900015,1756267473515015005,1,1756267473515,19.7813,1,1756,0.652378,20.2555,19.205591,20.1472,0.381621,0.143073,0.14510044,0.5559,356.5940004,26.4322868,0.575714,t17_f5_c3,20.6556,1.1396,False,True,False,correction_1.0.6,0.0,1.763246243515015e+18,,,ZTF20aczinej
ztf,59517.24624999985,1763246243515015013,2,1763246243515,20.76239,1,1763,0.099167675,20.360863,19.128855,20.1933,0.17727865,0.053493243,0.056997176,0.2574,356.5939802,26.4324682,0.8242857,t17_f5_c3,20.036,0.2846,True,True,False,correction_1.0.6,0.0,,0.99599266,647120235.0,ZTF20aczinej
ztf,59520.237673600204,1766237673515015018,2,1766237673515,20.63649,1,1766,0.5192767,20.241322,19.088966,20.0001,0.21457383,0.07177588,0.07423949,0.227,356.5938513,26.4324085,0.8471429,t17_f5_c3,19.7053,0.2212,True,True,False,correction_1.0.6,0.0,,0.99597645,647120235.0,ZTF20aczinej
ztf,59520.31100689992,1766311003515015017,1,1766311003515,20.5698,1,1766,0.352887,20.4923,19.289658,20.0041,0.239009,0.074506015,0.078950986,0.2111,356.593943,26.4323892,0.66,t17_f5_c3,19.8526,0.2347,False,True,False,correction_1.0.6,0.0,1.770227583515015e+18,,,ZTF20aczinej
ztf,59522.23800930008,1768238003515015023,1,1768238003515,20.9075,1,1768,0.795337,20.7894,19.3791,20.3677,0.272168,0.06862443,0.074253604,0.2427,356.593769,26.4323795,0.66,t17_f5_c3,20.117,0.2459,False,True,False,correction_1.0.6,0.0,1.770227583515015e+18,,,ZTF20aczinej
ztf,59524.227580999956,1770227583515015014,2,1770227583515,20.697124,1,1770,0.086776696,20.181133,19.067762,19.8023,0.15418844,0.052075375,0.055297285,0.1891,356.5939923,26.4324439,0.78571427,t17_f5_c3,19.6457,0.2091,True,True,False,correction_1.0.6,0.0,,0.99817383,647120235.0,ZTF20aczinej
ztf,59524.30208329996,1770302083515015014,1,1770302083515,20.8988,1,1770,0.816805,20.4844,19.287043,20.282,0.258883,0.08188813,0.08593311,0.23,356.5937632,26.4323937,0.72,t17_f5_c3,20.0037,0.2273,False,True,False,correction_1.0.6,0.0,1.775172013515015e+18,,,ZTF20aczinej
ztf,59526.214513900224,1772214513515015017,1,1772214513515,20.9752,1,1772,0.856788,20.5525,19.309177,20.5538,0.23348,0.069366224,0.07428833,0.2842,356.5937709,26.4323428,0.705714,t17_f5_c3,20.3263,0.2944,False,True,False,correction_1.0.6,0.0,1.775172013515015e+18,,,ZTF20aczinej
ztf,59529.17201389978,1775172013515015012,2,1775172013515,20.333364,1,1775,0.3701797,20.351753,19.125917,20.185,0.17724083,0.053845726,0.057309896,0.3456,356.5938945,26.4324264,0.9285714,t17_f5_c3,20.0559,0.3934,True,True,False,correction_1.0.6,0.0,,0.99856275,647120235.0,ZTF20aczinej
ztf,59698.49075229978,1944490753515015006,2,1944490753515,19.2328,1,1944,0.4142,19.5534,18.799124,19.4439,0.386,0.19214971,0.19269775,0.3341,356.5940711,26.4323591,0.504286,t17_f5_c3,19.5076,0.455,False,True,False,correction_1.0.6,0.0,1.954473103515015e+18,,,ZTF20aczinej
ztf,59701.48987270007,1947489873515015004,1,1947489873515,19.2859,1,1947,0.010363,19.5932,18.904528,19.6237,0.291231,0.1533528,0.15444295,0.4469,356.5940001,26.4324712,0.751429,t17_f5_c3,19.7909,0.6696,False,True,False,correction_1.0.6,0.0,1.954473103515015e+18,,,ZTF20aczinej
ztf,59707.477256900165,1953477253515015001,2,1953477253515,19.3501,1,1953,0.860169,19.7143,18.87647,19.8139,0.360382,0.1658515,0.16658309,0.3003,356.5939663,26.4327002,0.614286,t17_f5_c3,19.8957,0.4152,False,True,False,correction_1.0.6,0.0,1.954473103515015e+18,,,ZTF20aczinej
ztf,59708.47310189996,1954473103515015015,2,1954473103515,19.777819,1,1954,0.17926648,19.791502,18.911474,19.397,0.20188014,0.088303156,0.08975997,0.2119,356.5939785,26.432418,0.5114286,t17_f5_c3,19.1229,0.211,True,True,False,correction_1.0.6,0.0,,0.99977505,647120235.0,ZTF20aczinej
ztf,59708.475034699775,1954475033515015004,2,1954475033515,19.6884,1,1954,0.975805,20.051,19.01928,19.7181,0.295928,0.11302787,0.11441892,0.2847,356.5937358,26.4323343,0.634286,t17_f5_c3,19.4593,0.2878,False,True,False,correction_1.0.6,0.0,1.958472613515015e+18,,,ZTF20aczinej
ztf,59708.476967600174,1954476963515015011,2,1954476963515,19.5468,1,1954,0.60347,19.9105,18.96278,19.8063,0.318225,0.1318605,0.13293722,0.3173,356.5939024,26.4326023,0.704286,t17_f5_c3,19.8267,0.4146,False,True,False,correction_1.0.6,0.0,1.958472613515015e+18,,,ZTF20aczinej
ztf,59708.48084490001,1954480843515015005,2,1954480843515,19.6563,1,1954,0.385302,19.9691,18.986877,20.5814,0.358638,0.14410274,0.14513323,0.6711,356.593917,26.4323894,0.644286,t17_f5_c3,20.071,0.5385,False,True,False,correction_1.0.6,0.0,1.958472613515015e+18,,,ZTF20aczinej
ztf,59710.47248840006,1956472483515015009,2,1956472483515,19.6219,1,1956,0.526337,19.9222,18.967653,19.8451,0.306985,0.12630409,0.12743786,0.3417,356.5939667,26.4326046,0.727143,t17_f5_c3,19.6981,0.3828,False,True,False,correction_1.0.6,0.0,1.958472613515015e+18,,,ZTF20aczinej
ztf,59710.47826390015,1956478263515015008,2,1956478263515,19.714,1,1956,0.437875,19.7727,18.903074,19.3195,0.197575,0.08723968,0.0886915,0.221,356.5938744,26.4324985,0.647143,t17_f5_c3,19.2481,0.2651,False,True,False,correction_1.0.6,0.0,1.958472613515015e+18,,,ZTF20aczinej
ztf,59711.47278939979,1957472783515015005,2,1957472783515,19.5747,1,1957,0.243813,19.9513,18.97964,20.3672,0.294757,0.11922087,0.12044801,0.5943,356.5940117,26.4325296,0.571429,t17_f5_c3,20.2204,0.6667,False,True,False,correction_1.0.6,0.0,1.958472613515015e+18,,,ZTF20aczinej
ztf,59711.47480319999,1957474803515015005,2,1957474803515,19.6627,1,1957,0.610463,20.033,19.012285,20.1924,0.300021,0.115842834,0.117183186,0.4813,356.5938169,26.4324468,0.725714,t17_f5_c3,20.2212,0.6341,False,True,False,correction_1.0.6,0.0,1.958472613515015e+18,,,ZTF20aczinej
