tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59216.30178239988,1462301782015015023,2,1462301782015,20.109797,1,1462,7.060247,16.598019,16.5989,0.028907925,0.0165,97.3962806,18.1609617,0.8414286,t17_f5_c3,0.9999975,16.5889,0.0203,563120220.0,True,False,False,bulk_1.0.0,0.0,0.0,ZTF21aaafpid
ztf,60317.18796300003,2563187962015015014,2,2563187962015,19.9523,1,2563,6.26514,20.0468,19.794,0.242067,0.2604,97.396856,18.1606712,0.364286,t17_f5_c3,,19.7723,0.3273,,False,False,False,23.12.x,0.0,2.563189842015015e+18,ZTF21aaafpid
ztf,60317.18843750004,2563188432015015016,2,2563188432015,19.9453,1,2563,6.19994,19.8827,19.5828,0.200457,0.2221,97.3968026,18.1607378,0.437143,t17_f5_c3,,19.4383,0.2496,,False,False,False,23.12.x,0.0,2.563190312015015e+18,ZTF21aaafpid
ztf,60317.18890050007,2563188902015015015,2,2563188902015,19.9713,1,2563,6.62387,19.7678,20.1028,0.199718,0.3509,97.3966378,18.16072,0.668571,t17_f5_c3,,20.0353,0.4231,,False,False,False,23.12.x,0.0,2.563190312015015e+18,ZTF21aaafpid
ztf,60317.189375000075,2563189372015015013,2,2563189372015,20.0078,1,2563,6.57137,19.8435,19.6006,0.196101,0.2145,97.3965962,18.1607874,0.431429,t17_f5_c3,,19.4209,0.2332,,False,False,False,23.12.x,0.0,2.563190312015015e+18,ZTF21aaafpid
ztf,60317.18984950008,2563189842015015014,2,2563189842015,19.81043,1,2563,7.0487604,19.735401,20.0743,0.19772957,0.3852,97.3964412,18.1607555,0.6557143,t17_f5_c3,0.99999464,19.9184,0.4284,563120220.0,True,False,False,23.12.x,0.0,,ZTF21aaafpid
ztf,60317.19031250011,2563190312015015017,2,2563190312015,19.973703,1,2563,6.935447,19.637205,19.4889,0.20722686,0.1984,97.3964217,18.160829,0.62142855,t17_f5_c3,0.9999449,19.5533,0.2698,563120220.0,True,False,False,23.12.x,0.0,,ZTF21aaafpid
ztf,60317.190787000116,2563190782015015017,2,2563190782015,19.971975,1,2563,7.386025,19.78804,20.0394,0.18442462,0.3304,97.3962379,18.1608543,0.51857144,t17_f5_c3,0.9999882,19.8398,0.3529,563120220.0,True,False,False,23.12.x,0.0,,ZTF21aaafpid
ztf,60317.19126159977,2563191262015015021,2,2563191262015,20.088297,1,2563,7.834414,19.807287,20.0224,0.13595021,0.3108,97.3960982,18.160834,0.70857143,t17_f5_c3,0.99999845,20.0834,0.422,563120220.0,True,False,False,23.12.x,0.0,,ZTF21aaafpid
ztf,60317.19172450015,2563191722015015017,2,2563191722015,20.0504,1,2563,8.11893,19.7788,19.8351,0.161034,0.2626,97.3959859,18.1608499,0.687143,t17_f5_c3,,19.9727,0.3823,,False,False,False,23.12.x,0.0,2.563192192015015e+18,ZTF21aaafpid
ztf,60317.19219909981,2563192192015015015,2,2563192192015,20.049347,1,2563,8.220895,19.927238,19.9594,0.17120145,0.3003,97.3959024,18.1609299,0.66571426,t17_f5_c3,0.9999869,19.7009,0.304,563120220.0,True,False,False,23.12.x,0.0,,ZTF21aaafpid
