tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59231.44590280019,1477445902315015020,1,1477445902315,20.899183,1,1477,1.2633631,18.689247,18.405668,18.9393,0.06593705,0.044553354,0.05078063,0.0758,205.3301861,24.4955355,0.93285716,t17_f5_c3,0.99999714,19.1003,0.1104,627120123.0,False,True,False,bulk_1.0.0,0.0,1.479492382315015e+18,ZTF21aafkwtk
ztf,59231.48633099999,1477486332315015012,2,1477486332315,20.6954,1,1477,0.690973,19.1003,18.397861,19.3575,0.082077,100.0,0.04297796,0.1318,205.3301785,24.4955403,0.935714,t17_f5_c3,,19.5954,0.2076,,False,True,False,bulk_1.0.0,0.0,1.479492382315015e+18,ZTF21aafkwtk
ztf,59233.4923843001,1479492382315015010,2,1479492382315,20.602818,1,1479,0.71618944,18.724321,18.184916,18.9589,0.10100009,0.0470423,0.061455358,0.0939,205.3301763,24.4955312,0.9257143,t17_f5_c3,0.9999916,19.0538,0.1292,627120223.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF21aafkwtk
ztf,59249.40961810015,1495409612315015003,2,1495409612315,19.665382,1,1495,0.7343562,18.359398,17.948671,18.3379,0.08017952,0.04477495,0.05492538,0.0864,205.3302464,24.4955052,0.81142855,t17_f5_c3,0.9999995,18.3383,0.1101,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59249.444918999914,1495444912315015005,1,1495444912315,19.829079,1,1495,0.9511738,18.601017,18.337093,18.4328,0.10486883,0.07899374,0.082238875,0.0747,205.3302009,24.4954388,0.6557143,t17_f5_c3,0.9999954,18.3305,0.0865,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59251.42509259982,1497425092315015007,1,1497425092315,20.812557,1,1497,1.2355982,18.673487,18.39351,18.7014,0.0611075,0.040607642,0.047217622,0.0604,205.3301813,24.4955276,0.95285714,t17_f5_c3,1.0,18.7712,0.0807,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59251.47484950023,1497474842315015019,2,1497474842315,20.558094,1,1497,0.7260767,18.446747,18.007744,18.5423,0.061035722,0.023046022,0.040736396,0.0661,205.3301985,24.495519,0.96428573,t17_f5_c3,0.99999934,18.576,0.0859,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59253.38562500011,1499385622315015010,1,1499385622315,20.769915,1,1499,1.2659883,18.74712,18.449963,18.8638,0.0816073,0.05664157,0.06206778,0.0709,205.3301789,24.4955369,0.94857144,t17_f5_c3,0.9999999,18.9352,0.0951,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59253.4994907002,1499499492315015023,2,1499499492315,20.736252,1,1499,0.64733267,18.501358,18.043884,18.5548,0.058066238,0.015673606,0.038100835,0.0638,205.3302005,24.4955435,0.94285715,t17_f5_c3,0.9999783,18.6142,0.0846,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59255.42506940011,1501425062315015018,2,1501425062315,20.886364,1,1501,0.66775423,18.48682,18.034325,18.6024,0.06040925,0.020017548,0.03982034,0.059,205.3301955,24.4955395,0.95,t17_f5_c3,0.9999839,18.6383,0.0763,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59257.38373839995,1503383732315015010,1,1503383732315,20.111475,1,1503,1.1572902,18.937494,18.591623,19.0508,0.1114931,0.07574529,0.081077434,0.0889,205.3300847,24.4955141,0.58285713,t17_f5_c3,0.9997514,19.0109,0.1083,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59262.37096060021,1508370962315015021,2,1508370962315,20.508528,1,1508,0.6605068,18.521187,18.056854,18.6552,0.08117896,0.03957938,0.05293108,0.074,205.3301882,24.4955432,0.95714283,t17_f5_c3,0.9999951,18.6768,0.0953,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59262.51968749985,1508519682315015017,1,1508519682315,20.53465,1,1508,1.0299897,19.082088,18.694824,19.1359,0.10015167,0.062478125,0.0701056,0.0886,205.3301674,24.4954712,0.8757143,t17_f5_c3,0.9999937,19.2067,0.1193,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59264.40966439992,1510409662315015028,1,1510409662315,20.867247,1,1510,1.1793423,19.162113,18.750216,19.1478,0.09385551,0.05481677,0.064224534,0.0885,205.3301609,24.4955153,0.94285715,t17_f5_c3,0.99998987,19.3057,0.1289,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59264.51516199997,1510515162315015051,2,1510515162315,20.692585,1,1510,0.7017602,18.507467,18.04789,18.6298,0.06129322,0.019907497,0.040140375,0.0689,205.3302176,24.4955195,0.9442857,t17_f5_c3,0.99997365,18.7661,0.0982,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59266.38371529989,1512383712315015012,2,1512383712315,20.027187,1,1512,0.8821157,18.470482,18.023527,18.4685,0.07129515,0.032705758,0.047236517,0.0778,205.3302062,24.4954705,0.92142856,t17_f5_c3,0.99955887,18.3957,0.0929,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59266.48733799998,1512487332315015012,1,1512487332315,20.375813,1,1512,1.2361606,19.137447,18.733276,19.1958,0.13483119,0.08688579,0.09292281,0.1002,205.3300929,24.4955365,0.76714283,t17_f5_c3,0.99998295,19.1704,0.1241,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59268.45880790008,1514458802315015015,2,1514458802315,20.474218,1,1514,0.60325384,18.514076,18.052214,18.5561,0.062332954,0.020849967,0.040735457,0.078,205.3301999,24.495556,0.95428574,t17_f5_c3,0.99985063,18.5667,0.0997,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59270.37008100003,1516370082315015003,2,1516370082315,19.632555,1,1516,0.70840013,18.46042,18.01685,18.5889,0.077306695,0.038631827,0.051379383,0.1396,205.3302064,24.4955217,0.95428574,t17_f5_c3,0.99999297,18.555,0.1732,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59270.42305559991,1516423052315015004,1,1516423052315,19.659658,1,1516,1.299648,19.15489,18.745268,19.6293,0.13598296,0.08709356,0.0932472,0.3606,205.3302174,24.4955373,0.89285713,t17_f5_c3,0.9999981,19.0899,0.2818,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59272.40190970013,1518401902315015003,1,1518401902315,19.058325,1,1518,1.2410771,19.08444,18.69647,18.9393,0.2117926,0.14469352,0.14815722,0.3037,205.3302587,24.4955049,0.7114286,t17_f5_c3,0.9999314,19.4333,0.6144,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59272.45744210016,1518457442315015003,2,1518457442315,19.308838,1,1518,0.6950479,18.5549,18.078718,18.4693,0.11177031,0.06253421,0.07208646,0.1741,205.3301685,24.495542,0.93857145,t17_f5_c3,0.9978053,18.3547,0.2012,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59274.400080999825,1520400082315015010,2,1520400082315,19.097748,1,1520,0.66190565,18.568657,18.08757,18.7098,0.15956436,0.09585622,0.10244749,0.1888,205.3303318,24.4955297,0.68142855,t17_f5_c3,0.9965234,18.9195,0.2935,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59278.330972199794,1524330972315015008,1,1524330972315,20.403263,1,1524,1.1573379,19.279057,18.828861,19.4277,0.13384777,0.080764934,0.08841645,0.1329,205.3301829,24.4955047,0.9357143,t17_f5_c3,0.9999615,19.3714,0.1603,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59278.44189810008,1524441892315015005,2,1524441892315,20.316824,1,1524,0.77735144,18.504519,18.045958,18.4625,0.07474615,0.03449675,0.04899644,0.0735,205.3302055,24.4955033,0.9557143,t17_f5_c3,0.9999998,18.4655,0.0934,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59281.2603703998,1527260372315015017,2,1527260372315,20.284203,1,1527,0.7902312,18.544937,18.072283,18.6632,0.08042019,0.037907228,0.05203589,0.0754,205.3301496,24.4955212,0.87285715,t17_f5_c3,0.99999046,18.6028,0.0902,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59291.30344909988,1537303442315015014,1,1537303442315,20.757391,1,1537,1.3034842,19.695038,19.085133,19.8083,0.14688997,0.070285454,0.08375868,0.1732,205.3301909,24.4955456,0.8542857,t17_f5_c3,0.99998736,19.8602,0.2305,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59291.34664350003,1537346642315015024,2,1537346642315,20.580894,1,1537,0.6325076,18.58735,18.099535,18.7229,0.088498585,0.043041244,0.056469023,0.0793,205.3301834,24.4955509,0.95857143,t17_f5_c3,0.9996959,18.7327,0.101,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59293.257141199894,1539257142315015005,2,1539257142315,20.474827,1,1539,0.74035484,18.582598,18.0965,18.5632,0.06925214,0.025100626,0.044258256,0.0749,205.3301823,24.4955209,0.95285714,t17_f5_c3,0.9999996,18.6212,0.0998,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59297.287199100014,1543287192315015006,2,1543287192315,19.717772,1,1543,0.65477926,18.521559,18.057098,18.588,0.112746745,0.06455483,0.07350545,0.114,205.3302106,24.4955363,0.94857144,t17_f5_c3,0.9999986,18.7252,0.1651,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59297.3042708002,1543304272315015004,1,1543304272315,19.4725,1,1543,0.743341,19.596,19.027557,19.3687,0.287973,0.1650368,0.17059827,0.2348,205.3300023,24.4953797,0.294286,t17_f5_c3,,19.4524,0.3252,,False,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59302.257916700095,1548257912315015005,2,1548257912315,19.0796,1,1548,0.510109,18.8065,18.234175,18.8972,0.149046,0.077642724,0.087981276,0.3084,205.3302338,24.4955721,0.895714,t17_f5_c3,,19.1116,0.4821,,False,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59304.26569439983,1550265692315015006,1,1550265692315,19.3408,1,1550,1.20664,19.7388,19.109869,18.9708,0.244428,0.12878084,0.13695525,0.2399,205.3301726,24.495521,0.311429,t17_f5_c3,,18.9733,0.3084,,False,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59304.35766200023,1550357662315015007,2,1550357662315,19.331377,1,1550,0.6977201,18.67287,18.15332,18.8748,0.11722439,0.061658267,0.07264371,0.1891,205.3302731,24.4955134,0.75714284,t17_f5_c3,0.9998633,19.1551,0.3133,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59307.321666699834,1553321662315015020,1,1553321662315,20.937134,1,1553,1.3133711,19.887403,19.190617,19.9867,0.15802637,0.06631873,0.08317916,0.185,205.3301558,24.4955549,0.8,t17_f5_c3,0.9996358,20.0882,0.2576,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59307.344143500086,1553344142315015035,2,1553344142315,20.737532,1,1553,0.70553243,18.661617,18.146334,18.8527,0.076944575,0.028897207,0.04787011,0.0842,205.3302005,24.4955259,0.9342857,t17_f5_c3,0.9999085,18.8495,0.106,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59309.281134299934,1555281132315015015,2,1555281132315,20.603405,1,1555,0.70292234,18.718676,18.181479,18.769,0.08042127,0.029160969,0.049033366,0.0803,205.3302101,24.4955239,0.94857144,t17_f5_c3,0.9999811,18.7345,0.0983,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59311.278761600144,1557278762315015015,1,1557278762315,20.660374,1,1557,1.164219,20.114113,19.304035,20.0877,0.18048275,0.06495197,0.08558639,0.233,205.3301184,24.4955156,0.91,t17_f5_c3,0.99998194,20.1347,0.3095,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59311.300439800136,1557300432315015018,2,1557300432315,20.439445,1,1557,0.68317586,18.690937,18.16448,18.7004,0.07628988,0.02647299,0.046976916,0.0915,205.3302136,24.4955286,0.9614286,t17_f5_c3,0.9999933,18.7612,0.1224,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59313.26180560002,1559261802315015010,1,1559261802315,20.601755,1,1559,1.1404039,20.033928,19.265272,20.2018,0.15730767,0.05580014,0.077497475,0.281,205.3301555,24.495505,0.91714287,t17_f5_c3,0.99998945,20.3926,0.4266,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59313.31081019994,1559310812315015012,2,1559310812315,20.375729,1,1559,0.65404946,18.710611,18.176554,18.8209,0.086480096,0.035446256,0.052880198,0.1044,205.3301797,24.4955515,0.9614286,t17_f5_c3,0.9999951,18.9085,0.1435,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59317.32023150008,1563320232315015034,2,1563320232315,20.912535,1,1563,0.6948351,18.82966,18.247786,19.0697,0.073360324,0.009315404,0.042925127,0.089,205.3301728,24.4955422,0.92285717,t17_f5_c3,0.9990063,19.3187,0.1402,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59317.32023150008,1563320232315025034,2,1563320232315,20.9125,1,1563,0.694835,18.8297,18.24781,19.0697,0.07336,0.009307441,0.04292428,0.089,205.3301728,24.4955422,0.922857,t17_f5_c3,,19.3187,0.1402,,False,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59320.367638899945,1566367632315015018,1,1566367632315,20.832092,1,1566,1.177891,20.248491,19.36569,20.9635,0.2125103,0.07350039,0.094245344,0.4621,205.3301883,24.4955093,0.7057143,t17_f5_c3,0.9998337,20.6775,0.4526,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59324.26690969989,1570266902315015031,2,1570266902315,20.39609,1,1570,0.7052181,18.86687,18.269403,18.9368,0.08409202,0.022921968,0.04850294,0.1081,205.3301846,24.4955319,0.9557143,t17_f5_c3,0.9999991,18.8948,0.1322,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59324.26690969989,1570266902315035031,2,1570266902315,20.3961,1,1570,0.705218,18.8669,18.26942,18.9368,0.084092,0.022919584,0.048502386,0.1081,205.3301846,24.4955319,0.955714,t17_f5_c3,,18.8948,0.1322,,False,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59324.36663189996,1570366632315015008,1,1570366632315,20.574358,1,1570,1.1516016,20.151636,19.321669,20.2394,0.20580709,0.07728754,0.095823705,0.2874,205.3301167,24.4955122,0.89428574,t17_f5_c3,0.99949014,20.276,0.3789,627120123.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
ztf,59328.27574069984,1574275742315015006,2,1574275742315,19.846863,1,1574,0.5439282,18.971128,18.32831,19.14,0.12669303,0.0536226,0.070085086,0.2349,205.3302394,24.4955608,0.9342857,t17_f5_c3,0.999936,19.2695,0.339,627120223.0,True,True,False,correction_0.0.1,0.0,,ZTF21aafkwtk
