tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59228.453518500086,1474453511415015008,1,1474453511415,20.1207,1,1474,0.579742,20.3483,18.69098,19.6625,0.291706,0.06029383,0.06338949,0.214,167.4532482,-20.3638523,0.514286,t17_f5_c3,19.6276,0.2642,False,True,False,bulk_1.0.0,0.0,1.478478431415015e+18,,,ZTF21aagcmkk
ztf,59230.46239579981,1476462391415015007,1,1476462391415,20.0721,1,1476,0.313874,20.2308,18.664343,19.987,0.284204,0.0643786,0.06715021,0.2943,167.4532043,-20.3637569,0.617143,t17_f5_c3,19.8716,0.3378,False,True,False,bulk_1.0.0,0.0,1.478478431415015e+18,,,ZTF21aagcmkk
ztf,59232.478437500075,1478478431415015013,1,1478478431415,20.206247,1,1478,0.4776887,20.227835,18.663643,20.3546,0.19800557,0.042822737,0.04688138,0.4005,167.4532549,-20.3637335,0.93285716,t17_f5_c3,20.5394,0.6062,True,True,False,bulk_1.0.0,0.0,0.0,0.99995685,318120114.0,ZTF21aagcmkk
ztf,59309.19090279983,1555190900315015007,1,1555190900315,20.0833,1,1555,0.749423,20.4136,18.6778,19.818,0.335773,0.064629935,0.06787742,0.2614,167.4529375,-20.3636815,0.542857,t17_f5_c3,19.8699,0.3497,False,True,False,correction_0.0.1,0.0,,,,ZTF21aagcmkk
ztf,59312.30495369993,1558304951415015002,2,1558304951415,19.8992,1,1558,0.278083,20.1004,18.352774,19.6321,0.281554,0.0546329,0.056300364,0.2877,167.4531594,-20.3638214,0.787143,t17_f5_c3,19.5454,0.3395,False,True,False,correction_0.0.1,0.0,,,,ZTF21aagcmkk
ztf,59313.23140050005,1559231400315015003,1,1559231400315,20.0233,1,1559,0.409645,19.9847,18.576365,19.9297,0.229364,0.059773993,0.062688954,0.3039,167.4532502,-20.3638061,0.841429,t17_f5_c3,19.9364,0.3905,False,True,False,correction_0.0.1,0.0,,,,ZTF21aagcmkk
ztf,59316.27370369993,1562273701415015027,2,1562273701415,20.30123,1,1562,0.41997257,20.182484,18.3687,20.4867,0.21280834,0.037584253,0.040038228,0.4901,167.4531823,-20.3638572,0.8914286,t17_f5_c3,20.6356,0.7162,True,True,False,correction_0.0.1,0.0,,0.999979,318120214.0,ZTF21aagcmkk
ztf,59317.17349540023,1563173490315015009,1,1563173490315,20.3586,1,1563,0.354929,20.2611,18.645195,20.0776,0.263655,0.056014113,0.059521526,0.2605,167.4530773,-20.3638001,0.807143,t17_f5_c3,20.1178,0.3434,False,True,False,correction_0.0.1,0.0,,,,ZTF21aagcmkk
ztf,59317.17349540023,1563173490315025009,1,1563173490315,20.3586,1,1563,0.354929,20.2611,18.645195,20.0776,0.263655,0.056014113,0.059521526,0.2605,167.4530773,-20.3638001,0.807143,t17_f5_c3,20.1178,0.3434,False,True,False,correction_0.0.1,0.0,,,,ZTF21aagcmkk
ztf,59320.16896989988,1566168960315015033,1,1566168960315,19.422,1,1566,0.328274,19.7758,18.515163,19.9926,0.288909,0.088690266,0.09047032,0.586,167.4530589,-20.3637495,0.852857,t17_f5_c3,19.8016,0.6297,False,True,False,correction_0.0.1,0.0,,,,ZTF21aagcmkk
