tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,oid
ztf,59250.56371530006,1496563714415015002,2,1496563714415,19.216,1,1496,0.678435,17.0134,15.340316,17.2011,0.100727,0.017530352,0.021573108,0.0486,281.9363337,-0.9596099,0.787143,t17_f5_c3,17.0998,0.0556,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59250.56608799985,1496566084415015000,2,1496566084415,19.0688,1,1496,1.27079,17.2835,15.392778,17.2448,0.070902,100.0,0.012427088,0.0578,281.9362199,-0.9597976,0.735714,t17_f5_c3,17.132,0.0659,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59250.568460599985,1496568464415015001,2,1496568464415,18.854086,1,1496,1.3240199,17.438696,15.418425,17.3637,0.083764024,100.0,0.013030134,0.0709,281.9366168,-0.9594293,0.6157143,t17_f5_c3,17.3222,0.0867,True,True,False,correction_0.0.1,0.0,0.9999999,436120244.0,,ZTF21aahgayw
ztf,59250.57084489986,1496570844415015002,2,1496570844415,18.089567,1,1496,2.2044787,17.729362,,17.53,0.17156443,,,0.1044,281.9367805,-0.9597539,0.45857143,t17_f5_c3,17.2314,0.1014,True,False,True,correction_0.0.1,0.0,0.37862298,436120244.0,,ZTF21aahgayw
ztf,59251.564363399986,1497564364415015003,2,1497564364415,18.8036,1,1497,1.12447,17.321,15.399258,17.4676,0.070916,100.0,0.012079461,0.0623,281.9365071,-0.9596176,0.602857,t17_f5_c3,17.2795,0.0675,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59251.564363399986,1497564364415015004,2,1497564364415,18.8036,1,1497,1.04619,17.3352,15.401663,17.2437,0.098139,0.0098202005,0.016535874,0.0499,281.9364884,-0.9596061,0.602857,t17_f5_c3,17.1424,0.0573,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59251.566736099776,1497566734415015001,2,1497566734415,18.7866,1,1497,0.515719,17.3407,15.402588,17.9119,0.076428,100.0,0.012823532,0.1067,281.9363512,-0.9595393,0.565714,t17_f5_c3,17.432,0.0886,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59251.566736099776,1497566734415015002,2,1497566734415,18.7866,1,1497,0.422359,17.1612,15.370322,17.2814,0.124293,0.020083472,0.02388337,0.0586,281.9363194,-0.9595333,0.691429,t17_f5_c3,17.2698,0.0735,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59251.56912040012,1497569124415015004,2,1497569124415,18.4636,1,1497,0.390517,17.33,15.400785,17.9467,0.093413,0.008544075,0.015802344,0.1319,281.9362834,-0.9593383,0.548571,t17_f5_c3,17.5669,0.1198,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59251.56912040012,1497569124415015005,2,1497569124415,18.4636,1,1497,0.312148,17.2374,15.384555,17.3106,0.111888,0.0155198565,0.020306988,0.0727,281.9363065,-0.9593789,0.651429,t17_f5_c3,17.2919,0.0908,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59251.57150459988,1497571504415015003,2,1497571504415,18.1559,1,1497,1.20243,17.2077,15.379104,17.3185,0.112338,0.016275506,0.020849135,0.0944,281.9365655,-0.9593347,0.528571,t17_f5_c3,17.3275,0.1217,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
ztf,59252.56303239986,1498563034415015001,2,1498563034415,19.8428,1,1498,0.416171,17.2111,15.379734,17.353,0.102299,0.013734687,0.01893761,0.0431,281.9363181,-0.9595311,0.704286,t17_f5_c3,17.3476,0.0531,False,True,False,correction_0.0.1,0.0,,,,ZTF21aahgayw
