tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,oid
ztf,59250.36339120008,1496363390315015002,1,1496363390315,20.4082,1,1496,0.012717,20.7214,18.824984,20.5232,0.266252,0.04450304,0.046422336,0.3521,163.1809307,51.7550988,0.905714,t17_f5_c3,20.443,0.4162,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59256.340983800124,1502340980315015003,1,1502340980315,20.7095,1,1502,0.279482,20.7214,18.824984,20.9883,0.226491,0.03721468,0.03948981,0.5085,163.1808113,51.7550809,0.954286,t17_f5_c3,21.1103,0.7237,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59262.3246065001,1508324600315015004,1,1508324600315,20.4291,1,1508,0.403542,20.5758,18.798153,20.8599,0.283023,0.053520825,0.055050664,0.4723,163.1810195,51.7551979,0.944286,t17_f5_c3,21.0664,0.7268,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59262.341828700155,1508341820315015000,2,1508341820315,20.351284,1,1508,0.06908992,20.303724,18.725851,20.5844,0.2053633,0.044958483,0.048014592,0.4421,163.1809366,51.7551013,0.98,t17_f5_c3,20.4651,0.5053,True,True,False,correction_0.0.1,0.0,0.9893649,787120203.0,,ZTF21aalhiyu
ztf,59308.26349540008,1554263490315015003,1,1554263490315,20.62717,1,1554,0.09837013,20.62083,18.806767,20.4857,0.19436367,0.034172736,0.03655857,0.3402,163.1809065,51.755076,0.9557143,t17_f5_c3,20.9446,0.6594,True,True,False,correction_0.0.1,0.0,0.99999,787120103.0,,ZTF21aalhiyu
ztf,59314.24200229999,1560242000315015001,1,1560242000315,20.715471,1,1560,0.15080512,20.399424,18.761526,20.459,0.2065215,0.04395649,0.045688435,0.3211,163.1808864,51.7551266,0.9771429,t17_f5_c3,20.5578,0.4467,True,True,False,correction_0.0.1,0.0,0.99999976,787120103.0,,ZTF21aalhiyu
ztf,59316.32326389989,1562323260315015004,1,1562323260315,20.8171,1,1562,0.255851,20.6716,18.816135,19.9888,0.236922,0.040846042,0.04289627,0.1913,163.1809833,51.7551626,0.651429,t17_f5_c3,20.0128,0.2471,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59319.26633099979,1565266330315015000,1,1565266330315,20.6157,1,1565,0.269958,20.6567,18.813423,21.0194,0.256628,0.04513424,0.046988666,0.5316,163.1810214,51.7550427,0.931429,t17_f5_c3,20.9686,0.6455,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59334.20395829994,1580203950315015003,1,1580203950315,20.4563,1,1580,0.458062,20.4635,18.77538,20.1963,0.24875,0.05100488,0.052543037,0.2864,163.1808519,51.754979,0.931429,t17_f5_c3,20.3699,0.4278,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59336.21524310019,1582215240315015001,1,1582215240315,20.622272,1,1582,0.22881238,20.405546,18.762878,20.3981,0.19276077,0.040582824,0.04245719,0.2964,163.1808739,51.75515,0.9685714,t17_f5_c3,20.5609,0.4371,True,True,False,correction_0.0.1,0.0,0.99999654,787120103.0,,ZTF21aalhiyu
ztf,59336.21524310019,1582215240315025001,1,1582215240315,20.6223,1,1582,0.228812,20.4055,18.762867,20.3981,0.192761,0.040584374,0.042458635,0.2964,163.1808739,51.75515,0.968571,t17_f5_c3,20.5609,0.4371,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59336.21524310019,1582215240315035001,1,1582215240315,20.6223,1,1582,0.228812,20.4055,18.762867,20.3981,0.192761,0.040584374,0.042458635,0.2964,163.1808739,51.75515,0.968571,t17_f5_c3,20.5609,0.4371,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59338.20119210007,1584201190315015001,1,1584201190315,20.543571,1,1584,0.12230621,20.402308,18.762163,20.7457,0.20331821,0.043120556,0.0448868,0.476,163.1809228,51.7551307,0.9657143,t17_f5_c3,20.6069,0.5342,True,True,False,correction_0.0.1,0.0,1.0,787120103.0,,ZTF21aalhiyu
ztf,59340.200671299826,1586200670315015001,1,1586200670315,20.5223,1,1586,0.037888,20.43,18.768217,20.5055,0.249469,0.05251284,0.053988736,0.3743,163.180926,51.7551058,0.974286,t17_f5_c3,20.2858,0.3897,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59344.20252310019,1590202520315015002,2,1590202520315,20.429941,1,1590,0.50287384,20.325993,18.731016,20.1515,0.19000399,0.040316187,0.043729253,0.3162,163.180858,51.7552175,0.92285717,t17_f5_c3,20.3341,0.4766,True,True,False,correction_0.0.1,0.0,0.99999756,787120203.0,,ZTF21aalhiyu
ztf,59344.28259260021,1590282590315015001,1,1590282590315,20.4999,1,1590,0.442539,20.5031,18.783625,20.5602,0.249974,0.049697362,0.05129852,0.3821,163.1807977,51.7550064,0.957143,t17_f5_c3,20.1469,0.333,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59348.24020829983,1594240200315015001,1,1594240200315,20.622759,1,1594,0.27065784,20.267582,18.73095,20.1411,0.19344124,0.045389302,0.046978142,0.2691,163.1810344,51.7551409,0.95285714,t17_f5_c3,19.9238,0.2805,True,True,False,correction_0.0.1,0.0,0.9999943,787120103.0,,ZTF21aalhiyu
ztf,59350.183229200076,1596183220315015002,1,1596183220315,20.3024,1,1596,0.269194,20.2175,18.718573,20.1886,0.270397,0.06692445,0.067987725,0.2795,163.1810554,51.7551122,0.891429,t17_f5_c3,20.1724,0.3503,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59353.19622689998,1599196220315015003,2,1599196220315,20.0501,1,1599,0.180176,20.1052,18.676079,20.4977,0.265298,0.069289215,0.07113536,0.6001,163.180879,51.7551237,0.858571,t17_f5_c3,20.3332,0.6606,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59353.21245370014,1599212450315015005,1,1599212450315,19.9295,1,1599,0.164796,20.1031,18.688654,20.0252,0.2604,0.06980647,0.07077217,0.377,163.1809705,51.7551374,0.898571,t17_f5_c3,20.0565,0.497,False,True,False,correction_0.0.1,0.0,,,,ZTF21aalhiyu
ztf,59363.19651619997,1609196510315015004,2,1609196510315,20.355385,1,1609,0.20547567,20.022741,18.653347,20.245,0.2065326,0.056345545,0.05851011,0.3652,163.1809902,51.7551253,0.9742857,t17_f5_c3,19.8491,0.3242,True,True,False,correction_0.0.1,0.0,0.99988925,787120203.0,,ZTF21aalhiyu
ztf,59363.22153940005,1609221530315015000,1,1609221530315,20.475492,1,1609,0.105436414,20.031082,18.668604,19.8557,0.16152437,0.044608656,0.04605178,0.2189,163.18094,51.7551265,0.9671429,t17_f5_c3,19.9364,0.2997,True,True,False,correction_0.0.1,0.0,0.99999905,787120103.0,,ZTF21aalhiyu
ztf,59365.199432900175,1611199430315015003,1,1611199430315,20.371,1,1611,0.10350422,20.003931,18.660793,20.016,0.18453732,0.052340742,0.053558555,0.267,163.1809816,51.755093,0.97,t17_f5_c3,20.1339,0.3789,True,True,False,correction_0.0.1,0.0,0.9999925,787120103.0,,ZTF21aalhiyu
ztf,59367.20356479986,1613203560315015003,2,1613203560315,20.203312,1,1613,0.022029718,20.247002,18.71232,20.6167,0.20261846,0.046399314,0.049295418,0.5975,163.1809188,51.7550793,0.9342857,t17_f5_c3,20.3298,0.5873,True,True,False,correction_0.0.1,0.0,0.9999771,787120203.0,,ZTF21aalhiyu
ztf,59367.25990739977,1613259900315015000,1,1613259900315,20.280262,1,1613,0.08827955,19.949324,18.644659,19.9459,0.17500243,0.051420078,0.052623317,0.2912,163.180971,51.7551086,0.96428573,t17_f5_c3,19.7128,0.2999,True,True,False,correction_0.0.1,0.0,0.999998,787120103.0,,ZTF21aalhiyu
