tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59264.26226849994,1510262263115015015,1,1510262263115,20.38126,1,1510,0.11980182,20.376017,19.393845,20.2159,0.19444528,0.07759412,0.07869161,0.317,110.23007,53.2004728,0.93,t17_f5_c3,0.9931875,20.012,0.337,783120131.0,True,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59270.30284720007,1516302843115015012,2,1516302843115,19.4157,1,1516,0.547666,19.6712,18.961157,19.4204,0.222392,0.11467698,0.115638435,0.3575,110.2301064,53.2005815,0.825714,t17_f5_c3,,19.885,0.7037,,False,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59290.22049769992,1536220493115015014,1,1536220493115,20.57652,1,1536,0.17604797,20.275446,19.352015,20.1641,0.16010101,0.06722363,0.06839458,0.2607,110.2299581,53.2004694,0.9285714,t17_f5_c3,0.9994788,20.1428,0.3269,783120131.0,True,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59303.24626159994,1549246263115015009,2,1549246263115,19.9352,1,1549,0.117583,19.8124,19.032284,19.3712,0.190367,0.09142915,0.09279939,0.2417,110.2299948,53.2004093,0.748571,t17_f5_c3,,19.4471,0.3324,,False,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59306.2438194002,1552243813115015014,2,1552243813115,20.425495,1,1552,0.28002325,20.052034,19.142519,19.9278,0.15830007,0.06620149,0.06849751,0.26,110.2300341,53.2005082,0.8585714,t17_f5_c3,0.9913134,20.3307,0.4815,783120231.0,True,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59308.25922450004,1554259223115015020,1,1554259223115,20.380398,1,1554,0.23861854,20.316442,19.369339,20.2635,0.19460194,0.08032621,0.08134034,0.3328,110.2300927,53.2003978,0.93,t17_f5_c3,0.99996865,20.5915,0.5765,783120131.0,True,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59312.26151619991,1558261513115015008,2,1558261513115,20.1493,1,1558,0.324845,20.2476,19.222858,20.0881,0.246543,0.09405166,0.09593912,0.329,110.2301608,53.2004819,0.918571,t17_f5_c3,,20.1457,0.4447,,False,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59316.204652800225,1562204653115015018,1,1562204653115,20.7962,1,1562,0.17257,20.5658,19.466702,20.31,0.2272,0.081363246,0.0825599,0.2677,110.2299938,53.2004082,0.795714,t17_f5_c3,,20.8799,0.5769,,False,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59319.20685190009,1565206853115015009,2,1565206853115,20.394375,1,1565,0.16797748,20.073841,19.151901,20.0937,0.1904454,0.07951475,0.081469364,0.2653,110.2300559,53.2004776,0.95285714,t17_f5_c3,0.90505886,20.017,0.3166,783120231.0,True,True,False,correction_0.0.1,0.0,,ZTF21aalspgk
ztf,59671.28412039997,1917284123115015014,1,1917284123115,20.410818,1,1917,0.40750322,20.601746,19.479626,20.6634,0.21422443,0.07488211,0.076211646,0.4803,110.2300954,53.2003437,0.88,t17_f5_c3,0.96871006,20.8634,0.74,783120131.0,True,True,False,correction_1.0.6,0.0,,ZTF21aalspgk
ztf,59671.28412039997,1917284123115025014,1,1917284123115,20.4187,1,1917,0.382976,20.5312,19.454,20.1944,0.205881,0.07507166,0.076337256,0.3104,110.2300713,53.2003468,0.838571,t17_f5_c3,,20.1047,0.3662,,False,True,False,correction_1.0.6,0.0,1.946161653115015e+18,ZTF21aalspgk
ztf,59683.1657292,1929165723115015009,2,1929165723115,20.047003,1,1929,0.32612827,19.822456,19.037174,19.5473,0.19413798,0.092826456,0.09418848,0.2673,110.2301472,53.2004968,0.73714286,t17_f5_c3,0.7927208,19.6035,0.3607,783120231.0,True,True,False,correction_1.0.6,0.0,,ZTF21aalspgk
ztf,59685.20672449982,1931206723115015006,2,1931206723115,19.7154,1,1931,0.489652,19.8077,19.02999,19.0115,0.2385,0.11543744,0.11652113,0.2007,110.2301101,53.2005627,0.454286,t17_f5_c3,,18.68,0.1898,,False,True,False,correction_1.0.6,0.0,1.946161653115015e+18,ZTF21aalspgk
ztf,59690.26146990014,1936261463115015011,1,1936261463115,19.9818,1,1936,0.563961,20.3707,19.39169,19.6896,0.304773,0.123008184,0.12370067,0.263,110.2298256,53.2005556,0.462857,t17_f5_c3,,19.3774,0.2531,,False,True,False,correction_1.0.6,0.0,1.946161653115015e+18,ZTF21aalspgk
ztf,59694.2660069,1940266003115015012,1,1940266003115,19.8665,1,1940,0.537988,20.2515,19.34172,19.3521,0.330584,0.14246546,0.14301127,0.2425,110.2298311,53.2003612,0.427143,t17_f5_c3,,19.0576,0.2375,,False,True,False,correction_1.0.6,0.0,1.946161653115015e+18,ZTF21aalspgk
ztf,59700.16165510006,1946161653115015015,2,1946161653115,20.316872,1,1946,0.22343004,19.831503,19.041553,19.7972,0.1735043,0.08227067,0.083816744,0.2507,110.2300376,53.2004927,0.87857145,t17_f5_c3,0.9926239,19.7844,0.3173,783120231.0,True,True,False,correction_1.0.6,0.0,,ZTF21aalspgk
ztf,59984.25950230006,2230259503115015013,2,2230259503115,19.831247,1,2230,0.062390078,19.042439,18.589731,18.9208,0.122521915,0.08005312,0.08074786,0.1371,110.2300592,53.2004361,0.88714284,t17_f5_c3,0.9880932,19.0461,0.1968,783120231.0,True,True,False,1.1.6,0.0,,ZTF21aalspgk
