tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,oid
ztf,59248.56461809995,1494564615215015005,2,1494564615215,19.3322,1,1494,0.694978,14.5239,13.095731,14.5198,0.00805,100.0,0.0021603701,0.0059,289.5148567,8.1375362,0.735714,t17_f5_c3,14.5042,0.0066,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59248.56747689983,1494567471515015028,2,1494567471515,19.4043,1,1494,0.532751,14.7109,13.105201,14.7227,0.009451,100.0,0.002153764,0.0073,289.5148389,8.1375852,0.76,t17_f5_c3,14.7148,0.0083,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59248.569861100055,1494569861515015020,2,1494569861515,19.3689,1,1494,0.566739,14.6804,13.098175,14.7245,0.060853,100.0,0.014170721,0.0076,289.5148494,8.1375831,0.747143,t17_f5_c3,14.7221,0.0087,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59248.569861100055,1494569861515015021,2,1494569861515,19.3689,1,1494,0.57947,14.7272,13.108894,15.3072,0.009851,100.0,0.0022190046,0.0117,289.5148482,8.1375756,0.63,t17_f5_c3,14.8879,0.0098,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59249.56626159977,1495566261515015024,2,1495566261515,19.0432,1,1495,0.675503,14.5495,13.066253,14.6245,0.043427,100.0,0.011077985,0.0069,289.5148928,8.1375962,0.732857,t17_f5_c3,14.6112,0.0078,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59249.5686458,1495568641515015027,2,1495568641515,19.0066,1,1495,0.527062,14.6837,13.098943,15.6187,0.009741,100.0,0.0022630838,0.0157,289.5148442,8.1375954,0.474286,t17_f5_c3,15.1395,0.0128,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59249.57295140019,1495572955215015006,2,1495572955215,18.7586,1,1495,1.29979,14.6473,13.127495,15.1241,0.037938,100.0,0.009357342,0.013,289.5148276,8.1373408,0.422857,t17_f5_c3,14.9448,0.0138,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59249.57295140019,1495572955215015007,2,1495572955215,18.7586,1,1495,0.53205,14.6131,13.118959,14.5298,0.010513,100.0,0.002655035,0.0081,289.5148082,8.1375621,0.758571,t17_f5_c3,14.5076,0.0096,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59250.56277780002,1496562771515015050,2,1496562771515,19.2611,1,1496,0.618378,14.5652,13.070236,14.6669,0.067524,0.006622657,0.01704012,0.0069,289.5148727,8.1375923,0.67,t17_f5_c3,14.6485,0.0076,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59250.56798609998,1496567985215015007,2,1496567985215,19.0577,1,1496,1.15745,14.6701,13.133074,15.5387,0.036784,100.0,0.008929941,0.0149,289.5147741,8.1373724,0.431429,t17_f5_c3,15.0647,0.0123,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59251.56342589995,1497563421515015032,2,1497563421515,19.1072,1,1497,0.656595,14.7727,13.1189785,14.7287,0.010273,100.0,0.0022397963,0.0073,289.5148904,8.137604,0.691429,t17_f5_c3,14.6939,0.008,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59251.56390050007,1497563905215015002,2,1497563905215,18.9822,1,1497,1.02512,14.5777,13.109909,14.54,0.009477,100.0,0.002452193,0.0062,289.5149708,8.1375176,0.64,t17_f5_c3,14.4822,0.0068,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59251.56627310021,1497566275215015005,2,1497566275215,18.6458,1,1497,0.551984,14.4372,13.071775,14.4783,0.038108,0.004125533,0.010835434,0.0063,289.5148503,8.1375843,0.581429,t17_f5_c3,14.4184,0.007,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59251.56818290008,1497568181515015026,2,1497568181515,18.478,1,1497,1.19886,14.8507,13.135513,14.7993,0.052413,100.0,0.0107985195,0.0095,289.5150476,8.1375882,0.57,t17_f5_c3,14.6618,0.01,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59251.5686458,1497568645215015006,2,1497568645215,18.4657,1,1497,0.578676,14.4415,13.072996,14.5158,0.05,0.0100179855,0.014176483,0.0071,289.5148351,8.1375624,0.59,t17_f5_c3,14.4577,0.008,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59251.57055559987,1497570551515015053,2,1497570551515,18.2383,1,1497,0.631652,14.5841,13.074975,14.6185,0.031562,100.0,0.007861664,0.0092,289.5148804,8.1375992,0.604286,t17_f5_c3,14.5745,0.0107,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59251.571030099876,1497571035215015016,2,1497571035215,18.3095,1,1497,0.667728,14.5494,13.102515,14.5845,0.037897,100.0,0.009996568,0.0089,289.5149265,8.1376528,0.641429,t17_f5_c3,14.5249,0.0102,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59252.56446760008,1498564461515015033,2,1498564461515,19.8751,1,1498,0.696502,14.8708,13.139624,15.1857,0.077299,100.0,0.01569291,0.009,289.5149026,8.1376039,0.611429,t17_f5_c3,15.0649,0.0092,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59252.567314799875,1498567315215015005,2,1498567315215,19.3526,1,1498,0.832732,14.7232,13.145728,15.2757,0.009896,100.0,0.0023145743,0.0115,289.514761,8.137461,0.45,t17_f5_c3,15.0473,0.0113,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59252.567314799875,1498567315215015006,2,1498567315215,19.3526,1,1498,0.901432,14.7934,13.161745,15.0824,0.0734,0.0121756345,0.01633181,0.0097,289.5147508,8.137441,0.387143,t17_f5_c3,14.9567,0.0104,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59252.5692245001,1498569221515015026,2,1498569221515,19.2048,1,1498,0.51751,14.9277,13.150937,14.9113,0.012361,100.0,0.0024062924,0.0099,289.5148457,8.1376031,0.658571,t17_f5_c3,14.9031,0.0116,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59252.5692245001,1498569221515015027,2,1498569221515,19.2048,1,1498,0.557453,14.8715,13.139766,15.3237,0.073088,100.0,0.014830388,0.0137,289.5148432,8.1375794,0.552857,t17_f5_c3,15.1334,0.014,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59253.56284719985,1499562845215015012,2,1499562845215,19.8531,1,1499,1.0571,14.8197,13.167542,15.4102,0.049935,100.0,0.010902898,0.0099,289.5148138,8.1374072,0.408571,t17_f5_c3,15.258,0.01,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59253.56575229997,1499565751515015041,2,1499565751515,19.3393,1,1499,0.545431,14.7222,13.107766,14.8697,0.071799,100.0,0.016230978,0.0082,289.5148636,8.1376178,0.747143,t17_f5_c3,14.8546,0.0092,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59253.56770829996,1499567705215015008,2,1499567705215,19.2653,1,1499,0.920706,14.7516,13.152305,15.1852,0.055297,0.0066515044,0.012676032,0.0104,289.5148136,8.1374488,0.541429,t17_f5_c3,15.0378,0.011,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59255.56473380001,1501564731515015029,2,1501564731515,19.5204,1,1501,0.548436,15.0043,13.165431,15.7243,0.065528,100.0,0.01204701,0.0147,289.5148369,8.1375806,0.54,t17_f5_c3,15.4652,0.0139,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59255.56715280004,1501567151515015028,2,1501567151515,19.2476,1,1501,0.57969,15.0094,13.166367,15.8896,0.057338,100.0,0.010500963,0.0185,289.5148325,8.1375585,0.498571,t17_f5_c3,15.378,0.0146,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59255.569583300035,1501569581515015026,2,1501569581515,19.0636,1,1501,0.613264,15.0829,13.179461,15.0437,0.035459,100.0,0.0061425795,0.0107,289.5148758,8.1375971,0.752857,t17_f5_c3,15.0303,0.0125,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59256.561481500044,1502561485215015008,2,1502561485215,19.6632,1,1502,0.657554,15.1535,13.232173,15.2778,0.045602,100.0,0.0077705733,0.0097,289.5148364,8.137537,0.584286,t17_f5_c3,15.1624,0.0101,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59256.563877299894,1502563875215015007,2,1502563875215,19.4376,1,1502,1.17997,15.1598,13.233243,15.4089,0.06365,100.0,0.010793839,0.011,289.5148346,8.1373773,0.385714,t17_f5_c3,15.1897,0.0112,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59256.563877299894,1502563875215015009,2,1502563875215,19.4376,1,1502,0.624236,15.084,13.220011,15.0465,0.012511,100.0,0.0022474835,0.0089,289.5148515,8.1375577,0.694286,t17_f5_c3,15.0387,0.0101,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59256.56434029993,1502564341515015027,2,1502564341515,19.4022,1,1502,0.544086,15.1036,13.183019,15.2203,0.096996,100.0,0.016539462,0.011,289.5148393,8.1375806,0.647143,t17_f5_c3,15.2128,0.0125,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59256.56626159977,1502566265215015011,2,1502566265215,19.3415,1,1502,1.22256,15.0472,13.213307,15.5261,0.128956,0.020903485,0.023816861,0.0141,289.5148306,8.1373643,0.431429,t17_f5_c3,15.4103,0.0152,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59258.55949069979,1504559495215015006,2,1504559495215,18.8248,1,1504,0.816294,15.3706,13.266232,15.5347,0.083749,0.001318336,0.012056803,0.0208,289.5148853,8.1375177,0.451429,t17_f5_c3,15.3797,0.0224,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59258.55995369982,1504559951515015033,2,1504559951515,18.9638,1,1504,0.809957,15.5982,13.252965,15.5968,0.061724,100.0,0.0071180337,0.0199,289.5149458,8.1376442,0.725714,t17_f5_c3,15.5905,0.023,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59264.54056710005,1510540565215015008,2,1510540565215,20.0731,1,1510,2.20707,16.8229,,16.6685,0.285253,,,0.0273,289.5149173,8.1371006,0.121429,t17_f5_c3,16.4615,0.0277,False,False,True,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59264.543553200085,1510543555215015010,2,1510543555215,20.1799,1,1510,1.5941,16.764,,16.827,0.287693,,,0.0333,289.5150232,8.1373402,0.127143,t17_f5_c3,16.5423,0.0293,False,False,True,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59264.552511599846,1510552515215015010,2,1510552515215,20.0554,1,1510,2.1006,16.7278,,16.8465,0.247795,,,0.0343,289.5149594,8.1371465,0.118571,t17_f5_c3,16.464,0.0281,False,False,True,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59265.544027800206,1511544025215015008,2,1511544025215,19.5703,1,1511,0.939333,16.6888,13.382086,16.3198,0.049642,100.0,0.0023613651,0.0236,289.5150085,8.1376823,0.378571,t17_f5_c3,16.235,0.0244,False,True,False,correction_0.0.1,0.0,,,,ZTF21aammcmt
ztf,59266.543599499855,1512543595215015029,2,1512543595215,18.890114,1,1512,1.9701588,16.034615,,16.4627,0.077456325,,,0.0251,289.5151258,8.1372925,0.40142858,t17_f5_c3,16.2359,0.0236,True,False,True,correction_0.0.1,0.0,0.00858366,488120252.0,,ZTF21aammcmt
ztf,59623.56487269979,1869564875215015008,2,1869564875215,19.2104,1,1869,2.33361,16.6317,,17.117,0.229347,,,0.0611,289.5151277,8.1371625,0.205714,t17_f5_c3,16.9572,0.0659,False,False,True,correction_1.0.6,0.0,,,1.876550015215015e+18,ZTF21aammcmt
ztf,59624.561469899956,1870561465215015006,2,1870561465215,19.3886,1,1870,2.50709,17.0474,,16.9794,0.26604,,,0.0513,289.5151051,8.1370899,0.121429,t17_f5_c3,16.709,0.0483,False,False,True,correction_1.0.6,0.0,,,1.876550015215015e+18,ZTF21aammcmt
ztf,59629.54124999978,1875541255215015006,2,1875541255215,19.294,1,1875,0.963223,16.6328,13.379355,16.5503,0.062653,100.0,0.0031301435,0.0328,289.5147644,8.1374266,0.335714,t17_f5_c3,16.0502,0.0257,False,True,False,correction_1.0.6,0.0,,,1.876550015215015e+18,ZTF21aammcmt
ztf,59629.543831000105,1875543835215015008,2,1875543835215,19.3415,1,1875,0.677285,16.2368,13.35574,15.8055,0.049604,100.0,0.003492151,0.0178,289.5145958,8.1375727,0.665714,t17_f5_c3,15.7785,0.0201,False,True,False,correction_1.0.6,0.0,,,1.8825448615150152e+18,ZTF21aammcmt
ztf,59629.546423600055,1875546425215015013,2,1875546425215,19.4124,1,1875,0.778649,15.8205,13.320596,15.8037,0.148616,0.007883476,0.01486291,0.0172,289.5146891,8.137484,0.48,t17_f5_c3,15.795,0.0196,False,True,False,correction_1.0.6,0.0,,,1.8825448615150152e+18,ZTF21aammcmt
ztf,59629.55159719987,1875551595215015012,2,1875551595215,19.4113,1,1875,1.78519,16.476,,16.2089,0.25336,,,0.023,289.5149007,8.1372199,0.202857,t17_f5_c3,16.0614,0.0253,False,False,True,correction_1.0.6,0.0,,,1.876550015215015e+18,ZTF21aammcmt
ztf,59630.54245370021,1876542455215015009,2,1876542455215,19.5598,1,1876,1.041,16.3289,13.361975,16.2405,0.08999,100.0,0.005853616,0.0227,289.5148006,8.1374064,0.564286,t17_f5_c3,15.924,0.0214,False,True,False,correction_1.0.6,0.0,,,1.876550015215015e+18,ZTF21aammcmt
ztf,59630.5500115999,1876550015215015006,2,1876550015215,19.559887,1,1876,2.0167725,16.240618,,16.2813,0.116027124,,,0.0242,289.5151047,8.1372573,0.2,t17_f5_c3,16.0445,0.0232,True,False,True,correction_1.0.6,0.0,7.817e-05,488120252.0,,ZTF21aammcmt
ztf,59630.5500115999,1876550015215015007,2,1876550015215,19.559887,1,1876,2.0659459,16.178368,,16.4761,0.03144009,,,0.0261,289.5152498,8.1374048,0.2657143,t17_f5_c3,15.9596,0.0213,True,False,True,correction_1.0.6,0.0,7.817e-05,488120252.0,,ZTF21aammcmt
