tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59708.48233800009,1954482332515015015,2,1954482332515,19.345455,1,1954,4.020411,19.367653,19.4632,0.17333941,0.2836,9.7437004,39.7041388,0.51,t17_f5_c3,0.9999948,19.3958,0.3421,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
ztf,59708.4871991002,1954487192515015013,2,1954487192515,19.2229,1,1954,3.54804,19.5253,19.7431,0.268542,0.4573,9.7438541,39.7042237,0.515714,t17_f5_c3,,19.9686,0.7228,,False,False,False,correction_1.0.6,0.0,1.958481382515015e+18,,,,ZTF21aamrfvi
ztf,59708.492071799934,1954492072515015012,2,1954492072515,18.8167,1,1954,4.11113,19.3259,19.2431,0.259074,0.4183,9.7436334,39.7043025,0.344286,t17_f5_c3,,19.4677,0.6609,,False,False,False,correction_1.0.6,0.0,1.958481382515015e+18,,,,ZTF21aamrfvi
ztf,59710.48211809993,1956482112515015013,2,1956482112515,19.4615,1,1956,3.5633,19.6494,19.4999,0.232536,0.299,9.7438642,39.7041653,0.447143,t17_f5_c3,,19.5319,0.3956,,False,False,False,correction_1.0.6,0.0,1.958481382515015e+18,,,,ZTF21aamrfvi
ztf,59710.48453699984,1956484532515015005,2,1956484532515,19.2637,1,1956,4.22393,19.565,19.6726,0.269926,0.3757,9.7436113,39.7041868,0.327143,t17_f5_c3,,19.6396,0.4678,,False,False,False,correction_1.0.6,0.0,1.958481382515015e+18,,,,ZTF21aamrfvi
ztf,59710.48696759995,1956486962515015004,2,1956486962515,19.2259,1,1956,3.76374,19.7498,19.7383,0.345025,0.4352,9.7437938,39.7041489,0.252857,t17_f5_c3,,19.7636,0.5723,,False,False,False,correction_1.0.6,0.0,1.958481382515015e+18,,,,ZTF21aamrfvi
ztf,59711.480752300005,1957480752515015005,2,1957480752515,19.0644,1,1957,3.80051,19.3708,19.2319,0.287548,0.2477,9.7438768,39.703938,0.144286,t17_f5_c3,,19.5398,0.422,,False,False,False,correction_1.0.6,0.0,1.958481382515015e+18,,,,ZTF21aamrfvi
ztf,59712.48138889996,1958481382515015010,2,1958481382515,19.674236,1,1958,3.8849974,19.397896,19.7703,0.13718633,0.4016,9.7437259,39.7042409,0.8385714,t17_f5_c3,0.99999106,20.1094,0.705,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
ztf,59712.48376160022,1958483762515015009,2,1958483762515,19.3334,1,1958,3.60353,19.7921,19.4584,0.255319,0.3347,9.7438957,39.7040635,0.277143,t17_f5_c3,,19.593,0.4863,,False,False,False,correction_1.0.6,0.0,1.958486122515015e+18,,,,ZTF21aamrfvi
ztf,59712.48612269992,1958486122515015015,2,1958486122515,19.325102,1,1958,3.8532438,19.454483,19.6262,0.17697217,0.4285,9.7437566,39.7041618,0.5928571,t17_f5_c3,0.9996761,19.7998,0.6463,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
ztf,59712.488495400175,1958488492515015011,2,1958488492515,19.12686,1,1958,3.2227657,19.342451,19.2403,0.20239289,0.3448,9.7440139,39.7041149,0.55714285,t17_f5_c3,0.99991006,19.365,0.4967,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
ztf,59712.49085649988,1958490852515015007,2,1958490852515,19.0647,1,1958,3.67024,19.6633,19.3857,0.304875,0.4707,9.7438134,39.7041936,0.227143,t17_f5_c3,,19.196,0.508,,False,False,False,correction_1.0.6,0.0,1.959485642515015e+18,,,,ZTF21aamrfvi
ztf,59713.48091439996,1959480912515015010,2,1959480912515,19.2696,1,1959,3.56545,19.8599,19.5371,0.271726,0.4881,9.7439068,39.7040547,0.367143,t17_f5_c3,,19.5017,0.607,,False,False,False,correction_1.0.6,0.0,1.959485642515015e+18,,,,ZTF21aamrfvi
ztf,59713.4856480998,1959485642515015012,2,1959485642515,19.415071,1,1959,3.7120647,19.515663,19.2657,0.17719023,0.3301,9.7437956,39.7042139,0.5057143,t17_f5_c3,0.99881375,19.2761,0.428,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
ztf,59713.488020800054,1959488022515015009,2,1959488022515,19.322264,1,1959,3.5999854,19.555527,19.946,0.20905662,0.6806,9.7438324,39.7042369,0.63714284,t17_f5_c3,0.9610778,19.4359,0.5467,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
ztf,59718.47603010014,1964476032515015015,2,1964476032515,19.593637,1,1964,3.8092084,19.654055,19.9065,0.2035539,0.5195,9.7437678,39.7041805,0.7185714,t17_f5_c3,0.9937313,19.5631,0.4869,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
ztf,59718.47839119984,1964478392515015008,2,1964478392515,19.463772,1,1964,3.8712437,19.59767,19.4717,0.20753032,0.3715,9.7437362,39.7042493,0.60142857,t17_f5_c3,0.999146,19.2697,0.3962,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
ztf,59718.480752300005,1964480752515015016,2,1964480752515,19.486,1,1964,3.82664,19.8018,19.5191,0.233997,0.393,9.7437785,39.7041247,0.394286,t17_f5_c3,,19.5749,0.5316,,False,False,False,correction_1.0.6,0.0,1.966474652515015e+18,,,,ZTF21aamrfvi
ztf,59718.48311340017,1964483112515015005,2,1964483112515,19.4464,1,1964,3.92759,19.5455,18.9163,0.231743,0.2378,9.7437194,39.7041983,0.241429,t17_f5_c3,,19.0018,0.3303,,False,False,False,correction_1.0.6,0.0,1.966474652515015e+18,,,,ZTF21aamrfvi
ztf,59720.47465279978,1966474652515015009,2,1966474652515,19.691408,1,1966,3.7596087,19.840034,19.7625,0.21460705,0.3879,9.743776,39.7042256,0.6142857,t17_f5_c3,0.9998111,20.0428,0.6443,695120225.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21aamrfvi
