tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59319.39251160016,1565392513015015001,2,1565392513015,19.75011,1,1565,1.9933378,18.648935,18.9088,0.15686202,0.1157,257.7041578,3.5283154,0.45142856,t17_f5_c3,0.07705161,19.0667,0.1785,484120230.0,True,False,False,correction_0.0.1,0.0,,,,,ZTF21aavqktn
ztf,59673.39327549981,1919393273015015002,2,1919393273015,19.897041,1,1919,1.2850281,18.303764,18.3321,0.12260124,0.0715,257.7039431,3.5281494,0.3157143,t17_f5_c3,0.9911983,18.2364,0.0824,484120230.0,True,True,True,correction_1.0.6,0.0,16.353935,0.008801083,0.020349948,,ZTF21aavqktn
ztf,59956.56758099981,2202567583015015000,2,2202567583015,19.0469,1,2202,0.841641,18.5486,18.4628,0.148512,0.1569,257.7038344,3.5282314,0.845714,t17_f5_c3,,18.7116,0.2512,,False,True,False,1.1.6,0.0,16.390942,0.007346238,0.020356286,2.202569963015015e+18,ZTF21aavqktn
ztf,59956.56996530015,2202569963015015000,2,2202569963015,19.02403,1,2202,1.1187773,18.45502,18.3615,0.1489831,0.152,257.7039085,3.5282006,0.7342857,t17_f5_c3,0.46834332,18.2732,0.1787,484120230.0,True,True,False,1.1.6,0.0,16.377628,0.011479521,0.021987705,,ZTF21aavqktn
ztf,59956.57234949991,2202572343015015000,2,2202572343015,18.958937,1,2202,1.0977163,18.551619,18.5159,0.15039837,0.1818,257.7038525,3.5284376,0.6842857,t17_f5_c3,0.99383426,18.6433,0.2608,484120230.0,True,True,False,1.1.6,0.0,16.391356,0.007889936,0.020565426,,ZTF21aavqktn
ztf,59967.55291670002,2213552913015015001,2,2213552913015,19.0919,1,2213,1.73407,18.5539,18.9194,0.219014,0.1565,257.7040867,3.5282276,0.467143,t17_f5_c3,,18.9137,0.1968,,False,False,True,1.1.6,0.0,,,,2.214555963015015e+18,ZTF21aavqktn
ztf,59968.5559605998,2214555963015015000,2,2214555963015,19.738024,1,2214,1.5009347,18.666416,18.6283,0.15465951,0.106,257.7039756,3.5280696,0.55,t17_f5_c3,0.00923997,18.5243,0.1208,484120230.0,True,False,True,1.1.6,0.0,,,,,ZTF21aavqktn
ztf,60223.1332291998,2469133223015015000,1,2469133223015,19.9081,1,2469,0.321425,19.379,19.276,0.205128,0.2009,257.7036086,3.5281707,0.867143,t17_f5_c3,,19.6456,0.3585,,False,True,False,1.2.1,0.0,17.25886,0.025663184,0.029105093,2.495115133015015e+18,ZTF21aavqktn
ztf,60223.17531249998,2469175313015015001,2,2469175313015,19.4485,1,2469,0.488796,18.4807,18.4107,0.165594,0.1239,257.7036276,3.5281281,0.864286,t17_f5_c3,,18.2619,0.137,,False,True,False,1.2.1,0.0,16.38138,0.014815986,0.023950618,2.495115133015015e+18,ZTF21aavqktn
ztf,60231.12175930012,2477121753015015001,1,2477121753015,19.9008,1,2477,0.287586,18.877,19.0838,0.132171,0.172,257.7036797,3.5282184,0.96,t17_f5_c3,,19.2317,0.2502,,False,True,False,1.2.1,0.0,17.171885,0.024388582,0.027484613,2.495115133015015e+18,ZTF21aavqktn
ztf,60249.1151389,2495115133015015000,1,2495115133015,19.172106,1,2495,1.0817721,18.984148,18.9659,0.21370158,0.2152,257.7038209,3.5284823,0.6542857,t17_f5_c3,0.9699621,19.039,0.294,484120130.0,True,True,False,1.2.1,0.0,17.193314,0.038977966,0.04106517,,ZTF21aavqktn
ztf,60317.5776157002,2563577613015015000,2,2563577613015,18.1193,1,2563,0.538986,17.9552,18.1217,0.262314,0.1661,257.7037383,3.5282015,0.375714,t17_f5_c3,,17.9701,0.185,,False,True,True,23.12.x,0.0,16.287771,0.053770788,0.056474138,2.569572713015015e+18,ZTF21aavqktn
ztf,60318.57690969994,2564576903015015001,2,2564576903015,18.8113,1,2564,0.939048,18.4039,18.3487,0.134748,0.1979,257.7038475,3.5281766,0.757143,t17_f5_c3,,18.2754,0.2367,,False,True,True,23.12.x,0.0,16.36993,0.0090383,0.020698285,2.569572713015015e+18,ZTF21aavqktn
ztf,60323.56800930016,2569568003015015001,2,2569568003015,19.4859,1,2569,1.03218,18.4025,18.389,0.115213,0.1013,257.7038735,3.5281788,0.724286,t17_f5_c3,,18.3761,0.1263,,False,True,True,23.12.x,0.0,16.369715,100.0,0.017716888,2.569572713015015e+18,ZTF21aavqktn
ztf,60323.57035879977,2569570353015015000,2,2569570353015,19.451942,1,2569,0.944221,18.56114,18.4672,0.140252,0.1171,257.703855,3.5283337,0.76285714,t17_f5_c3,0.9985814,18.3661,0.1349,484120230.0,True,True,True,23.12.x,0.0,16.392653,0.00084712694,0.019033289,,ZTF21aavqktn
ztf,60323.57271989994,2569572713015015000,2,2569572713015,19.285213,1,2569,1.2122896,18.423676,18.1699,0.10154914,0.1,257.70394,3.5282871,0.7185714,t17_f5_c3,0.79683506,18.2661,0.1386,484120230.0,True,True,True,23.12.x,0.0,16.372944,100.0,0.015359741,,ZTF21aavqktn
ztf,60739.464884299785,2985464883015015001,2,2985464883015,20.1834,1,2985,0.610198,18.7083,18.4778,0.137001,0.0835,257.703775,3.5282729,0.912857,t17_f5_c3,,18.4628,0.1024,,False,True,False,26.0.1,0.0,16.411491,100.0,0.016519628,3.008440413015015e+18,ZTF21aavqktn
ztf,60739.52295139991,2985522953015015001,1,2985522953015,20.0526,1,2985,0.061845,19.1909,19.2001,0.217691,0.1536,257.7036168,3.5282775,0.95,t17_f5_c3,,19.2774,0.208,,False,True,False,26.0.1,0.0,17.230104,0.03317721,0.035770226,3.008440413015015e+18,ZTF21aavqktn
ztf,60759.461053200066,3005461053015015000,2,3005461053015,20.3412,1,3005,0.899888,18.668,18.3288,0.235891,0.0681,257.7037857,3.5280915,0.558571,t17_f5_c3,,18.3256,0.0841,,False,True,False,26.0.1,0.0,16.406551,0.022194128,0.029385446,3.008440413015015e+18,ZTF21aavqktn
ztf,60759.49437499978,3005494373015015001,1,3005494373015,20.3758,1,3005,0.265603,19.3998,19.2164,0.159543,0.1264,257.70369,3.5282582,0.967143,t17_f5_c3,,19.165,0.1513,,False,True,False,26.0.1,0.0,17.261787,0.017501941,0.022267567,3.008440413015015e+18,ZTF21aavqktn
ztf,60762.44041670021,3008440413015015000,2,3008440413015,19.348581,1,3008,1.0671258,18.611809,18.4694,0.15407985,0.1205,257.7038852,3.5283553,0.7442857,t17_f5_c3,0.66916144,18.3935,0.1415,484120230.0,True,True,False,26.0.1,0.0,16.399391,0.0060967025,0.020080697,,ZTF21aavqktn
ztf,61055.569236100186,3301569233015015000,2,3301569233015,19.1098,1,3301,0.935514,18.1861,17.9715,0.116098,0.0801,257.7037055,3.5280217,0.528571,t17_f5_c3,,17.9419,0.0988,,False,True,False,27.5.7a32.dev1,0.0,16.333502,0.01095295,0.02107585,3.301572633015015e+18,ZTF21aavqktn
ztf,61055.57263890002,3301572633015015000,2,3301572633015,18.646389,1,3301,0.9190407,18.154728,18.0154,0.15470564,0.0997,257.7038578,3.5282769,0.5485714,t17_f5_c3,0.00184826,17.6186,0.0896,484120230.0,True,True,False,27.5.7a32.dev1,0.0,16.327738,0.02249527,0.02875479,,ZTF21aavqktn
