tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59353.38064809982,1599380642215015032,1,1599380642215,20.268557,1,1599,2.2418644,19.387386,19.1526,0.17910652,0.1179,295.3697722,2.9518057,0.33571428,t17_f5_c3,0.99631584,19.1898,0.1518,489120122.0,True,False,False,correction_0.0.1,0.0,,,,,ZTF21abbzxbq
ztf,59400.33875000011,1646338752215015028,2,1646338752215,20.6243,1,1646,0.266562,18.3529,18.3176,0.068272,0.0564,295.3691776,2.9518782,0.778571,t17_f5_c3,,18.3525,0.0706,,False,True,False,correction_1.0.6,0.0,16.102911,100.0,0.008595026,1.676297242215015e+18,ZTF21abbzxbq
ztf,59400.33875000011,1646338752215015029,2,1646338752215,20.6243,1,1646,0.646383,18.32,18.5177,0.075576,0.0666,295.369344,2.9519461,0.701429,t17_f5_c3,,18.5,0.0799,,False,True,False,correction_1.0.6,0.0,16.098713,100.0,0.009769437,1.676297242215015e+18,ZTF21abbzxbq
ztf,59402.33577550016,1648335772215015033,1,1648335772215,20.4982,1,1648,0.553774,18.9599,18.8679,0.115613,0.0851,295.3692737,2.9518567,0.847143,t17_f5_c3,,19.0289,0.1219,,False,True,True,correction_1.0.6,0.0,16.814053,0.009470055,0.0160202,1.676297242215015e+18,ZTF21abbzxbq
ztf,59404.33824069984,1650338242215015034,1,1650338242215,20.3557,1,1650,0.769308,19.1833,18.9091,0.163379,0.0996,295.3693547,2.9518595,0.624286,t17_f5_c3,,18.8613,0.1184,,False,True,True,correction_1.0.6,0.0,16.8424,0.013487443,0.01891628,1.676297242215015e+18,ZTF21abbzxbq
ztf,59406.35901620006,1652359012215015033,1,1652359012215,20.549,1,1652,0.43845,18.8958,19.0656,0.102431,0.1072,295.3692797,2.9519163,0.844286,t17_f5_c3,,19.1979,0.1495,,False,True,True,correction_1.0.6,0.0,16.804941,0.007664733,0.0149309775,1.676297242215015e+18,ZTF21abbzxbq
ztf,59406.35901620006,1652359012215015036,1,1652359012215,20.549,1,1652,0.812465,19.1132,19.0241,0.143047,0.1028,295.3693768,2.9518755,0.557143,t17_f5_c3,,18.9588,0.1199,,False,True,True,correction_1.0.6,0.0,16.834047,0.011581143,0.017531449,1.676297242215015e+18,ZTF21abbzxbq
ztf,59422.36188660003,1668361882215015026,2,1668361882215,20.1393,1,1668,0.378613,18.0278,18.3747,0.068357,0.0876,295.3692645,2.9519824,0.578571,t17_f5_c3,,18.3867,0.1118,,False,True,False,correction_1.0.6,0.0,16.056213,100.0,0.011121124,1.676297242215015e+18,ZTF21abbzxbq
ztf,59422.36188660003,1668361882215015030,2,1668361882215,20.1393,1,1668,0.480802,18.0856,18.2691,0.107729,0.0812,295.3692363,2.9518419,0.761429,t17_f5_c3,,18.3284,0.1074,,False,True,False,correction_1.0.6,0.0,16.06541,0.010974344,0.016759338,1.676297242215015e+18,ZTF21abbzxbq
ztf,59430.25417819992,1676254172215015037,2,1676254172215,20.7926,1,1676,0.226914,17.9538,17.9253,0.070381,0.0367,295.3692175,2.9519238,0.79,t17_f5_c3,,17.9556,0.045,,False,True,False,correction_1.0.6,0.0,16.043825,100.0,0.012118971,1.676297242215015e+18,ZTF21abbzxbq
ztf,59430.29724540003,1676297242215015035,1,1676297242215,20.794714,1,1676,1.5432336,19.17478,19.461,0.15060845,0.1243,295.3694813,2.9516692,0.44142857,t17_f5_c3,0.9834796,19.6503,0.182,489120122.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21abbzxbq
ztf,59438.22111110017,1684221112215015016,1,1684221112215,20.642,1,1684,1.78182,19.6253,19.2396,0.220908,0.1196,295.3696357,2.9518005,0.368571,t17_f5_c3,,19.326,0.1585,,False,False,False,correction_1.0.6,0.0,,,,1.707226002215015e+18,ZTF21abbzxbq
ztf,59452.294733799994,1698294732215015028,1,1698294732215,20.1764,1,1698,0.627404,19.2202,19.3261,0.158369,0.1922,295.3693101,2.9518665,0.788571,t17_f5_c3,,19.3196,0.2416,,False,True,True,correction_1.0.6,0.0,16.846607,0.01180187,0.01779235,1.707226002215015e+18,ZTF21abbzxbq
ztf,59461.22600689996,1707226002215015024,1,1707226002215,20.315308,1,1707,1.8736738,18.95775,18.8322,0.12592718,0.0928,295.3696783,2.9518462,0.56,t17_f5_c3,0.9999889,18.8356,0.1159,489120122.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21abbzxbq
ztf,59700.4235417,1946423542215015015,2,1946423542215,20.2016,1,1946,0.35221,17.7473,17.8027,0.069275,0.0452,295.3692615,2.9519515,0.905714,t17_f5_c3,,17.8214,0.0567,,False,True,False,correction_1.0.6,0.0,16.005352,0.007090252,0.0139250755,1.971443532215015e+18,ZTF21abbzxbq
ztf,59702.42687499989,1948426872215015015,2,1948426872215,19.9812,1,1948,0.378535,17.8097,17.7447,0.088398,0.0441,295.369269,2.9519348,0.768571,t17_f5_c3,,17.7408,0.0542,,False,True,False,correction_1.0.6,0.0,16.01761,0.011872855,0.01696706,1.971443532215015e+18,ZTF21abbzxbq
ztf,59718.41811340023,1964418112215015009,2,1964418112215,19.7667,1,1964,0.257956,17.9448,17.9567,0.065633,0.0802,295.3692325,2.9519686,0.88,t17_f5_c3,,17.8959,0.0961,,False,True,False,correction_1.0.6,0.0,16.04227,100.0,0.011379176,1.971443532215015e+18,ZTF21abbzxbq
ztf,59721.435636600014,1967435632215015016,2,1967435632215,20.4793,1,1967,0.331119,17.9133,17.8882,0.051781,0.0433,295.3692531,2.9519744,0.794286,t17_f5_c3,,17.8853,0.0528,,False,True,False,correction_1.0.6,0.0,16.036743,100.0,0.009194922,1.971443532215015e+18,ZTF21abbzxbq
ztf,59721.4441550998,1967444152215015014,2,1967444152215,20.1878,1,1967,0.251728,17.8982,17.8466,0.059945,0.0483,295.3692287,2.9519815,0.887143,t17_f5_c3,,17.9235,0.0642,,False,True,False,correction_1.0.6,0.0,16.034046,100.0,0.010766934,1.971443532215015e+18,ZTF21abbzxbq
ztf,59723.45549769979,1969455492215015022,2,1969455492215,20.5136,1,1969,0.663245,17.9187,18.7508,0.074422,0.0846,295.3693421,2.9518965,0.421429,t17_f5_c3,,18.7708,0.1078,,False,True,False,correction_1.0.6,0.0,16.0377,0.0045570796,0.013161392,1.971443532215015e+18,ZTF21abbzxbq
ztf,59725.44353009993,1971443532215015040,1,1971443532215,20.946789,1,1971,1.6128334,19.9729,19.8887,0.1560066,0.1703,295.3696172,2.9519274,0.56,t17_f5_c3,0.03587577,19.7229,0.1775,489120122.0,True,False,False,1.1.2,0.0,,,,,ZTF21abbzxbq
ztf,59761.31732639996,2007317322215015038,1,2007317322215,20.336773,1,2007,1.2498614,19.258457,19.3337,0.14768967,0.1471,295.3695143,2.9519169,0.39571428,t17_f5_c3,0.99996775,19.3615,0.1886,489120122.0,True,True,False,1.1.2,0.0,16.85084,0.0089395465,0.016080622,,ZTF21abbzxbq
ztf,59790.292106499895,2036292102215015035,2,2036292102215,20.7008,1,2036,0.440784,17.861,17.985,0.087731,0.0422,295.3692727,2.9518971,0.718571,t17_f5_c3,,18.0434,0.0534,,False,True,False,dev,0.0,16.027271,0.010633093,0.016205458,2.061239792215015e+18,ZTF21abbzxbq
ztf,59794.317812500056,2040317812215015029,1,2040317812215,20.6952,1,2040,0.916955,18.9598,18.9527,0.118803,0.0904,295.3694038,2.951865,0.758571,t17_f5_c3,,18.8711,0.1024,,False,True,False,dev,0.0,16.81404,0.010202306,0.016463526,2.061239792215015e+18,ZTF21abbzxbq
ztf,59797.35296300007,2043352962215015015,2,2043352962215,20.8847,1,2043,0.342885,17.9275,17.8857,0.042212,0.0337,295.3692098,2.9520375,0.72,t17_f5_c3,,17.8908,0.0401,,False,True,False,dev,0.0,16.039251,100.0,0.0074154353,2.067221372215015e+18,ZTF21abbzxbq
