tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59377.39751160005,1623397510815015000,2,1623397510815,20.2376,1,1623,0.09974697,15.775881,15.668053,15.8382,0.0494037,0.044636905,0.044733018,0.0087,279.0713285,-26.2415579,0.76285714,t17_f5_c3,1.0,15.8307,0.0105,283120208.0,True,True,False,correction_0.0.1,0.0,,ZTF21abfwtdf
ztf,59436.20969909988,1682209690815015000,2,1682209690815,19.73732,1,1682,0.20643786,13.94678,13.925951,14.0321,0.054489627,0.053451017,0.05345426,0.003,279.0713437,-26.2415811,0.61,t17_f5_c3,0.99994516,14.0261,0.0034,283120208.0,True,True,False,correction_1.0.6,0.0,,ZTF21abfwtdf
ztf,59765.334340299945,2011334340815015000,2,2011334340815,20.272026,1,2011,0.16063042,14.328053,14.298579,14.379,0.03442857,0.033496242,0.033506528,0.0031,279.0713215,-26.2415659,0.6957143,t17_f5_c3,0.99796337,14.3732,0.0034,283120208.0,True,True,False,dev,0.0,,ZTF21abfwtdf
ztf,59786.27231479995,2032272310815015000,2,2032272310815,20.333195,1,2032,0.023916198,14.589317,14.551962,14.6353,0.04831036,0.04666469,0.046676464,0.0037,279.0713262,-26.2415191,0.68285716,t17_f5_c3,0.99990153,14.6235,0.0041,283120208.0,True,True,False,dev,0.0,,ZTF21abfwtdf
ztf,59788.272083300166,2034272080815015000,2,2034272080815,19.545752,1,2034,0.14163269,14.960263,14.908054,14.9777,0.031157533,0.029659046,0.029694734,0.0053,279.071317,-26.2415638,0.4757143,t17_f5_c3,0.9999719,14.9818,0.0064,283120208.0,True,True,False,dev,0.0,,ZTF21abfwtdf
ztf,59793.21953700017,2039219530815015000,2,2039219530815,19.794777,1,2039,0.21170826,14.725892,14.683625,14.7602,0.0401314,0.038580984,0.038599133,0.005,279.0713425,-26.241583,0.7014286,t17_f5_c3,0.9999995,14.7518,0.0058,283120208.0,True,True,False,dev,0.0,,ZTF21abfwtdf
ztf,59824.170347199775,2070170340815015000,2,2070170340815,20.057734,1,2070,0.12812807,15.423737,15.34472,15.4781,0.044877697,0.041670866,0.04172764,0.0076,279.0713309,-26.2415636,0.6942857,t17_f5_c3,0.99999976,15.469,0.0091,283120208.0,True,True,False,dev,0.0,,ZTF21abfwtdf
ztf,59850.130868100096,2096130860815015000,2,2096130860815,20.002573,1,2096,0.12347399,15.937113,15.812975,16.0035,0.053310268,0.047432456,0.047550555,0.012,279.0713085,-26.2415556,0.70857143,t17_f5_c3,0.9998945,15.995,0.0147,283120208.0,True,True,False,dev,0.0,,ZTF21abfwtdf
ztf,60076.44188660011,2322441880815015003,2,2322441880815,19.74247,1,2322,0.09287815,15.125542,15.064983,15.1786,0.035977162,0.033983845,0.03402543,0.007,279.071329,-26.2415496,0.76285714,t17_f5_c3,1.0,15.1773,0.0085,283120208.0,True,True,False,1.2.0,0.0,,ZTF21abfwtdf
ztf,60078.42438660003,2324424380815015000,2,2324424380815,19.965174,1,2324,0.13915837,14.922231,14.871778,15.0276,0.04403821,0.04201505,0.04203862,0.0055,279.0713252,-26.2415646,0.7228571,t17_f5_c3,0.99997866,15.0139,0.0064,283120208.0,True,True,False,1.2.0,0.0,,ZTF21abfwtdf
