tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60687.5725579001,2933572555115015015,2,2933572555115,17.945816,1,2933,0.64827734,15.525426,12.854076,15.7152,0.05712715,100.0,0.0048786863,0.0233,276.0319183,10.4478889,0.57285714,t17_f5_c3,0.15288582,15.618,0.0258,1532120251.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60688.5732522998,2934573255115015017,2,2934573255115,17.936882,1,2934,1.4455807,15.680833,,15.7534,0.06505193,,,0.0291,276.0321354,10.4484106,0.5214286,t17_f5_c3,0.27247766,15.6847,0.0334,1532120251.0,True,False,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60692.56334490003,2938563345115015015,2,2938563345115,18.9366,1,2938,1.13031,15.8529,12.878492,15.9495,0.033065,100.0,0.0021360226,0.0262,276.0323791,10.4480077,0.281429,t17_f5_c3,,15.9113,0.0294,,False,True,False,26.0.1,0.0,2.955554356215015e+18,ZTF21abhswgc
ztf,60692.56861109985,2938568615115015015,2,2938568615115,18.997612,1,2938,1.006571,15.84162,12.87776,15.7303,0.08082244,100.0,0.0052721486,0.0217,276.0317819,10.4481006,0.6557143,t17_f5_c3,0.6837544,15.7135,0.0248,1532120251.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60692.57202549977,2938572025115015021,2,2938572025115,18.936646,1,2938,1.1540186,15.7559,12.871957,15.7276,0.08519908,100.0,0.0059821536,0.0221,276.0317898,10.4482048,0.71428573,t17_f5_c3,0.32891777,15.7151,0.0255,1532120251.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60692.57724539982,2938577246215015030,2,2938577246215,18.682817,1,2938,0.5198503,15.711469,12.889158,15.7436,0.1560094,100.0,0.011593817,0.0263,276.0321217,10.4481371,0.48857144,t17_f5_c3,0.92932713,15.7064,0.0305,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60692.577719899826,2938577716215015025,2,2938577716215,18.60506,1,2938,0.66447157,15.775655,12.8938,15.8842,0.115640916,100.0,0.008135222,0.0306,276.0321658,10.4481551,0.5257143,t17_f5_c3,0.68857145,15.8581,0.036,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60693.56769679999,2939567695115015020,2,2939567695115,19.3224,1,2939,0.672015,15.7178,12.869239,15.7173,0.027284,100.0,0.0019791715,0.0196,276.0322427,10.4479678,0.41,t17_f5_c3,,15.7046,0.0221,,False,True,False,26.0.1,0.0,2.955554356215015e+18,ZTF21abhswgc
ztf,60693.56769679999,2939567695115015021,2,2939567695115,19.3224,1,2939,1.45151,15.5543,,15.8302,0.150758,,,0.0204,276.0323731,10.4477481,0.237143,t17_f5_c3,,15.7873,0.0232,,False,False,True,26.0.1,0.0,2.955554356215015e+18,ZTF21abhswgc
ztf,60694.57057869993,2940570575115015008,2,2940570575115,18.8162,1,2940,0.912576,15.245,12.82709,15.635,0.143278,100.0,0.015453099,0.0191,276.0322731,10.4481535,0.401429,t17_f5_c3,,15.6175,0.0217,,False,True,False,26.0.1,0.0,2.955554356215015e+18,ZTF21abhswgc
ztf,60694.57306709979,2940573066215015009,2,2940573066215,18.665668,1,2940,0.34305882,15.211312,12.842944,15.5313,0.08145817,100.0,0.009195755,0.0187,276.0320674,10.4481074,0.66,t17_f5_c3,0.9328647,15.5132,0.0215,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60706.55908560008,2952559086215015014,2,2952559086215,19.8287,1,2952,0.723405,14.9778,12.813925,15.2621,0.09166,0.0031355885,0.012491935,0.0098,276.0322476,10.4480192,0.541429,t17_f5_c3,,15.009,0.0093,,False,True,False,26.0.1,0.0,2.955554356215015e+18,ZTF21abhswgc
ztf,60706.56320599979,2952563206215015010,2,2952563206215,19.632317,1,2952,0.6839331,15.032097,12.821167,15.0462,0.058891676,100.0,0.007685674,0.0094,276.0321581,10.4481683,0.63285714,t17_f5_c3,0.9979236,15.0222,0.01,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60706.56730319979,2952567306215015010,2,2952567306215,19.312502,1,2952,0.45176333,14.958915,12.811332,14.9898,0.051518794,100.0,0.0071274224,0.0095,276.0320686,10.4481382,0.7171429,t17_f5_c3,0.99915457,14.9691,0.0103,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60707.55734949978,2953557346215015008,2,2953557346215,19.37076,1,2953,0.4586115,14.782569,12.78516,14.8663,0.05069875,100.0,0.008054409,0.0091,276.0321237,10.4481144,0.68142855,t17_f5_c3,0.99534106,14.8532,0.0098,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60707.56079859985,2953560796215015012,2,2953560796215,19.376165,1,2953,0.3858051,15.01703,12.819189,14.9653,0.0156088825,100.0,0.002061747,0.0105,276.032078,10.4481158,0.79714286,t17_f5_c3,0.99657035,14.943,0.0113,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60707.56079859985,2953560796215015013,2,2953560796215,19.376165,1,2953,0.16231312,15.036434,12.821732,15.1803,0.042356875,100.0,0.005508623,0.0119,276.0320326,10.4479701,0.7185714,t17_f5_c3,0.99657035,15.0244,0.0119,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60707.565277799964,2953565276215015012,2,2953565276215,19.333757,1,2953,0.4022776,14.823236,12.79152,15.1286,0.059692882,100.0,0.009188315,0.0112,276.0320733,10.4479058,0.63,t17_f5_c3,0.9937612,14.9469,0.0111,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60707.565277799964,2953565276215015019,2,2953565276215,19.333757,1,2953,0.14330587,14.841342,12.794287,14.8135,0.013377518,100.0,0.0020302692,0.0093,276.0320824,10.4480101,0.7757143,t17_f5_c3,0.99765205,14.7975,0.0102,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60708.55651619984,2954556516215015010,2,2954556516215,20.141937,1,2954,0.53522515,14.895841,12.802384,14.9871,0.07189625,100.0,0.010454991,0.0083,276.0321103,10.4481521,0.5814286,t17_f5_c3,0.84341276,14.9821,0.0088,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60708.5599769,2954559976215015014,2,2954559976215,20.158,1,2954,0.914659,14.9523,12.810414,15.038,0.09786,0.006320755,0.0136097735,0.0085,276.0322962,10.4479707,0.485714,t17_f5_c3,,15.0174,0.009,,False,True,False,26.0.1,0.0,2.955554356215015e+18,ZTF21abhswgc
ztf,60708.564398100134,2954564396215015023,2,2954564396215,20.054,1,2954,0.746267,14.8934,12.802029,14.9691,0.10631,0.009841968,0.015489081,0.0082,276.0322396,10.4479387,0.581429,t17_f5_c3,,14.9496,0.0088,,False,True,False,26.0.1,0.0,2.955554356215015e+18,ZTF21abhswgc
ztf,60709.55435189977,2955554356215015141,2,2955554356215,19.155115,1,2955,0.22767471,15.094348,12.829091,15.483,0.056253713,100.0,0.006983105,0.0172,276.0321065,10.4480188,0.56142855,t17_f5_c3,0.9752861,15.3227,0.0178,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60709.55435189977,2955554356215015142,2,2955554356215,19.155115,1,2955,0.4175332,15.166142,12.8377495,15.1352,0.020064438,100.0,0.0023500111,0.0142,276.0320991,10.4481174,0.66714287,t17_f5_c3,0.98393524,15.1091,0.0155,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60709.56116899988,2955561166215015026,2,2955561166215,19.810238,1,2955,0.24224724,14.868315,12.798338,15.2245,0.02742303,100.0,0.0040749726,0.0096,276.0320727,10.4479546,0.57714283,t17_f5_c3,0.98185897,15.0715,0.0098,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,60709.56116899988,2955561166215015038,2,2955561166215,19.810238,1,2955,0.36723578,14.908103,12.804159,14.8715,0.012203711,100.0,0.0017575766,0.0082,276.0320848,10.4481097,0.7657143,t17_f5_c3,0.98718786,14.8537,0.0087,1533120262.0,True,True,False,26.0.1,0.0,,ZTF21abhswgc
ztf,61051.584409699775,3297584405115015074,2,3297584405115,16.7716,1,3297,1.55318,15.5471,,15.929,0.082625,,,0.0703,276.0325002,10.4480183,0.392857,t17_f5_c3,,15.7118,0.0734,,False,False,False,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61053.57407409977,3299574075115015012,2,3299574075115,18.1881,1,3299,1.5934,14.8829,,15.2441,0.053056,,,0.0147,276.0325016,10.4479178,0.474286,t17_f5_c3,,15.1976,0.0167,,False,False,False,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61053.579097200185,3299579095115015042,2,3299579095115,17.5927,1,3299,0.72206,15.1463,12.816003,15.4527,0.048352,100.0,0.0056532146,0.0264,276.0322374,10.4481079,0.525714,t17_f5_c3,,15.3823,0.0307,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61057.57151619997,3303571515115015020,2,3303571515115,18.475536,1,3303,0.918981,14.522456,12.721665,14.7156,0.039838552,100.0,0.0075855544,0.0096,276.0318655,10.4481907,0.6,t17_f5_c3,0.7004795,14.6723,0.0107,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abhswgc
ztf,61057.57488430012,3303574885115015013,2,3303574885115,18.1625,1,3303,1.32212,14.4123,12.699812,14.7521,0.03413,100.0,0.007049222,0.0132,276.0324147,10.4478942,0.554286,t17_f5_c3,,14.7426,0.0158,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61057.577395800035,3303577396215015019,2,3303577396215,17.8087,1,3303,1.00638,14.7248,12.775775,14.8669,0.03517,100.0,0.0058420077,0.0178,276.03228,10.4478566,0.57,t17_f5_c3,,14.8169,0.0211,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61057.57839119993,3303578396215015158,2,3303578396215,17.66721,1,3303,0.20928553,14.385807,12.711617,14.3932,0.019690545,100.0,0.0042129057,0.0135,276.0320534,10.4479571,0.48857144,t17_f5_c3,0.8839323,14.3641,0.0164,1533120262.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abhswgc
ztf,61057.583784699906,3303583786215015197,2,3303583786215,16.9793,1,3303,0.627253,15.0611,12.824908,15.7564,0.077943,100.0,0.009938033,0.0718,276.0321875,10.4479126,0.411429,t17_f5_c3,,15.7036,0.0871,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61058.57061340008,3304570615115015021,2,3304570615115,19.572006,1,3304,0.18331328,14.657431,12.746105,14.6704,0.010095787,100.0,0.0017362415,0.0074,276.0320736,10.4479632,0.7285714,t17_f5_c3,0.9112265,14.6619,0.0081,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abhswgc
ztf,61058.57061340008,3304570615115015022,2,3304570615115,19.572,1,3304,0.790482,14.589,12.734026,15.4851,0.064672,100.0,0.011714586,0.013,276.0319901,10.4477988,0.45,t17_f5_c3,,15.3109,0.013,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61058.57462960016,3304574626215015014,2,3304574626215,19.3231,1,3304,0.84928,14.5509,12.74489,14.6432,0.098984,0.014935348,0.018756889,0.0079,276.0321791,10.447818,0.532857,t17_f5_c3,,14.612,0.0088,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61058.575104199816,3304575105115015015,2,3304575105115,19.3797,1,3304,0.389223,14.754,12.762115,15.515,0.087325,100.0,0.013943904,0.0148,276.0319998,10.4479169,0.424286,t17_f5_c3,,15.175,0.0135,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61058.575104199816,3304575105115015016,2,3304575105115,19.379679,1,3304,0.21652456,14.826348,12.773347,14.7966,0.012308106,100.0,0.0018577653,0.009,276.032072,10.4480703,0.62714285,t17_f5_c3,0.9297393,14.7893,0.0102,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abhswgc
ztf,61058.575104199816,3304575105115015017,2,3304575105115,19.379679,1,3304,0.5129227,14.777732,12.765868,15.3839,0.011805094,100.0,0.0018506488,0.0136,276.0320429,10.4478679,0.43571427,t17_f5_c3,0.91173595,15.246,0.0144,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abhswgc
ztf,61058.57759260014,3304577596215015010,2,3304577596215,18.94033,1,3304,0.2714687,14.736351,12.777685,14.8362,0.08027411,0.006155945,0.013216273,0.011,276.0321084,10.4479783,0.5942857,t17_f5_c3,0.9193623,14.7968,0.0127,1533120262.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF21abhswgc
ztf,61058.57759260014,3304577596215015015,2,3304577596215,18.94033,1,3304,0.4636389,14.761244,12.781744,14.7229,0.01290972,100.0,0.002085052,0.0102,276.032088,10.4481378,0.6457143,t17_f5_c3,0.95363295,14.7065,0.0119,1533120262.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF21abhswgc
ztf,61058.58050929988,3304580505115015028,2,3304580505115,18.6761,1,3304,0.691677,14.7136,12.755562,15.0739,0.068213,100.0,0.011237035,0.0164,276.0321144,10.4478259,0.5,t17_f5_c3,,14.9893,0.0188,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61058.58050929988,3304580505115015029,2,3304580505115,18.6761,1,3304,0.426708,14.798,12.769022,14.7547,0.015039,100.0,0.0023207453,0.0126,276.0321294,10.4479161,0.61,t17_f5_c3,,14.741,0.0152,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
ztf,61059.570787000004,3305570785115015021,2,3305570785115,19.627983,1,3305,0.064571075,14.644719,12.743909,14.6252,0.010006784,100.0,0.0017376824,0.0069,276.0320391,10.4480231,0.74285716,t17_f5_c3,0.9935113,14.61,0.0075,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abhswgc
ztf,61059.57328699995,3305573286215015016,2,3305573286215,19.2762,1,3305,0.466255,14.4946,12.7339945,14.6031,0.031387,100.0,0.0062016556,0.0075,276.03215,10.4479369,0.494286,t17_f5_c3,,14.5718,0.0083,,False,True,True,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abhswgc
