tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60688.57231480023,2934572315115010085,2,2934572315115,18.007149,-1,2934,1.1189964,16.396238,13.120899,16.6601,0.08930164,100.0,0.0043724393,0.0635,275.9579058,10.2107458,0.49857143,t17_f5_c3,0.82252616,16.7017,0.0811,1532120251.0,True,True,False,26.0.1,0.0,,ZTF21abigvbj
ztf,60709.56116899988,2955561166215015017,2,2955561166215,19.810238,1,2955,1.7072827,16.724316,,16.3937,0.17543226,,,0.0286,275.9585544,10.2108008,0.13714285,t17_f5_c3,0.00477391,16.3985,0.0323,1533120262.0,True,False,False,26.0.1,0.0,,ZTF21abigvbj
ztf,61057.57151619997,3303571515115015015,2,3303571515115,18.475536,1,3303,1.3038033,14.664456,12.844194,14.8824,0.043068703,100.0,0.008054844,0.0109,275.9583861,10.2107286,0.50857145,t17_f5_c3,0.93639255,14.8366,0.0122,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61057.57839119993,3303578396215015101,2,3303578396215,17.66721,1,3303,0.736316,14.708807,12.897196,14.5591,0.030792661,100.0,0.0058050044,0.0156,275.9579073,10.2110684,0.46571428,t17_f5_c3,0.6745874,14.5233,0.0188,1533120262.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61058.57061340008,3304570615115015014,2,3304570615115,19.572006,1,3304,0.45163003,14.786041,12.865923,15.0106,0.118760936,0.015989384,0.020259386,0.0096,275.9581128,10.2111094,0.55,t17_f5_c3,0.78197825,14.9952,0.0106,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61058.57759260014,3304577596215015008,2,3304577596215,18.94033,1,3304,0.86643875,14.981351,12.943612,15.0153,0.059985053,100.0,0.009182215,0.0125,275.9582358,10.2107872,0.51714283,t17_f5_c3,0.97036314,14.9906,0.0148,1533120262.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61058.57759260014,3304577596215015009,2,3304577596215,18.94033,1,3304,0.31460527,14.864765,12.924933,14.8947,0.013754293,100.0,0.0023041232,0.0116,275.9581752,10.2109407,0.6785714,t17_f5_c3,0.97036314,14.888,0.0138,1533120262.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61058.58050929988,3304580505115015006,2,3304580505115,18.676062,1,3304,0.8119867,14.933575,12.889714,15.2272,0.07625423,100.0,0.011606996,0.0188,275.9582247,10.2107803,0.5557143,t17_f5_c3,0.8158957,15.1902,0.0225,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61058.58050929988,3304580505115015007,2,3304580505115,18.676062,1,3304,0.48145425,15.127789,12.917127,15.0845,0.019882742,100.0,0.0025954428,0.0168,275.9582379,10.2109182,0.5885714,t17_f5_c3,0.84956443,15.0621,0.0202,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61058.58300929982,3304583006215015011,2,3304583006215,18.204536,1,3304,0.4573114,15.026498,12.950402,15.0433,0.039344344,100.0,0.0058135856,0.023,275.9581517,10.2108696,0.6628571,t17_f5_c3,0.40211305,15.0432,0.029,1533120262.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61059.570787000004,3305570785115015016,2,3305570785115,19.628,1,3305,0.121288,14.9784,12.89642,15.5318,0.012907,100.0,0.001896851,0.0129,275.9581132,10.211016,0.487143,t17_f5_c3,,15.3558,0.013,,False,True,False,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abigvbj
ztf,61059.570787000004,3305570785115015017,2,3305570785115,19.627983,1,3305,0.101054825,14.922163,12.88797,14.9202,0.049234733,100.0,0.0075612604,0.0087,275.9581383,10.2109612,0.7214286,t17_f5_c3,0.94805825,14.9008,0.0095,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61059.570787000004,3305570785115015018,2,3305570785115,19.627983,1,3305,0.12478735,14.978396,12.896419,15.6196,0.0129074855,100.0,0.0018969266,0.0137,275.9581182,10.2110175,0.46714285,t17_f5_c3,0.8762865,15.3942,0.0134,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61059.57328699995,3305573286215015011,2,3305573286215,19.2762,1,3305,0.959526,14.7976,12.913388,15.2262,0.039435,100.0,0.0069534015,0.0113,275.958118,10.2107222,0.425714,t17_f5_c3,,15.1552,0.0127,,False,True,False,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abigvbj
ztf,61059.57328699995,3305573286215015012,2,3305573286215,19.276226,1,3305,0.3049897,14.740813,12.903157,14.7066,0.010918864,100.0,0.0020096255,0.0081,275.9581145,10.2109063,0.6614286,t17_f5_c3,0.99821806,14.6913,0.0091,1533120262.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
ztf,61059.57476849994,3305574765115015016,2,3305574765115,19.2083,1,3305,0.63184,14.8761,12.880768,15.8449,0.057955,100.0,0.0092248265,0.0198,275.9580984,10.2108056,0.435714,t17_f5_c3,,15.6053,0.0195,,False,True,False,27.5.7a32.dev1,0.0,3.319573776215015e+18,ZTF21abigvbj
ztf,61059.57476849994,3305574765115015017,2,3305574765115,19.208284,1,3305,0.2319125,14.947285,12.89179,14.9283,0.013393303,100.0,0.0020169255,0.0099,275.9580949,10.2109208,0.75714284,t17_f5_c3,0.99769795,14.919,0.0113,1532120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abigvbj
