tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.56995370006,2597569954515010006,2,2597569954515,17.95408,-1,2597,0.46093783,15.716715,15.095975,15.7257,0.04474421,100.0,0.02526043,0.0317,297.1486439,9.881184,0.6414286,t17_f5_c3,0.9999995,15.7513,0.0415,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60352.56820600014,2598568204515010010,2,2598568204515,17.881472,-1,2598,0.44509652,15.716534,15.096077,15.6932,0.04114698,100.0,0.023235673,0.0305,297.1486683,9.8811722,0.51428574,t17_f5_c3,0.9999961,15.6794,0.0385,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60352.5686805998,2598568684515010010,2,2598568684515,17.808212,-1,2598,0.62452483,15.65795,15.130611,15.7374,0.044661336,100.0,0.027478687,0.0336,297.1486217,9.8811424,0.6,t17_f5_c3,0.9999548,15.7118,0.0419,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60352.56914350018,2598569144515010040,2,2598569144515,17.519104,-1,2598,0.96320015,15.756391,15.0742,15.7572,0.04989202,100.0,0.026616734,0.0348,297.1484722,9.8811903,0.34428573,t17_f5_c3,0.9963612,15.7059,0.0425,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60353.56793980021,2599567934515010002,2,2599567934515,18.408,-1,2599,0.194275,15.4498,15.281839,15.5079,0.03762,100.0,0.032228094,0.0248,297.148693,9.8812415,0.682857,t17_f5_c3,,15.5322,0.0324,,False,True,False,23.12.x,0.0,2.59956840451501e+18,ZTF21abinbbb
ztf,60353.56840279978,2599568404515010000,2,2599568404515,18.344835,-1,2599,0.2344128,15.409643,15.317462,15.4997,0.028121157,100.0,0.025832161,0.0263,297.1487045,9.8812204,0.6957143,t17_f5_c3,0.9999999,15.4821,0.0331,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60368.54690970015,2614546904515010001,2,2614546904515,19.459452,-1,2614,0.13976681,15.079263,15.7469635,15.142,0.029758733,100.0,0.055042062,0.0078,297.1487015,9.8812636,0.8057143,t17_f5_c3,0.99999964,15.1391,0.0096,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60368.54737270018,2614547374515010001,2,2614547374515,19.449032,-1,2614,0.10015252,15.071416,15.761628,15.1575,0.034488216,100.0,0.06512618,0.008,297.1487125,9.8812566,0.7985714,t17_f5_c3,0.9999844,15.154,0.0099,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60368.547847200185,2614547844515010001,2,2614547844515,19.499239,-1,2614,0.12908639,15.067766,15.768554,15.1399,0.029213393,100.0,0.055705365,0.0077,297.148703,9.8812643,0.79714286,t17_f5_c3,0.99999994,15.1387,0.0095,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60369.54481479991,2615544814515010001,2,2615544814515,19.635553,-1,2615,0.107033364,15.05514,15.793045,15.1098,0.029580813,100.0,0.05836769,0.0067,297.1487116,9.8812638,0.81,t17_f5_c3,0.99999857,15.1062,0.0082,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60369.545289400034,2615545284515010003,2,2615545284515,19.85422,-1,2615,0.12456988,15.014468,15.878062,15.0876,0.044246685,0.051179826,0.0980208,0.006,297.1487033,9.8812694,0.76,t17_f5_c3,0.9554522,15.0802,0.0072,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60369.54576390004,2615545764515010001,2,2615545764515,19.87327,-1,2615,0.10690968,15.040998,15.8215,15.1261,0.03354016,100.0,0.068828106,0.006,297.1487064,9.8812685,0.76714283,t17_f5_c3,0.99985576,15.1174,0.0073,1536120245.0,True,True,False,23.12.x,0.0,,ZTF21abinbbb
ztf,60724.560358799994,2970560354515010000,2,2970560354515,18.706062,-1,2970,0.16966234,14.742837,16.956753,14.8172,0.022299515,100.0,0.17134105,0.0093,297.148704,9.8812451,0.75714284,t17_f5_c3,0.9998132,14.8067,0.0117,1536120245.0,True,True,False,26.0.1,0.0,,ZTF21abinbbb
ztf,60724.56082180003,2970560824515010000,2,2970560824515,18.722414,-1,2970,0.13456759,14.730084,17.06008,14.8037,0.022587879,100.0,0.1931406,0.0096,297.148711,9.8812479,0.79,t17_f5_c3,0.9997586,14.8022,0.0121,1536120245.0,True,True,False,26.0.1,0.0,,ZTF21abinbbb
