tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59979.561805599835,2225561802915015013,2,2225561802915,18.9982,1,2225,0.581829,16.7033,15.047545,16.7619,0.069838,0.009656905,0.015198113,0.0473,289.0213341,10.9065811,0.928571,t17_f5_c3,16.7571,0.0595,False,True,False,1.1.6,0.0,2.230559622915015e+18,,,ZTF21abruacf
ztf,59979.56420140015,2225564202915015019,2,2225564202915,19.1323,1,2225,0.450539,16.5898,15.021815,16.644,0.085436,0.01658291,0.020157982,0.042,289.0212506,10.9065502,0.767143,t17_f5_c3,16.7006,0.0558,False,True,False,1.1.6,0.0,2.230559622915015e+18,,,ZTF21abruacf
ztf,59979.56658559991,2225566582915015006,2,2225566582915,19.0382,1,2225,0.41998,16.6688,15.039944,16.7472,0.094818,0.017651865,0.021151833,0.0478,289.0212714,10.9065766,0.722857,t17_f5_c3,16.8004,0.0635,False,True,False,1.1.6,0.0,2.230559622915015e+18,,,ZTF21abruacf
ztf,59979.56898149988,2225568982915015016,2,2225568982915,18.9879,1,2225,0.429424,16.6338,15.032038,16.7326,0.08305,0.015064982,0.018994784,0.051,289.0213012,10.9066048,0.845714,t17_f5_c3,16.6981,0.0626,False,True,False,1.1.6,0.0,2.230559622915015e+18,,,ZTF21abruacf
ztf,59979.57137730019,2225571372915015017,2,2225571372915,18.7476,1,2225,0.364516,16.6962,15.045996,16.7874,0.0606,0.0061943517,0.01325535,0.0624,289.0212771,10.9066043,0.88,t17_f5_c3,16.8017,0.0805,False,True,False,1.1.6,0.0,2.230559622915015e+18,,,ZTF21abruacf
ztf,59984.55962960003,2230559622915015015,2,2230559622915,18.888075,1,2230,1.417001,16.954096,,16.9201,0.08290219,,,0.042,289.0215333,10.9064491,0.57857144,t17_f5_c3,16.8438,0.049,True,False,True,1.1.6,0.0,,0.9720512,540120229.0,ZTF21abruacf
ztf,59984.56206020014,2230562062915015013,2,2230562062915,18.9505,1,2230,0.84429,16.6905,15.044746,16.8968,0.087158,0.015146906,0.019142816,0.0409,289.0213653,10.9064984,0.732857,t17_f5_c3,16.8714,0.0501,False,True,False,1.1.6,0.0,2.230569362915015e+18,,,ZTF21abruacf
ztf,59984.56449070014,2230564492915015010,2,2230564492915,18.8393,1,2230,0.782611,16.5773,15.018853,16.815,0.079084,0.014956721,0.018823922,0.0409,289.021397,10.9065753,0.79,t17_f5_c3,16.7425,0.0482,False,True,False,1.1.6,0.0,2.230569362915015e+18,,,ZTF21abruacf
ztf,59984.56693289988,2230566932915015012,2,2230566932915,18.6719,1,2230,0.916433,16.6644,15.03896,16.9766,0.085009,0.015044108,0.019023435,0.0546,289.0214421,10.9065858,0.698571,t17_f5_c3,16.9821,0.0695,False,True,False,1.1.6,0.0,2.230569362915015e+18,,,ZTF21abruacf
ztf,59984.569363399874,2230569362915015009,2,2230569362915,18.501635,1,2230,1.3233203,16.77373,15.062487,16.8691,0.06868442,0.007754822,0.014202385,0.0601,289.0215191,10.9064761,0.6742857,t17_f5_c3,16.8272,0.0735,True,True,False,1.1.6,0.0,,0.9918946,540120229.0,ZTF21abruacf
ztf,60482.35851849988,2728358512915010019,2,2728358512915,19.8839,-1,2728,0.633585,18.195,15.393265,18.917,0.320487,0.018132504,0.024272613,0.1881,289.0210679,10.9065382,0.3,t17_f5_c3,18.7911,0.2084,False,True,False,24.5.1,0.0,2.743294812915015e+18,,,ZTF21abruacf
