tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.559930600226,2597559934115015006,2,2597559934115,19.40277,1,2597,0.10633663,17.275608,17.114971,17.2738,0.049856752,0.042628787,0.043000087,0.0452,285.4847318,9.7969259,0.8242857,t17_f5_c3,1.0,17.2565,0.0568,1534120241.0,True,True,False,23.12.x,0.0,,ZTF21abrudii
ztf,60351.56040510023,2597560404115015007,2,2597560404115,19.408817,1,2597,0.09511919,17.26396,17.104918,17.3514,0.06142218,0.052757844,0.053052813,0.0486,285.4847306,9.7969345,0.8257143,t17_f5_c3,0.99999976,17.3545,0.0622,1534120241.0,True,True,False,23.12.x,0.0,,ZTF21abrudii
ztf,60351.56087959977,2597560874115015006,2,2597560874115,19.374365,1,2597,0.15357882,17.212877,17.060656,17.2675,0.059499092,0.05143675,0.051715627,0.0465,285.4847228,9.7969174,0.8257143,t17_f5_c3,0.99999994,17.2485,0.0584,1534120241.0,True,True,False,23.12.x,0.0,,ZTF21abrudii
ztf,60352.5582059999,2598558204115015002,2,2598558204115,18.851034,1,2598,0.23904115,17.18243,17.034143,17.2762,0.10016316,0.087219335,0.087376244,0.0452,285.4847078,9.7968954,0.41428572,t17_f5_c3,0.9417974,17.2073,0.0542,1534120241.0,True,True,False,23.12.x,0.0,,ZTF21abrudii
ztf,60352.55868060002,2598558684115015003,2,2598558684115,18.837294,1,2598,0.37158176,17.321428,17.154375,17.347,0.08564094,0.07319451,0.07342768,0.046,285.484705,9.7968579,0.39857143,t17_f5_c3,0.9515228,17.3113,0.0568,1534120241.0,True,True,False,23.12.x,0.0,,ZTF21abrudii
ztf,60352.55914349994,2598559144115015007,2,2598559144115,18.927687,1,2598,0.15614456,17.244343,17.087954,17.3396,0.08861797,0.076532744,0.076730125,0.0479,285.4846883,9.796935,0.50285715,t17_f5_c3,0.9988929,17.3806,0.0636,1534120241.0,True,True,False,23.12.x,0.0,,ZTF21abrudii
ztf,60353.55622689985,2599556224115015009,2,2599556224115,19.877106,1,2599,0.061678585,17.151619,17.007217,17.2604,0.04960939,0.043130167,0.04343134,0.0363,285.4847182,9.7969435,0.9,t17_f5_c3,0.9999998,17.2654,0.0464,1534120241.0,True,True,False,23.12.x,0.0,,ZTF21abrudii
ztf,60353.55670139985,2599556704115015007,2,2599556704115,19.885887,1,2599,0.12077496,17.187086,17.038204,17.246,0.058633704,0.050849747,0.05112043,0.0358,285.4847032,9.7969339,0.87285715,t17_f5_c3,0.9999999,17.2254,0.0447,1534120241.0,True,True,False,23.12.x,0.0,,ZTF21abrudii
ztf,60706.568738400005,2952568734115015002,2,2952568734115,19.003496,1,2952,0.08533996,16.855717,16.744059,16.8591,0.057031672,0.051301777,0.051458016,0.0464,285.4847192,9.7969324,0.8257143,t17_f5_c3,0.9999998,16.854,0.0591,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60706.569213000126,2952569214115015003,2,2952569214115,18.95059,1,2952,0.10043103,17.00429,16.877182,17.0722,0.047455646,0.04196915,0.042212874,0.0566,285.4846987,9.7969497,0.80285716,t17_f5_c3,1.0,17.0318,0.0699,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60706.56967590004,2952569674115015002,2,2952569674115,18.861197,1,2952,0.09374641,16.901299,16.7851,16.944,0.05373607,0.04810252,0.048282176,0.0527,285.4847366,9.7969357,0.78571427,t17_f5_c3,0.9999962,16.8913,0.0643,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60707.55879630009,2953558794115015003,2,2953558794115,19.2153,1,2953,0.108958,16.9331,16.813631,16.9986,0.045859,0.040857922,0.041080654,0.0437,285.4847089,9.7969341,0.864286,t17_f5_c3,,17.0154,0.0566,,False,True,False,26.0.1,0.0,2.956561234115015e+18,ZTF21abrudii
ztf,60707.56223380007,2953562234115015006,2,2953562234115,18.83577,1,2953,0.1676219,16.963398,16.840733,16.9696,0.050808154,0.04516844,0.045380313,0.0613,285.4847391,9.7969106,0.8957143,t17_f5_c3,1.0,17.0091,0.0812,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60708.557963000145,2954557964115015003,2,2954557964115,20.080523,1,2954,0.04904805,16.914425,16.796888,17.0012,0.057301093,0.051249534,0.051421892,0.0255,285.4847316,9.7969487,0.8857143,t17_f5_c3,0.9999851,16.996,0.032,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60708.56189810019,2954561894115015006,2,2954561894115,20.065945,1,2954,0.06950225,16.91988,16.801783,16.9451,0.058092587,0.051933616,0.052105248,0.0246,285.4847219,9.7969422,0.8742857,t17_f5_c3,0.99971336,16.9426,0.031,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60708.56583329989,2954565834115015006,2,2954565834115,19.397968,1,2954,0.14082767,16.971203,16.847702,17.0172,0.0473699,0.042046335,0.042276785,0.0398,285.4847333,9.7969228,0.8971428,t17_f5_c3,1.0,17.0365,0.0517,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60709.555786999874,2955555784115015002,2,2955555784115,19.373594,1,2955,0.0928865,16.986406,16.86126,17.0456,0.044449523,0.039358042,0.039610345,0.0399,285.4847187,9.7969368,0.87285715,t17_f5_c3,1.0,17.046,0.0509,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60709.559201399796,2955559204115015010,2,2955559204115,18.891098,1,2955,0.15746571,17.08536,16.948992,17.1542,0.04906851,0.04300547,0.043276887,0.0759,285.4847193,9.7969116,0.91714287,t17_f5_c3,1.0,17.2203,0.1032,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60709.562604200095,2955562604115015002,2,2955562604115,19.317017,1,2955,0.16443692,16.9687,16.845469,16.9732,0.04685457,0.04159523,0.041827217,0.0446,285.4847173,9.7969149,0.9071429,t17_f5_c3,1.0,16.9801,0.0572,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60710.55828699982,2956558284115015005,2,2956558284115,19.567167,1,2956,0.18319932,17.018274,16.889612,16.9847,0.03989269,0.035137244,0.0354347,0.0266,285.4847021,9.7969161,0.7157143,t17_f5_c3,0.9999696,17.0068,0.0343,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,60710.56123840017,2956561234115015011,2,2956561234115,19.600792,1,2956,0.10390677,16.92255,16.804176,16.9797,0.05272088,0.047085106,0.047275178,0.0285,285.4847104,9.7969349,0.8142857,t17_f5_c3,1.0,16.9647,0.0357,1534120241.0,True,True,False,26.0.1,0.0,,ZTF21abrudii
ztf,61065.5754976999,3311575494115015001,2,3311575494115,18.260338,1,3311,0.16111626,16.86115,16.74896,16.912,0.06570445,0.05911729,0.05925416,0.0748,285.4847025,9.7969208,0.6571429,t17_f5_c3,0.99999464,16.8838,0.0936,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61072.56623840006,3318566234115015002,2,3318566234115,18.9718,1,3318,0.096232,16.6923,16.595572,16.7485,0.045269,0.04126267,0.041410398,0.0493,285.4847278,9.7969337,0.895714,t17_f5_c3,,16.7331,0.0622,,False,True,False,27.5.7a32.dev1,0.0,3.327564344115015e+18,ZTF21abrudii
ztf,61072.569583300035,3318569584115015002,2,3318569584115,18.758457,1,3318,0.10879022,16.674835,16.579584,16.7069,0.039149128,0.035695218,0.035860945,0.0533,285.4847103,9.7969334,0.87142855,t17_f5_c3,1.0,16.762,0.0718,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61072.57636569999,3318576364115015001,2,3318576364115,18.510256,1,3318,0.18486613,16.693829,16.59697,16.6684,0.047722016,0.043508597,0.043649085,0.0718,285.4846854,9.7969217,0.8242857,t17_f5_c3,0.999998,16.6306,0.089,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61073.56637729984,3319566374115015001,2,3319566374115,19.000889,1,3319,0.0818958,16.646067,16.553204,16.6205,0.03989253,0.036467787,0.036622338,0.0459,285.4847025,9.7969527,0.81142855,t17_f5_c3,0.9999988,16.6238,0.0589,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61073.57035879977,3319570354115015003,2,3319570354115,18.930723,1,3319,0.067158274,16.636843,16.544733,16.6462,0.0671674,0.06161396,0.061704144,0.0519,285.4847057,9.7969693,0.8542857,t17_f5_c3,0.9998504,16.5917,0.0631,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61073.57673610002,3319576734115015001,2,3319576734115,18.486923,1,3319,0.113284364,16.61759,16.527033,16.6933,0.047251206,0.043346044,0.043470036,0.0739,285.4846963,9.7969762,0.8657143,t17_f5_c3,1.0,16.6622,0.0922,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61074.56594910007,3320565944115015005,2,3320565944115,18.825706,1,3320,0.20404202,16.61599,16.52556,16.7339,0.040856462,0.037448384,0.037591446,0.0417,285.4846977,9.7969097,0.7728571,t17_f5_c3,0.9999999,16.6922,0.0514,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61074.57092589978,3320570924115015004,2,3320570924115,18.68263,1,3320,0.13115445,16.618967,16.5283,16.611,0.04747185,0.043544874,0.043668587,0.0469,285.4846974,9.7969298,0.7885714,t17_f5_c3,0.9999999,16.5664,0.0577,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61074.57640049979,3320576404115015001,2,3320576404115,18.180643,1,3320,0.22304626,16.650515,16.557285,16.6422,0.04682912,0.04284322,0.04297584,0.0729,285.4846806,9.7969152,0.74142855,t17_f5_c3,0.99999994,16.7508,0.1034,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61075.56458330015,3321564584115015006,2,3321564584115,19.0443,1,3321,0.2043521,16.576107,16.488811,16.635,0.036949437,0.03394747,0.03409492,0.0322,285.4847292,9.7969033,0.7842857,t17_f5_c3,1.0,16.6424,0.0413,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61075.5690394002,3321569034115015004,2,3321569034115,18.982744,1,3321,0.2349694,16.581387,16.493683,16.6738,0.04421684,0.04066123,0.04078552,0.0376,285.4847414,9.7968966,0.82,t17_f5_c3,1.0,16.6786,0.0482,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61075.57398150023,3321573984115015003,2,3321573984115,18.51958,1,3321,0.2271517,16.61252,16.522367,16.6552,0.04067424,0.037290506,0.03743333,0.0534,285.4846777,9.7969163,0.7871429,t17_f5_c3,0.9999999,16.646,0.0679,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61080.56171299983,3326561714115015006,2,3326561714115,19.567465,1,3326,0.10682365,16.52483,16.44141,16.5941,0.048949797,0.045228213,0.04532974,0.0251,285.4847083,9.7969352,0.89,t17_f5_c3,0.99999994,16.5874,0.0317,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61080.56509259995,3326565094115015007,2,3326565094115,19.431746,1,3326,0.060732115,16.518534,16.43558,16.5423,0.039927382,0.03686724,0.03699039,0.027,285.4847264,9.7969436,0.8842857,t17_f5_c3,1.0,16.511,0.0333,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61080.56944439979,3326569444115015004,2,3326569444115,19.122896,1,3326,0.07857948,16.54624,16.461224,16.5788,0.049891725,0.0460306,0.046134062,0.0376,285.4847026,9.7969559,0.9028571,t17_f5_c3,1.0,16.5678,0.0475,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61081.561423600186,3327561424115015006,2,3327561424115,18.572975,1,3327,0.23097989,16.525282,16.44183,16.6558,0.060991377,0.05639754,0.05647905,0.0469,285.4847218,9.7968957,0.76,t17_f5_c3,0.99999607,16.6636,0.0603,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
ztf,61081.56434029993,3327564344115015003,2,3327564344115,18.841257,1,3327,0.088736914,16.535063,16.450884,16.5315,0.038691003,0.035673667,0.035804555,0.0459,285.4847033,9.7969464,0.92714286,t17_f5_c3,1.0,16.4829,0.0561,1534120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF21abrudii
