tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59518.37041669991,1764370410915015009,1,1764370410915,20.85727,1,1764,1.5377333,18.548744,18.6517,0.16664167,0.0779,69.3883497,52.4264796,0.30285713,t17_f5_c3,0.04907396,18.6149,0.0839,779120109.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF21acbymwc
ztf,59521.350833300035,1767350830915015004,1,1767350830915,20.6127,1,1767,1.1183859,18.373924,18.4225,0.13274485,0.0687,69.3885476,52.4264838,0.61,t17_f5_c3,0.5148869,18.3996,0.0765,779120109.0,True,True,True,correction_1.0.6,0.0,15.155482,100.0,0.0068492135,,ZTF21acbymwc
ztf,59521.369618100114,1767369610915015013,2,1767369610915,20.7195,1,1767,0.455506,15.263,15.2514,0.178557,0.0098,69.3889143,52.4263185,0.437143,t17_f5_c3,,15.25,0.01,,False,True,False,correction_1.0.6,0.0,12.705782,100.0,0.016939078,1.778261820915015e+18,ZTF21acbymwc
ztf,59523.27983799996,1769279830915015009,2,1769279830915,20.6598,1,1769,0.264821,15.3281,15.2292,0.146868,0.0097,69.3890443,52.4263577,0.532857,t17_f5_c3,,15.2204,0.0099,,False,True,False,correction_1.0.6,0.0,12.711793,100.0,0.013194842,1.778261820915015e+18,ZTF21acbymwc
ztf,59530.329444400035,1776329440915015013,1,1776329440915,20.51,1,1776,0.768956,17.9455,17.9829,0.08604,0.0478,69.3888253,52.4265832,0.79,t17_f5_c3,,17.9804,0.0544,,False,True,True,correction_1.0.6,0.0,15.128714,100.0,0.0064266715,1.778261820915015e+18,ZTF21acbymwc
ztf,59530.366516199894,1776366510915015008,2,1776366510915,20.4089,1,1776,0.097864,15.0773,14.978,0.039684,0.0079,69.3890244,52.4264019,0.662857,t17_f5_c3,,14.9727,0.0081,,False,True,False,correction_1.0.6,0.0,12.686737,100.0,0.0043892483,1.778261820915015e+18,ZTF21acbymwc
ztf,59532.26182870008,1778261820915015008,1,1778261820915,19.994568,1,1778,0.91169494,17.959267,17.8801,0.08452419,0.0587,69.3886312,52.4264283,0.9,t17_f5_c3,0.9443666,17.9175,0.0733,779120109.0,True,True,True,correction_1.0.6,0.0,15.129735,100.0,0.0062397677,,ZTF21acbymwc
ztf,59532.42523150006,1778425230915015008,2,1778425230915,20.254,1,1778,0.017063,14.8627,14.8987,0.081273,0.0075,69.3890194,52.4264319,0.671429,t17_f5_c3,,14.8935,0.0077,,False,True,False,correction_1.0.6,0.0,12.660805,100.0,0.01069518,1.784349530915015e+18,ZTF21acbymwc
ztf,59538.34953700006,1784349530915015004,1,1784349530915,18.57654,1,1784,0.99353707,17.668734,17.747,0.10449591,0.1849,69.3886479,52.4265503,0.73285717,t17_f5_c3,0.78023046,17.5153,0.1908,779120109.0,True,True,True,correction_1.0.6,0.0,15.105418,100.0,0.009857643,,ZTF21acbymwc
ztf,59674.19969910011,1920199690915015011,2,1920199690915,19.7924,1,1920,0.477177,15.0025,15.1527,0.09394,0.0107,69.3888326,52.4263697,0.561429,t17_f5_c3,,15.1603,0.0116,,False,True,False,correction_1.0.6,0.0,12.6782055,100.0,0.011044166,1.922198730915015e+18,ZTF21acbymwc
