tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59479.505370399915,1725505371815015000,2,1725505371815,19.3351,1,1725,3.83305,19.2396,19.2675,0.190551,0.353,143.6923625,32.30397,0.715714,t17_f5_c3,19.4598,0.5408,False,False,False,correction_1.0.6,0.0,1.725515241815015e+18,,,,,,ZTF21acdomzo
ztf,59479.510312499944,1725510311815015000,2,1725510311815,19.4252,1,1725,3.76007,19.323,18.9288,0.167659,0.2492,143.6923567,32.3038842,0.518571,t17_f5_c3,18.9474,0.3253,False,False,False,correction_1.0.6,0.0,1.725515241815015e+18,,,,,,ZTF21acdomzo
ztf,59479.5152431,1725515241815015000,2,1725515241815,19.421587,1,1725,3.9603374,19.350441,19.4387,0.15682852,0.3942,143.6924134,32.3039403,0.83,t17_f5_c3,19.6972,0.642,True,False,False,correction_1.0.6,0.0,,0.99999523,666120218.0,,,,ZTF21acdomzo
ztf,59480.50590279978,1726505901815015000,2,1726505901815,19.3224,1,1726,3.72705,19.519,19.7068,0.257986,0.5096,143.692346,32.3038842,0.558571,t17_f5_c3,19.4344,0.5095,False,False,False,correction_1.0.6,0.0,1.726508361815015e+18,,,,,,ZTF21acdomzo
ztf,59480.50836810004,1726508361815015000,2,1726508361815,19.383162,1,1726,3.6990101,19.175928,19.1682,0.14405255,0.3018,143.6923348,32.3038925,0.8528572,t17_f5_c3,18.8471,0.2884,True,False,False,correction_1.0.6,0.0,,0.99985117,666120218.0,,,,ZTF21acdomzo
ztf,59480.510833300184,1726510831815015000,2,1726510831815,19.541262,1,1726,3.6955256,19.467188,19.5468,0.20313834,0.4035,143.6923124,32.303981,0.6757143,t17_f5_c3,19.8809,0.7045,True,False,False,correction_1.0.6,0.0,,0.9989512,666120218.0,,,,ZTF21acdomzo
ztf,59480.51331020007,1726513311815015000,2,1726513311815,19.481504,1,1726,3.6849375,19.39287,19.2477,0.19375679,0.3122,143.6923297,32.3038946,0.56714284,t17_f5_c3,19.0213,0.3255,True,False,False,correction_1.0.6,0.0,,0.9949951,666120218.0,,,,ZTF21acdomzo
ztf,59480.515775499865,1726515771815015000,2,1726515771815,19.566584,1,1726,3.848039,19.291428,19.1397,0.14247951,0.2703,143.6923847,32.3039234,0.8457143,t17_f5_c3,19.1537,0.3514,True,False,False,correction_1.0.6,0.0,,0.999496,666120218.0,,,,ZTF21acdomzo
ztf,59487.47521989979,1733475211815015000,1,1733475211815,19.107,1,1733,1.79447,19.3794,19.1718,0.288559,0.2594,143.6924962,32.303927,0.324286,t17_f5_c3,18.9392,0.2689,False,False,False,correction_1.0.6,0.0,1.746508781815015e+18,,,,,,ZTF21acdomzo
ztf,59500.45538190007,1746455381815015001,1,1746455381815,19.7424,1,1746,1.03482,20.2135,20.3875,0.352738,0.4448,143.692257,32.3040487,0.214286,t17_f5_c3,20.3209,0.5364,False,True,True,correction_1.0.6,0.0,1.746508781815015e+18,,,20.150454,0.3322118,0.33283886,ZTF21acdomzo
ztf,59500.508784700185,1746508781815015001,2,1746508781815,20.295197,1,1746,3.7611063,19.998817,20.0604,0.19261074,0.3109,143.6923503,32.3039311,0.6685714,t17_f5_c3,19.5483,0.249,True,False,False,correction_1.0.6,0.0,,0.99918586,666120218.0,,,,ZTF21acdomzo
