tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59600.302256899886,1846302254015015008,2,1846302254015,20.177933,1,1846,3.7279086,17.178171,17.1253,0.039522454,0.0298,127.4074053,70.8337916,0.91714287,t17_f5_c3,0.99986506,17.1374,0.0373,840120240.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59623.24038190022,1869240384015015003,1,1869240384015,19.640795,1,1869,2.7027202,18.200731,18.1799,0.083329044,0.103,127.4074966,70.8337882,0.95,t17_f5_c3,0.9999984,18.091,0.1209,840120140.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59623.27287039999,1869272874015015004,2,1869272874015,19.970161,1,1869,3.6803246,17.773449,17.8231,0.05558231,0.0638,127.4074293,70.8338089,0.9285714,t17_f5_c3,0.99999666,17.8992,0.0857,840120240.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59625.21873839991,1871218734015015003,1,1871218734015,19.441282,1,1871,2.8460257,18.377499,18.2543,0.08950858,0.1304,127.4074048,70.8338163,0.93857145,t17_f5_c3,0.99999946,18.3506,0.1821,840120140.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59625.26225689985,1871262254015015004,2,1871262254015,19.73738,1,1871,3.7363083,17.792892,17.7626,0.044717878,0.0694,127.4074721,70.8338088,0.9357143,t17_f5_c3,0.99999905,17.6819,0.0813,840120240.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59628.1927894,1874192784015015004,1,1874192784015,19.734325,1,1874,2.701595,18.654278,18.4511,0.07740618,0.1291,127.4075017,70.8337957,0.93857145,t17_f5_c3,0.9999958,18.3481,0.1496,840120140.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59628.40659719985,1874406594015015000,2,1874406594015,19.249403,1,1874,3.74665,17.844374,17.8001,0.06628748,0.0907,127.4074118,70.8337797,0.87142855,t17_f5_c3,0.99999845,17.7351,0.1086,840120240.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59630.1863425998,1876186344015015022,2,1876186344015,18.652775,1,1876,3.593898,17.837467,17.7938,0.12617946,0.2142,127.4073588,70.8338292,0.81714284,t17_f5_c3,0.9999994,17.876,0.2949,840120240.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59630.208437500056,1876208434015015011,1,1876208434015,19.673567,1,1876,2.7766807,18.713242,18.6333,0.11369173,0.1635,127.407486,70.833831,0.9457143,t17_f5_c3,0.99995697,18.6611,0.2128,840120140.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59637.214849499986,1883214844015015006,1,1883214844015,20.227602,1,1883,2.9173265,19.460306,19.5579,0.1426971,0.1861,127.4072739,70.8337711,0.7814286,t17_f5_c3,0.9999216,19.4895,0.22,840120140.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59639.15431710007,1885154314015015006,2,1885154314015,20.219397,1,1885,3.8006902,18.254564,18.15,0.063953385,0.064,127.4074864,70.8337811,0.85714287,t17_f5_c3,0.99999446,18.0268,0.0709,840120240.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59639.175173600204,1885175174015015002,1,1885175174015,20.250795,1,1885,2.8967936,19.336649,19.2899,0.10760674,0.1499,127.4073367,70.8338106,0.9042857,t17_f5_c3,0.999923,19.2092,0.1749,840120140.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59671.2884837999,1917288484015015005,1,1917288484015,20.53884,1,1917,2.7270617,20.170689,20.452,0.18690333,0.4025,127.4075674,70.833855,0.8157143,t17_f5_c3,0.9999788,20.6043,0.579,840120140.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59671.2884837999,1917288484015025004,1,1917288484015,20.5303,1,1917,2.73046,20.1123,19.9694,0.172643,0.2597,127.407565,70.8338557,0.804286,t17_f5_c3,,19.8975,0.3043,,False,False,False,correction_1.0.6,0.0,1.942179274015015e+18,ZTF22aaabpkx
ztf,59674.36873839982,1920368734015015003,1,1920368734015,20.15368,1,1920,2.5038528,19.967735,19.9663,0.16816367,0.338,127.4076256,70.8337439,0.85142857,t17_f5_c3,0.9995586,20.1166,0.4883,840120140.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59678.20086809993,1924200864015015004,2,1924200864015,20.182413,1,1924,3.9537542,19.64065,19.4161,0.18660161,0.2412,127.4074848,70.8337285,0.56,t17_f5_c3,0.9962867,19.2414,0.2565,840120240.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59683.246724499855,1929246724015015003,2,1929246724015,19.7346,1,1929,4.10193,19.443,18.9759,0.231959,0.2046,127.4077678,70.8336988,0.418571,t17_f5_c3,,19.1,0.2906,,False,False,False,correction_1.0.6,0.0,1.931240904015015e+18,ZTF22aaabpkx
ztf,59685.24090280011,1931240904015015003,2,1931240904015,19.78286,1,1931,3.7678518,19.800703,19.7568,0.20261548,0.4427,127.4074469,70.8337853,0.5928571,t17_f5_c3,0.99989283,20.2053,0.8456,840120240.0,True,False,False,correction_1.0.6,0.0,,ZTF22aaabpkx
ztf,59690.2585880002,1936258584015015007,1,1936258584015,20.1752,1,1936,2.63863,20.1114,20.0375,0.262102,0.3275,127.4075404,70.8337768,0.471429,t17_f5_c3,,20.3071,0.5297,,False,False,False,correction_1.0.6,0.0,1.942179274015015e+18,ZTF22aaabpkx
ztf,59694.26843750011,1940268434015015005,1,1940268434015,20.199,1,1940,2.57273,20.2791,20.3997,0.218432,0.518,127.4075281,70.8337277,0.858571,t17_f5_c3,,20.4889,0.7081,,False,False,False,correction_1.0.6,0.0,1.942179274015015e+18,ZTF22aaabpkx
