tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59600.43733800016,1846437335215015002,1,1846437335215,19.620234,1,1846,0.2745883,17.948032,16.700933,17.9574,0.11299779,0.008403447,0.03582866,0.0918,209.2665931,14.6832669,0.7828571,t17_f5_c3,0.98730004,17.9541,0.1145,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59623.40209490014,1869402095215015009,2,1869402095215,19.668236,1,1869,0.40082476,18.261684,16.212643,18.6195,0.18004811,100.0,0.027275464,0.1736,209.2665797,14.6832267,0.6685714,t17_f5_c3,0.4372573,18.5584,0.1969,528120252.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59623.43539350014,1869435395215015002,1,1869435395215,19.869127,1,1869,0.26066136,17.99567,16.715813,18.1098,0.13562524,0.02223068,0.041725144,0.0796,209.2665756,14.6832372,0.74142855,t17_f5_c3,0.97235656,18.1375,0.1004,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59625.37855320005,1871378555215015003,1,1871378555215,19.240046,1,1871,0.27758825,17.920422,16.692102,17.8215,0.10707944,100.0,0.03454448,0.0931,209.2665579,14.6832148,0.93142855,t17_f5_c3,0.99839586,17.7404,0.1091,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59628.381516200025,1874381515215015007,1,1874381515215,19.19558,1,1874,0.20408364,18.197557,16.774025,18.1005,0.122389995,100.0,0.03298623,0.1228,209.2665739,14.6832798,0.92285717,t17_f5_c3,0.9695326,17.9245,0.1321,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59639.42011569999,1885420115215015009,1,1885420115215,20.23878,1,1885,0.24845573,18.44092,16.834435,18.2656,0.1684142,100.0,0.038351662,0.0614,209.2665805,14.6832523,0.41428572,t17_f5_c3,0.7393806,18.0706,0.0602,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59672.31722219987,1918317225215015006,1,1918317225215,20.786,1,1918,0.419402,18.4022,16.825495,17.8571,0.133985,100.0,0.031359818,0.0417,209.266636,14.6832701,0.594286,t17_f5_c3,,17.8384,0.0466,,False,True,False,correction_1.0.6,0.0,1.921358635215015e+18,ZTF22aaaedwu
ztf,59672.31722219987,1918317225215025008,1,1918317225215,20.807,1,1918,0.465671,18.7658,16.900333,18.6964,0.188109,100.0,0.033746038,0.0873,209.266647,14.6832538,0.672857,t17_f5_c3,,18.7192,0.1016,,False,True,False,correction_1.0.6,0.0,1.943288905215015e+18,ZTF22aaaedwu
ztf,59675.358634300064,1921358635215015014,1,1921358635215,20.74549,1,1921,0.43452212,18.782892,16.90338,18.4909,0.13892798,100.0,0.024602817,0.0745,209.2666321,14.683236,0.61285716,t17_f5_c3,0.5341677,18.4997,0.0862,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59677.31658559991,1923316585215015010,1,1923316585215,20.154564,1,1923,0.2782892,18.904255,16.923908,18.5211,0.1598508,100.0,0.025797393,0.0896,209.2665914,14.6833051,0.6742857,t17_f5_c3,0.9384641,18.4878,0.1032,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59679.311180599965,1925311185215015010,1,1925311185215,20.404,1,1925,0.50172955,18.776112,16.902176,18.4968,0.17473505,100.0,0.031103257,0.0887,209.2666505,14.6832296,0.5814286,t17_f5_c3,0.5817797,18.4608,0.1021,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59682.38256940013,1928382565215015005,1,1928382565215,19.601927,1,1928,0.5291094,18.822536,16.910295,19.0766,0.18369986,100.0,0.0315655,0.2293,209.2666256,14.6831776,0.64285713,t17_f5_c3,0.96629477,18.9529,0.2556,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59684.298240699805,1930298245215015008,1,1930298245215,19.2201,1,1930,0.474488,18.7845,16.903666,18.8641,0.23178,100.0,0.040996023,0.2612,209.2666521,14.6832906,0.682857,t17_f5_c3,,18.644,0.2704,,False,True,False,correction_1.0.6,0.0,1.943288905215015e+18,ZTF22aaaedwu
ztf,59689.312731499784,1935312735215015004,1,1935312735215,19.1975,1,1935,1.03875,19.0389,16.944538,18.6731,0.238747,100.0,0.03468911,0.129,209.2667844,14.6831493,0.57,t17_f5_c3,,18.5834,0.1469,,False,True,False,correction_1.0.6,0.0,1.943288905215015e+18,ZTF22aaaedwu
ztf,59693.352638899814,1939352635215015010,1,1939352635215,20.2566,1,1939,0.446197,19.1159,16.955393,18.7782,0.29551,100.0,0.040398877,0.11,209.2666412,14.6832535,0.47,t17_f5_c3,,18.8529,0.139,,False,True,False,correction_1.0.6,0.0,1.943288905215015e+18,ZTF22aaaedwu
ztf,59697.28890050016,1943288905215015018,1,1943288905215,20.966593,1,1943,0.4929386,18.994967,16.938044,19.1572,0.116710976,100.0,0.017552642,0.1291,209.2666312,14.6832001,0.75285715,t17_f5_c3,0.7850981,19.1431,0.1438,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59699.39484950015,1945394845215015002,1,1945394845215,20.55481,1,1945,0.31352818,18.917397,16.926018,19.2431,0.21380915,100.0,0.034156602,0.1616,209.2666057,14.6832722,0.54571426,t17_f5_c3,0.76224375,19.3168,0.2021,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
ztf,59701.31254629977,1947312545215015017,1,1947312545215,20.620905,1,1947,0.3340658,19.39967,16.99008,19.1549,0.21430273,100.0,0.02329119,0.1323,209.2666061,14.6832422,0.6557143,t17_f5_c3,0.6494588,19.1096,0.1452,528120152.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaedwu
