tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59600.499872699846,1846499870615015005,2,1846499870615,19.154568,1,1846,1.4447641,18.796137,18.9607,0.12118131,0.2491,221.065781,-20.3358451,0.7814286,t17_f5_c3,0.9992495,18.9966,0.3306,325120206.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aaaelpn
ztf,59624.417673599906,1870417670615015004,2,1870417670615,19.334272,1,1870,1.4706302,18.95946,18.897,0.18511878,0.248,221.0657379,-20.3358703,0.82857144,t17_f5_c3,0.99940526,19.0796,0.3768,325120206.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aaaelpn
ztf,59627.52256939979,1873522560615015013,2,1873522560615,18.6548,1,1873,0.757491,19.1527,19.09,0.364088,0.2858,221.0654988,-20.3356805,0.297143,t17_f5_c3,,18.7825,0.277,,False,True,True,correction_1.0.6,0.0,19.082067,0.34071004,0.34115642,1.883419030615015e+18,ZTF22aaaelpn
ztf,59637.41903939983,1883419030615015011,2,1883419030615,19.43046,1,1883,1.5882707,18.92801,18.7985,0.12910746,0.1634,221.0657095,-20.3359126,0.7157143,t17_f5_c3,0.9998137,18.593,0.1734,325120206.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aaaelpn
ztf,59670.35650460003,1916356500615015037,2,1916356500615,20.0802,1,1916,1.6254128,19.087242,19.0846,0.10794861,0.1311,221.0656417,-20.3359329,0.73571426,t17_f5_c3,0.99996793,19.1498,0.1779,325120206.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aaaelpn
ztf,59670.35650460003,1916356500615025014,2,1916356500615,20.0519,1,1916,1.58974,19.0903,19.1364,0.107457,0.1412,221.0656387,-20.3359263,0.825714,t17_f5_c3,,19.2345,0.1974,,False,False,False,correction_1.0.6,0.0,,,,1.939299000615015e+18,ZTF22aaaelpn
ztf,59670.398206000216,1916398200615015026,1,1916398200615,20.3167,1,1916,13.4841,20.9421,20.7351,0.334484,0.4738,221.0654281,-20.335998,0.355714,t17_f5_c3,,20.5107,0.4952,,False,False,False,correction_1.0.6,0.0,,,,1.921399270615015e+18,ZTF22aaaelpn
ztf,59673.352939799894,1919352930615015042,1,1919352930615,20.0299,1,1919,13.1748,20.6282,20.261,0.311938,0.3977,221.0654766,-20.3359131,0.355714,t17_f5_c3,,19.923,0.3741,,False,False,False,correction_1.0.6,0.0,,,,1.921399270615015e+18,ZTF22aaaelpn
ztf,59675.39927079994,1921399270615015012,2,1921399270615,19.89288,1,1921,1.4570832,18.848627,18.8168,0.114149965,0.14,221.0655786,-20.3358921,0.8957143,t17_f5_c3,0.9999665,18.8793,0.1899,325120206.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aaaelpn
ztf,59677.37680559978,1923376800615015013,2,1923376800615,19.671553,1,1923,1.6799539,18.827229,18.9584,0.12998424,0.164,221.065594,-20.3359547,0.88285714,t17_f5_c3,0.9999999,18.8988,0.199,325120206.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aaaelpn
