tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59623.297824100126,1869297822515015024,1,1869297822515,19.669203,1,1869,0.74400675,19.078053,17.547115,19.1392,0.14332369,100.0,0.03498991,0.2337,150.0275748,3.7571443,0.97,t17_f5_c3,0.9998574,19.5442,0.4322,468120125.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59623.34137730021,1869341372515015027,2,1869341372515,20.015873,1,1869,1.1303476,18.735857,17.054546,18.7348,0.078230694,100.0,0.016628498,0.1372,150.0276139,3.7571096,0.94714284,t17_f5_c3,0.9999964,18.5546,0.147,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59625.27284719981,1871272842515015006,2,1871272842515,19.359064,1,1871,1.1625252,18.696198,17.045994,18.4791,0.13636357,100.0,0.029827526,0.1669,150.0276471,3.7571337,0.92714286,t17_f5_c3,0.9999535,18.3831,0.1949,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59628.36016200017,1874360162515015008,1,1874360162515,19.1991,1,1874,0.803298,19.4118,17.619629,18.923,0.23758,100.0,0.045597535,0.2765,150.0275581,3.7571569,0.767143,t17_f5_c3,,18.9813,0.3733,,False,True,False,correction_1.0.6,0.0,1.882233252515015e+18,ZTF22aaaifcx
ztf,59636.23325229995,1882233252515015014,1,1882233252515,20.468811,1,1882,0.6453645,19.388187,17.615057,19.4951,0.11701815,100.0,0.022856047,0.1657,150.0275855,3.757114,0.9614286,t17_f5_c3,0.99999225,19.6514,0.2379,468120125.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59638.321330999956,1884321332515015019,2,1884321332515,19.80293,1,1884,1.1974145,18.80494,17.068867,19.1525,0.11894021,100.0,0.024038088,0.2056,150.0275907,3.7571186,0.9285714,t17_f5_c3,0.9999987,19.2021,0.2707,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59640.33206020016,1886332062515015029,2,1886332062515,20.311758,1,1886,1.1427892,18.748072,17.05713,18.8065,0.08773951,100.0,0.018484987,0.0989,150.0276148,3.757114,0.92285717,t17_f5_c3,0.9999997,18.82,0.1234,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59640.34199069999,1886341992515015027,1,1886341992515,20.299835,1,1886,0.29520103,19.40012,17.617378,19.315,0.13849555,100.0,0.026812598,0.1407,150.0276577,3.7570464,0.9242857,t17_f5_c3,0.999843,19.4786,0.2035,468120125.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59671.27975689992,1917279752515015021,1,1917279752515,20.5874,1,1917,0.3215805,19.780998,17.681423,19.9173,0.15762173,100.0,0.022792174,0.2238,150.0276977,3.7570831,0.9557143,t17_f5_c3,0.999897,19.919,0.2776,468120125.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59671.27975689992,1917279752515025018,1,1917279752515,20.5844,1,1917,0.315496,19.8336,17.688873,20.0877,0.168301,100.0,0.023345122,0.262,150.027695,3.7570806,0.94,t17_f5_c3,,20.1048,0.3298,,False,True,False,correction_1.0.6,0.0,1.939193462515015e+18,ZTF22aaaifcx
ztf,59671.32115740003,1917321152515015013,2,1917321152515,20.55101,1,1917,1.1581448,19.021109,17.109222,18.9398,0.09207755,100.0,0.015827019,0.109,150.0276138,3.7571184,0.94142854,t17_f5_c3,0.9999999,18.9295,0.1326,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59671.32115740003,1917321152515025015,2,1917321152515,20.5556,1,1917,1.12305,18.9792,17.101902,18.8596,0.09457,100.0,0.016781632,0.1008,150.0276182,3.7571095,0.931429,t17_f5_c3,,18.8395,0.1215,,False,True,False,correction_1.0.6,0.0,1.939193462515015e+18,ZTF22aaaifcx
ztf,59674.303946800064,1920303942515015011,2,1920303942515,20.400906,1,1920,1.2079598,19.003178,17.10612,18.894,0.09006443,100.0,0.015693858,0.1177,150.0275686,3.7571084,0.9342857,t17_f5_c3,0.999966,18.8298,0.1375,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59674.3610417,1920361042515015011,1,1920361042515,19.9304,1,1920,0.838015,20.0408,17.715359,19.5161,0.237519,100.0,0.027894689,0.2509,150.027621,3.7572082,0.762857,t17_f5_c3,,19.7938,0.409,,False,True,False,correction_1.0.6,0.0,1.923165872515015e+18,ZTF22aaaifcx
ztf,59677.165879600216,1923165872515015011,2,1923165872515,20.078941,1,1923,1.186624,18.950533,17.09676,18.8262,0.11673657,100.0,0.021168869,0.133,150.0275885,3.7571145,0.94,t17_f5_c3,0.9999995,18.9262,0.1827,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59679.2098842999,1925209882515015014,2,1925209882515,20.035261,1,1925,1.2489507,18.94785,17.096273,19.0948,0.10973802,100.0,0.01994006,0.1783,150.0275867,3.757133,0.9457143,t17_f5_c3,0.9999926,19.0322,0.2121,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
ztf,59683.24084489979,1929240842515015004,2,1929240842515,19.570448,1,1929,1.2069881,18.905834,17.088516,19.2122,0.12607978,100.0,0.023643855,0.3287,150.0276185,3.7571357,0.8842857,t17_f5_c3,0.99997926,18.8765,0.3082,468120225.0,True,True,False,correction_1.0.6,0.0,,ZTF22aaaifcx
