tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59621.558958299924,1867558950315015009,2,1867558950315,18.6538,1,1867,0.258567,15.0444,13.321505,15.2285,0.05178,100.0,0.010592631,0.0123,301.9929243,8.7064248,0.694286,t17_f5_c3,15.2038,0.0142,False,True,False,correction_1.0.6,0.0,1.868560850315015e+18,,,ZTF22aaakcfw
ztf,59621.558958299924,1867558950315025010,2,1867558950315,18.6512,1,1867,0.251511,15.0442,13.321464,15.2311,0.052001,100.0,0.010639402,0.0124,301.9929249,8.7064272,0.698571,t17_f5_c3,15.2077,0.0142,False,True,False,correction_1.0.6,0.0,1.873559540315015e+18,,,ZTF22aaakcfw
ztf,59621.56137729995,1867561370315015003,2,1867561370315,18.3708,1,1867,0.081893,15.2556,13.361495,15.3921,0.031757,100.0,0.0055487794,0.0151,301.9928727,8.7065007,0.684286,t17_f5_c3,15.3637,0.0176,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59621.56137729995,1867561370315025003,2,1867561370315,18.3687,1,1867,0.079613,15.2472,13.360023,15.383,0.032583,100.0,0.0057295435,0.015,301.9928725,8.7064985,0.69,t17_f5_c3,15.3549,0.0175,False,True,False,correction_1.0.6,0.0,1.873559540315015e+18,,,ZTF22aaakcfw
ztf,59621.563796299975,1867563790315015001,2,1867563790315,18.553,1,1867,0.350273,15.2621,13.362628,15.3583,0.064639,100.0,0.011238432,0.0168,301.9928014,8.7064542,0.604286,t17_f5_c3,15.3471,0.0202,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59621.563796299975,1867563790315025001,2,1867563790315,18.5539,1,1867,0.346599,15.2131,13.353949,15.3093,0.062805,100.0,0.011332697,0.0161,301.9928055,8.7064478,0.618571,t17_f5_c3,15.2979,0.0193,False,True,False,correction_1.0.6,0.0,1.873559540315015e+18,,,ZTF22aaakcfw
ztf,59621.5662153,1867566210315015002,2,1867566210315,18.1211,1,1867,0.529133,15.1598,13.344135,15.4076,0.051759,100.0,0.009721203,0.0211,301.99294,8.7063492,0.61,t17_f5_c3,15.3912,0.0257,False,True,False,correction_1.0.6,0.0,1.868560850315015e+18,,,ZTF22aaakcfw
ztf,59621.5662153,1867566210315025000,2,1867566210315,18.1209,1,1867,0.526138,15.1541,13.343062,15.3956,0.052287,100.0,0.009862306,0.0209,301.9929392,8.7063498,0.63,t17_f5_c3,15.3737,0.0253,False,True,False,correction_1.0.6,0.0,1.873559540315015e+18,,,ZTF22aaakcfw
ztf,59621.56863430003,1867568630315015003,2,1867568630315,17.6989,1,1867,0.065438,15.2573,13.361792,15.4556,0.041617,100.0,0.007262185,0.0284,301.9928882,8.7064736,0.565714,t17_f5_c3,15.429,0.0348,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59621.56863430003,1867568630315025000,2,1867568630315,17.7061,1,1867,0.087917,15.2006,13.351682,15.3843,0.040413,100.0,0.00736129,0.0264,301.9928789,8.7064713,0.614286,t17_f5_c3,15.3567,0.0324,False,True,False,correction_1.0.6,0.0,1.873559540315015e+18,,,ZTF22aaakcfw
ztf,59622.55843750015,1868558430315015005,2,1868558430315,18.6569,1,1868,0.571875,15.0169,13.315822,15.3275,0.059615,100.0,0.012442978,0.0125,301.9929779,8.7063528,0.638571,t17_f5_c3,15.3157,0.0144,False,True,False,correction_1.0.6,0.0,1.868560850315015e+18,,,ZTF22aaakcfw
ztf,59622.560856500175,1868560850315015002,2,1868560850315,18.507767,1,1868,1.5178819,14.863551,,15.3808,0.08121193,,,0.0143,301.9931486,8.7061448,0.45,t17_f5_c3,15.3545,0.0166,True,False,True,correction_1.0.6,0.0,,0.47271654,541120203.0,ZTF22aaakcfw
ztf,59622.5632755002,1868563270315015000,2,1868563270315,18.348,1,1868,0.197597,15.1352,13.339472,15.4086,0.052467,100.0,0.010036797,0.0162,301.992878,8.7065445,0.631429,t17_f5_c3,15.3975,0.0193,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59622.56569440011,1868565690315015001,2,1868565690315,17.9731,1,1868,0.943041,15.6703,13.423456,15.594,0.081284,100.0,0.010262846,0.0223,301.9931602,8.7065273,0.52,t17_f5_c3,15.5012,0.0253,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59622.568113400135,1868568110315015000,2,1868568110315,17.8645,1,1868,0.298442,15.1368,13.339778,15.4457,0.04718,100.0,0.009014656,0.0246,301.9929534,8.706431,0.592857,t17_f5_c3,15.4233,0.0301,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59623.55910879979,1869559100315015001,2,1869559100315,18.8873,1,1869,0.444612,15.1915,13.3500185,15.4437,0.085917,0.0056784833,0.015757475,0.0157,301.9929237,8.7063694,0.625714,t17_f5_c3,15.4441,0.0186,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59623.56151620019,1869561510315015000,2,1869561510315,18.748,1,1869,0.561162,15.335,13.374956,15.3747,0.052934,100.0,0.008703965,0.0159,301.993006,8.7063783,0.648571,t17_f5_c3,15.3547,0.0187,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59623.56391200004,1869563910315015000,2,1869563910315,18.5605,1,1869,0.623503,15.2934,13.368006,15.4367,0.057,100.0,0.009676472,0.0196,301.9930297,8.7063776,0.75,t17_f5_c3,15.4162,0.0235,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
ztf,59623.56631939998,1869566310315015001,2,1869566310315,18.3205,1,1869,0.188467,15.2529,13.361023,15.4165,0.055384,100.0,0.009696909,0.024,301.9928544,8.7065271,0.775714,t17_f5_c3,15.4137,0.0298,False,True,False,correction_1.0.6,0.0,1.870560020315015e+18,,,ZTF22aaakcfw
