tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59621.55799769983,1867557994915015024,2,1867557994915,19.2232,1,1867,0.627083,17.1916,15.705297,17.5584,0.120887,0.02729324,0.030750934,0.0752,294.5116968,15.0100895,0.592857,t17_f5_c3,17.4546,0.0853,False,True,False,correction_1.0.6,0.0,1.868564734915015e+18,,,ZTF22aaakgjq
ztf,59621.55799769983,1867557994915025021,2,1867557994915,19.2231,1,1867,0.628786,17.1966,15.706567,17.551,0.120856,0.027156863,0.030637626,0.0747,294.511697,15.0100889,0.597143,t17_f5_c3,17.4414,0.0842,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59621.56041669985,1867560414915015021,2,1867560414915,18.927,1,1867,0.62227,17.2569,15.7215395,17.3497,0.076548,0.011815514,0.018611845,0.0714,294.5116874,15.0100781,0.787143,t17_f5_c3,17.3173,0.087,False,True,False,correction_1.0.6,0.0,1.868564734915015e+18,,,ZTF22aaakgjq
ztf,59621.56041669985,1867560414915025021,2,1867560414915,18.9301,1,1867,0.617489,17.2253,15.713771,17.254,0.074268,0.011698306,0.01845824,0.0652,294.5116833,15.0100749,0.787143,t17_f5_c3,17.2083,0.0785,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59621.56283560023,1867562834915015029,2,1867562834915,18.8533,1,1867,0.236333,17.1601,15.697198,17.1918,0.109799,0.024834283,0.02853889,0.0614,294.5115728,15.0101176,0.7,t17_f5_c3,17.1392,0.0734,False,True,False,correction_1.0.6,0.0,1.868564734915015e+18,,,ZTF22aaakgjq
ztf,59621.56283560023,1867562834915025028,2,1867562834915,18.8546,1,1867,0.238406,17.1593,15.696989,17.1899,0.111613,0.025394313,0.029026229,0.0612,294.5115719,15.0101162,0.702857,t17_f5_c3,17.1318,0.0728,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59621.56525459979,1867565254915015017,2,1867565254915,18.7749,1,1867,0.314058,17.2086,15.709597,17.2861,0.087273,0.016708162,0.021942133,0.0759,294.5116125,15.010126,0.732857,t17_f5_c3,17.276,0.0951,False,True,False,correction_1.0.6,0.0,1.868564734915015e+18,,,ZTF22aaakgjq
ztf,59621.56525459979,1867565254915025016,2,1867565254915,18.7769,1,1867,0.319284,17.2121,15.710475,17.3064,0.088143,0.016914973,0.022107434,0.0772,294.5116148,15.0101265,0.745714,t17_f5_c3,17.3038,0.0974,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59621.56767359981,1867567674915025016,2,1867567674915,18.3718,1,1867,0.220832,17.2793,15.726944,17.349,0.110561,0.022169616,0.026464222,0.0983,294.5115621,15.0101208,0.724286,t17_f5_c3,17.2721,0.1163,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59622.55747690005,1868557474915015020,2,1868557474915,19.0487,1,1868,0.725352,17.0993,15.681064,17.2031,0.116153,0.02824342,0.031458348,0.0551,294.5116748,15.0100223,0.645714,t17_f5_c3,17.0951,0.0622,False,True,False,correction_1.0.6,0.0,1.868564734915015e+18,,,ZTF22aaakgjq
ztf,59622.55989579996,1868559894915015018,2,1868559894915,19.099,1,1868,0.716903,17.3173,15.735919,17.4177,0.097609,0.017467456,0.022747684,0.0658,294.5116445,15.0100048,0.722857,t17_f5_c3,17.4579,0.0851,False,True,False,correction_1.0.6,0.0,1.868564734915015e+18,,,ZTF22aaakgjq
ztf,59622.56231479999,1868562314915015017,2,1868562314915,18.9772,1,1868,0.90439,17.3902,15.752476,17.2426,0.12475,0.023302063,0.027602669,0.0629,294.5117601,15.01004,0.654286,t17_f5_c3,17.1935,0.0754,False,True,False,correction_1.0.6,0.0,1.868564734915015e+18,,,ZTF22aaakgjq
ztf,59622.56473380001,1868564734915015017,2,1868564734915,18.706337,1,1868,1.5300853,17.217392,,17.3175,0.11150535,,,0.0784,294.5119501,15.0100115,0.5657143,t17_f5_c3,17.2124,0.0899,True,False,True,correction_1.0.6,0.0,,0.77425265,540120249.0,ZTF22aaakgjq
ztf,59622.56715280004,1868567154915015014,2,1868567154915,18.5987,1,1868,0.713018,17.3126,15.734821,17.3454,0.101464,0.018733546,0.023724712,0.0891,294.5117076,15.0100615,0.715714,t17_f5_c3,17.2477,0.1032,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59623.55814810004,1869558144915015017,2,1869558144915,19.4227,1,1869,0.53991,17.2222,15.713,17.4602,0.104196,0.021678092,0.025952004,0.0659,294.5116683,15.0100937,0.862857,t17_f5_c3,17.4834,0.0835,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59623.560555600096,1869560554915015018,2,1869560554915,19.0694,1,1869,0.679575,17.1913,15.705221,17.3597,0.096293,0.019989291,0.024499845,0.0714,294.5116816,15.0100461,0.765714,t17_f5_c3,17.2937,0.0843,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59623.562951399945,1869562954915015015,2,1869562954915,19.1378,1,1869,0.647962,17.2703,15.724782,17.5781,0.103469,0.020325623,0.024923168,0.0904,294.511679,15.0100564,0.737143,t17_f5_c3,17.6581,0.1223,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59623.56535879988,1869565354915015015,2,1869565354915,19.1296,1,1869,0.083605,17.3314,15.739188,17.3891,0.076579,0.009928979,0.017669536,0.0783,294.5115236,15.0101609,0.904286,t17_f5_c3,17.3757,0.0974,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59623.5677546002,1869567754915015015,2,1869567754915,18.9398,1,1869,0.844808,17.3372,15.740524,17.6075,0.108447,0.020170517,0.02491995,0.114,294.5116967,15.0099963,0.658571,t17_f5_c3,17.4231,0.1219,False,True,False,correction_1.0.6,0.0,1.882534464915015e+18,,,ZTF22aaakgjq
ztf,59636.53446759982,1882534464915015032,2,1882534464915,19.162655,1,1882,1.1584417,17.756954,15.823622,17.6244,0.095951565,0.0034500556,0.016170338,0.0711,294.5118019,15.0099742,0.45285714,t17_f5_c3,17.4653,0.0763,True,True,False,correction_1.0.6,0.0,,0.9775113,540120249.0,ZTF22aaakgjq
ztf,61078.56616900023,3324566164915015019,2,3324566164915,18.802736,1,3324,1.2889882,17.926388,15.850387,18.0057,0.15524285,0.01625104,0.022940934,0.1504,294.5118372,15.009958,0.57285714,t17_f5_c3,17.9703,0.1841,True,True,False,27.5.7a32.dev1,0.0,,0.93405604,540120249.0,ZTF22aaakgjq
