tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59624.558576399926,1870558573915015019,2,1870558573915,19.218,1,1870,1.00441,15.8944,13.846448,16.1428,0.06038,100.0,0.009156138,0.0238,292.7680473,-2.3161367,0.718571,t17_f5_c3,16.0661,0.0272,False,True,False,correction_1.0.6,0.0,1.871563323915015e+18,,,ZTF22aaaxsuk
ztf,59624.558576399926,1870558573915015023,2,1870558573915,19.218,1,1870,0.66795,15.919,13.8501425,15.8772,0.023069,100.0,0.0034315146,0.0191,292.767987,-2.3160634,0.807143,t17_f5_c3,15.8527,0.0227,False,True,False,correction_1.0.6,0.0,1.871563323915015e+18,,,ZTF22aaaxsuk
ztf,59624.56098379986,1870560983915015027,2,1870560983915,19.1504,1,1870,0.427298,15.9475,13.854335,15.8788,0.069001,100.0,0.010036659,0.0204,292.767858,-2.3160369,0.825714,t17_f5_c3,15.858,0.0245,False,True,False,correction_1.0.6,0.0,1.871565793915015e+18,,,ZTF22aaaxsuk
ztf,59624.56340279989,1870563403915015021,2,1870563403915,19.0754,1,1870,0.32341,15.9146,13.849487,15.8496,0.051421,100.0,0.0076752957,0.0212,292.7678875,-2.3160063,0.84,t17_f5_c3,15.8205,0.0255,False,True,False,correction_1.0.6,0.0,1.871565793915015e+18,,,ZTF22aaaxsuk
ztf,59624.56583329989,1870565833915015023,2,1870565833915,18.7839,1,1870,0.394981,16.0127,13.863579,15.865,0.058239,100.0,0.008045734,0.0266,292.7679369,-2.3160025,0.781429,t17_f5_c3,15.849,0.0328,False,True,False,correction_1.0.6,0.0,1.871565793915015e+18,,,ZTF22aaaxsuk
ztf,59625.558379599825,1871558373915015019,2,1871558373915,18.4058,1,1871,0.898363,15.8069,13.832717,15.8609,0.049962,100.0,0.008108987,0.0226,292.7681135,-2.3159793,0.591429,t17_f5_c3,15.7287,0.0248,False,True,False,correction_1.0.6,0.0,1.871563323915015e+18,,,ZTF22aaaxsuk
ztf,59625.560856500175,1871560853915015020,2,1871560853915,18.4121,1,1871,0.762323,15.7201,13.818149,15.7586,0.034132,100.0,0.0059208097,0.0214,292.7680385,-2.3160478,0.64,t17_f5_c3,15.6641,0.0244,False,True,False,correction_1.0.6,0.0,1.871565793915015e+18,,,ZTF22aaaxsuk
ztf,59625.56332179997,1871563323915015019,2,1871563323915,18.115864,1,1871,1.9907863,15.689496,,15.8859,0.06211735,,,0.0262,292.7683526,-2.316197,0.49571428,t17_f5_c3,15.7674,0.0295,True,False,True,correction_1.0.6,0.0,,0.61594427,437120239.0,ZTF22aaaxsuk
ztf,59625.565798600204,1871565793915015037,2,1871565793915,18.15235,1,1871,1.2588242,15.841658,13.838284,15.7739,0.037950847,100.0,0.0059961383,0.0282,292.7681161,-2.3161704,0.5485714,t17_f5_c3,15.6778,0.0325,True,True,False,correction_1.0.6,0.0,,0.98717135,437120239.0,ZTF22aaaxsuk
ztf,59627.55364579987,1873553643915015019,2,1873553643915,18.1797,1,1873,0.90481,16.0706,13.871396,16.01,0.065196,100.0,0.008600807,0.0245,292.7680482,-2.3157369,0.467143,t17_f5_c3,15.8965,0.0274,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59627.558588000014,1873558583915015016,2,1873558583915,18.2358,1,1873,2.15807,16.5342,,16.0792,0.078292,,,0.0263,292.7684089,-2.316195,0.447143,t17_f5_c3,15.9543,0.0293,False,False,True,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59627.56105320016,1873561053915015020,2,1873561053915,18.2544,1,1873,0.650431,15.6947,13.8137,15.852,0.045348,100.0,0.008019698,0.0242,292.7680208,-2.3160181,0.637143,t17_f5_c3,15.8227,0.0294,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59627.563530100044,1873563533915015019,2,1873563533915,17.9433,1,1873,0.684257,15.8113,13.83343,15.9528,0.051687,100.0,0.008360517,0.0294,292.7679256,-2.3161007,0.544286,t17_f5_c3,15.8622,0.0341,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59628.55314810015,1874553143915015023,2,1874553143915,19.0906,1,1874,0.291469,16.1418,13.880526,16.0109,0.048324,100.0,0.0060207867,0.0229,292.7679349,-2.3159647,0.864286,t17_f5_c3,16.0052,0.0281,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59628.55562500004,1874555623915015020,2,1874555623915,18.9617,1,1874,0.37567,16.1512,13.881693,16.0034,0.089078,100.0,0.011014574,0.0239,292.7679393,-2.3159953,0.661429,t17_f5_c3,16.0165,0.0298,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59628.55809029983,1874558093915015014,2,1874558093915,19.002,1,1874,1.02665,16.0999,13.8752165,16.0651,0.093982,100.0,0.012110763,0.0257,292.7681323,-2.3160345,0.677143,t17_f5_c3,16.0092,0.0302,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59628.560555600096,1874560553915015019,2,1874560553915,18.6793,1,1874,0.326288,15.6155,13.799267,15.8993,0.098637,0.01318831,0.018515961,0.025,292.7679598,-2.3159104,0.617143,t17_f5_c3,15.9021,0.0312,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59628.56303239986,1874563033915015018,2,1874563033915,18.571,1,1874,0.513165,16.0787,13.872461,15.9443,0.047073,100.0,0.006169879,0.0307,292.7679673,-2.316022,0.827143,t17_f5_c3,15.9153,0.0376,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59629.55500000017,1875555003915015022,2,1875555003915,19.2603,1,1875,0.745806,16.0081,13.862942,15.9626,0.068884,100.0,0.009551135,0.0203,292.7679329,-2.3161165,0.777143,t17_f5_c3,15.9439,0.0243,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59630.55298609985,1876552983915015020,2,1876552983915,19.5586,1,1876,0.172041,16.0949,13.874571,15.975,0.092184,100.0,0.011926796,0.0179,292.767902,-2.3159515,0.768571,t17_f5_c3,15.9758,0.0214,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59630.5554630002,1876555463915015010,2,1876555463915,19.4917,1,1876,0.461005,16.0481,13.868401,16.0102,0.090202,100.0,0.012115371,0.019,292.7678458,-2.3160429,0.682857,t17_f5_c3,16.0095,0.0228,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59630.55792819988,1876557923915015012,2,1876557923915,19.4546,1,1876,0.967266,15.9804,13.859058,16.1763,0.112162,0.008008202,0.015896782,0.0223,292.7679593,-2.3161734,0.684286,t17_f5_c3,16.1478,0.0261,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59637.53324070014,1883533243915015022,2,1883533243915,17.5401,1,1883,0.995141,15.5221,13.78111,15.6231,0.072874,0.0071836053,0.014661433,0.0499,292.7680518,-2.3161287,0.598571,t17_f5_c3,15.5623,0.0591,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59637.535740700085,1883535743915015087,2,1883535743915,17.2504,1,1883,0.378846,15.8257,13.835746,15.7368,0.064142,100.0,0.010260323,0.0728,292.7679528,-2.3159819,0.632857,t17_f5_c3,15.6507,0.0849,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59637.53822920006,1883538223915015150,2,1883538223915,16.4752,1,1883,0.349778,15.5294,13.782575,15.5412,0.103241,0.016218035,0.020659609,0.1102,292.7678584,-2.3160148,0.527143,t17_f5_c3,15.487,0.1335,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59637.5407292,1883540723915015128,2,1883540723915,17.4554,1,1883,0.649115,16.1345,13.879614,15.8883,0.123675,0.0066626994,0.01549984,0.0668,292.7679771,-2.3160636,0.552857,t17_f5_c3,15.8581,0.0818,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
ztf,59637.54321759986,1883543213915015022,2,1883543213915,17.6428,1,1883,0.165802,15.6049,13.797269,15.7081,0.073486,0.0050043226,0.01390439,0.0466,292.7679123,-2.3159019,0.708571,t17_f5_c3,15.6639,0.0559,False,True,False,correction_1.0.6,0.0,1.8855315739150152e+18,,,ZTF22aaaxsuk
