tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59623.301666699816,1869301662415015004,1,1869301662415,19.892,1,1869,4.03356,19.2354,19.1716,0.12052,0.2032,166.1066807,39.7061391,0.95,t17_f5_c3,18.9596,0.2146,False,False,False,correction_1.0.6,0.0,1.885266812415015e+18,,,ZTF22aaayarq
ztf,59623.35064810002,1869350642415015005,2,1869350642415,20.1261,1,1869,4.39373,19.6852,19.7156,0.129957,0.2832,166.1066764,39.706113,0.88,t17_f5_c3,19.6271,0.3345,False,False,False,correction_1.0.6,0.0,1.885266812415015e+18,,,ZTF22aaayarq
ztf,59625.26438659988,1871264382415015009,2,1871264382415,19.4824,1,1871,4.09354,19.4483,19.1955,0.196768,0.2835,166.1066681,39.7062187,0.801429,t17_f5_c3,19.0788,0.3266,False,False,False,correction_1.0.6,0.0,1.885266812415015e+18,,,ZTF22aaayarq
ztf,59628.20298610022,1874202982415015001,1,1874202982415,19.2802,1,1874,4.04457,19.2261,19.3872,0.154776,0.4072,166.1067571,39.7061047,0.91,t17_f5_c3,19.3245,0.4941,False,False,False,correction_1.0.6,0.0,1.885266812415015e+18,,,ZTF22aaayarq
ztf,59628.42155090021,1874421552415015060,2,1874421552415,19.3923,1,1874,4.84184,19.4214,19.276,0.207155,0.289,166.1066925,39.7059598,0.461429,t17_f5_c3,19.3199,0.3866,False,False,False,correction_1.0.6,0.0,1.885266812415015e+18,,,ZTF22aaayarq
ztf,59636.41072920011,1882410722415015003,2,1882410722415,20.6013,1,1882,4.41965,19.5004,19.6796,0.116421,0.174,166.1066277,39.7061287,0.91,t17_f5_c3,19.73,0.2322,False,False,False,correction_1.0.6,0.0,1.885266812415015e+18,,,ZTF22aaayarq
ztf,59636.44342589984,1882443422415015017,1,1882443422415,20.5872,1,1882,4.10051,19.5975,19.7864,0.133764,0.1745,166.1066434,39.7061339,0.93,t17_f5_c3,19.6989,0.2053,False,False,False,correction_1.0.6,0.0,1.885266812415015e+18,,,ZTF22aaayarq
ztf,59639.26681709988,1885266812415015003,2,1885266812415,20.363853,1,1885,4.2983966,19.506842,19.5198,0.11255725,0.1643,166.1066992,39.7061335,0.89428574,t17_f5_c3,19.4181,0.1911,True,False,False,correction_1.0.6,0.0,,0.9999994,713120224.0,ZTF22aaayarq
ztf,59671.340474499855,1917340472415025012,2,1917340472415,20.7696,1,1917,4.41438,20.1077,20.4722,0.122512,0.3185,166.1066383,39.7061248,0.818571,t17_f5_c3,20.3888,0.3774,False,False,False,correction_1.0.6,0.0,1.940186402415015e+18,,,ZTF22aaayarq
ztf,59676.32623839984,1922326232415015007,1,1922326232415,20.2878,1,1922,4.27201,20.6581,20.2612,0.342156,0.2925,166.1066824,39.7060618,0.48,t17_f5_c3,20.1786,0.3473,False,False,False,correction_1.0.6,0.0,1.940186402415015e+18,,,ZTF22aaayarq
ztf,59678.22890050011,1924228902415015002,2,1924228902415,20.3994,1,1924,4.44618,20.1483,20.8626,0.202183,0.6535,166.1066379,39.7061143,0.588571,t17_f5_c3,20.2911,0.4951,False,False,False,correction_1.0.6,0.0,1.940186402415015e+18,,,ZTF22aaayarq
ztf,59683.358576400205,1929358572415015003,2,1929358572415,19.6166,1,1929,4.51611,19.8565,19.6877,0.252715,0.4325,166.106678,39.7060715,0.632857,t17_f5_c3,19.6758,0.5497,False,False,False,correction_1.0.6,0.0,1.940186402415015e+18,,,ZTF22aaayarq
ztf,59690.23650459992,1936236502415015003,2,1936236502415,20.5773,1,1936,4.43824,20.1729,20.4067,0.153649,0.3451,166.1066679,39.7061022,0.868571,t17_f5_c3,20.224,0.3734,False,False,False,correction_1.0.6,0.0,1.940186402415015e+18,,,ZTF22aaayarq
ztf,59690.27793980017,1936277932415015009,1,1936277932415,20.6831,1,1936,4.38793,20.8461,20.4806,0.283433,0.3243,166.1065645,39.706076,0.647143,t17_f5_c3,20.9621,0.6465,False,False,False,correction_1.0.6,0.0,1.940186402415015e+18,,,ZTF22aaayarq
ztf,59694.186400500126,1940186402415015003,2,1940186402415,20.506523,1,1940,4.2836943,20.146149,20.2894,0.14894079,0.3466,166.1066397,39.7061686,0.8528572,t17_f5_c3,19.9466,0.3239,True,False,False,correction_1.0.6,0.0,,0.9991536,713120224.0,ZTF22aaayarq
