tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59622.544375000056,1868544371315015040,2,1868544371315,19.4125,1,1868,0.898885,17.3821,14.690911,18.3408,0.202079,100.0,0.01694518,0.1142,285.5875813,16.7416966,0.327143,t17_f5_c3,18.3049,0.1337,False,True,False,correction_1.0.6,0.0,1.873551721315015e+18,,,ZTF22aabbxre
ztf,59627.54142360017,1873541421315015022,2,1873541421315,18.5655,1,1873,1.3101,16.8798,14.638634,16.9638,0.086971,100.0,0.011038443,0.0487,285.5877008,16.7417147,0.478571,t17_f5_c3,16.9404,0.0595,False,True,False,correction_1.0.6,0.0,1.873551721315015e+18,,,ZTF22aabbxre
ztf,59627.54399310006,1873543991315015023,2,1873543991315,18.53,1,1873,0.827718,16.8468,14.63439,17.0869,0.096014,100.0,0.01251326,0.0537,285.5875577,16.741718,0.495714,t17_f5_c3,16.9756,0.0606,False,True,False,correction_1.0.6,0.0,1.873551721315015e+18,,,ZTF22aabbxre
ztf,59627.55172450002,1873551721315015009,2,1873551721315,18.4706,1,1873,2.058694,16.938427,,17.021,0.12090166,,,0.0497,285.5879053,16.7415723,0.43714285,t17_f5_c3,16.9142,0.0563,True,False,True,correction_1.0.6,0.0,,0.2947541,590120213.0,ZTF22aabbxre
ztf,59969.56475690007,2215564751315015002,2,2215564751315,19.5275,1,2215,0.737601,16.0782,14.497663,16.1042,0.061703,100.0,0.014391017,0.0185,285.5874992,16.7416,0.514286,t17_f5_c3,16.0828,0.0219,False,True,False,1.1.6,0.0,2.217565781315015e+18,,,ZTF22aabbxre
ztf,59969.56721059978,2215567211315015005,2,2215567211315,19.405,1,2215,0.280984,16.1189,14.50702,16.1694,0.053662,100.0,0.012159468,0.0208,285.5873416,16.7416329,0.764286,t17_f5_c3,16.1495,0.0249,False,True,False,1.1.6,0.0,2.217565781315015e+18,,,ZTF22aabbxre
ztf,59969.56967590004,2215569671315015005,2,2215569671315,19.1056,1,2215,0.198764,16.0337,14.48712,16.1672,0.063713,100.0,0.015331886,0.0233,285.5873485,16.7416656,0.69,t17_f5_c3,16.166,0.0288,False,True,False,1.1.6,0.0,2.217565781315015e+18,,,ZTF22aabbxre
ztf,59969.57214119984,2215572141315015005,2,2215572141315,19.0843,1,2215,0.509532,16.1427,14.512367,16.206,0.061523,100.0,0.013705795,0.0273,285.587449,16.7416396,0.672857,t17_f5_c3,16.2021,0.0339,False,True,False,1.1.6,0.0,2.217565781315015e+18,,,ZTF22aabbxre
ztf,59969.57459490001,2215574591315015006,2,2215574591315,18.8927,1,2215,0.419766,16.1844,14.521519,16.2585,0.04923,100.0,0.010643323,0.0345,285.5874188,16.7416428,0.82,t17_f5_c3,16.248,0.043,False,True,False,1.1.6,0.0,2.217565781315015e+18,,,ZTF22aabbxre
ztf,59971.565787000116,2217565781315015003,2,2217565781315,18.977703,1,2217,1.3959774,16.139029,14.511547,16.1443,0.047548242,100.0,0.010620425,0.0197,285.5876109,16.7414339,0.55857146,t17_f5_c3,16.1068,0.0231,True,True,False,1.1.6,0.0,,0.8904569,590120213.0,ZTF22aabbxre
ztf,59971.57295140019,2217572951315015003,2,2217572951315,18.7788,1,2217,0.659095,16.393,14.563345,16.1911,0.063583,100.0,0.01178906,0.0289,285.5875068,16.7416689,0.532857,t17_f5_c3,16.1892,0.0361,False,True,False,1.1.6,0.0,2.231546651315015e+18,,,ZTF22aabbxre
ztf,59971.575347200036,2217575341315015002,2,2217575341315,18.4222,1,2217,1.00876,16.1155,14.506248,16.1738,0.042212,100.0,0.0095881615,0.0338,285.587612,16.7416746,0.644286,t17_f5_c3,16.1737,0.0426,False,True,False,1.1.6,0.0,2.231546651315015e+18,,,ZTF22aabbxre
ztf,59984.546724500135,2230546721315015004,2,2230546721315,18.9492,1,2230,0.724028,16.9785,14.650675,16.6983,0.099725,100.0,0.011686218,0.0348,285.5875298,16.741723,0.474286,t17_f5_c3,16.6768,0.0421,False,True,False,1.1.6,0.0,2.231546651315015e+18,,,ZTF22aabbxre
ztf,59984.54921300011,2230549211315015011,2,2230549211315,18.9778,1,2230,1.01974,17.1082,14.665096,16.8086,0.087034,100.0,0.009171653,0.0388,285.5876161,16.7416834,0.474286,t17_f5_c3,16.7773,0.0465,False,True,False,1.1.6,0.0,2.231546651315015e+18,,,ZTF22aabbxre
ztf,59984.55170139996,2230551701315015004,2,2230551701315,19.1396,1,2230,0.452484,16.7693,14.62397,16.8395,0.061337,100.0,0.008503358,0.0384,285.587446,16.7416729,0.657143,t17_f5_c3,16.8111,0.0461,False,True,False,1.1.6,0.0,2.231546651315015e+18,,,ZTF22aabbxre
