tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59637.450555600226,1883450555515015002,2,1883450555515,20.040491,1,1883,2.638878,18.529572,18.521,0.09592814,0.0895,244.3713516,14.4179278,0.9557143,t17_f5_c3,0.99999976,18.4844,0.1099,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59637.49534719996,1883495345515015001,1,1883495345515,19.803478,1,1883,1.1605026,18.197872,18.0979,0.08609009,0.0783,244.3713585,14.4179247,0.95714283,t17_f5_c3,0.9999999,18.0965,0.0994,533120155.0,True,True,False,correction_1.0.6,0.0,18.057253,0.07450664,0.07563196,,ZTF22aabzsqo
ztf,59639.4363425998,1885436345515015003,1,1885436345515,20.049482,1,1885,1.1783847,17.253483,17.2617,0.043660883,0.022,244.3713433,14.4179168,0.8214286,t17_f5_c3,0.99999213,17.2324,0.0264,533120155.0,True,True,False,correction_1.0.6,0.0,17.192327,0.040851448,0.04126964,,ZTF22aabzsqo
ztf,59639.52008099994,1885520085515015005,2,1885520085515,19.817741,1,1885,2.7667296,17.569622,17.6204,0.05680191,0.0314,244.3713703,14.4178831,0.57714283,t17_f5_c3,0.9994586,17.5952,0.0382,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59641.45778940013,1887457785515015003,2,1887457785515,20.450659,1,1887,2.534041,17.511406,17.5276,0.044087753,0.0301,244.3713435,14.4179601,0.9457143,t17_f5_c3,0.9999957,17.5035,0.0367,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59673.37822919991,1919378225515015004,2,1919378225515,20.200094,1,1919,2.710379,17.995811,18.0344,0.075649135,0.0471,244.3713494,14.4179059,0.95,t17_f5_c3,0.99999976,18.0175,0.0581,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59673.37822919991,1919378225515025005,2,1919378225515,20.1798,1,1919,2.7035,17.9934,18.0369,0.076364,0.0479,244.3713492,14.4179081,0.954286,t17_f5_c3,,18.0229,0.0593,,False,False,False,correction_1.0.6,0.0,,,,1.939436455515015e+18,ZTF22aabzsqo
ztf,59673.41934029991,1919419345515015003,1,1919419345515,20.408121,1,1919,1.2045048,18.429787,18.4437,0.077125736,0.0522,244.3713781,14.4179166,0.9114286,t17_f5_c3,0.9999989,18.4475,0.0655,533120155.0,True,True,False,correction_1.0.6,0.0,18.258205,0.06396717,0.06585166,,ZTF22aabzsqo
ztf,59673.41934029991,1919419345515025004,1,1919419345515,20.4179,1,1919,1.1925,18.4204,18.4325,0.077847,0.0514,244.3713774,14.4179199,0.918571,t17_f5_c3,,18.4311,0.0641,,False,True,False,correction_1.0.6,0.0,18.250187,0.06471484,0.06655122,1.939436455515015e+18,ZTF22aabzsqo
ztf,59675.39435190009,1921394355515015002,1,1921394355515,20.62391,1,1921,1.1534528,18.507357,18.4268,0.078612804,0.0524,244.3713465,14.4179244,0.94142854,t17_f5_c3,0.9999999,18.4093,0.0646,533120155.0,True,True,False,correction_1.0.6,0.0,18.324085,0.06428906,0.066402495,,ZTF22aabzsqo
ztf,59675.41996529978,1921419965515015006,2,1921419965515,20.6186,1,1921,2.559721,18.007698,18.0229,0.075626194,0.0408,244.3713579,14.4179484,0.9357143,t17_f5_c3,0.9999994,17.9917,0.0493,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59677.402048599906,1923402045515015000,2,1923402045515,20.304111,1,1923,2.6214297,18.02711,17.9711,0.051679503,0.0454,244.3713614,14.4179296,0.9557143,t17_f5_c3,1.0,17.998,0.0585,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59677.478506899904,1923478505515015004,1,1923478505515,20.452229,1,1923,1.1730071,18.52476,18.527,0.0666697,0.0636,244.3713394,14.4179179,0.93857145,t17_f5_c3,0.99999994,18.5018,0.0783,533120155.0,True,True,False,correction_1.0.6,0.0,18.338766,0.053588033,0.056173444,,ZTF22aabzsqo
ztf,59679.29601849988,1925296015515015002,1,1925296015515,19.82766,1,1925,1.2549597,18.603031,18.4467,0.1079181,0.0968,244.3713568,14.4178972,0.93142855,t17_f5_c3,0.99999917,18.4234,0.1208,533120155.0,True,True,False,correction_1.0.6,0.0,18.404335,0.08807062,0.089870155,,ZTF22aabzsqo
ztf,59679.381435200106,1925381435515015003,2,1925381435515,20.355627,1,1925,2.6363263,18.047338,18.0712,0.061245818,0.05,244.3713298,14.4179363,0.95714283,t17_f5_c3,0.9999998,18.094,0.0642,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59683.39800930023,1929398005515015004,2,1929398005515,19.82322,1,1929,2.6598616,18.06837,17.9957,0.07403529,0.0717,244.3713375,14.4179252,0.95857143,t17_f5_c3,0.9999958,17.9676,0.089,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59683.4579977002,1929457995515015003,1,1929457995515,20.131144,1,1929,1.0537337,18.711733,18.7664,0.0837561,0.1261,244.3713727,14.4179589,0.8842857,t17_f5_c3,0.99995553,18.8973,0.1815,533120155.0,True,True,False,correction_1.0.6,0.0,18.494081,0.06572836,0.0685419,,ZTF22aabzsqo
ztf,59685.353634300176,1931353635515015000,2,1931353635515,19.372288,1,1931,2.6806464,18.128798,18.0508,0.088190064,0.1109,244.3713281,14.4179243,0.9457143,t17_f5_c3,0.9999962,18.0898,0.1471,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59685.395161999855,1931395165515015004,1,1931395165515,19.1122,1,1931,1.22964,18.738136,18.7936,0.15604827,0.2334,244.3712634,14.4178988,0.73142856,t17_f5_c3,0.9997515,18.7321,0.283,533120155.0,True,True,False,correction_1.0.6,0.0,18.515642,0.12557836,0.1271338,,ZTF22aabzsqo
ztf,59693.43645829987,1939436455515015002,1,1939436455515,20.259045,1,1939,1.1322894,18.813976,18.9079,0.08252202,0.092,244.3713541,14.4179276,0.9457143,t17_f5_c3,0.9999918,19.0005,0.1266,533120155.0,True,True,False,correction_1.0.6,0.0,18.577023,0.06293748,0.066342,,ZTF22aabzsqo
ztf,59697.37671299977,1943376715515015000,2,1943376715515,19.584976,1,1943,2.5838878,18.194815,18.2682,0.13629013,0.1252,244.3713686,14.4179379,0.8971428,t17_f5_c3,0.9999993,18.2079,0.1506,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59697.43679400021,1943436795515015004,1,1943436795515,21.021797,1,1943,1.1502585,18.93071,18.8254,0.076016024,0.0574,244.3713279,14.4179212,0.94,t17_f5_c3,0.9999998,18.8265,0.0712,533120155.0,True,True,False,correction_1.0.6,0.0,18.669859,0.05524101,0.05978118,,ZTF22aabzsqo
ztf,59700.39503470017,1946395035515015003,2,1946395035515,20.666159,1,1946,2.610321,18.153593,18.1185,0.05618745,0.0439,244.3713413,14.41794,0.95285714,t17_f5_c3,0.9999642,18.1143,0.0545,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59702.333715300076,1948333715515015006,1,1948333715515,20.9359,1,1948,1.165834,19.053102,19.1232,0.081042565,0.0805,244.3713544,14.4179228,0.95857143,t17_f5_c3,0.9999999,19.0827,0.097,533120155.0,True,True,False,correction_1.0.6,0.0,18.764927,0.0569253,0.062150303,,ZTF22aabzsqo
ztf,59702.37383100018,1948373835515015002,2,1948373835515,20.560621,1,1948,2.655366,18.176535,18.2015,0.06795355,0.0456,244.3713464,14.4179239,0.9614286,t17_f5_c3,0.9999995,18.1933,0.0564,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59708.31776619982,1954317765515015005,2,1954317765515,20.025166,1,1954,2.7301002,18.306973,18.2972,0.081129774,0.0632,244.3713489,14.417899,0.8857143,t17_f5_c3,0.99999815,18.2838,0.0789,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59708.33767359983,1954337675515015004,2,1954337675515,19.776875,1,1954,2.7431202,18.241232,18.2889,0.08959781,0.0598,244.3714084,14.4178786,0.49142858,t17_f5_c3,0.9998407,18.2314,0.0716,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59710.43418980017,1956434185515015003,1,1956434185515,20.406616,1,1956,1.3185271,19.346159,19.3824,0.1076058,0.1322,244.371367,14.4178812,0.8971428,t17_f5_c3,0.9999998,19.5679,0.1988,533120155.0,True,True,False,correction_1.0.6,0.0,18.982264,0.07067306,0.07696215,,ZTF22aabzsqo
ztf,59712.357476899866,1958357475515015002,2,1958357475515,19.759838,1,1958,2.7684436,18.477472,18.3173,0.09559988,0.1013,244.371338,14.4178895,0.9114286,t17_f5_c3,0.9999995,18.4498,0.1462,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59712.44585649995,1958445855515015001,1,1958445855515,19.884836,1,1958,1.2871414,19.43079,19.1409,0.16399238,0.1971,244.371395,14.4178971,0.85571426,t17_f5_c3,0.9999831,18.97,0.2156,533120155.0,True,True,False,correction_1.0.6,0.0,19.042114,0.11003018,0.11464446,,ZTF22aabzsqo
ztf,59714.306608799845,1960306605515015004,1,1960306605515,19.3203,1,1960,1.18689,19.7422,19.8445,0.398643,0.6454,244.3713853,14.4179237,0.465714,t17_f5_c3,,19.6325,0.682,,False,True,False,correction_1.0.6,0.0,19.250082,0.25034028,0.2533593,1.960336225515015e+18,ZTF22aabzsqo
ztf,59714.33622690011,1960336225515015002,2,1960336225515,19.344685,1,1960,2.5532737,18.41077,18.438,0.12967843,0.1678,244.3713657,14.4179475,0.93,t17_f5_c3,0.99999976,18.2859,0.1872,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
ztf,59717.33603010001,1963336035515015000,1,1963336035515,19.2958,1,1963,1.90398,19.7707,19.7998,0.312931,0.4604,244.3712009,14.417715,0.188571,t17_f5_c3,,19.5083,0.4525,,False,False,True,correction_1.0.6,0.0,,,,1.965342035515015e+18,ZTF22aabzsqo
ztf,59719.34203700023,1965342035515015005,2,1965342035515,20.28264,1,1965,2.5153587,18.649433,18.7133,0.0950024,0.0918,244.3713613,14.4179611,0.96,t17_f5_c3,0.9999999,18.7526,0.1207,533120255.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF22aabzsqo
