tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59673.519536999986,1919519531415015007,2,1919519531415,18.7653,1,1919,2.33972,16.3149,16.8626,0.108252,0.0483,342.2832363,37.0444729,0.412857,t17_f5_c3,16.6865,0.0531,False,False,False,correction_1.0.6,0.0,1.922513841415015e+18,,,ZTF22aaexcuq
ztf,59676.51384259993,1922513841415015018,2,1922513841415,18.616516,1,1922,2.9295962,16.326286,16.5153,0.079752035,0.0339,342.2831681,37.0441221,0.38142857,t17_f5_c3,16.5512,0.0451,True,False,False,correction_1.0.6,0.0,,0.00311106,734120214.0,ZTF22aaexcuq
ztf,60259.123148099985,2505123140315015006,2,2505123140315,20.3856,1,2505,2.05032,17.5291,17.7273,0.093688,0.0755,342.2834862,37.0442812,0.247143,t17_f5_c3,17.7618,0.0837,False,False,False,23.12.x,0.0,2.534204440315015e+18,,,ZTF22aaexcuq
ztf,60288.204444400035,2534204440315015007,2,2534204440315,19.548805,1,2534,2.5134256,16.632505,16.4829,0.04415187,0.0264,342.2833819,37.0441701,0.23857144,t17_f5_c3,16.8727,0.0487,True,False,False,23.12.x,0.0,,0.00023285,733120203.0,ZTF22aaexcuq
ztf,60315.18311339989,2561183110315015003,2,2561183110315,19.088654,1,2561,2.552434,16.448729,16.632,0.07686645,0.032,342.2833686,37.044166,0.4557143,t17_f5_c3,16.6153,0.0403,True,False,False,23.12.x,0.0,,3.743e-05,733120203.0,ZTF22aaexcuq
ztf,60648.15807869984,2894158070315015006,2,2894158070315,20.4407,1,2894,2.10752,17.5268,17.7827,0.092939,0.079,342.2834571,37.0442933,0.238571,t17_f5_c3,17.7787,0.0843,False,False,False,26.0.1,0.0,2.917113806015015e+18,,,ZTF22aaexcuq
ztf,60671.11380789988,2917113806015015000,2,2917113806015,19.645712,1,2917,3.382495,16.200132,16.0306,0.117979914,0.0189,342.2829963,37.04419,0.28428572,t17_f5_c3,16.6186,0.0414,True,False,False,26.0.1,0.0,,0.00049469,692120260.0,ZTF22aaexcuq
ztf,60675.13916670019,2921139160315015010,2,2921139160315,19.5004,1,2921,3.07826,16.3156,16.2502,0.036026,0.0266,342.2832111,37.0440846,0.26,t17_f5_c3,17.6694,0.126,False,False,False,26.0.1,0.0,2.936158760315015e+18,,,ZTF22aaexcuq
ztf,60690.1259606001,2936125961415015030,1,2936125961415,18.662079,1,2936,2.9953678,17.53564,17.7336,0.16713975,0.0889,342.2831281,37.0441607,0.27714285,t17_f5_c3,18.3426,0.2003,True,False,False,26.0.1,0.0,,4.536e-05,734120114.0,ZTF22aaexcuq
ztf,60690.15876160003,2936158760315015007,2,2936158760315,18.501757,1,2936,2.7609775,15.948551,16.3184,0.06716308,0.0308,342.2832553,37.0442069,0.42714286,t17_f5_c3,16.2631,0.0374,True,False,False,26.0.1,0.0,,0.00011399,733120203.0,ZTF22aaexcuq
ztf,60889.30846060021,3135308466015015001,2,3135308466015,20.514019,1,3135,3.5697026,15.979418,15.9294,0.0188615,0.0131,342.2829917,37.0440769,0.28714284,t17_f5_c3,16.436,0.0292,True,False,False,27.5.6,0.0,,0.00261641,692120260.0,ZTF22aaexcuq
ztf,61049.16082180012,3295160826015015000,1,3295160826015,19.3501,1,3295,2.35416,17.4833,17.1847,0.142027,0.0394,342.2832789,37.0444753,0.3,t17_f5_c3,17.5459,0.0704,False,False,False,27.5.7a32.dev1,0.0,3.303157991415015e+18,,,ZTF22aaexcuq
ztf,61051.185972199775,3297185970315015020,1,3297185970315,18.89491,1,3297,3.6813507,17.403778,17.4877,0.09053682,0.0603,342.2829816,37.0440584,0.4242857,t17_f5_c3,17.8796,0.1102,True,False,False,27.5.7a32.dev1,0.0,,8.55e-05,733120103.0,ZTF22aaexcuq
ztf,61055.185902799945,3301185900315015007,1,3301185900315,18.8039,1,3301,2.75495,16.8941,17.783,0.082061,0.0883,342.2832532,37.0442053,0.362857,t17_f5_c3,17.9854,0.1366,False,False,False,27.5.7a32.dev1,0.0,3.303157991415015e+18,,,ZTF22aaexcuq
ztf,61057.15799769992,3303157991415015021,1,3303157991415,18.114756,1,3303,2.2964482,16.72424,17.0895,0.111834295,0.0888,342.283438,37.0441357,0.3342857,t17_f5_c3,16.9522,0.1008,True,False,False,27.5.7a32.dev1,0.0,,0.00139412,734120114.0,ZTF22aaexcuq
