tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59670.504247699864,1916504242715045009,2,1916504242715,19.933,1,1916,2.96788,19.1794,18.7859,0.132731,0.1263,319.2715111,9.9714395,0.385714,t17_f5_c3,18.7012,0.1463,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59670.5067592999,1916506752715045006,2,1916506752715,20.0187,1,1916,3.2477,19.0808,19.0793,0.087768,0.1603,319.2713669,9.9713719,0.921429,t17_f5_c3,18.963,0.1803,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59670.5092823999,1916509282715045004,2,1916509282715,19.8212,1,1916,3.29218,18.8595,18.9415,0.12028,0.1507,319.2714183,9.9713547,0.72,t17_f5_c3,19.0616,0.2107,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59670.51180560002,1916511802715045008,2,1916511802715,19.8368,1,1916,3.11103,19.0176,18.8407,0.104922,0.1324,319.2714144,9.9714037,0.664286,t17_f5_c3,18.7699,0.1551,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59670.514328700025,1916514322715045010,2,1916514322715,19.9317,1,1916,3.25137,19.2668,19.002,0.180893,0.1565,319.2714197,9.9713599,0.7,t17_f5_c3,18.8872,0.1766,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59671.50212959992,1917502122715025005,2,1917502122715,20.1286,1,1917,3.28824,19.1708,19.2983,0.131929,0.1915,319.2714063,9.9713532,0.864286,t17_f5_c3,19.2246,0.2239,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59671.50465280004,1917504652715025009,2,1917504652715,20.3601,1,1917,3.32367,19.1581,19.1098,0.104431,0.148,319.2713913,9.9713448,0.88,t17_f5_c3,19.0467,0.1736,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59671.50717590004,1917507172715025004,2,1917507172715,20.3047,1,1917,3.35878,19.1901,19.0084,0.116474,0.1382,319.2713856,9.9713356,0.867143,t17_f5_c3,19.0427,0.1774,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59671.509687500075,1917509682715025014,2,1917509682715,20.3998,1,1917,3.30067,19.2185,19.1702,0.112542,0.1534,319.271361,9.9713557,0.854286,t17_f5_c3,19.2921,0.2131,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59671.51221060008,1917512212715025006,2,1917512212715,20.3292,1,1917,3.35054,19.1896,19.1807,0.10985,0.1614,319.2713781,9.9713389,0.871429,t17_f5_c3,19.2355,0.211,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59687.51089120004,1933510892715015010,2,1933510892715,19.5924,1,1933,3.1724,19.3343,19.1584,0.174549,0.2856,319.2713752,9.9713888,0.842857,t17_f5_c3,19.2422,0.3933,False,False,False,correction_1.0.6,0.0,1.936477532715015e+18,,,ZTF22aaexetw
ztf,59690.477534700185,1936477532715015004,2,1936477532715,19.554594,1,1936,3.340414,19.116228,18.9811,0.13116337,0.2165,319.2714598,9.9713343,0.86714286,t17_f5_c3,18.9413,0.265,True,False,False,correction_1.0.6,0.0,,0.99894696,544120227.0,ZTF22aaexetw
ztf,59695.45474540023,1941454742715015022,2,1941454742715,20.122648,1,1941,3.3763206,19.403393,19.4838,0.14686139,0.253,319.2713293,9.9713377,0.8157143,t17_f5_c3,19.4951,0.3207,True,False,False,correction_1.0.6,0.0,,0.99981475,544120227.0,ZTF22aaexetw
