tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59670.463136599865,1916463133215015025,2,1916463133215,20.2057,1,1916,0.981079,18.9534,18.803577,19.0756,0.122311,0.10305034,0.1065459,0.1272,272.5640141,-15.3690028,0.698571,t17_f5_c3,19.0285,0.156,False,True,False,correction_1.0.6,0.0,1.930420433215015e+18,,,ZTF22aafvydd
ztf,59670.463136599865,1916463133215025023,2,1916463133215,20.2004,1,1916,0.995559,18.9655,18.81411,19.0786,0.122733,0.10320143,0.10675929,0.128,272.5640142,-15.369007,0.741429,t17_f5_c3,19.0202,0.1554,False,True,False,correction_1.0.6,0.0,1.942459403215015e+18,,,ZTF22aafvydd
ztf,59679.46305559995,1925463053215015021,2,1925463053215,19.6926,1,1925,0.984468,19.0162,18.858076,18.9875,0.136813,0.11479543,0.11827095,0.1533,272.5639652,-15.369013,0.574286,t17_f5_c3,19.0683,0.2118,False,True,False,correction_1.0.6,0.0,1.930420433215015e+18,,,ZTF22aafvydd
ztf,59683.40131939994,1929401313215015014,2,1929401313215,19.3219,1,1929,1.01482,18.9014,18.758142,18.8217,0.146595,0.12582448,0.12847425,0.2167,272.5640517,-15.3690004,0.708571,t17_f5_c3,18.9416,0.3108,False,True,False,correction_1.0.6,0.0,1.930420433215015e+18,,,ZTF22aafvydd
ztf,59684.42043979978,1930420433215015015,2,1930420433215,19.153608,1,1930,1.0170066,18.852724,18.715366,19.1044,0.17231847,0.14977612,0.1518409,0.3032,272.5639398,-15.3690215,0.57857144,t17_f5_c3,19.1011,0.3882,True,True,False,correction_1.0.6,0.0,,0.999958,332120232.0,ZTF22aafvydd
ztf,59687.415856500156,1933415853215025013,2,1933415853215,18.8636,1,1933,0.945196,18.8727,18.732948,18.9764,0.232838,0.20313962,0.20471683,0.366,272.5640207,-15.3689934,0.504286,t17_f5_c3,19.0522,0.504,False,True,False,correction_1.0.6,0.0,1.942459403215015e+18,,,ZTF22aafvydd
ztf,59693.3993981001,1939399393215015011,2,1939399393215,19.4305,1,1939,0.7481,18.9656,18.814198,19.3227,0.155992,0.13290639,0.13568802,0.2596,272.5639878,-15.3689434,0.525714,t17_f5_c3,19.3391,0.3381,False,True,False,correction_1.0.6,0.0,1.942459403215015e+18,,,ZTF22aafvydd
ztf,59696.459409699775,1942459403215015016,2,1942459403215,20.082407,1,1942,0.9874827,19.007246,18.850332,19.0926,0.09462314,0.0768599,0.08189016,0.1414,272.5639784,-15.3690123,0.8357143,t17_f5_c3,19.1879,0.1977,True,True,False,correction_1.0.6,0.0,,0.99999857,332120232.0,ZTF22aafvydd
ztf,59700.418807900045,1946418803215015032,2,1946418803215,20.1507,1,1946,0.842146,18.9373,18.78954,19.0309,0.100933,0.083940364,0.08809052,0.1279,272.563999,-15.3689663,0.781429,t17_f5_c3,18.9434,0.1512,False,True,False,correction_1.0.6,0.0,1.954440253215015e+18,,,ZTF22aafvydd
ztf,59708.44025459979,1954440253215015026,2,1954440253215,19.695993,1,1954,0.9798246,19.102886,18.932602,19.1192,0.13709268,0.113158666,0.1171926,0.1724,272.5639716,-15.3690107,0.5542857,t17_f5_c3,19.1776,0.2336,True,True,False,correction_1.0.6,0.0,,0.9990859,332120232.0,ZTF22aafvydd
ztf,59712.397488399874,1958397483215015021,2,1958397483215,19.794249,1,1958,0.98119473,19.067705,18.902456,19.1441,0.13516095,0.1122283,0.11607851,0.1997,272.5640024,-15.3690075,0.7214286,t17_f5_c3,19.2595,0.2849,True,True,False,correction_1.0.6,0.0,,0.9999914,332120232.0,ZTF22aafvydd
ztf,59714.39818290016,1960398183215015021,2,1960398183215,19.233217,1,1960,1.1102949,18.770218,18.642344,18.7048,0.15302932,0.13401087,0.13602686,0.2187,272.564052,-15.369033,0.62857145,t17_f5_c3,18.7016,0.28,True,True,False,correction_1.0.6,0.0,,0.99987996,332120232.0,ZTF22aafvydd
ztf,59719.419386600144,1965419383215015018,2,1965419383215,19.2924,1,1965,0.770486,19.0997,18.929878,19.3303,0.214372,0.18079302,0.18333218,0.3287,272.5640136,-15.3689423,0.481429,t17_f5_c3,19.4907,0.4894,False,True,False,correction_1.0.6,0.0,1.972377083215015e+18,,,ZTF22aafvydd
ztf,59726.37708330015,1972377083215015035,2,1972377083215,20.15254,1,1972,0.96506906,19.219053,19.031115,19.4266,0.1638452,0.13369936,0.13780288,0.1753,272.5639509,-15.3690083,0.50285715,t17_f5_c3,19.4763,0.2353,True,True,False,1.1.2,0.0,,0.9884701,332120232.0,ZTF22aafvydd
ztf,59729.44292820012,1975442923215015030,2,1975442923215,20.247055,1,1975,0.98869044,19.150227,18.97294,19.1894,0.10850447,0.086557485,0.092158005,0.1353,272.5639547,-15.3690136,0.7985714,t17_f5_c3,19.1791,0.1717,True,True,False,1.1.2,0.0,,0.99996066,332120232.0,ZTF22aafvydd
ztf,59732.380243100226,1978380243215015019,2,1978380243215,20.3496,1,1978,0.915691,19.2147,19.027452,19.3941,0.128229,0.10266112,0.10791632,0.1516,272.5639823,-15.3689916,0.745714,t17_f5_c3,19.3743,0.191,False,True,False,1.1.2,0.0,2.0063353732150152e+18,,,ZTF22aafvydd
ztf,59734.44219909981,1980442193215015064,2,1980442193215,19.59,1,1980,0.903301,19.0978,18.928251,19.3234,0.174568,0.14621034,0.14932941,0.2762,272.5640135,-15.3689833,0.575714,t17_f5_c3,19.4648,0.4032,False,True,False,1.1.2,0.0,2.0063353732150152e+18,,,ZTF22aafvydd
ztf,59741.35728010023,1987357283215015016,2,1987357283215,19.8544,1,1987,0.953334,19.172,18.991405,19.3662,0.199211,0.16558671,0.16868459,0.2412,272.5639867,-15.3689987,0.575714,t17_f5_c3,19.1225,0.2477,False,True,False,1.1.2,0.0,2.0063353732150152e+18,,,ZTF22aafvydd
ztf,59747.37469909992,1993374693215015020,2,1993374693215,19.7735,1,1993,1.17465,19.6544,19.384508,19.6625,0.22637,0.17039052,0.17654786,0.3326,272.5639902,-15.3690638,0.454286,t17_f5_c3,19.3798,0.3296,False,True,False,1.1.2,0.0,2.0063353732150152e+18,,,ZTF22aafvydd
ztf,59756.37260420015,2002372603215015024,2,2002372603215,20.3959,1,2002,0.904291,19.367,19.154158,19.5387,0.124307,0.09509384,0.10217817,0.1679,272.5639692,-15.368989,0.715714,t17_f5_c3,19.652,0.2388,False,True,False,1.1.2,0.0,2.0063353732150152e+18,,,ZTF22aafvydd
ztf,59760.33537039999,2006335373215015088,2,2006335373215,20.366943,1,2006,0.9921321,19.503592,19.26514,19.4074,0.15989585,0.121506386,0.12836805,0.1575,272.5639457,-15.3690131,0.40142858,t17_f5_c3,19.6681,0.2564,True,True,False,1.1.2,0.0,,0.9985932,332120232.0,ZTF22aafvydd
ztf,60076.44093749998,2322440933215015020,2,2322440933215,19.986412,1,2322,1.1602907,19.527605,19.284378,19.7695,0.20285939,0.15657157,0.16214517,0.2878,272.5640026,-15.3690569,0.43142858,t17_f5_c3,19.7737,0.3708,True,True,False,1.2.0,0.0,,0.99982965,332120232.0,ZTF22aafvydd
ztf,60081.4462731001,2327446273215015022,2,2327446273215,20.3544,1,2327,0.91862,19.4345,19.20933,19.427,0.136698,0.10389908,0.111094825,0.1551,272.5640138,-15.368986,0.597143,t17_f5_c3,19.2977,0.1765,False,True,False,1.2.0,0.0,2.337356413215015e+18,,,ZTF22aafvydd
ztf,60085.39857639978,2331398573215015020,2,2331398573215,20.3609,1,2331,1.0016,19.4031,19.18374,19.6219,0.148811,0.115359865,0.12158828,0.1842,272.5640402,-15.3690037,0.582857,t17_f5_c3,19.4911,0.2097,False,True,False,1.2.0,0.0,2.337356413215015e+18,,,ZTF22aafvydd
ztf,60091.35641200002,2337356413215015024,2,2337356413215,20.164454,1,2337,1.0552673,19.30375,19.101898,19.3169,0.11468183,0.088310085,0.095225796,0.1594,272.5640437,-15.3690188,0.6685714,t17_f5_c3,19.1803,0.1803,True,True,False,1.2.0,0.0,,0.9999883,332120232.0,ZTF22aafvydd
ztf,60522.268472199794,2768268473215015023,2,2768268473215,20.166767,1,2768,1.1160177,19.417393,19.195406,19.5099,0.14705794,0.1134012,0.119865336,0.1997,272.5640375,-15.3690379,0.53,t17_f5_c3,19.5569,0.2677,True,True,False,24.5.1,0.0,,0.9998913,332120232.0,ZTF22aafvydd
ztf,60525.252743099816,2771252743215015027,2,2771252743215,20.190542,1,2771,1.0515256,19.603508,19.344614,19.6594,0.18137163,0.13577059,0.14289337,0.2251,272.5639723,-15.3690328,0.46285716,t17_f5_c3,19.5198,0.2546,True,True,False,24.5.1,0.0,,0.98783547,332120232.0,ZTF22aafvydd
