tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59679.15248840023,1925152484115015010,1,1925152484115,19.4777,1,1925,1.02994,15.8955,12.875567,16.4077,0.102513,100.0,0.0063504674,0.0312,120.2206276,-15.8232173,0.484286,t17_f5_c3,16.4206,0.035,False,True,False,correction_1.0.6,0.0,1.939163034115015e+18,,,ZTF22aahgjoe
ztf,59693.163032399956,1939163034115015021,1,1939163034115,19.287172,1,1939,2.2615504,16.372688,,16.2266,0.18603694,,,0.0269,120.2208053,-15.8235338,0.29285714,t17_f5_c3,16.1804,0.0283,True,False,True,correction_1.0.6,0.0,,0.02846553,311120141.0,ZTF22aahgjoe
ztf,60236.468599500135,2482468594115015016,2,2482468594115,19.9719,1,2482,0.570494,15.098,12.833049,15.1439,0.081236,100.0,0.010087143,0.0088,120.2205634,-15.8231046,0.765714,t17_f5_c3,15.1403,0.0093,False,True,False,1.2.1,0.0,2.487458854115015e+18,,,ZTF22aahgjoe
ztf,60241.45885419985,2487458854115015031,1,2487458854115,19.409658,1,2487,1.5031325,15.711146,,16.4487,0.10225119,,,0.0304,120.2208325,-15.8232882,0.36285713,t17_f5_c3,16.4481,0.0327,True,False,False,1.2.1,0.0,,0.16922316,311120141.0,ZTF22aahgjoe
ztf,60650.4598842999,2896459884115015023,2,2896459884115,20.0557,1,2896,0.459196,15.5732,12.88192,15.6859,0.042737,100.0,0.0035833728,0.0137,120.2205841,-15.8230812,0.764286,t17_f5_c3,15.6769,0.0145,False,True,False,26.0.1,0.0,2.926340204115015e+18,,,ZTF22aahgjoe
ztf,60652.463935200125,2898463934115015026,2,2898463934115,20.1122,1,2898,0.497178,15.1889,12.84393,15.2569,0.041956,100.0,0.004839565,0.0094,120.2206283,-15.8230866,0.788571,t17_f5_c3,15.2486,0.0099,False,True,False,26.0.1,0.0,2.926340204115015e+18,,,ZTF22aahgjoe
ztf,60659.46129629994,2905461294115015007,2,2905461294115,19.1439,1,2905,0.538148,15.1836,12.843318,15.2495,0.049253,100.0,0.0057058423,0.0125,120.2206333,-15.8231012,0.694286,t17_f5_c3,15.2391,0.0145,False,True,False,26.0.1,0.0,2.926340204115015e+18,,,ZTF22aahgjoe
ztf,60664.39692129986,2910396924115015018,2,2910396924115,19.9934,1,2910,1.11451,15.6914,12.891352,15.5951,0.098069,100.0,0.0074389633,0.0131,120.2206639,-15.8232591,0.347143,t17_f5_c3,15.5788,0.0143,False,True,False,26.0.1,0.0,2.926340204115015e+18,,,ZTF22aahgjoe
ztf,60665.44097220013,2911440974115015023,2,2911440974115,19.7577,1,2911,0.242991,15.3358,12.859896,15.2544,0.073274,100.0,0.007491835,0.0111,120.2205947,-15.8230168,0.69,t17_f5_c3,15.2503,0.0123,False,True,False,26.0.1,0.0,2.926340204115015e+18,,,ZTF22aahgjoe
ztf,60671.37671299977,2917376714115015023,2,2917376714115,19.8678,1,2917,0.248658,15.4145,12.867685,15.6191,0.05704,100.0,0.005463283,0.0137,120.2206629,-15.8229952,0.761429,t17_f5_c3,15.6038,0.0145,False,True,False,26.0.1,0.0,2.926340204115015e+18,,,ZTF22aahgjoe
ztf,60674.272338000126,2920272334115015013,2,2920272334115,19.4268,1,2920,0.35295,15.2452,12.850278,15.1951,0.045505,100.0,0.005012913,0.0088,120.220651,-15.8230391,0.694286,t17_f5_c3,15.1481,0.0091,False,True,False,26.0.1,0.0,2.926340204115015e+18,,,ZTF22aahgjoe
