tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59697.49267360009,1943492672215015002,2,1943492672215,19.6767,1,1943,1.88385,19.8951,20.0899,0.28591,0.4886,353.5736966,32.0087703,0.817143,t17_f5_c3,20.2239,0.708,False,False,False,correction_1.0.6,0.0,1.943497412215015e+18,,,ZTF22aaiirbt
ztf,59697.49741900014,1943497412215015000,2,1943497412215,19.556149,1,1943,1.823782,19.712784,19.4448,0.21513982,0.3353,353.573732,32.0087698,0.8914286,t17_f5_c3,19.3402,0.3902,True,False,False,correction_1.0.6,0.0,,0.9998249,693120222.0,ZTF22aaiirbt
ztf,59697.49979169993,1943499792215015003,2,1943499792215,19.3224,1,1943,1.44826,19.7914,20.5125,0.280218,1.0559,353.5736749,32.0086043,0.77,t17_f5_c3,20.3082,1.123,False,False,False,correction_1.0.6,0.0,1.953474872215015e+18,,,ZTF22aaiirbt
ztf,59707.472939800005,1953472932215015002,2,1953472932215,19.4917,1,1953,1.6676,19.1554,19.3879,0.220775,0.1741,353.5737307,32.008718,0.442857,t17_f5_c3,19.2366,0.1933,False,False,False,correction_1.0.6,0.0,1.953474872215015e+18,,,ZTF22aaiirbt
ztf,59707.47487269994,1953474872215015003,2,1953474872215,19.594746,1,1953,1.9298418,19.417782,19.3163,0.18477651,0.1703,353.5736915,32.0087841,0.44714287,t17_f5_c3,19.2666,0.2077,True,False,False,correction_1.0.6,0.0,,0.9516772,693120222.0,ZTF22aaiirbt
ztf,59707.476793999784,1953476792215015004,2,1953476792215,19.3833,1,1953,2.4163,19.2194,19.3332,0.223266,0.1748,353.573509,32.008843,0.367143,t17_f5_c3,19.1648,0.1911,False,False,False,correction_1.0.6,0.0,1.953478712215015e+18,,,ZTF22aaiirbt
ztf,59707.478715300094,1953478712215015003,2,1953478712215,19.620714,1,1953,2.0608454,19.284159,19.3028,0.18177477,0.1698,353.5738575,32.0088788,0.41285715,t17_f5_c3,19.1304,0.1849,True,False,False,correction_1.0.6,0.0,,0.9782257,693120222.0,ZTF22aaiirbt
ztf,59707.48063659994,1953480632215015004,2,1953480632215,19.392757,1,1953,2.3117154,19.384733,19.4551,0.1858147,0.1965,353.573781,32.0089341,0.37142858,t17_f5_c3,19.2968,0.2172,True,False,False,correction_1.0.6,0.0,,0.24137528,693120222.0,ZTF22aaiirbt
ztf,59708.47262729984,1954472622215015002,2,1954472622215,19.976904,1,1954,2.0040922,19.289276,19.3341,0.15425812,0.1725,353.5737073,32.0088122,0.9071429,t17_f5_c3,19.3966,0.2328,True,False,False,correction_1.0.6,0.0,,0.9999783,693120222.0,ZTF22aaiirbt
ztf,59708.47456019977,1954474562215015004,2,1954474562215,19.918163,1,1954,1.7652743,19.430346,19.3188,0.17384492,0.1718,353.5737211,32.0087446,0.81857145,t17_f5_c3,19.4429,0.2454,True,False,False,correction_1.0.6,0.0,,0.9926523,693120222.0,ZTF22aaiirbt
