tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59718.298402800225,1964298400915015007,2,1964298400915,19.8011,1,1964,0.354961,20.1031,19.022184,19.7805,0.254638,0.08909336,0.09409297,0.3327,270.3503148,73.8623742,0.832857,t17_f5_c3,19.8494,0.4549,False,True,False,correction_1.0.6,0.0,1.964363980915015e+18,,,ZTF22aakiafr
ztf,59718.3639814998,1964363980915015009,2,1964363980915,20.150574,1,1964,0.5482643,19.990742,18.9793,20.3972,0.16247077,0.05700928,0.06400277,0.5405,270.3504138,73.8624483,0.8314286,t17_f5_c3,20.4283,0.7131,True,True,False,correction_1.0.6,0.0,,0.9999757,865120209.0,ZTF22aakiafr
ztf,59721.32481480017,1967324810915015005,2,1967324810915,20.37804,1,1967,0.72156274,19.803743,18.901749,19.8022,0.11893813,0.044181373,0.051823057,0.2054,270.3505735,73.8624732,0.94285715,t17_f5_c3,19.9309,0.2947,True,True,False,correction_1.0.6,0.0,,0.99999917,865120209.0,ZTF22aakiafr
ztf,59721.40679399995,1967406790915015006,2,1967406790915,20.395185,1,1967,0.61253715,19.900257,18.94275,19.9891,0.13629039,0.048912726,0.056423817,0.2714,270.3504164,73.8624795,0.94857144,t17_f5_c3,19.9354,0.3302,True,True,False,correction_1.0.6,0.0,,0.9999989,865120209.0,ZTF22aakiafr
ztf,59723.41050929995,1969410500915015004,1,1969410500915,20.4413,1,1969,0.739603,20.3826,19.33263,20.2834,0.238934,0.08260108,0.09084256,0.3061,270.3506011,73.8624975,0.815714,t17_f5_c3,20.5334,0.492,False,True,False,correction_1.0.6,0.0,1.971404080915015e+18,,,ZTF22aakiafr
ztf,59725.36457179999,1971364570915015004,1,1971364570915,20.5068,1,1971,0.470278,20.6611,19.430288,20.3176,0.242508,0.0661924,0.07805508,0.2856,270.3503464,73.8624569,0.784286,t17_f5_c3,20.4611,0.4163,False,True,False,1.1.2,0.0,1.976421990915015e+18,,,ZTF22aakiafr
ztf,59725.40408559982,1971404080915015018,2,1971404080915,20.5778,1,1971,0.627124,19.7224,18.865555,19.9249,0.112393,0.043816037,0.051050596,0.2291,270.3503836,73.8624935,0.888571,t17_f5_c3,19.6428,0.2256,False,True,False,1.1.2,0.0,1.976421990915015e+18,,,ZTF22aakiafr
ztf,59730.421990700066,1976421990915015007,2,1976421990915,20.672005,1,1976,0.62414885,19.603363,18.809864,19.5055,0.09611022,0.039015427,0.046277486,0.1427,270.3504213,73.8624849,0.9357143,t17_f5_c3,19.7491,0.2267,True,True,False,1.1.2,0.0,,0.99995136,865120209.0,ZTF22aakiafr
ztf,59733.23887730017,1979238870915015003,2,1979238870915,20.287056,1,1979,0.63622636,19.454788,18.735785,19.2786,0.10249506,0.047470555,0.05285684,0.1506,270.3503728,73.8624984,0.94285715,t17_f5_c3,19.2928,0.1947,True,True,False,1.1.2,0.0,,0.9999943,865120209.0,ZTF22aakiafr
ztf,59733.325057900045,1979325050915015006,1,1979325050915,20.643803,1,1979,0.4919447,20.572523,19.400982,20.75,0.21072958,0.05924488,0.071632326,0.4268,270.3504462,73.8624344,0.9,t17_f5_c3,21.0312,0.7068,True,True,False,1.1.2,0.0,,0.9998523,865120109.0,ZTF22aakiafr
ztf,59735.28216439998,1981282160915015009,1,1981282160915,20.3502,1,1981,0.494789,20.6801,19.436367,20.8759,0.248747,0.06729732,0.079116106,0.4775,270.3497996,73.8624894,0.741429,t17_f5_c3,20.5434,0.4501,False,True,False,1.1.2,0.0,1.981383710915015e+18,,,ZTF22aakiafr
ztf,59735.38371529989,1981383710915015003,2,1981383710915,20.408033,1,1981,0.6080251,19.525583,18.771717,19.4538,0.119339414,0.05454025,0.05959874,0.1558,270.350434,73.8624694,0.9257143,t17_f5_c3,19.5099,0.2089,True,True,False,1.1.2,0.0,,0.9998299,865120209.0,ZTF22aakiafr
ztf,59739.30295140017,1985302950915015011,2,1985302950915,20.19433,1,1985,0.513683,19.413885,18.714499,19.3034,0.1066718,0.05116569,0.056013756,0.1781,270.3502604,73.8624795,0.94857144,t17_f5_c3,19.2947,0.2258,True,True,False,1.1.2,0.0,,0.9999933,865120209.0,ZTF22aakiafr
ztf,59741.34895829996,1987348950915015002,2,1987348950915,19.90972,1,1987,0.60730004,19.377777,18.695387,19.0739,0.12846538,0.064758256,0.06852205,0.1885,270.3505339,73.8624241,0.9185714,t17_f5_c3,19.1488,0.2586,True,True,False,1.1.2,0.0,,0.99999464,865120209.0,ZTF22aakiafr
ztf,59741.42856479995,1987428560915015010,1,1987428560915,20.3156,1,1987,0.535028,20.541,19.390163,20.7495,0.251336,0.07741922,0.087080315,0.5336,270.3504931,73.8624346,0.725714,t17_f5_c3,20.9271,0.8045,False,True,False,1.1.2,0.0,1.994333550915015e+18,,,ZTF22aakiafr
ztf,59748.285416699946,1994285410915015013,1,1994285410915,20.154,1,1994,0.790937,20.5851,19.405241,20.4621,0.331351,0.1042096,0.11177497,0.403,270.3506932,73.8624851,0.704286,t17_f5_c3,20.4906,0.5299,False,True,False,1.1.2,0.0,1.994333550915015e+18,,,ZTF22aakiafr
ztf,59748.33355320012,1994333550915015004,2,1994333550915,19.933702,1,1994,0.79915947,19.353008,18.682106,19.1019,0.12648976,0.064496495,0.06818588,0.1483,270.3507274,73.8624209,0.66714287,t17_f5_c3,18.877,0.1543,True,True,False,1.1.2,0.0,,0.9954266,865120209.0,ZTF22aakiafr
ztf,59750.36567129986,1996365670915015002,2,1996365670915,19.932299,1,1996,0.36046544,19.259527,18.630716,19.2304,0.13865505,0.074777804,0.077698275,0.1595,270.3503134,73.8623848,0.8814286,t17_f5_c3,19.1816,0.195,True,True,False,1.1.2,0.0,,0.9999913,865120209.0,ZTF22aakiafr
ztf,59752.311979200225,1998311970915015005,1,1998311970915,20.4679,1,1998,0.544002,20.6798,19.436272,20.4699,0.257288,0.07049096,0.08184803,0.3594,270.3504615,73.8624531,0.781429,t17_f5_c3,20.2027,0.3598,False,True,False,1.1.2,0.0,2.003302370915015e+18,,,ZTF22aakiafr
ztf,59755.38787040021,2001387870915015015,1,2001387870915,20.4039,1,2001,0.655538,20.4276,19.34952,20.6143,0.261409,0.088909015,0.09684739,0.3909,270.3505668,73.8624645,0.757143,t17_f5_c3,20.5262,0.4609,False,True,False,1.1.2,0.0,2.003302370915015e+18,,,ZTF22aakiafr
