tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.55851850007,2597558514915015000,2,2597558514915,19.324879,1,2597,0.16814521,18.110855,17.992863,18.0092,0.09694792,0.08684086,0.086964406,0.0936,285.0453779,4.6254344,0.8428571,t17_f5_c3,0.9999517,17.8955,0.1079,1481120249.0,True,True,False,23.12.x,0.0,,ZTF22aamcxsd
ztf,60351.55899310019,2597558994915015000,2,2597558994915,19.45576,1,2597,0.31679976,18.180683,18.055288,18.0537,0.082086705,0.07296841,0.0731333,0.0865,285.0453991,4.6253748,0.8657143,t17_f5_c3,0.99996614,17.9105,0.097,1481120249.0,True,True,False,23.12.x,0.0,,ZTF22aamcxsd
ztf,60351.559456000105,2597559454915015002,2,2597559454915,19.434752,1,2597,0.13062234,18.217228,18.087788,18.2092,0.08512486,0.07538851,0.075557955,0.1028,285.0454387,4.6254332,0.91714287,t17_f5_c3,0.99883187,18.1829,0.1284,1481120249.0,True,True,False,23.12.x,0.0,,ZTF22aamcxsd
ztf,60351.559930600226,2597559931015015019,2,2597559931015,19.521334,1,2597,0.13283491,18.140495,17.994734,18.1312,0.07336953,0.063677505,0.064152114,0.0899,285.0453887,4.6254433,0.9142857,t17_f5_c3,0.9999881,18.0784,0.1095,1534120210.0,True,True,False,23.12.x,0.0,,ZTF22aamcxsd
ztf,60351.56040510023,2597560401015015009,2,2597560401015,19.425549,1,2597,0.13447072,18.107553,17.965876,18.0575,0.07812042,0.06814275,0.068563566,0.0862,285.0453912,4.6254308,0.85,t17_f5_c3,0.99999535,17.9501,0.0999,1534120210.0,True,True,False,23.12.x,0.0,,ZTF22aamcxsd
ztf,60351.56087959977,2597560871015015010,2,2597560871015,19.40725,1,2597,0.17513928,18.17349,18.023527,18.1871,0.10025536,0.08695469,0.08732178,0.1018,285.0453684,4.6254783,0.8542857,t17_f5_c3,0.9999377,18.2215,0.1344,1534120210.0,True,True,False,23.12.x,0.0,,ZTF22aamcxsd
ztf,60352.55679399986,2598556794915015000,2,2598556794915,18.8671,1,2598,0.228671,18.2693,18.133883,18.3058,0.159192,0.14042592,0.14052503,0.1244,285.0453861,4.6254054,0.482857,t17_f5_c3,,18.3165,0.1609,,False,True,False,23.12.x,0.0,2.598557734915015e+18,ZTF22aamcxsd
ztf,60352.55726849986,2598557264915015002,2,2598557264915,19.087988,1,2598,0.5556356,18.164982,18.041288,18.284,0.11858725,0.105707355,0.105818346,0.1084,285.0453722,4.6253112,0.61142856,t17_f5_c3,0.9939434,18.3951,0.1537,1481120249.0,True,True,False,23.12.x,0.0,,ZTF22aamcxsd
ztf,60352.557731499895,2598557734915015000,2,2598557734915,19.017786,1,2598,0.30518794,18.074196,17.959923,18.4082,0.12951806,0.116492406,0.116579115,0.1272,285.0453405,4.6254214,0.61142856,t17_f5_c3,0.9999324,18.3834,0.1592,1481120249.0,True,True,False,23.12.x,0.0,,ZTF22aamcxsd
ztf,60352.5582059999,2598558201015015005,2,2598558201015,18.9683,1,2598,0.516729,18.2093,18.05465,18.2096,0.102808,0.08877869,0.08915943,0.1007,285.0454893,4.6253788,0.455714,t17_f5_c3,,18.2305,0.1313,,False,True,False,23.12.x,0.0,2.598559141015015e+18,ZTF22aamcxsd
