tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60368.555705999956,2614555702615015005,2,2614555702615,18.902512,1,2614,0.20801514,16.778809,16.218952,16.7993,0.04091612,0.021671355,0.024431616,0.0481,302.2830534,-0.764627,0.88285714,t17_f5_c3,0.99999964,16.7978,0.0613,1484120226.0,True,True,False,23.12.x,0.0,,ZTF22aaodnzw
ztf,60368.55618060008,2614556182615015014,2,2614556182615,18.863,1,2614,0.156725,16.8002,16.231674,16.7899,0.042296,0.022303928,0.025054717,0.049,302.283018,-0.7646468,0.894286,t17_f5_c3,,16.773,0.0616,,False,True,False,23.12.x,0.0,2.614556652615015e+18,ZTF22aaodnzw
ztf,60368.55665510008,2614556652615015021,2,2614556652615,18.804802,1,2614,0.18881197,16.782833,16.221354,16.7655,0.04352863,0.02336076,0.025952756,0.0489,302.283048,-0.764626,0.8742857,t17_f5_c3,0.99999976,16.7532,0.0617,1484120226.0,True,True,False,23.12.x,0.0,,ZTF22aaodnzw
ztf,60369.55214119982,2615552142615015009,2,2615552142615,19.303741,1,2615,0.17978528,16.861115,16.267345,16.864,0.031221235,0.013688684,0.01806934,0.0425,302.2830421,-0.7646326,0.93714285,t17_f5_c3,0.99999976,16.8552,0.0537,1484120226.0,True,True,False,23.12.x,0.0,,ZTF22aaodnzw
ztf,60369.55260419985,2615552602615015010,2,2615552602615,19.37754,1,2615,0.10694523,16.84584,16.258478,16.8661,0.03674683,0.01791091,0.021393176,0.0424,302.2830219,-0.764626,0.93285716,t17_f5_c3,1.0,16.8486,0.0531,1484120226.0,True,True,False,23.12.x,0.0,,ZTF22aaodnzw
ztf,60369.55307869986,2615553072615015011,2,2615553072615,19.260878,1,2615,0.2533371,16.831553,16.250137,16.8073,0.035167214,0.017000096,0.020586008,0.0426,302.2830581,-0.7646444,0.93142855,t17_f5_c3,1.0,16.7635,0.0521,1484120226.0,True,True,False,23.12.x,0.0,,ZTF22aaodnzw
ztf,60727.56137729995,2973561372615015022,2,2973561372615,18.4942,1,2973,0.24070923,16.966583,16.327131,16.8032,0.05898727,0.030266963,0.03273235,0.0649,302.2830497,-0.7646517,0.8157143,t17_f5_c3,0.999996,16.8208,0.0844,1484120226.0,True,True,False,26.0.1,0.0,,ZTF22aaodnzw
ztf,60727.56185190007,2973561852615015021,2,2973561852615,18.417553,1,2973,0.11391172,16.874203,16.2749,16.9181,0.060608182,0.032815468,0.03489879,0.0765,302.2830239,-0.7645883,0.8257143,t17_f5_c3,1.0,16.9484,0.1008,1484120226.0,True,True,False,26.0.1,0.0,,ZTF22aaodnzw
ztf,60727.562326400075,2973562322615015035,2,2973562322615,18.325155,1,2973,0.20401601,17.059147,16.377518,16.8467,0.09158193,0.04710759,0.04888301,0.0749,302.2830432,-0.7646431,0.6028572,t17_f5_c3,0.9999808,16.9836,0.1089,1484120226.0,True,True,False,26.0.1,0.0,,ZTF22aaodnzw
ztf,60733.55243059993,2979552432615015035,2,2979552432615,18.2729,1,2979,0.163508,16.8706,16.272825,17.0656,0.076125,0.042264145,0.04389522,0.0507,302.2830241,-0.7646454,0.417143,t17_f5_c3,,16.9841,0.0601,,False,True,False,26.0.1,0.0,2.989538682615015e+18,ZTF22aaodnzw
ztf,60733.552893499844,2979552892615015012,2,2979552892615,18.46824,1,2979,0.27225444,16.981905,16.335606,17.1034,0.05625408,0.028362757,0.03101947,0.0545,302.2829501,-0.7645476,0.48,t17_f5_c3,0.99415207,17.0176,0.0643,1484120226.0,True,True,False,26.0.1,0.0,,ZTF22aaodnzw
ztf,60733.553368099965,2979553362615015010,2,2979553362615,18.567652,1,2979,0.15684383,16.958744,16.322773,16.9662,0.058370356,0.03002979,0.03249407,0.0498,302.2829645,-0.7645788,0.6,t17_f5_c3,0.99959564,16.9555,0.063,1484120226.0,True,True,False,26.0.1,0.0,,ZTF22aaodnzw
ztf,60743.531400499865,2989531402615015011,2,2989531402615,19.529705,1,2989,0.28002268,17.213306,16.457071,17.191,0.04287586,0.016098935,0.021365792,0.0352,302.2830237,-0.764682,0.89,t17_f5_c3,0.99999976,17.1615,0.043,1484120226.0,True,True,False,26.0.1,0.0,,ZTF22aaodnzw
ztf,60743.534571799915,2989534572615015018,2,2989534572615,19.434093,1,2989,0.23012213,17.154055,16.427141,17.1855,0.06316618,0.02930937,0.03233846,0.0353,302.2830606,-0.764622,0.8257143,t17_f5_c3,0.99999875,17.1643,0.0435,1484120226.0,True,True,False,26.0.1,0.0,,ZTF22aaodnzw
ztf,60743.5386806,2989538682615015012,2,2989538682615,19.377537,1,2989,0.18818155,17.146051,16.423037,17.2542,0.065710776,0.030895889,0.033762198,0.0397,302.2830377,-0.7646454,0.79285717,t17_f5_c3,0.9999998,17.2611,0.0504,1484120226.0,True,True,False,26.0.1,0.0,,ZTF22aaodnzw
ztf,61099.55042820005,3345550422615015024,2,3345550422615,19.426302,1,3345,0.17863517,16.869835,16.272383,16.8833,0.037911613,0.018378057,0.021867124,0.0382,302.2830461,-0.7646226,0.94285715,t17_f5_c3,1.0,16.8756,0.0481,1484120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaodnzw
ztf,61099.55443290016,3345554432615015052,2,3345554432615,18.730156,1,3345,0.20350257,16.802132,16.232819,16.907,0.042400524,0.02234685,0.025098411,0.0721,302.2830489,-0.7646342,0.88,t17_f5_c3,1.0,17.0197,0.1024,1484120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaodnzw
ztf,61100.549294000026,3346549292615015015,2,3346549292615,19.20771,1,3346,0.16182719,16.844538,16.25772,16.901,0.040959656,0.020797012,0.023857743,0.0418,302.2830438,-0.7646063,0.91571426,t17_f5_c3,1.0,16.8911,0.0527,1484120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaodnzw
ztf,61100.55290509993,3346552902615015011,2,3346552902615,19.057888,1,3346,0.21843778,16.856115,16.264448,17.0087,0.034385573,0.01609952,0.01993929,0.0541,302.2830594,-0.7646141,0.93285716,t17_f5_c3,0.9999999,16.9616,0.0661,1484120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaodnzw
ztf,61100.55832180008,3346558322615015028,2,3346558322615,18.539286,1,3346,0.23859261,16.927025,16.305002,16.9157,0.038839646,0.01818088,0.0219011,0.0838,302.2830654,-0.7646084,0.88857144,t17_f5_c3,0.99999976,16.8247,0.0989,1484120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaodnzw
ztf,61101.54799770005,3347547992615015043,2,3347547992615,17.389177,1,3347,0.24710356,17.023039,16.358095,17.2201,0.11020113,0.05833952,0.059732184,0.2454,302.2829887,-0.7646763,0.67,t17_f5_c3,0.9993893,16.9846,0.2538,1484120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaodnzw
ztf,61101.55113429995,3347551132615015035,2,3347551132615,18.038801,1,3347,0.19990607,16.955027,16.320702,17.0255,0.06397878,0.03344963,0.035670258,0.1092,302.2830392,-0.7645738,0.69,t17_f5_c3,0.999999,17.1468,0.1565,1484120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaodnzw
