tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.56709490018,2597567092715015016,2,2597567092715,18.615982,1,2597,0.32010344,13.815949,13.222671,13.8146,0.019301327,0.0068365536,0.011175725,0.0044,289.6070791,-0.4431838,0.57285714,t17_f5_c3,0.9997511,13.7929,0.0052,1482120227.0,True,True,False,23.12.x,0.0,,ZTF22aaousbf
ztf,60351.567569400184,2597567562715015015,2,2597567562715,18.602507,1,2597,0.056892015,13.794305,13.210086,13.8152,0.021522943,0.00903047,0.01256649,0.0045,289.607027,-0.4431303,0.56142855,t17_f5_c3,0.99999297,13.7939,0.0054,1482120227.0,True,True,False,23.12.x,0.0,,ZTF22aaousbf
ztf,60351.56803240022,2597568032715015012,2,2597568032715,18.5232,1,2597,0.314771,13.8215,13.225881,13.8378,0.023344,0.010163053,0.013487386,0.0048,289.6070884,-0.4431692,0.535714,t17_f5_c3,,13.816,0.0057,,False,True,False,23.12.x,0.0,2.598565822715015e+18,ZTF22aaousbf
ztf,60352.565821799915,2598565822715015048,2,2598565822715,18.269627,1,2598,0.12205036,13.627251,13.109456,13.75,0.025991017,0.014029113,0.016132634,0.0042,289.6070309,-0.4430933,0.5328571,t17_f5_c3,0.58961326,13.7265,0.005,1482120227.0,True,True,False,23.12.x,0.0,,ZTF22aaousbf
ztf,60352.56629629992,2598566292715015066,2,2598566292715,18.1692,1,2598,0.329994,13.6848,13.144816,13.7736,0.021193,0.009919408,0.012888394,0.0045,289.6070909,-0.4431731,0.414286,t17_f5_c3,,13.7155,0.0053,,False,True,False,23.12.x,0.0,2.599566012715015e+18,ZTF22aaousbf
ztf,60353.56508099986,2599565082715015003,2,2599565082715,18.915567,1,2599,0.17607751,13.725659,13.16948,13.7564,0.025246676,0.012567472,0.015126301,0.0039,289.6070529,-0.4431454,0.6085714,t17_f5_c3,0.9995028,13.7489,0.0046,1482120227.0,True,True,False,23.12.x,0.0,,ZTF22aaousbf
ztf,60353.565555599984,2599565552715015007,2,2599565552715,18.89687,1,2599,0.12404428,13.754697,13.186785,13.7617,0.023610404,0.0110756615,0.013993895,0.004,289.607034,-0.4431505,0.5957143,t17_f5_c3,0.9999992,13.7512,0.0048,1482120227.0,True,True,False,23.12.x,0.0,,ZTF22aaousbf
ztf,60353.5660184999,2599566012715015012,2,2599566012715,18.817791,1,2599,0.07952078,13.732168,13.173376,13.7397,0.01866718,0.007287863,0.011157367,0.0041,289.6070313,-0.4431329,0.5942857,t17_f5_c3,0.99999464,13.7295,0.005,1482120227.0,True,True,False,23.12.x,0.0,,ZTF22aaousbf
ztf,60710.57003469998,2956570032715015017,2,2956570032715,18.908209,1,2956,0.04388287,13.170113,12.803946,13.2083,0.021066543,0.0137816705,0.015035791,0.0024,289.6070013,-0.4431266,0.5742857,t17_f5_c3,0.9999251,13.2014,0.0028,1482120227.0,True,True,False,26.0.1,0.0,,ZTF22aaousbf
ztf,60710.57049770001,2956570492715015017,2,2956570492715,18.782,1,2956,0.242573,13.1864,12.815545,13.2319,0.018185,0.0114056505,0.012923235,0.0025,289.6070445,-0.4431832,0.577143,t17_f5_c3,,13.2113,0.0029,,False,True,False,26.0.1,0.0,2.971548952715015e+18,ZTF22aaousbf
ztf,60724.54559030011,2970545592715015121,2,2970545592715,18.960125,1,2970,0.07115924,13.709881,13.16,13.6593,0.038219415,0.021467092,0.023031995,0.0035,289.607021,-0.4431431,0.57,t17_f5_c3,1.0,13.6522,0.004,1482120227.0,True,True,False,26.0.1,0.0,,ZTF22aaousbf
ztf,60724.54848380014,2970548482715015016,2,2970548482715,19.211637,1,2970,0.07160887,13.632871,13.112941,13.6507,0.02820618,0.015538919,0.017473193,0.0033,289.6070101,-0.443141,0.68285716,t17_f5_c3,0.9999989,13.6427,0.0037,1482120227.0,True,True,False,26.0.1,0.0,,ZTF22aaousbf
ztf,60724.55290509993,2970552902715015071,2,2970552902715,19.074245,1,2970,0.10031734,13.605349,13.095809,13.6308,0.021973772,0.011269673,0.013743231,0.0033,289.6070345,-0.443138,0.62714285,t17_f5_c3,0.99999505,13.6258,0.0038,1482120227.0,True,True,False,26.0.1,0.0,,ZTF22aaousbf
ztf,60725.54559030011,2971545592715015019,2,2971545592715,19.4861,1,2971,0.279675,13.6958,13.151492,13.6947,0.036151,0.020271964,0.021897638,0.0028,289.6070827,-0.4431593,0.594286,t17_f5_c3,,13.6849,0.0031,,False,True,False,26.0.1,0.0,2.971548952715015e+18,ZTF22aaousbf
ztf,60725.54895830015,2971548952715015022,2,2971548952715,19.61812,1,2971,0.18014221,13.65824,13.128587,13.7036,0.03768253,0.021668617,0.023135483,0.0027,289.6070576,-0.4431468,0.61285716,t17_f5_c3,0.9998771,13.6942,0.003,1482120227.0,True,True,False,26.0.1,0.0,,ZTF22aaousbf
ztf,61073.57579859998,3319575792715015005,2,3319575792715,17.5311,1,3319,0.158548,13.5489,13.060162,13.5278,0.024669,0.013762697,0.015727378,0.0086,289.6070448,-0.443154,0.518571,t17_f5_c3,,13.5141,0.0107,,False,True,False,27.5.7a32.dev1,0.0,3.347545872715015e+18,ZTF22aaousbf
ztf,61073.576261600014,3319576262715015004,2,3319576262715,17.2261,1,3319,0.179141,13.5843,13.082597,13.5708,0.012343,0.00027977032,0.0077756993,0.012,289.6070571,-0.443147,0.578571,t17_f5_c3,,13.5644,0.0152,,False,True,False,27.5.7a32.dev1,0.0,3.347545872715015e+18,ZTF22aaousbf
ztf,61074.57285880018,3320572852715015010,2,3320572852715,17.9116,1,3320,0.247254,13.5401,13.0545435,13.5366,0.012899,0.0032684281,0.008247709,0.0049,289.6070503,-0.4431814,0.495714,t17_f5_c3,,13.4867,0.0058,,False,True,False,27.5.7a32.dev1,0.0,3.329572982715015e+18,ZTF22aaousbf
ztf,61074.57285880018,3320572852715025010,2,3320572852715,17.9116,1,3320,0.247254,13.5401,13.0545435,13.5366,0.012899,0.0032684281,0.008247709,0.0049,289.6070503,-0.4431814,0.495714,t17_f5_c3,,13.4867,0.0058,,False,True,False,27.5.7a32.dev1,0.0,3.347545872715015e+18,ZTF22aaousbf
ztf,61074.57379630022,3320573792715015010,2,3320573792715,17.8905,1,3320,0.25726,13.4661,13.006649,13.5168,0.014065,0.005688873,0.0092121195,0.0052,289.6070777,-0.4431552,0.538571,t17_f5_c3,,13.5011,0.0063,,False,True,False,27.5.7a32.dev1,0.0,3.329572982715015e+18,ZTF22aaousbf
ztf,61074.57379630022,3320573792715025010,2,3320573792715,17.8905,1,3320,0.25726,13.4661,13.006649,13.5168,0.014065,0.005688873,0.0092121195,0.0052,289.6070777,-0.4431552,0.538571,t17_f5_c3,,13.5011,0.0063,,False,True,False,27.5.7a32.dev1,0.0,3.347545872715015e+18,ZTF22aaousbf
ztf,61074.57878470002,3320578782715015009,2,3320578782715,17.4144,1,3320,0.143816,13.5911,13.086876,13.6127,0.009847,100.0,0.0061889114,0.0086,289.6070258,-0.4431522,0.471429,t17_f5_c3,,13.5851,0.0106,,False,True,False,27.5.7a32.dev1,0.0,3.329572982715015e+18,ZTF22aaousbf
ztf,61074.57878470002,3320578782715025009,2,3320578782715,17.4144,1,3320,0.143816,13.5911,13.086876,13.6127,0.009847,100.0,0.0061889114,0.0086,289.6070258,-0.4431522,0.471429,t17_f5_c3,,13.5851,0.0106,,False,True,False,27.5.7a32.dev1,0.0,3.347545872715015e+18,ZTF22aaousbf
ztf,61075.56999999983,3321570002715015065,2,3321570002715,18.3979,1,3321,0.235682,13.4535,12.998381,13.4965,0.014291,0.0060504344,0.009397553,0.0037,289.607079,-0.4431158,0.537143,t17_f5_c3,,13.4801,0.0044,,False,True,False,27.5.7a32.dev1,0.0,3.351542162715015e+18,ZTF22aaousbf
ztf,61075.57192130014,3321571922715015005,2,3321571922715,18.2276,1,3321,0.056711,13.5013,13.029575,13.538,0.014614,0.005899547,0.009464095,0.0042,289.6070157,-0.4431069,0.565714,t17_f5_c3,,13.5161,0.005,,False,True,False,27.5.7a32.dev1,0.0,3.351542162715015e+18,ZTF22aaousbf
ztf,61080.56415509991,3326564152715015018,2,3326564152715,19.236242,1,3326,0.035739526,13.659712,13.12949,13.6279,0.033459,0.018860493,0.020531666,0.003,289.6070124,-0.4431126,0.62857145,t17_f5_c3,0.9999993,13.6204,0.0034,1482120227.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaousbf
ztf,61080.567534700036,3326567532715015023,2,3326567532715,18.971,1,3326,0.11224,13.6033,13.094527,13.5945,0.033345,0.019334694,0.020869963,0.0032,289.6070446,-0.4431234,0.585714,t17_f5_c3,,13.5851,0.0038,,False,True,False,27.5.7a32.dev1,0.0,3.351542162715015e+18,ZTF22aaousbf
ztf,61080.5744097,3326574402715015007,2,3326574402715,18.186008,1,3326,0.2864451,13.647269,13.121838,13.6527,0.01568316,0.0053411643,0.009666315,0.006,289.6070658,-0.4431835,0.55142856,t17_f5_c3,0.9999979,13.6506,0.0075,1482120227.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaousbf
ztf,61081.563865699805,3327563862715015099,2,3327563862715,17.935413,1,3327,0.24582526,13.571993,13.074827,13.5159,0.029592313,0.017056506,0.018720299,0.006,289.6070535,-0.4431787,0.5228571,t17_f5_c3,0.9885014,13.4878,0.0071,1482120227.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaousbf
ztf,61083.56217590021,3329562172715015019,2,3329562172715,19.4068,1,3329,0.112453,13.7086,13.159227,13.7029,0.03457,0.019101655,0.02084253,0.0029,289.6070428,-0.4431271,0.665714,t17_f5_c3,,13.697,0.0032,,False,True,False,27.5.7a32.dev1,0.0,3.351542162715015e+18,ZTF22aaousbf
ztf,61083.57298609987,3329572982715015003,2,3329572982715,18.47708,1,3329,0.15780124,13.722522,13.1676,13.7175,0.016243238,0.0049307584,0.009743249,0.0049,289.6070368,-0.4431601,0.5742857,t17_f5_c3,1.0,13.7081,0.006,1482120227.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaousbf
ztf,61099.547824100126,3345547822715015016,2,3345547822715,20.116722,1,3345,0.0860559,14.156095,13.406468,14.1834,0.02925525,0.010270421,0.014667404,0.0033,289.6070363,-0.443138,0.66571426,t17_f5_c3,0.9999987,14.1772,0.0036,1482120227.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaousbf
ztf,61099.547824100126,3345547822715025016,2,3345547822715,20.1167,1,3345,0.086056,14.1561,13.406471,14.1834,0.029255,0.01027016,0.01466724,0.0033,289.6070363,-0.443138,0.665714,t17_f5_c3,,14.1772,0.0036,,False,True,False,27.5.7a32.dev1,0.0,3.351542162715015e+18,ZTF22aaousbf
ztf,61100.54660880007,3346546602715015015,2,3346546602715,19.576643,1,3346,0.08496526,14.149521,13.403168,14.2135,0.03424044,0.013692838,0.017218603,0.0039,289.6070335,-0.4431304,0.6414286,t17_f5_c3,0.99998796,14.2074,0.0045,1482120227.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaousbf
ztf,61100.54660880007,3346546602715025015,2,3346546602715,19.5766,1,3346,0.084965,14.1495,13.403157,14.2135,0.03424,0.013692846,0.017218549,0.0039,289.6070335,-0.4431304,0.641429,t17_f5_c3,,14.2074,0.0045,,False,True,False,27.5.7a32.dev1,0.0,3.351542162715015e+18,ZTF22aaousbf
ztf,61101.545879600104,3347545872715015062,2,3347545872715,18.773039,1,3347,0.0043267133,14.134304,13.395489,14.1941,0.029095603,0.010469743,0.014733339,0.0058,289.6070125,-0.443119,0.61142856,t17_f5_c3,0.9999433,14.1754,0.0068,1482120227.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaousbf
ztf,61101.545879600104,3347545872715025062,2,3347545872715,18.773,1,3347,0.004327,14.1343,13.395487,14.1941,0.029096,0.01047008,0.014733565,0.0058,289.6070125,-0.443119,0.611429,t17_f5_c3,,14.1754,0.0068,,False,True,False,27.5.7a32.dev1,0.0,3.351542162715015e+18,ZTF22aaousbf
