tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59778.46002310002,2024460020915015009,2,2024460020915,19.7888,1,2024,1.44441,20.1778,19.4438,0.237005,0.312,29.470586,23.4486294,0.274286,t17_f5_c3,19.372,0.375,False,False,False,dev,0.0,2.031453340915015e+18,,,,,,ZTF22aaptzni
ztf,59783.42528939992,2029425280915015015,1,2029425280915,20.4559,1,2029,12.4692,20.458,19.9678,0.212603,0.2648,29.4706676,23.4485762,0.417143,t17_f5_c3,19.8024,0.292,False,False,False,dev,0.0,2.031453340915015e+18,,,,,,ZTF22aaptzni
ztf,59785.45334490016,2031453340915015014,1,2031453340915,20.55449,1,2031,12.178467,20.695164,20.4823,0.20354678,0.3135,29.4706354,23.4484936,0.5642857,t17_f5_c3,20.1106,0.2857,True,False,False,dev,0.0,,0.9915987,604120109.0,,,,ZTF22aaptzni
ztf,59787.42907410022,2033429070915015023,2,2033429070915,20.31132,1,2033,0.833334,19.981228,19.7267,0.14477077,0.2087,29.4707506,23.4485521,0.6628571,t17_f5_c3,19.516,0.2204,True,True,True,dev,0.0,,0.98000216,604120209.0,19.920849,0.13639294,0.1369397,ZTF22aaptzni
ztf,59787.450682899915,2033450680915015011,1,2033450680915,20.647018,1,2033,12.59742,20.572401,20.5716,0.20335363,0.347,29.4707009,23.4485989,0.78571427,t17_f5_c3,20.9131,0.6087,True,False,False,dev,0.0,,0.99367535,604120109.0,,,,ZTF22aaptzni
ztf,59793.46951390011,2039469510915015010,1,2039469510915,20.6668,1,2039,12.5222,20.8501,20.6025,0.242757,0.3558,29.4706674,23.4486012,0.548571,t17_f5_c3,21.0176,0.6679,False,False,False,dev,0.0,2.046452550915015e+18,,,,,,ZTF22aaptzni
ztf,59796.45863430016,2042458630915015019,2,2042458630915,20.5945,1,2042,1.20448,20.3546,19.9448,0.147701,0.2169,29.4706414,23.4485851,0.467143,t17_f5_c3,19.8654,0.2581,False,True,True,dev,0.0,2.046452550915015e+18,,,20.270382,0.1356322,0.13667707,ZTF22aaptzni
ztf,59796.469849499874,2042469840915015015,1,2042469840915,20.3609,1,2042,12.3251,20.7115,20.516,0.344161,0.4764,29.4706356,23.4485478,0.442857,t17_f5_c3,20.3919,0.5453,False,False,False,dev,0.0,2.046452550915015e+18,,,,,,ZTF22aaptzni
ztf,59800.45255789999,2046452550915015014,2,2046452550915,20.761194,1,2046,1.1606594,20.135462,19.8942,0.14097328,0.2122,29.4707058,23.4486409,0.63857144,t17_f5_c3,19.6113,0.2097,True,True,True,dev,0.0,,0.7774273,604120209.0,20.066154,0.13151516,0.13225564,ZTF22aaptzni
ztf,59802.46957179997,2048469570915015007,2,2048469570915,20.146,1,2048,1.16149,20.3797,19.9678,0.238302,0.3926,29.470635,23.4485473,0.378571,t17_f5_c3,19.6631,0.3807,False,True,False,dev,0.0,2.056451920915015e+18,,,20.293587,0.21945615,0.22013168,ZTF22aaptzni
ztf,59810.45192130003,2056451920915015014,2,2056451920915,20.220608,1,2056,0.9392275,20.16184,19.8616,0.1675767,0.3288,29.4707152,23.4485502,0.58,t17_f5_c3,19.974,0.468,True,True,False,dev,0.0,,0.9961299,604120209.0,20.090883,0.15632272,0.1569752,ZTF22aaptzni
ztf,59813.42820600001,2059428200915015038,2,2059428200915,20.290798,1,2059,1.3808832,20.307459,20.1778,0.1923906,0.2903,29.4706658,23.4486918,0.62714285,t17_f5_c3,19.8859,0.2848,True,True,False,dev,0.0,,0.9886693,604120209.0,20.226688,0.17786111,0.17859758,ZTF22aaptzni
ztf,59815.4542129999,2061454210915015012,1,2061454210915,20.7246,1,2061,12.2997,20.8996,20.4623,0.243126,0.2978,29.4706732,23.4485091,0.321429,t17_f5_c3,20.036,0.2582,False,False,False,dev,0.0,2.065479880915015e+18,,,,,,ZTF22aaptzni
ztf,59819.44934030017,2065449340915015014,1,2065449340915,20.8664,1,2065,12.0204,21.1017,20.7137,0.289546,0.3259,29.4706043,23.4484606,0.171429,t17_f5_c3,20.7279,0.4231,False,False,False,dev,0.0,2.065479880915015e+18,,,,,,ZTF22aaptzni
ztf,59819.479884299915,2065479880915015023,2,2065479880915,20.821356,1,2065,1.1633042,20.182266,19.9951,0.13799761,0.2029,29.4706357,23.4485471,0.68714285,t17_f5_c3,20.0949,0.2843,True,True,False,dev,0.0,,0.9999778,604120209.0,20.110006,0.12828963,0.12911227,ZTF22aaptzni
ztf,59822.40211809985,2068402110915015016,1,2068402110915,20.7072,1,2068,12.6425,20.8844,20.4683,0.236246,0.3045,29.4707367,23.4485857,0.371429,t17_f5_c3,20.586,0.4346,False,False,False,dev,0.0,2.068474670915015e+18,,,,,,ZTF22aaptzni
