tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,59758.214236100204,2004214236115015000,1,2004214236115,20.2567,1,2004,2.13662,19.624,19.1542,0.18977,0.1477,203.3970143,1.0904604,0.704286,t17_f5_c3,18.8623,0.1404,False,False,False,1.1.2,0.0,2.006215816115015e+18,,,,,,ZTF22aaputwp
ztf,59758.21471060021,2004214711515015013,1,2004214711515,20.351435,1,2004,1.4371696,19.45984,19.9309,0.1508664,0.2948,203.3970493,1.0903954,0.89857143,t17_f5_c3,19.944,0.3711,True,False,False,1.1.2,0.0,,0.9999906,476120115.0,,,,ZTF22aaputwp
ztf,59760.2158102002,2006215816115015000,1,2006215816115,20.3101,1,2006,1.8785503,19.184727,19.7575,0.1398946,0.2502,203.3970623,1.090403,0.88857144,t17_f5_c3,19.4731,0.2391,True,False,False,1.1.2,0.0,,0.99958503,425120161.0,,,,ZTF22aaputwp
ztf,59760.216284700204,2006216281515015015,1,2006216281515,20.264158,1,2006,1.6054746,19.012482,19.0376,0.08975014,0.1311,203.3970525,1.0904507,0.96,t17_f5_c3,19.013,0.1593,True,False,False,1.1.2,0.0,,0.9999702,476120115.0,,,,ZTF22aaputwp
ztf,59760.27457180014,2006274576115015000,2,2006274576115,19.922115,1,2006,0.8731004,19.137632,18.85,0.15217127,0.1608,203.3970749,1.0904111,0.9285714,t17_f5_c3,18.5696,0.1553,True,True,False,1.1.2,0.0,,0.99719846,425120261.0,17.677294,100.0,0.039645825,ZTF22aaputwp
ztf,59762.20525459992,2008205251515015014,1,2008205251515,20.408335,1,2008,1.4602898,18.759632,18.9095,0.076482736,0.1105,203.3970768,1.0904171,0.9614286,t17_f5_c3,18.9833,0.1462,True,False,False,1.1.2,0.0,,0.9999999,476120115.0,,,,ZTF22aaputwp
ztf,59762.208090300206,2008208096115015000,1,2008208096115,20.27681,1,2008,2.0820515,18.799961,18.7188,0.13099413,0.0955,203.3970171,1.0904427,0.8,t17_f5_c3,18.5943,0.1056,True,False,False,1.1.2,0.0,,0.98867327,425120161.0,,,,ZTF22aaputwp
ztf,59762.23435189994,2008234356115015000,2,2008234356115,19.9368,1,2008,0.71586466,18.971718,18.942,0.12771414,0.1549,203.3969843,1.0903681,0.9,t17_f5_c3,18.7861,0.1669,True,True,False,1.1.2,0.0,,0.9998408,425120261.0,17.631567,100.0,0.037168805,ZTF22aaputwp
ztf,59762.234826399945,2008234821515015012,2,2008234821515,20.14067,1,2008,1.5324681,18.68891,18.9507,0.10653258,0.1469,203.3970857,1.0904073,0.9028571,t17_f5_c3,19.0349,0.1966,True,False,False,1.1.2,0.0,,0.9999763,476120215.0,,,,ZTF22aaputwp
ztf,59764.227881900035,2010227881515015009,1,2010227881515,20.11799,1,2010,1.4373491,18.626703,18.8901,0.08011499,0.1258,203.3970964,1.0904187,0.95857143,t17_f5_c3,18.7783,0.1421,True,False,False,dev,0.0,,0.9999999,476120115.0,,,,ZTF22aaputwp
ztf,59764.228356500156,2010228356115015000,1,2010228356115,20.054987,1,2010,1.952616,18.620794,18.6501,0.104103126,0.1038,203.3970179,1.0904038,0.88285714,t17_f5_c3,18.5975,0.1235,True,False,False,dev,0.0,,0.99993694,425120161.0,,,,ZTF22aaputwp
ztf,59764.27112270007,2010271121515015015,2,2010271121515,19.875694,1,2010,1.4980112,18.639202,18.6414,0.091356225,0.1296,203.3970619,1.0903873,0.9285714,t17_f5_c3,18.4467,0.1356,True,False,False,dev,0.0,,0.99997675,476120215.0,,,,ZTF22aaputwp
ztf,59769.257708299905,2015257701515015013,1,2015257701515,19.222092,1,2015,1.3977785,18.526112,18.439,0.10009003,0.1716,203.3971011,1.0904086,0.94857144,t17_f5_c3,18.2148,0.1782,True,True,True,dev,0.0,,0.9998739,476120115.0,17.324266,100.0,0.033086617,ZTF22aaputwp
ztf,59770.19050930021,2016190506115015000,1,2016190506115,19.411982,1,2016,2.0021517,18.651892,18.606,0.16173959,0.1756,203.3970287,1.0904252,0.88857144,t17_f5_c3,18.5346,0.2093,True,False,False,dev,0.0,,0.99701226,425120161.0,,,,ZTF22aaputwp
ztf,59770.252476899885,2016252476115015000,1,2016252476115,18.968924,1,2016,2.1781967,18.63149,19.0883,0.16399263,0.382,203.3969788,1.0904546,0.87285715,t17_f5_c3,19.2179,0.5504,True,False,False,dev,0.0,,0.99952435,425120161.0,,,,ZTF22aaputwp
ztf,59771.21068290016,2017210681515015006,1,2017210681515,19.149414,1,2017,1.3002871,18.537743,19.1304,0.1462295,0.3016,203.397088,1.0903725,0.83428574,t17_f5_c3,18.9588,0.3289,True,True,True,dev,0.0,,0.999998,476120115.0,17.328096,100.0,0.047992855,ZTF22aaputwp
ztf,59771.231631900184,2017231631515015003,1,2017231631515,19.311052,1,2017,1.5243492,18.58712,18.7809,0.10533849,0.24,203.3970894,1.0904422,0.9557143,t17_f5_c3,18.9805,0.3683,True,False,False,dev,0.0,,0.99999475,476120115.0,,,,ZTF22aaputwp
ztf,59772.189965299796,2018189966115015000,2,2018189966115,19.129122,1,2018,0.56568307,18.69565,18.6798,0.17670235,0.2026,203.3970198,1.0905109,0.79285717,t17_f5_c3,18.5547,0.2294,True,True,False,dev,0.0,,0.9961268,425120261.0,17.543736,100.0,0.061161228,ZTF22aaputwp
ztf,59773.19454859989,2019194541515015006,2,2019194541515,19.651094,1,2019,1.5225922,18.534904,18.5974,0.118536584,0.176,203.3970611,1.0903935,0.9085714,t17_f5_c3,18.8061,0.2702,True,False,False,dev,0.0,,0.9985207,476120215.0,,,,ZTF22aaputwp
ztf,59773.21902780002,2019219021515015009,2,2019219021515,19.512419,1,2019,1.4616265,18.789835,19.0013,0.14122343,0.2836,203.3970979,1.0903906,0.7757143,t17_f5_c3,18.9225,0.3353,True,False,False,dev,0.0,,0.9919968,476120215.0,,,,ZTF22aaputwp
ztf,59774.21487270016,2020214876115015000,2,2020214876115,19.321888,1,2020,0.739418,18.58115,18.3537,0.14020574,0.1758,203.3970274,1.0904053,0.9442857,t17_f5_c3,18.0833,0.1746,True,True,False,dev,0.0,,0.9999962,425120261.0,17.502722,100.0,0.05192719,ZTF22aaputwp
ztf,59774.23292820016,2020232926115015000,2,2020232926115,19.0647,1,2020,0.801387,18.7806,18.3695,0.166432,0.2145,203.3970551,1.0904151,0.827143,t17_f5_c3,18.0873,0.2112,False,True,False,dev,0.0,2.022187606115015e+18,,,17.572392,100.0,0.054695778,ZTF22aaputwp
ztf,59776.187604200095,2022187606115015000,2,2022187606115,20.147331,1,2022,0.78699833,18.770863,18.5048,0.13696264,0.1021,203.397059,1.0904306,0.89285713,t17_f5_c3,18.4121,0.116,True,True,False,dev,0.0,,0.99545944,425120261.0,17.569183,100.0,0.045282464,ZTF22aaputwp
ztf,59777.18793979986,2023187931515015013,2,2023187931515,20.125786,1,2023,1.653524,18.774694,18.9281,0.12173291,0.1561,203.3970884,1.0904446,0.89285713,t17_f5_c3,18.9644,0.2005,True,False,False,dev,0.0,,0.99696386,476120215.0,,,,ZTF22aaputwp
ztf,59778.18427080009,2024184276115015000,2,2024184276115,19.917046,1,2024,0.8939316,18.834175,18.4555,0.13132799,0.1108,203.3970617,1.0903787,0.8742857,t17_f5_c3,18.3108,0.1209,True,True,False,dev,0.0,,0.99990714,425120261.0,17.589708,100.0,0.041741766,ZTF22aaputwp
ztf,59779.20600689994,2025206001515015010,2,2025206001515,19.986942,1,2025,1.4855359,18.694626,19.1299,0.11489782,0.2077,203.3971102,1.0904028,0.9028571,t17_f5_c3,19.0906,0.2505,True,False,False,dev,0.0,,0.9999726,476120215.0,,,,ZTF22aaputwp
ztf,59779.21098379977,2025210981515015018,2,2025210981515,19.958096,1,2025,1.5012132,18.68593,18.8382,0.08685595,0.1597,203.3970335,1.090373,0.92285717,t17_f5_c3,18.9365,0.2185,True,False,False,dev,0.0,,0.99999,476120215.0,,,,ZTF22aaputwp
