tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59764.287534699775,2010287534415015006,2,2010287534415,20.5812,1,2010,1.38725,20.6206,19.665234,20.4859,0.309999,0.119303495,0.12859201,0.3724,227.9110198,19.9241229,0.495714,t17_f5_c3,20.6302,0.5443,False,True,False,dev,0.0,2.019215214415015e+18,,,ZTF22aatabyq
ztf,59766.23497689981,2012234974415015008,2,2012234974415,20.5847,1,2012,1.00918,20.5351,19.628948,20.7625,0.22474,0.085801706,0.09754812,0.5155,227.911032,19.9242563,0.611429,t17_f5_c3,20.1895,0.39,False,True,False,dev,0.0,2.019215214415015e+18,,,ZTF22aatabyq
ztf,59769.23406249983,2015234064415015004,1,2015234064415,20.1032,1,2015,0.463017,20.6103,19.79591,20.2122,0.351377,0.158867,0.16596524,0.4541,227.9109363,19.924362,0.465714,t17_f5_c3,20.355,0.6645,False,True,False,dev,0.0,2.019215214415015e+18,,,ZTF22aatabyq
ztf,59773.21521990001,2019215214415015008,2,2019215214415,19.919811,1,2019,1.0102441,19.875767,19.293018,19.8069,0.19806622,0.11067899,0.115800686,0.4008,227.9110055,19.9242351,0.51,t17_f5_c3,19.3619,0.3417,True,True,False,dev,0.0,,0.9955894,582120244.0,ZTF22aatabyq
ztf,59777.2051736,2023205174415015009,2,2023205174415,20.547184,1,2023,1.0821928,20.057001,19.395275,20.0152,0.16042364,0.07877564,0.0872123,0.2512,227.9110357,19.9242346,0.85142857,t17_f5_c3,19.8843,0.2843,True,True,False,dev,0.0,,0.9999678,582120244.0,ZTF22aatabyq
ztf,59779.192893499974,2025192894415015010,2,2025192894415,20.550608,1,2025,1.0422812,19.894028,19.303658,20.1094,0.15233801,0.08148087,0.08844234,0.2808,227.9110401,19.9242516,0.8685714,t17_f5_c3,19.9195,0.3015,True,True,False,dev,0.0,,0.9999798,582120244.0,ZTF22aatabyq
ztf,59779.24979169993,2025249794415015007,2,2025249794415,20.400528,1,2025,1.3818046,19.838722,19.271208,19.7209,0.176419,0.09913257,0.10460183,0.215,227.9110767,19.9241596,0.7128571,t17_f5_c3,19.843,0.3074,True,True,False,dev,0.0,,0.9999982,582120244.0,ZTF22aatabyq
ztf,59783.266643499956,2029266644415015009,2,2029266644415,20.424866,1,2029,1.1536491,19.96531,19.34447,20.1363,0.15532385,0.08007853,0.087680355,0.3116,227.9110522,19.9242229,0.8428571,t17_f5_c3,19.7702,0.2847,True,True,False,dev,0.0,,0.9999955,582120244.0,ZTF22aatabyq
ztf,59783.27719909977,2029277194415015007,1,2029277194415,20.4523,1,2029,0.979318,20.6007,19.791365,20.9153,0.385215,0.1764319,0.18279697,0.604,227.9110369,19.9242517,0.43,t17_f5_c3,20.9776,0.8192,False,True,False,dev,0.0,2.031181404415015e+18,,,ZTF22aatabyq
ztf,59785.18140049977,2031181404415015018,2,2031181404415,20.763628,1,2031,0.9661772,20.068773,19.401659,20.0477,0.14747937,0.07033949,0.07977841,0.2292,227.9109733,19.924233,0.61,t17_f5_c3,19.9469,0.2664,True,True,False,dev,0.0,,0.9999635,582120244.0,ZTF22aatabyq
