tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60352.565821799915,2598565822215015103,2,2598565822215,18.286446,1,2598,0.40458602,14.338653,12.62985,14.4468,0.03663244,100.0,0.0075918054,0.0084,290.0853095,-0.756436,0.5,t17_f5_c3,0.9690732,14.4274,0.0099,1482120222.0,True,True,False,23.12.x,0.0,,ZTF22aaxvdfi
ztf,60352.56629629992,2598566292215015019,2,2598566292215,18.106968,1,2598,0.42423108,14.470972,12.65598,14.561,0.028701145,100.0,0.005393892,0.0099,290.0853146,-0.7564391,0.56714284,t17_f5_c3,0.9881438,14.5284,0.0117,1482120222.0,True,True,False,23.12.x,0.0,,ZTF22aaxvdfi
ztf,60353.56508099986,2599565082215015022,2,2599565082215,18.829037,1,2599,0.28620958,14.499605,12.6613035,14.5685,0.04518738,100.0,0.008311827,0.0087,290.0852735,-0.7564325,0.63285714,t17_f5_c3,0.99511945,14.56,0.0103,1482120222.0,True,True,False,23.12.x,0.0,,ZTF22aaxvdfi
ztf,60353.565555599984,2599565552215015010,2,2599565552215,18.830317,1,2599,1.1206483,14.623459,12.68305,14.7313,0.06758835,100.0,0.011316403,0.0101,290.0854937,-0.7565225,0.5328571,t17_f5_c3,0.8831834,14.7132,0.0121,1482120222.0,True,True,False,23.12.x,0.0,,ZTF22aaxvdfi
ztf,60353.5660184999,2599566012215015023,2,2599566012215,18.757624,1,2599,0.28987238,14.635761,12.685101,14.5879,0.011451145,100.0,0.0018992604,0.0094,290.0852757,-0.7564117,0.62714285,t17_f5_c3,0.9978272,14.5711,0.0112,1482120222.0,True,True,False,23.12.x,0.0,,ZTF22aaxvdfi
ztf,60353.5660184999,2599566012215015024,2,2599566012215,18.757624,1,2599,0.44632432,14.571633,12.674199,14.9428,0.04252463,100.0,0.007407415,0.0125,290.0853148,-0.7564532,0.57285714,t17_f5_c3,0.99736845,14.8394,0.0141,1482120222.0,True,True,False,23.12.x,0.0,,ZTF22aaxvdfi
ztf,61073.57913189987,3319579132215015082,2,3319579132215,16.981178,1,3319,0.035516854,14.560514,12.672254,14.4796,0.02994551,100.0,0.005260505,0.0361,290.0851895,-0.7564241,0.54,t17_f5_c3,0.9257417,14.4658,0.0456,1482120222.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaxvdfi
ztf,61074.57285880018,3320572852215015062,2,3320572852215,17.820724,1,3320,1.208244,14.208286,12.601517,14.2527,0.027102318,100.0,0.006170193,0.01,290.0854848,-0.7566001,0.54714286,t17_f5_c3,0.9321817,14.215,0.012,1482120222.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaxvdfi
ztf,61074.57285880018,3320572852215025062,2,3320572852215,17.8207,1,3320,1.20824,14.2083,12.601521,14.2527,0.027102,100.0,0.0061700623,0.01,290.0854848,-0.7566001,0.547143,t17_f5_c3,,14.215,0.012,,False,True,False,27.5.7a32.dev1,0.0,3.347545872215015e+18,ZTF22aaxvdfi
ztf,61075.56999999983,3321570002215015008,2,3321570002215,18.330893,1,3321,0.43113232,14.42049,12.646312,14.4331,0.041925672,100.0,0.008181041,0.009,290.0853147,-0.7563876,0.5814286,t17_f5_c3,0.9990221,14.4111,0.0107,1482120222.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF22aaxvdfi
