tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59776.34341439977,2022343413615015008,2,2022343413615,20.2258,1,2022,0.19548,20.5648,20.282928,20.3556,0.28084,0.21335566,0.21662591,0.4807,276.6737609,63.2354703,0.422857,t17_f5_c3,20.4694,0.6851,False,True,False,dev,0.0,2.043346713615015e+18,,,ZTF22aayzwkh
ztf,59779.26795140002,2025267953615015009,2,2025267953615,20.6423,1,2025,0.785495,20.6614,20.35667,20.6369,0.283414,0.21026108,0.21405713,0.3994,276.6735956,63.2356201,0.321429,t17_f5_c3,20.7804,0.5842,False,True,False,dev,0.0,2.043346713615015e+18,,,ZTF22aayzwkh
ztf,59781.283125000075,2027283123615015022,1,2027283123615,20.7012,1,2027,2.82461,21.006,,21.4461,0.330722,,,0.7944,276.6735859,63.2354895,0.354286,t17_f5_c3,21.7042,1.2937,False,False,False,dev,0.0,2.043346713615015e+18,,,ZTF22aayzwkh
ztf,59785.32616900001,2031326163615015016,1,2031326163615,20.6344,1,2031,3.27072,20.7821,,20.5317,0.343766,,,0.3689,276.6736741,63.2356282,0.252857,t17_f5_c3,20.7846,0.5964,False,False,False,dev,0.0,2.043346713615015e+18,,,ZTF22aayzwkh
ztf,59787.3128819,2033312883615015012,2,2033312883615,20.6623,1,2033,0.890845,20.9803,20.588451,20.5132,0.33935,0.23126478,0.23654172,0.3663,276.6737515,63.2356621,0.222857,t17_f5_c3,20.153,0.3375,False,True,False,dev,0.0,2.043346713615015e+18,,,ZTF22aayzwkh
ztf,59789.2654281999,2035265423615015028,2,2035265423615,20.583,1,2035,0.925664,20.7583,20.429047,20.7186,0.335361,0.24389003,0.24763441,0.4692,276.6736452,63.235667,0.448571,t17_f5_c3,20.5033,0.4936,False,True,False,dev,0.0,2.043346713615015e+18,,,ZTF22aayzwkh
ztf,59797.34671299998,2043346713615015010,2,2043346713615,20.645004,1,2043,0.835022,20.602032,20.311535,20.4273,0.1932432,0.14277898,0.14787854,0.3347,276.6737349,63.2356467,0.60142857,t17_f5_c3,20.1146,0.3222,True,True,False,dev,0.0,,0.99961853,826120236.0,ZTF22aayzwkh
ztf,60472.38340280019,2718383403615015010,2,2718383403615,20.7046,1,2718,0.999042,20.7802,20.445173,20.7835,0.306734,0.22104743,0.22529519,0.4387,276.6734697,63.235663,0.32,t17_f5_c3,21.026,0.7031,False,True,False,24.5.1,0.0,2.746370473615015e+18,,,ZTF22aayzwkh
ztf,60474.4291782002,2720429173615015015,1,2720429173615,20.433,1,2720,2.79778,20.8879,,21.1302,0.338625,,,0.6505,276.6737623,63.2355018,0.194286,t17_f5_c3,21.0489,0.7755,False,False,False,24.5.1,0.0,2.746370473615015e+18,,,ZTF22aayzwkh
ztf,60481.319085599855,2727319083615025005,2,2727319083615,20.047,1,2727,0.831478,20.386,20.142492,20.06,0.318179,0.25211042,0.25425437,0.4014,276.6736193,63.2356392,0.334286,t17_f5_c3,20.2649,0.6223,False,True,False,24.5.1,0.0,2.746370473615015e+18,,,ZTF22aayzwkh
