tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.564722199924,2597564725615015018,2,2597564725615,18.87485,1,2597,0.19882977,16.906816,16.704105,17.0088,0.05344306,0.043840826,0.04434113,0.0587,285.2103955,-2.656699,0.74285716,t17_f5_c3,0.9999895,16.9898,0.0737,1430120256.0,True,True,False,23.12.x,0.0,,ZTF22abardbf
ztf,60351.565196800046,2597565195615015009,2,2597565195615,18.82391,1,2597,0.11004512,16.846638,16.653942,17.0131,0.051524986,0.042677246,0.04314593,0.062,285.2103776,-2.6566719,0.7457143,t17_f5_c3,0.99999666,17.0476,0.0819,1430120256.0,True,True,False,23.12.x,0.0,,ZTF22abardbf
ztf,60353.554814800154,2599554810215015133,2,2599554810215,19.7635,1,2599,0.160514,16.9616,16.721764,16.9895,0.045995,0.036059566,0.036878757,0.0335,285.2104159,-2.6566988,0.835714,t17_f5_c3,,16.9514,0.0409,,False,True,False,23.12.x,0.0,2.599560795615015e+18,ZTF22abardbf
ztf,60353.55528939981,2599555280215015104,2,2599555280215,19.7714,1,2599,0.176475,16.9835,16.739288,17.0544,0.039516,0.030563042,0.031556457,0.0355,285.2104219,-2.6566939,0.837143,t17_f5_c3,,17.036,0.0441,,False,True,False,23.12.x,0.0,2.599560795615015e+18,ZTF22abardbf
ztf,60353.55575230019,2599555750215015086,2,2599555750215,19.7234,1,2599,0.164692,16.9867,16.741842,17.0324,0.047212,0.036847953,0.03767988,0.0359,285.2104255,-2.6566745,0.86,t17_f5_c3,,17.0725,0.0471,,False,True,False,23.12.x,0.0,2.599560795615015e+18,ZTF22abardbf
ztf,60353.56079859985,2599560795615015010,2,2599560795615,19.436918,1,2599,0.16494112,16.90774,16.70487,16.9773,0.052217163,0.042804748,0.04331774,0.0415,285.2104225,-2.6566761,0.83285713,t17_f5_c3,0.999996,16.9175,0.0501,1430120256.0,True,True,False,23.12.x,0.0,,ZTF22abardbf
ztf,60353.561273099855,2599561275615015013,2,2599561275615,19.315575,1,2599,0.063950874,16.95854,16.746843,17.0632,0.046634763,0.037746426,0.03837348,0.0488,285.2104001,-2.6566607,0.8157143,t17_f5_c3,0.9999988,17.0474,0.0613,1430120256.0,True,True,False,23.12.x,0.0,,ZTF22abardbf
ztf,60353.56173609989,2599561735615015013,2,2599561735615,19.305578,1,2599,0.18712099,16.970587,16.756746,16.9936,0.03982778,0.03195596,0.0327077,0.0464,285.2104039,-2.6566931,0.8214286,t17_f5_c3,0.99999464,16.9631,0.0576,1430120256.0,True,True,False,23.12.x,0.0,,ZTF22abardbf
ztf,60706.57157409983,2952571570215015017,2,2952571570215,18.383955,1,2952,0.34177104,17.364077,17.03173,17.4021,0.06819422,0.049147762,0.050212156,0.1447,285.2104677,-2.6567099,0.7128571,t17_f5_c3,0.99999,17.271,0.1646,1481120202.0,True,True,False,26.0.1,0.0,,ZTF22abardbf
ztf,60706.57204859983,2952572040215015016,2,2952572040215,18.279074,1,2952,0.14932697,17.398544,17.057003,17.5771,0.084740944,0.060967483,0.061869472,0.1782,285.2104202,-2.6566843,0.7128571,t17_f5_c3,0.99976903,17.7196,0.2611,1481120202.0,True,True,False,26.0.1,0.0,,ZTF22abardbf
ztf,60706.572523099836,2952572520215015023,2,2952572520215,18.345339,1,2952,0.48954764,17.319866,16.999004,17.5712,0.0914145,0.06728939,0.06802524,0.1651,285.2105122,-2.6567087,0.7228571,t17_f5_c3,0.99992585,17.6702,0.2322,1481120202.0,True,True,False,26.0.1,0.0,,ZTF22abardbf
ztf,60707.56861109985,2953568610215015146,2,2953568610215,18.4863,1,2953,0.128443,17.4035,17.060617,17.5471,0.093356,0.06725107,0.068075284,0.1417,285.2104125,-2.6566621,0.612857,t17_f5_c3,,17.6713,0.2037,,False,True,False,26.0.1,0.0,2.955563550215015e+18,ZTF22abardbf
ztf,60708.55843750015,2954558430215015056,2,2954558430215,19.687288,1,2954,0.16063094,17.520931,17.144974,17.5692,0.05033265,0.033721957,0.035601404,0.0608,285.2104153,-2.6566992,0.87142855,t17_f5_c3,0.99999917,17.5773,0.0779,1481120202.0,True,True,False,26.0.1,0.0,,ZTF22abardbf
